Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,db10bb-us-central-1-78c96c5c55-grjxb,db10bb,0,5
default,db10bb-us-central-1-78c96c5c55-grjxb,istio-proxy,3,67
default,db10bb-us-central-1-78c96c5c55-mdpmw,db10bb,0,5
default,db10bb-us-central-1-78c96c5c55-mdpmw,istio-proxy,4,67
default,db10bb-us-central-1-78c96c5c55-xmtzm,db10bb,0,5
default,db10bb-us-central-1-78c96c5c55-xmtzm,istio-proxy,3,66
default,db10bb-us-east-1-865695fdc9-4fjrb,db10bb,0,5
default,db10bb-us-east-1-865695fdc9-4fjrb,istio-proxy,6,69
default,db10bb-us-east-1-865695fdc9-5jw8w,db10bb,0,5
default,db10bb-us-east-1-865695fdc9-5jw8w,istio-proxy,6,66
default,db10bb-us-east-1-865695fdc9-fc6m9,db10bb,0,5
default,db10bb-us-east-1-865695fdc9-fc6m9,istio-proxy,7,66
default,db10bb-us-south-1-5c969c6f5-jtgrk,db10bb,0,5
default,db10bb-us-south-1-5c969c6f5-jtgrk,istio-proxy,7,68
default,db10bb-us-south-1-5c969c6f5-tvcjn,db10bb,0,5
default,db10bb-us-south-1-5c969c6f5-tvcjn,istio-proxy,4,67
default,db10bb-us-south-1-5c969c6f5-w5mlz,db10bb,0,5
default,db10bb-us-south-1-5c969c6f5-w5mlz,istio-proxy,3,67
default,db10bb-us-west-1-6d54657874-7ccmt,db10bb,0,6
default,db10bb-us-west-1-6d54657874-7ccmt,istio-proxy,3,64
default,db10bb-us-west-1-6d54657874-mpbs5,db10bb,12,8
default,db10bb-us-west-1-6d54657874-mpbs5,istio-proxy,6,65
default,db10bb-us-west-1-6d54657874-w4h2k,db10bb,2,6
default,db10bb-us-west-1-6d54657874-w4h2k,istio-proxy,2,66
default,db2af0-us-central-1-7db7c77fd9-6hvtm,db2af0,0,5
default,db2af0-us-central-1-7db7c77fd9-6hvtm,istio-proxy,3,66
default,db2af0-us-central-1-7db7c77fd9-c9js5,db2af0,0,5
default,db2af0-us-central-1-7db7c77fd9-c9js5,istio-proxy,3,66
default,db2af0-us-central-1-7db7c77fd9-dssnl,db2af0,0,5
default,db2af0-us-central-1-7db7c77fd9-dssnl,istio-proxy,3,66
default,db2af0-us-east-1-665d8d944d-plx5d,db2af0,0,5
default,db2af0-us-east-1-665d8d944d-plx5d,istio-proxy,6,69
default,db2af0-us-east-1-665d8d944d-vkcqt,db2af0,0,5
default,db2af0-us-east-1-665d8d944d-vkcqt,istio-proxy,6,66
default,db2af0-us-east-1-665d8d944d-zj7xp,db2af0,0,5
default,db2af0-us-east-1-665d8d944d-zj7xp,istio-proxy,6,67
default,db2af0-us-south-1-5478b9cb7d-7zlp9,db2af0,0,5
default,db2af0-us-south-1-5478b9cb7d-7zlp9,istio-proxy,4,67
default,db2af0-us-south-1-5478b9cb7d-grq8w,db2af0,0,5
default,db2af0-us-south-1-5478b9cb7d-grq8w,istio-proxy,7,66
default,db2af0-us-south-1-5478b9cb7d-qh7p8,db2af0,0,5
default,db2af0-us-south-1-5478b9cb7d-qh7p8,istio-proxy,3,67
default,db2af0-us-west-1-857995d6d-7prc6,db2af0,12,8
default,db2af0-us-west-1-857995d6d-7prc6,istio-proxy,2,65
default,db2af0-us-west-1-857995d6d-n4j9p,db2af0,0,6
default,db2af0-us-west-1-857995d6d-n4j9p,istio-proxy,6,66
default,db2af0-us-west-1-857995d6d-vkjcc,db2af0,0,6
default,db2af0-us-west-1-857995d6d-vkjcc,istio-proxy,4,64
default,db37c2-us-central-1-88695fbb-9jpf5,db37c2,0,5
default,db37c2-us-central-1-88695fbb-9jpf5,istio-proxy,3,67
default,db37c2-us-central-1-88695fbb-fk68q,db37c2,0,5
default,db37c2-us-central-1-88695fbb-fk68q,istio-proxy,3,67
default,db37c2-us-central-1-88695fbb-h7lwc,db37c2,0,5
default,db37c2-us-central-1-88695fbb-h7lwc,istio-proxy,3,67
default,db37c2-us-east-1-7bd5695b5b-774ms,db37c2,0,5
default,db37c2-us-east-1-7bd5695b5b-774ms,istio-proxy,7,67
default,db37c2-us-east-1-7bd5695b5b-s7tcx,db37c2,0,5
default,db37c2-us-east-1-7bd5695b5b-s7tcx,istio-proxy,6,66
default,db37c2-us-east-1-7bd5695b5b-zfbdq,db37c2,0,5
default,db37c2-us-east-1-7bd5695b5b-zfbdq,istio-proxy,6,67
default,db37c2-us-south-1-fbf9c98cd-675rw,db37c2,0,5
default,db37c2-us-south-1-fbf9c98cd-675rw,istio-proxy,7,67
default,db37c2-us-south-1-fbf9c98cd-75qkd,db37c2,0,5
default,db37c2-us-south-1-fbf9c98cd-75qkd,istio-proxy,3,69
default,db37c2-us-south-1-fbf9c98cd-rmd2c,db37c2,0,5
default,db37c2-us-south-1-fbf9c98cd-rmd2c,istio-proxy,4,67
default,db37c2-us-west-1-6f744c59b-58n5q,db37c2,12,8
default,db37c2-us-west-1-6f744c59b-58n5q,istio-proxy,11,66
default,db37c2-us-west-1-6f744c59b-g7d4r,db37c2,0,6
default,db37c2-us-west-1-6f744c59b-g7d4r,istio-proxy,41,64
default,db37c2-us-west-1-6f744c59b-p2ddh,db37c2,29,9
default,db37c2-us-west-1-6f744c59b-p2ddh,istio-proxy,2,68
default,db3dd1-us-central-1-8599f57659-8qvlk,db3dd1,0,5
default,db3dd1-us-central-1-8599f57659-8qvlk,istio-proxy,3,66
default,db3dd1-us-central-1-8599f57659-9tlvx,db3dd1,0,5
default,db3dd1-us-central-1-8599f57659-9tlvx,istio-proxy,3,67
default,db3dd1-us-central-1-8599f57659-rtrcn,db3dd1,0,5
default,db3dd1-us-central-1-8599f57659-rtrcn,istio-proxy,3,67
default,db3dd1-us-east-1-5c88b7949-4wc8l,db3dd1,0,5
default,db3dd1-us-east-1-5c88b7949-4wc8l,istio-proxy,6,66
default,db3dd1-us-east-1-5c88b7949-klp97,db3dd1,0,5
default,db3dd1-us-east-1-5c88b7949-klp97,istio-proxy,6,67
default,db3dd1-us-east-1-5c88b7949-xhsgn,db3dd1,0,5
default,db3dd1-us-east-1-5c88b7949-xhsgn,istio-proxy,7,67
default,db3dd1-us-south-1-55f79f575f-2ptfv,db3dd1,0,5
default,db3dd1-us-south-1-55f79f575f-2ptfv,istio-proxy,3,67
default,db3dd1-us-south-1-55f79f575f-9jwzv,db3dd1,0,5
default,db3dd1-us-south-1-55f79f575f-9jwzv,istio-proxy,4,66
default,db3dd1-us-south-1-55f79f575f-g6k25,db3dd1,0,5
default,db3dd1-us-south-1-55f79f575f-g6k25,istio-proxy,7,67
default,db3dd1-us-west-1-6bfc46946f-dchb9,db3dd1,0,6
default,db3dd1-us-west-1-6bfc46946f-dchb9,istio-proxy,2,65
default,db3dd1-us-west-1-6bfc46946f-q2bgr,db3dd1,1,6
default,db3dd1-us-west-1-6bfc46946f-q2bgr,istio-proxy,21,65
default,db3dd1-us-west-1-6bfc46946f-rx4t9,db3dd1,0,6
default,db3dd1-us-west-1-6bfc46946f-rx4t9,istio-proxy,11,65
