Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,db10bb-us-central-1-7d6f598b-n2krv,db10bb,0,5
default,db10bb-us-central-1-7d6f598b-n2krv,istio-proxy,3,85
default,db10bb-us-central-1-7d6f598b-w7bzq,db10bb,0,5
default,db10bb-us-central-1-7d6f598b-w7bzq,istio-proxy,4,83
default,db10bb-us-central-1-7d6f598b-x5trg,db10bb,0,5
default,db10bb-us-central-1-7d6f598b-x5trg,istio-proxy,10,84
default,db10bb-us-east-1-59bc6b79d8-kr5c2,db10bb,0,5
default,db10bb-us-east-1-59bc6b79d8-kr5c2,istio-proxy,7,86
default,db10bb-us-east-1-59bc6b79d8-kwln5,db10bb,0,5
default,db10bb-us-east-1-59bc6b79d8-kwln5,istio-proxy,5,84
default,db10bb-us-east-1-59bc6b79d8-q9hbd,db10bb,0,5
default,db10bb-us-east-1-59bc6b79d8-q9hbd,istio-proxy,7,87
default,db10bb-us-south-1-5889fbc8c4-bp9pk,db10bb,0,5
default,db10bb-us-south-1-5889fbc8c4-bp9pk,istio-proxy,5,85
default,db10bb-us-south-1-5889fbc8c4-kfw6g,db10bb,0,4
default,db10bb-us-south-1-5889fbc8c4-kfw6g,istio-proxy,13,85
default,db10bb-us-south-1-5889fbc8c4-ls6qj,db10bb,0,5
default,db10bb-us-south-1-5889fbc8c4-ls6qj,istio-proxy,2,84
default,db10bb-us-west-1-cd5f7bfd-jwttd,db10bb,0,4
default,db10bb-us-west-1-cd5f7bfd-jwttd,istio-proxy,84,83
default,db10bb-us-west-1-cd5f7bfd-knwtv,db10bb,194,9
default,db10bb-us-west-1-cd5f7bfd-knwtv,istio-proxy,44,83
default,db10bb-us-west-1-cd5f7bfd-lj45d,db10bb,0,4
default,db10bb-us-west-1-cd5f7bfd-lj45d,istio-proxy,163,83
default,db2af0-us-central-1-6c9bc9fc4d-575sm,db2af0,0,6
default,db2af0-us-central-1-6c9bc9fc4d-575sm,istio-proxy,3,86
default,db2af0-us-central-1-6c9bc9fc4d-69mql,db2af0,0,4
default,db2af0-us-central-1-6c9bc9fc4d-69mql,istio-proxy,2,87
default,db2af0-us-central-1-6c9bc9fc4d-952jb,db2af0,0,4
default,db2af0-us-central-1-6c9bc9fc4d-952jb,istio-proxy,3,86
default,db2af0-us-east-1-98b594774-c8lcn,db2af0,0,4
default,db2af0-us-east-1-98b594774-c8lcn,istio-proxy,5,87
default,db2af0-us-east-1-98b594774-pblp6,db2af0,0,4
default,db2af0-us-east-1-98b594774-pblp6,istio-proxy,7,87
default,db2af0-us-east-1-98b594774-rrgfh,db2af0,0,4
default,db2af0-us-east-1-98b594774-rrgfh,istio-proxy,5,86
default,db2af0-us-south-1-845c67496d-g4zw6,db2af0,0,4
default,db2af0-us-south-1-845c67496d-g4zw6,istio-proxy,4,86
default,db2af0-us-south-1-845c67496d-jvd7c,db2af0,0,4
default,db2af0-us-south-1-845c67496d-jvd7c,istio-proxy,18,87
default,db2af0-us-south-1-845c67496d-sfmkl,db2af0,0,5
default,db2af0-us-south-1-845c67496d-sfmkl,istio-proxy,8,87
default,db2af0-us-west-1-5c87fd7c5b-2bsqx,db2af0,554,10
default,db2af0-us-west-1-5c87fd7c5b-2bsqx,istio-proxy,238,83
default,db2af0-us-west-1-5c87fd7c5b-rbtmg,db2af0,0,4
default,db2af0-us-west-1-5c87fd7c5b-rbtmg,istio-proxy,97,84
default,db2af0-us-west-1-5c87fd7c5b-z8chj,db2af0,220,9
default,db2af0-us-west-1-5c87fd7c5b-z8chj,istio-proxy,138,86
default,db3dd1-us-central-1-f6755f977-6g5bc,db3dd1,0,4
default,db3dd1-us-central-1-f6755f977-6g5bc,istio-proxy,7,84
default,db3dd1-us-central-1-f6755f977-6kphk,db3dd1,0,5
default,db3dd1-us-central-1-f6755f977-6kphk,istio-proxy,3,87
default,db3dd1-us-central-1-f6755f977-k7q4x,db3dd1,0,4
default,db3dd1-us-central-1-f6755f977-k7q4x,istio-proxy,3,86
default,db3dd1-us-east-1-849658f859-7bmmk,db3dd1,0,4
default,db3dd1-us-east-1-849658f859-7bmmk,istio-proxy,5,85
default,db3dd1-us-east-1-849658f859-q985k,db3dd1,0,5
default,db3dd1-us-east-1-849658f859-q985k,istio-proxy,5,88
default,db3dd1-us-east-1-849658f859-xhgkc,db3dd1,0,4
default,db3dd1-us-east-1-849658f859-xhgkc,istio-proxy,15,85
default,db3dd1-us-south-1-79bcc68d69-5vckp,db3dd1,0,4
default,db3dd1-us-south-1-79bcc68d69-5vckp,istio-proxy,6,84
default,db3dd1-us-south-1-79bcc68d69-rg9lg,db3dd1,0,4
default,db3dd1-us-south-1-79bcc68d69-rg9lg,istio-proxy,2,84
default,db3dd1-us-south-1-79bcc68d69-wf8kv,db3dd1,0,4
default,db3dd1-us-south-1-79bcc68d69-wf8kv,istio-proxy,4,85
default,db3dd1-us-west-1-7cff764bfc-fbx2c,db3dd1,77,9
default,db3dd1-us-west-1-7cff764bfc-fbx2c,istio-proxy,222,83
default,db3dd1-us-west-1-7cff764bfc-l98wx,db3dd1,53,9
default,db3dd1-us-west-1-7cff764bfc-l98wx,istio-proxy,88,85
default,db3dd1-us-west-1-7cff764bfc-q7hmr,db3dd1,26,8
default,db3dd1-us-west-1-7cff764bfc-q7hmr,istio-proxy,199,84
default,dbd1b5-us-central-1-6979c5644c-282pf,dbd1b5,0,4
default,dbd1b5-us-central-1-6979c5644c-282pf,istio-proxy,3,88
default,dbd1b5-us-central-1-6979c5644c-mpj9b,dbd1b5,0,4
default,dbd1b5-us-central-1-6979c5644c-mpj9b,istio-proxy,3,86
default,dbd1b5-us-central-1-6979c5644c-zpdc5,dbd1b5,0,4
default,dbd1b5-us-central-1-6979c5644c-zpdc5,istio-proxy,2,90
default,dbd1b5-us-east-1-7f955646b9-4m9z9,dbd1b5,0,4
default,dbd1b5-us-east-1-7f955646b9-4m9z9,istio-proxy,5,86
default,dbd1b5-us-east-1-7f955646b9-f4kdt,dbd1b5,0,4
default,dbd1b5-us-east-1-7f955646b9-f4kdt,istio-proxy,5,86
default,dbd1b5-us-east-1-7f955646b9-j8wdh,dbd1b5,0,4
default,dbd1b5-us-east-1-7f955646b9-j8wdh,istio-proxy,5,86
default,dbd1b5-us-south-1-7849d5c98c-7lqnv,dbd1b5,0,4
default,dbd1b5-us-south-1-7849d5c98c-7lqnv,istio-proxy,6,89
default,dbd1b5-us-south-1-7849d5c98c-k5spt,dbd1b5,0,4
default,dbd1b5-us-south-1-7849d5c98c-k5spt,istio-proxy,2,89
default,dbd1b5-us-south-1-7849d5c98c-sm4v7,dbd1b5,0,4
