Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,db10bb-us-central-1-5bb79b5475-25gss,db10bb,0,5
default,db10bb-us-central-1-5bb79b5475-25gss,istio-proxy,2,86
default,db10bb-us-central-1-5bb79b5475-g6wk4,db10bb,0,6
default,db10bb-us-central-1-5bb79b5475-g6wk4,istio-proxy,3,84
default,db10bb-us-central-1-5bb79b5475-hnnj8,db10bb,0,4
default,db10bb-us-central-1-5bb79b5475-hnnj8,istio-proxy,3,85
default,db10bb-us-east-1-756fdf559-5rmlp,db10bb,0,6
default,db10bb-us-east-1-756fdf559-5rmlp,istio-proxy,5,84
default,db10bb-us-east-1-756fdf559-962wg,db10bb,0,4
default,db10bb-us-east-1-756fdf559-962wg,istio-proxy,11,84
default,db10bb-us-east-1-756fdf559-wlrrs,db10bb,0,4
default,db10bb-us-east-1-756fdf559-wlrrs,istio-proxy,5,85
default,db10bb-us-south-1-6b796ff94c-pn9rh,db10bb,0,5
default,db10bb-us-south-1-6b796ff94c-pn9rh,istio-proxy,4,84
default,db10bb-us-south-1-6b796ff94c-rl8zw,db10bb,0,5
default,db10bb-us-south-1-6b796ff94c-rl8zw,istio-proxy,6,85
default,db10bb-us-south-1-6b796ff94c-sbl8k,db10bb,0,5
default,db10bb-us-south-1-6b796ff94c-sbl8k,istio-proxy,2,85
default,db10bb-us-west-1-857cb5c58-9bnx7,db10bb,201,9
default,db10bb-us-west-1-857cb5c58-9bnx7,istio-proxy,103,85
default,db10bb-us-west-1-857cb5c58-mh6v8,db10bb,68,9
default,db10bb-us-west-1-857cb5c58-mh6v8,istio-proxy,149,83
default,db10bb-us-west-1-857cb5c58-wndr9,db10bb,91,9
default,db10bb-us-west-1-857cb5c58-wndr9,istio-proxy,98,87
default,db2af0-us-central-1-5668c5c44f-29x4r,db2af0,0,4
default,db2af0-us-central-1-5668c5c44f-29x4r,istio-proxy,7,86
default,db2af0-us-central-1-5668c5c44f-h8v5b,db2af0,0,8
default,db2af0-us-central-1-5668c5c44f-h8v5b,istio-proxy,2,85
default,db2af0-us-central-1-5668c5c44f-r8s89,db2af0,0,4
default,db2af0-us-central-1-5668c5c44f-r8s89,istio-proxy,8,87
default,db2af0-us-east-1-cff6897fc-n924z,db2af0,0,5
default,db2af0-us-east-1-cff6897fc-n924z,istio-proxy,5,87
default,db2af0-us-east-1-cff6897fc-pmr8x,db2af0,0,5
default,db2af0-us-east-1-cff6897fc-pmr8x,istio-proxy,5,86
default,db2af0-us-east-1-cff6897fc-wcdlj,db2af0,0,4
default,db2af0-us-east-1-cff6897fc-wcdlj,istio-proxy,5,85
default,db2af0-us-south-1-6c868c9f8f-hsgwb,db2af0,0,4
default,db2af0-us-south-1-6c868c9f8f-hsgwb,istio-proxy,2,85
default,db2af0-us-south-1-6c868c9f8f-mkgvz,db2af0,0,6
default,db2af0-us-south-1-6c868c9f8f-mkgvz,istio-proxy,4,84
default,db2af0-us-south-1-6c868c9f8f-sfqs4,db2af0,0,5
default,db2af0-us-south-1-6c868c9f8f-sfqs4,istio-proxy,6,87
default,db2af0-us-west-1-85d459c448-4k8cq,db2af0,85,9
default,db2af0-us-west-1-85d459c448-4k8cq,istio-proxy,178,84
default,db2af0-us-west-1-85d459c448-76sq4,db2af0,22,8
default,db2af0-us-west-1-85d459c448-76sq4,istio-proxy,208,85
default,db2af0-us-west-1-85d459c448-9v4pb,db2af0,53,8
default,db2af0-us-west-1-85d459c448-9v4pb,istio-proxy,260,84
default,db3dd1-us-central-1-5bdf4576b8-6l6fc,db3dd1,0,4
default,db3dd1-us-central-1-5bdf4576b8-6l6fc,istio-proxy,3,85
default,db3dd1-us-central-1-5bdf4576b8-8d69z,db3dd1,0,5
default,db3dd1-us-central-1-5bdf4576b8-8d69z,istio-proxy,5,84
default,db3dd1-us-central-1-5bdf4576b8-plh2w,db3dd1,0,5
default,db3dd1-us-central-1-5bdf4576b8-plh2w,istio-proxy,3,89
default,db3dd1-us-east-1-575cd66776-2t7ls,db3dd1,0,5
default,db3dd1-us-east-1-575cd66776-2t7ls,istio-proxy,6,85
default,db3dd1-us-east-1-575cd66776-9h868,db3dd1,0,4
default,db3dd1-us-east-1-575cd66776-9h868,istio-proxy,5,87
default,db3dd1-us-east-1-575cd66776-b9mzs,db3dd1,0,4
default,db3dd1-us-east-1-575cd66776-b9mzs,istio-proxy,5,86
default,db3dd1-us-south-1-54fcbd7744-29549,db3dd1,0,4
default,db3dd1-us-south-1-54fcbd7744-29549,istio-proxy,7,84
default,db3dd1-us-south-1-54fcbd7744-2mxpx,db3dd1,0,4
default,db3dd1-us-south-1-54fcbd7744-2mxpx,istio-proxy,2,86
default,db3dd1-us-south-1-54fcbd7744-zvffk,db3dd1,0,5
default,db3dd1-us-south-1-54fcbd7744-zvffk,istio-proxy,4,88
