Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,db10bb-us-central-1-6855645cf-92r8d,db10bb,0,5
default,db10bb-us-central-1-6855645cf-92r8d,istio-proxy,8,89
default,db10bb-us-central-1-6855645cf-pjz9d,db10bb,0,4
default,db10bb-us-central-1-6855645cf-pjz9d,istio-proxy,29,90
default,db10bb-us-central-1-6855645cf-xzkzq,db10bb,0,4
default,db10bb-us-central-1-6855645cf-xzkzq,istio-proxy,17,90
default,db10bb-us-east-1-5577b478dc-6hbbv,db10bb,0,4
default,db10bb-us-east-1-5577b478dc-6hbbv,istio-proxy,23,91
default,db10bb-us-east-1-5577b478dc-cwts9,db10bb,0,4
default,db10bb-us-east-1-5577b478dc-cwts9,istio-proxy,9,89
default,db10bb-us-east-1-5577b478dc-dhhqd,db10bb,0,4
default,db10bb-us-east-1-5577b478dc-dhhqd,istio-proxy,33,89
default,db10bb-us-south-1-7d8f756b4c-hxxdn,db10bb,0,4
default,db10bb-us-south-1-7d8f756b4c-hxxdn,istio-proxy,41,90
default,db10bb-us-south-1-7d8f756b4c-p486d,db10bb,0,4
default,db10bb-us-south-1-7d8f756b4c-p486d,istio-proxy,15,93
default,db10bb-us-south-1-7d8f756b4c-xvjmz,db10bb,0,4
default,db10bb-us-south-1-7d8f756b4c-xvjmz,istio-proxy,28,88
default,db10bb-us-west-1-6b694fd8c8-9kjmb,db10bb,0,6
default,db10bb-us-west-1-6b694fd8c8-9kjmb,istio-proxy,9,86
default,db10bb-us-west-1-6b694fd8c8-hlg6h,db10bb,626,231
default,db10bb-us-west-1-6b694fd8c8-hlg6h,istio-proxy,18,88
default,db10bb-us-west-1-6b694fd8c8-kct68,db10bb,40,13
default,db10bb-us-west-1-6b694fd8c8-kct68,istio-proxy,104,99
default,db2af0-us-central-1-54b9cb9c64-bhl6s,db2af0,0,4
default,db2af0-us-central-1-54b9cb9c64-bhl6s,istio-proxy,32,88
default,db2af0-us-central-1-54b9cb9c64-fh9qp,db2af0,0,5
default,db2af0-us-central-1-54b9cb9c64-fh9qp,istio-proxy,8,88
default,db2af0-us-central-1-54b9cb9c64-jwqdb,db2af0,0,4
default,db2af0-us-central-1-54b9cb9c64-jwqdb,istio-proxy,21,91
default,db2af0-us-east-1-5dd599ff78-5j8v9,db2af0,0,4
default,db2af0-us-east-1-5dd599ff78-5j8v9,istio-proxy,14,91
default,db2af0-us-east-1-5dd599ff78-s25fr,db2af0,0,4
default,db2af0-us-east-1-5dd599ff78-s25fr,istio-proxy,11,91
default,db2af0-us-east-1-5dd599ff78-vckvh,db2af0,0,5
default,db2af0-us-east-1-5dd599ff78-vckvh,istio-proxy,32,90
default,db2af0-us-south-1-6d7c889cd4-4j6fp,db2af0,0,4
default,db2af0-us-south-1-6d7c889cd4-4j6fp,istio-proxy,16,89
default,db2af0-us-south-1-6d7c889cd4-gk27k,db2af0,0,5
default,db2af0-us-south-1-6d7c889cd4-gk27k,istio-proxy,11,89
default,db2af0-us-south-1-6d7c889cd4-mh9wx,db2af0,0,4
default,db2af0-us-south-1-6d7c889cd4-mh9wx,istio-proxy,29,88
default,db2af0-us-west-1-7ccb79c66d-c7crc,db2af0,664,157
default,db2af0-us-west-1-7ccb79c66d-c7crc,istio-proxy,116,95
default,db2af0-us-west-1-7ccb79c66d-c7zbw,db2af0,84,19
default,db2af0-us-west-1-7ccb79c66d-c7zbw,istio-proxy,24,86
default,db2af0-us-west-1-7ccb79c66d-hshkp,db2af0,0,4
default,db2af0-us-west-1-7ccb79c66d-hshkp,istio-proxy,39,92
default,db3dd1-us-central-1-684b5c887-f9jww,db3dd1,0,5
default,db3dd1-us-central-1-684b5c887-f9jww,istio-proxy,40,89
default,db3dd1-us-central-1-684b5c887-thjt7,db3dd1,0,4
default,db3dd1-us-central-1-684b5c887-thjt7,istio-proxy,30,88
default,db3dd1-us-central-1-684b5c887-vcm2w,db3dd1,0,4
default,db3dd1-us-central-1-684b5c887-vcm2w,istio-proxy,6,89
default,db3dd1-us-east-1-646b558f-6d5lf,db3dd1,0,5
default,db3dd1-us-east-1-646b558f-6d5lf,istio-proxy,8,93
default,db3dd1-us-east-1-646b558f-blqqw,db3dd1,0,4
default,db3dd1-us-east-1-646b558f-blqqw,istio-proxy,11,92
default,db3dd1-us-east-1-646b558f-klfkx,db3dd1,0,5
default,db3dd1-us-east-1-646b558f-klfkx,istio-proxy,18,89
default,db3dd1-us-south-1-b866f994c-s7k9q,db3dd1,0,4
default,db3dd1-us-south-1-b866f994c-s7k9q,istio-proxy,16,88
default,db3dd1-us-south-1-b866f994c-wh7ll,db3dd1,0,6
default,db3dd1-us-south-1-b866f994c-wh7ll,istio-proxy,21,88
default,db3dd1-us-south-1-b866f994c-x8jvs,db3dd1,0,4
default,db3dd1-us-south-1-b866f994c-x8jvs,istio-proxy,10,89
default,db3dd1-us-west-1-59b586899-28c56,db3dd1,245,66
default,db3dd1-us-west-1-59b586899-28c56,istio-proxy,10,87
default,db3dd1-us-west-1-59b586899-556q6,db3dd1,529,128
default,db3dd1-us-west-1-59b586899-556q6,istio-proxy,12,88
default,db3dd1-us-west-1-59b586899-7pjms,db3dd1,722,134
default,db3dd1-us-west-1-59b586899-7pjms,istio-proxy,13,88
default,dbd1b5-us-central-1-5b7499bf65-9zn7h,dbd1b5,0,5
default,dbd1b5-us-central-1-5b7499bf65-9zn7h,istio-proxy,36,89
default,dbd1b5-us-central-1-5b7499bf65-bsghk,dbd1b5,0,6
default,dbd1b5-us-central-1-5b7499bf65-bsghk,istio-proxy,25,93
default,dbd1b5-us-central-1-5b7499bf65-fqndc,dbd1b5,0,6
default,dbd1b5-us-central-1-5b7499bf65-fqndc,istio-proxy,18,90
default,dbd1b5-us-east-1-8f54584c9-2nc6q,dbd1b5,0,4
default,dbd1b5-us-east-1-8f54584c9-2nc6q,istio-proxy,18,90
default,dbd1b5-us-east-1-8f54584c9-dlgvq,dbd1b5,0,4
default,dbd1b5-us-east-1-8f54584c9-dlgvq,istio-proxy,14,89
default,dbd1b5-us-east-1-8f54584c9-gb7j6,dbd1b5,0,4
default,dbd1b5-us-east-1-8f54584c9-gb7j6,istio-proxy,16,91
default,dbd1b5-us-south-1-766496bf4b-c4xnc,dbd1b5,0,4
default,dbd1b5-us-south-1-766496bf4b-c4xnc,istio-proxy,25,90
default,dbd1b5-us-south-1-766496bf4b-c5ccb,dbd1b5,0,4
default,dbd1b5-us-south-1-766496bf4b-c5ccb,istio-proxy,11,88
default,dbd1b5-us-south-1-766496bf4b-mks58,dbd1b5,0,5
default,dbd1b5-us-south-1-766496bf4b-mks58,istio-proxy,35,91
default,dbd1b5-us-west-1-57dc6977bf-cn4bh,dbd1b5,0,6
default,dbd1b5-us-west-1-57dc6977bf-cn4bh,istio-proxy,9,88
default,dbd1b5-us-west-1-57dc6977bf-x6z52,dbd1b5,0,8
default,dbd1b5-us-west-1-57dc6977bf-x6z52,istio-proxy,7,90
default,dbd1b5-us-west-1-57dc6977bf-xstf5,dbd1b5,709,148
default,dbd1b5-us-west-1-57dc6977bf-xstf5,istio-proxy,11,85
default,mc01d6-us-central-1-766cdf8d99-rxddr,mc01d6,0,5
default,mc01d6-us-central-1-766cdf8d99-rxddr,istio-proxy,18,92
default,mc01d6-us-central-1-766cdf8d99-t8rjv,mc01d6,0,4
default,mc01d6-us-central-1-766cdf8d99-t8rjv,istio-proxy,20,89
default,mc01d6-us-central-1-766cdf8d99-tpgwn,mc01d6,0,4
default,mc01d6-us-central-1-766cdf8d99-tpgwn,istio-proxy,8,90
default,mc01d6-us-east-1-85c7b5ff47-bjrj4,mc01d6,0,4
default,mc01d6-us-east-1-85c7b5ff47-bjrj4,istio-proxy,15,89
default,mc01d6-us-east-1-85c7b5ff47-mwrfx,mc01d6,0,6
default,mc01d6-us-east-1-85c7b5ff47-mwrfx,istio-proxy,9,90
default,mc01d6-us-east-1-85c7b5ff47-wpbck,mc01d6,0,4
default,mc01d6-us-east-1-85c7b5ff47-wpbck,istio-proxy,23,89
default,mc01d6-us-south-1-68ff56cc87-hjcn9,mc01d6,0,5
default,mc01d6-us-south-1-68ff56cc87-hjcn9,istio-proxy,14,90
default,mc01d6-us-south-1-68ff56cc87-m7m8w,mc01d6,0,5
default,mc01d6-us-south-1-68ff56cc87-m7m8w,istio-proxy,31,93
default,mc01d6-us-south-1-68ff56cc87-q5ks5,mc01d6,0,5
default,mc01d6-us-south-1-68ff56cc87-q5ks5,istio-proxy,28,92
default,mc01d6-us-west-1-6675996d8-4fvv5,mc01d6,116,10
default,mc01d6-us-west-1-6675996d8-4fvv5,istio-proxy,8,87
default,mc01d6-us-west-1-6675996d8-mtlc8,mc01d6,0,4
default,mc01d6-us-west-1-6675996d8-mtlc8,istio-proxy,25,90
default,mc01d6-us-west-1-6675996d8-snnf6,mc01d6,98,10
default,mc01d6-us-west-1-6675996d8-snnf6,istio-proxy,11,89
default,mc12c6-us-central-1-664fbd8b96-flkfw,mc12c6,0,5
default,mc12c6-us-central-1-664fbd8b96-flkfw,istio-proxy,32,89
default,mc12c6-us-central-1-664fbd8b96-wbzwv,mc12c6,0,4
default,mc12c6-us-central-1-664fbd8b96-wbzwv,istio-proxy,9,88
default,mc12c6-us-central-1-664fbd8b96-xt9m5,mc12c6,0,6
default,mc12c6-us-central-1-664fbd8b96-xt9m5,istio-proxy,7,90
default,mc12c6-us-east-1-78bc4bf5cb-hqq4c,mc12c6,0,4
default,mc12c6-us-east-1-78bc4bf5cb-hqq4c,istio-proxy,46,89
default,mc12c6-us-east-1-78bc4bf5cb-jqb56,mc12c6,0,4
default,mc12c6-us-east-1-78bc4bf5cb-jqb56,istio-proxy,40,88
default,mc12c6-us-east-1-78bc4bf5cb-pqr9b,mc12c6,0,6
default,mc12c6-us-east-1-78bc4bf5cb-pqr9b,istio-proxy,32,89
default,mc12c6-us-south-1-69df8d6548-454vs,mc12c6,0,4
default,mc12c6-us-south-1-69df8d6548-454vs,istio-proxy,34,90
default,mc12c6-us-south-1-69df8d6548-dhthd,mc12c6,0,4
default,mc12c6-us-south-1-69df8d6548-dhthd,istio-proxy,40,90
