Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,db10bb-us-central-1-6855645cf-92r8d,db10bb,0,5
default,db10bb-us-central-1-6855645cf-92r8d,istio-proxy,18,88
default,db10bb-us-central-1-6855645cf-pjz9d,db10bb,0,4
default,db10bb-us-central-1-6855645cf-pjz9d,istio-proxy,31,89
default,db10bb-us-central-1-6855645cf-xzkzq,db10bb,0,4
default,db10bb-us-central-1-6855645cf-xzkzq,istio-proxy,24,89
default,db10bb-us-east-1-5577b478dc-6hbbv,db10bb,0,4
default,db10bb-us-east-1-5577b478dc-6hbbv,istio-proxy,12,90
default,db10bb-us-east-1-5577b478dc-cwts9,db10bb,0,4
default,db10bb-us-east-1-5577b478dc-cwts9,istio-proxy,26,88
default,db10bb-us-east-1-5577b478dc-dhhqd,db10bb,0,4
default,db10bb-us-east-1-5577b478dc-dhhqd,istio-proxy,14,87
default,db10bb-us-south-1-7d8f756b4c-hxxdn,db10bb,0,4
default,db10bb-us-south-1-7d8f756b4c-hxxdn,istio-proxy,17,88
default,db10bb-us-south-1-7d8f756b4c-p486d,db10bb,0,4
default,db10bb-us-south-1-7d8f756b4c-p486d,istio-proxy,29,91
default,db10bb-us-south-1-7d8f756b4c-xvjmz,db10bb,0,4
default,db10bb-us-south-1-7d8f756b4c-xvjmz,istio-proxy,30,87
default,db10bb-us-west-1-7c7b78999b-dt5ks,db10bb,135,9
default,db10bb-us-west-1-7c7b78999b-dt5ks,istio-proxy,103,88
default,db10bb-us-west-1-7c7b78999b-p74xv,db10bb,170,9
default,db10bb-us-west-1-7c7b78999b-p74xv,istio-proxy,47,87
default,db10bb-us-west-1-7c7b78999b-wk8fh,db10bb,0,5
default,db10bb-us-west-1-7c7b78999b-wk8fh,istio-proxy,106,88
default,db2af0-us-central-1-54b9cb9c64-bhl6s,db2af0,0,4
default,db2af0-us-central-1-54b9cb9c64-bhl6s,istio-proxy,33,88
default,db2af0-us-central-1-54b9cb9c64-fh9qp,db2af0,0,5
default,db2af0-us-central-1-54b9cb9c64-fh9qp,istio-proxy,11,87
default,db2af0-us-central-1-54b9cb9c64-jwqdb,db2af0,0,4
default,db2af0-us-central-1-54b9cb9c64-jwqdb,istio-proxy,12,91
default,db2af0-us-east-1-5dd599ff78-5j8v9,db2af0,0,4
default,db2af0-us-east-1-5dd599ff78-5j8v9,istio-proxy,23,90
default,db2af0-us-east-1-5dd599ff78-s25fr,db2af0,0,4
default,db2af0-us-east-1-5dd599ff78-s25fr,istio-proxy,24,90
default,db2af0-us-east-1-5dd599ff78-vckvh,db2af0,0,5
default,db2af0-us-east-1-5dd599ff78-vckvh,istio-proxy,18,89
default,db2af0-us-south-1-6d7c889cd4-4j6fp,db2af0,0,4
default,db2af0-us-south-1-6d7c889cd4-4j6fp,istio-proxy,17,88
default,db2af0-us-south-1-6d7c889cd4-gk27k,db2af0,0,5
default,db2af0-us-south-1-6d7c889cd4-gk27k,istio-proxy,24,89
default,db2af0-us-south-1-6d7c889cd4-mh9wx,db2af0,0,4
default,db2af0-us-south-1-6d7c889cd4-mh9wx,istio-proxy,39,89
default,db2af0-us-west-1-599bcd6dfd-bzdkm,db2af0,251,10
default,db2af0-us-west-1-599bcd6dfd-bzdkm,istio-proxy,89,90
default,db2af0-us-west-1-599bcd6dfd-q9fl4,db2af0,137,9
default,db2af0-us-west-1-599bcd6dfd-q9fl4,istio-proxy,3,86
default,db2af0-us-west-1-599bcd6dfd-vqjll,db2af0,0,6
default,db2af0-us-west-1-599bcd6dfd-vqjll,istio-proxy,97,89
default,db3dd1-us-central-1-684b5c887-f9jww,db3dd1,0,5
default,db3dd1-us-central-1-684b5c887-f9jww,istio-proxy,13,88
default,db3dd1-us-central-1-684b5c887-thjt7,db3dd1,0,4
default,db3dd1-us-central-1-684b5c887-thjt7,istio-proxy,8,88
default,db3dd1-us-central-1-684b5c887-vcm2w,db3dd1,0,4
default,db3dd1-us-central-1-684b5c887-vcm2w,istio-proxy,31,90
default,db3dd1-us-east-1-646b558f-6d5lf,db3dd1,0,5
default,db3dd1-us-east-1-646b558f-6d5lf,istio-proxy,41,93
default,db3dd1-us-east-1-646b558f-blqqw,db3dd1,0,4
default,db3dd1-us-east-1-646b558f-blqqw,istio-proxy,14,90
default,db3dd1-us-east-1-646b558f-klfkx,db3dd1,0,5
default,db3dd1-us-east-1-646b558f-klfkx,istio-proxy,25,88
default,db3dd1-us-south-1-b866f994c-s7k9q,db3dd1,0,4
default,db3dd1-us-south-1-b866f994c-s7k9q,istio-proxy,23,87
default,db3dd1-us-south-1-b866f994c-wh7ll,db3dd1,0,5
default,db3dd1-us-south-1-b866f994c-wh7ll,istio-proxy,14,87
default,db3dd1-us-south-1-b866f994c-x8jvs,db3dd1,0,4
default,db3dd1-us-south-1-b866f994c-x8jvs,istio-proxy,13,88
default,db3dd1-us-west-1-66dfbd586f-dhf9k,db3dd1,0,6
default,db3dd1-us-west-1-66dfbd586f-dhf9k,istio-proxy,16,86
default,db3dd1-us-west-1-66dfbd586f-z7cds,db3dd1,162,10
default,db3dd1-us-west-1-66dfbd586f-z7cds,istio-proxy,80,91
default,db3dd1-us-west-1-66dfbd586f-zt54t,db3dd1,0,5
default,db3dd1-us-west-1-66dfbd586f-zt54t,istio-proxy,82,89
default,dbd1b5-us-central-1-5b7499bf65-9zn7h,dbd1b5,0,5
default,dbd1b5-us-central-1-5b7499bf65-9zn7h,istio-proxy,25,89
default,dbd1b5-us-central-1-5b7499bf65-bsghk,dbd1b5,0,5
default,dbd1b5-us-central-1-5b7499bf65-bsghk,istio-proxy,23,91
default,dbd1b5-us-central-1-5b7499bf65-fqndc,dbd1b5,0,5
default,dbd1b5-us-central-1-5b7499bf65-fqndc,istio-proxy,24,89
default,dbd1b5-us-east-1-8f54584c9-2nc6q,dbd1b5,0,4
default,dbd1b5-us-east-1-8f54584c9-2nc6q,istio-proxy,35,89
default,dbd1b5-us-east-1-8f54584c9-dlgvq,dbd1b5,0,4
default,dbd1b5-us-east-1-8f54584c9-dlgvq,istio-proxy,23,88
default,dbd1b5-us-east-1-8f54584c9-gb7j6,dbd1b5,0,4
default,dbd1b5-us-east-1-8f54584c9-gb7j6,istio-proxy,33,90
default,dbd1b5-us-south-1-766496bf4b-c4xnc,dbd1b5,0,4
default,dbd1b5-us-south-1-766496bf4b-c4xnc,istio-proxy,24,89
default,dbd1b5-us-south-1-766496bf4b-c5ccb,dbd1b5,0,4
default,dbd1b5-us-south-1-766496bf4b-c5ccb,istio-proxy,9,88
default,dbd1b5-us-south-1-766496bf4b-mks58,dbd1b5,0,5
default,dbd1b5-us-south-1-766496bf4b-mks58,istio-proxy,15,90
default,dbd1b5-us-west-1-77cdc59cc5-8khmr,dbd1b5,0,5
default,dbd1b5-us-west-1-77cdc59cc5-8khmr,istio-proxy,32,90
default,dbd1b5-us-west-1-77cdc59cc5-9jdn6,dbd1b5,269,10
default,dbd1b5-us-west-1-77cdc59cc5-9jdn6,istio-proxy,137,85
default,dbd1b5-us-west-1-77cdc59cc5-hfjvp,dbd1b5,93,8
default,dbd1b5-us-west-1-77cdc59cc5-hfjvp,istio-proxy,139,91
default,mc01d6-us-central-1-766cdf8d99-rxddr,mc01d6,0,5
default,mc01d6-us-central-1-766cdf8d99-rxddr,istio-proxy,23,91
default,mc01d6-us-central-1-766cdf8d99-t8rjv,mc01d6,0,4
default,mc01d6-us-central-1-766cdf8d99-t8rjv,istio-proxy,20,88
default,mc01d6-us-central-1-766cdf8d99-tpgwn,mc01d6,0,4
default,mc01d6-us-central-1-766cdf8d99-tpgwn,istio-proxy,14,89
default,mc01d6-us-east-1-85c7b5ff47-bjrj4,mc01d6,0,4
default,mc01d6-us-east-1-85c7b5ff47-bjrj4,istio-proxy,20,88
default,mc01d6-us-east-1-85c7b5ff47-mwrfx,mc01d6,0,6
default,mc01d6-us-east-1-85c7b5ff47-mwrfx,istio-proxy,24,89
default,mc01d6-us-east-1-85c7b5ff47-wpbck,mc01d6,0,4
default,mc01d6-us-east-1-85c7b5ff47-wpbck,istio-proxy,27,87
default,mc01d6-us-south-1-68ff56cc87-hjcn9,mc01d6,0,5
default,mc01d6-us-south-1-68ff56cc87-hjcn9,istio-proxy,24,89
default,mc01d6-us-south-1-68ff56cc87-m7m8w,mc01d6,0,5
default,mc01d6-us-south-1-68ff56cc87-m7m8w,istio-proxy,33,92
default,mc01d6-us-south-1-68ff56cc87-q5ks5,mc01d6,0,5
default,mc01d6-us-south-1-68ff56cc87-q5ks5,istio-proxy,18,91
default,mc01d6-us-west-1-7c694d5c8b-58vnh,mc01d6,61,8
default,mc01d6-us-west-1-7c694d5c8b-58vnh,istio-proxy,16,86
default,mc01d6-us-west-1-7c694d5c8b-pqmvt,mc01d6,0,5
default,mc01d6-us-west-1-7c694d5c8b-pqmvt,istio-proxy,49,87
default,mc01d6-us-west-1-7c694d5c8b-xfwq6,mc01d6,0,5
default,mc01d6-us-west-1-7c694d5c8b-xfwq6,istio-proxy,107,90
default,mc12c6-us-central-1-664fbd8b96-flkfw,mc12c6,0,5
default,mc12c6-us-central-1-664fbd8b96-flkfw,istio-proxy,23,88
default,mc12c6-us-central-1-664fbd8b96-wbzwv,mc12c6,0,4
default,mc12c6-us-central-1-664fbd8b96-wbzwv,istio-proxy,13,87
default,mc12c6-us-central-1-664fbd8b96-xt9m5,mc12c6,0,5
default,mc12c6-us-central-1-664fbd8b96-xt9m5,istio-proxy,36,89
default,mc12c6-us-east-1-78bc4bf5cb-hqq4c,mc12c6,0,4
default,mc12c6-us-east-1-78bc4bf5cb-hqq4c,istio-proxy,41,88
default,mc12c6-us-east-1-78bc4bf5cb-jqb56,mc12c6,0,4
default,mc12c6-us-east-1-78bc4bf5cb-jqb56,istio-proxy,18,88
default,mc12c6-us-east-1-78bc4bf5cb-pqr9b,mc12c6,0,5
default,mc12c6-us-east-1-78bc4bf5cb-pqr9b,istio-proxy,15,88
default,mc12c6-us-south-1-69df8d6548-454vs,mc12c6,0,4
default,mc12c6-us-south-1-69df8d6548-454vs,istio-proxy,28,88
default,mc12c6-us-south-1-69df8d6548-dhthd,mc12c6,0,4
default,mc12c6-us-south-1-69df8d6548-dhthd,istio-proxy,36,89
default,mc12c6-us-south-1-69df8d6548-fv6tj,mc12c6,0,5
default,mc12c6-us-south-1-69df8d6548-fv6tj,istio-proxy,36,87
default,mc12c6-us-west-1-5f75bcc58f-6f6kb,mc12c6,78,9
default,mc12c6-us-west-1-5f75bcc58f-6f6kb,istio-proxy,6,86
default,mc12c6-us-west-1-5f75bcc58f-8sqtr,mc12c6,0,5
default,mc12c6-us-west-1-5f75bcc58f-8sqtr,istio-proxy,108,89
default,mc12c6-us-west-1-5f75bcc58f-lstpr,mc12c6,0,4
default,mc12c6-us-west-1-5f75bcc58f-lstpr,istio-proxy,123,90
default,mc46a6-us-central-1-f6f6cb7cd-pqxsn,mc46a6,0,4
default,mc46a6-us-central-1-f6f6cb7cd-pqxsn,istio-proxy,11,90
default,mc46a6-us-central-1-f6f6cb7cd-q5gfm,mc46a6,0,6
default,mc46a6-us-central-1-f6f6cb7cd-q5gfm,istio-proxy,21,91
default,mc46a6-us-central-1-f6f6cb7cd-wt4dn,mc46a6,0,4
