counter,region,service,endpoint,rps
1,us-west-1,db2af0,db2af0@POST@/light,556
1,us-west-1,s222f,s222f@POST@/light,474
1,us-west-1,mc676c,mc676c@POST@/light,462
1,us-west-1,mc9653,mc9653@POST@/light,699
1,us-west-1,mc59ee,mc59ee@POST@/light,724
1,us-west-1,sslateingress,sslateingress@POST@/light,530
1,us-west-1,mcc324,mcc324@POST@/light,715
1,us-west-1,mc12c6,mc12c6@POST@/light,673
1,us-west-1,mc01d6,mc01d6@POST@/light,701
1,us-west-1,saaee,saaee@POST@/light,732
1,us-west-1,s4dd6,s4dd6@POST@/light,708
1,us-west-1,mc46a6,mc46a6@POST@/light,719
1,us-west-1,mcd096,mcd096@POST@/light,706
1,us-west-1,sd03b,sd03b@POST@/light,481
1,us-west-1,mc660d,mc660d@POST@/light,716
1,us-west-1,s6f83,s6f83@POST@/light,709
1,us-west-1,db10bb,db10bb@POST@/light,328
1,us-west-1,dbd1b5,dbd1b5@POST@/light,709
1,us-west-1,db3dd1,db3dd1@POST@/light,725
2,us-west-1,db2af0,db2af0@POST@/light,685
2,us-west-1,s222f,s222f@POST@/light,675
2,us-west-1,mc676c,mc676c@POST@/light,684
2,us-west-1,mc9653,mc9653@POST@/light,687
2,us-west-1,mc59ee,mc59ee@POST@/light,695
2,us-west-1,sslateingress,sslateingress@POST@/light,729
2,us-west-1,mcc324,mcc324@POST@/light,715
2,us-west-1,mc12c6,mc12c6@POST@/light,681
2,us-west-1,mc01d6,mc01d6@POST@/light,701
2,us-west-1,saaee,saaee@POST@/light,716
2,us-west-1,s4dd6,s4dd6@POST@/light,686
2,us-west-1,mc46a6,mc46a6@POST@/light,746
2,us-west-1,mcd096,mcd096@POST@/light,670
2,us-west-1,sd03b,sd03b@POST@/light,680
2,us-west-1,mc660d,mc660d@POST@/light,703
2,us-west-1,s6f83,s6f83@POST@/light,691
2,us-west-1,db10bb,db10bb@POST@/light,732
2,us-west-1,dbd1b5,dbd1b5@POST@/light,709
2,us-west-1,db3dd1,db3dd1@POST@/light,664
3,us-west-1,db2af0,db2af0@POST@/light,711
3,us-west-1,s222f,s222f@POST@/light,712
3,us-west-1,mc676c,mc676c@POST@/light,727
3,us-west-1,mc9653,mc9653@POST@/light,706
3,us-west-1,mc59ee,mc59ee@POST@/light,722
3,us-west-1,sslateingress,sslateingress@POST@/light,730
3,us-west-1,mcc324,mcc324@POST@/light,731
3,us-west-1,mc12c6,mc12c6@POST@/light,703
3,us-west-1,mc01d6,mc01d6@POST@/light,723
3,us-west-1,saaee,saaee@POST@/light,699
3,us-west-1,s4dd6,s4dd6@POST@/light,715
3,us-west-1,mc46a6,mc46a6@POST@/light,720
3,us-west-1,mcd096,mcd096@POST@/light,684
3,us-west-1,sd03b,sd03b@POST@/light,693
3,us-west-1,mc660d,mc660d@POST@/light,714
3,us-west-1,s6f83,s6f83@POST@/light,701
3,us-west-1,db10bb,db10bb@POST@/light,704
3,us-west-1,dbd1b5,dbd1b5@POST@/light,705
3,us-west-1,db3dd1,db3dd1@POST@/light,683
4,us-west-1,db2af0,db2af0@POST@/light,700
4,us-west-1,s222f,s222f@POST@/light,668
4,us-west-1,mc676c,mc676c@POST@/light,681
4,us-west-1,mc9653,mc9653@POST@/light,677
4,us-west-1,mc59ee,mc59ee@POST@/light,667
4,us-west-1,sslateingress,sslateingress@POST@/light,675
4,us-west-1,mcc324,mcc324@POST@/light,668
4,us-west-1,mc12c6,mc12c6@POST@/light,690
4,us-west-1,mc01d6,mc01d6@POST@/light,677
4,us-west-1,saaee,saaee@POST@/light,680
4,us-west-1,s4dd6,s4dd6@POST@/light,697
4,us-west-1,mc46a6,mc46a6@POST@/light,692
4,us-west-1,mcd096,mcd096@POST@/light,705
4,us-west-1,sd03b,sd03b@POST@/light,690
4,us-west-1,mc660d,mc660d@POST@/light,661
4,us-west-1,s6f83,s6f83@POST@/light,684
4,us-west-1,db10bb,db10bb@POST@/light,670
4,us-west-1,dbd1b5,dbd1b5@POST@/light,663
4,us-west-1,db3dd1,db3dd1@POST@/light,681
5,us-west-1,db2af0,db2af0@POST@/light,682
5,us-west-1,s222f,s222f@POST@/light,719
5,us-west-1,mc676c,mc676c@POST@/light,680
5,us-west-1,mc9653,mc9653@POST@/light,707
5,us-west-1,mc59ee,mc59ee@POST@/light,714
5,us-west-1,sslateingress,sslateingress@POST@/light,702
5,us-west-1,mcc324,mcc324@POST@/light,703
5,us-west-1,mc12c6,mc12c6@POST@/light,695
5,us-west-1,mc01d6,mc01d6@POST@/light,708
5,us-west-1,saaee,saaee@POST@/light,690
5,us-west-1,s4dd6,s4dd6@POST@/light,685
5,us-west-1,mc46a6,mc46a6@POST@/light,700
5,us-west-1,mcd096,mcd096@POST@/light,702
5,us-west-1,sd03b,sd03b@POST@/light,701
5,us-west-1,mc660d,mc660d@POST@/light,708
5,us-west-1,s6f83,s6f83@POST@/light,697
5,us-west-1,db10bb,db10bb@POST@/light,702
5,us-west-1,dbd1b5,dbd1b5@POST@/light,711
5,us-west-1,db3dd1,db3dd1@POST@/light,693
6,us-west-1,db2af0,db2af0@POST@/light,708
6,us-west-1,s222f,s222f@POST@/light,722
6,us-west-1,mc676c,mc676c@POST@/light,704
6,us-west-1,mc9653,mc9653@POST@/light,713
6,us-west-1,mc59ee,mc59ee@POST@/light,745
6,us-west-1,sslateingress,sslateingress@POST@/light,728
6,us-west-1,mcc324,mcc324@POST@/light,726
6,us-west-1,mc12c6,mc12c6@POST@/light,726
6,us-west-1,mc01d6,mc01d6@POST@/light,691
6,us-west-1,saaee,saaee@POST@/light,736
6,us-west-1,s4dd6,s4dd6@POST@/light,715
6,us-west-1,mc46a6,mc46a6@POST@/light,680
6,us-west-1,mcd096,mcd096@POST@/light,714
6,us-west-1,sd03b,sd03b@POST@/light,723
6,us-west-1,mc660d,mc660d@POST@/light,751
6,us-west-1,s6f83,s6f83@POST@/light,729
6,us-west-1,db10bb,db10bb@POST@/light,747
6,us-west-1,dbd1b5,dbd1b5@POST@/light,745
6,us-west-1,db3dd1,db3dd1@POST@/light,726
7,us-west-1,db2af0,db2af0@POST@/light,695
7,us-west-1,s222f,s222f@POST@/light,694
7,us-west-1,mc676c,mc676c@POST@/light,749
7,us-west-1,mc9653,mc9653@POST@/light,715
7,us-west-1,mc59ee,mc59ee@POST@/light,745
7,us-west-1,sslateingress,sslateingress@POST@/light,698
7,us-west-1,mcc324,mcc324@POST@/light,732
7,us-west-1,mc12c6,mc12c6@POST@/light,715
7,us-west-1,mc01d6,mc01d6@POST@/light,745
7,us-west-1,saaee,saaee@POST@/light,685
7,us-west-1,s4dd6,s4dd6@POST@/light,731
7,us-west-1,mc46a6,mc46a6@POST@/light,737
7,us-west-1,mcd096,mcd096@POST@/light,699
7,us-west-1,sd03b,sd03b@POST@/light,689
7,us-west-1,mc660d,mc660d@POST@/light,682
7,us-west-1,s6f83,s6f83@POST@/light,725
7,us-west-1,db10bb,db10bb@POST@/light,721
7,us-west-1,dbd1b5,dbd1b5@POST@/light,690
7,us-west-1,db3dd1,db3dd1@POST@/light,666
8,us-west-1,db2af0,db2af0@POST@/light,654
8,us-west-1,s222f,s222f@POST@/light,653
8,us-west-1,mc676c,mc676c@POST@/light,639
8,us-west-1,mc9653,mc9653@POST@/light,635
8,us-west-1,mc59ee,mc59ee@POST@/light,643
8,us-west-1,sslateingress,sslateingress@POST@/light,659
8,us-west-1,mcc324,mcc324@POST@/light,647
8,us-west-1,mc12c6,mc12c6@POST@/light,653
8,us-west-1,mc01d6,mc01d6@POST@/light,638
8,us-west-1,saaee,saaee@POST@/light,674
8,us-west-1,s4dd6,s4dd6@POST@/light,633
8,us-west-1,mc46a6,mc46a6@POST@/light,645
8,us-west-1,mcd096,mcd096@POST@/light,664
8,us-west-1,sd03b,sd03b@POST@/light,649
8,us-west-1,mc660d,mc660d@POST@/light,656
8,us-west-1,s6f83,s6f83@POST@/light,642
8,us-west-1,db10bb,db10bb@POST@/light,681
8,us-west-1,dbd1b5,dbd1b5@POST@/light,669
8,us-west-1,db3dd1,db3dd1@POST@/light,670
9,us-west-1,db2af0,db2af0@POST@/light,714
9,us-west-1,s222f,s222f@POST@/light,702
9,us-west-1,mc676c,mc676c@POST@/light,672
9,us-west-1,mc9653,mc9653@POST@/light,669
9,us-west-1,mc59ee,mc59ee@POST@/light,729
9,us-west-1,sslateingress,sslateingress@POST@/light,675
9,us-west-1,mcc324,mcc324@POST@/light,671
9,us-west-1,mc12c6,mc12c6@POST@/light,689
9,us-west-1,mc01d6,mc01d6@POST@/light,684
9,us-west-1,saaee,saaee@POST@/light,687
9,us-west-1,s4dd6,s4dd6@POST@/light,684
9,us-west-1,mc46a6,mc46a6@POST@/light,707
9,us-west-1,mcd096,mcd096@POST@/light,717
9,us-west-1,sd03b,sd03b@POST@/light,716
9,us-west-1,mc660d,mc660d@POST@/light,679
9,us-west-1,s6f83,s6f83@POST@/light,701
9,us-west-1,db10bb,db10bb@POST@/light,678
9,us-west-1,dbd1b5,dbd1b5@POST@/light,658
9,us-west-1,db3dd1,db3dd1@POST@/light,714
10,us-west-1,db2af0,db2af0@POST@/light,718
10,us-west-1,s222f,s222f@POST@/light,715
10,us-west-1,mc676c,mc676c@POST@/light,735
10,us-west-1,mc9653,mc9653@POST@/light,726
10,us-west-1,mc59ee,mc59ee@POST@/light,740
10,us-west-1,sslateingress,sslateingress@POST@/light,712
10,us-west-1,mcc324,mcc324@POST@/light,686
10,us-west-1,mc12c6,mc12c6@POST@/light,731
10,us-west-1,mc01d6,mc01d6@POST@/light,723
10,us-west-1,saaee,saaee@POST@/light,725
10,us-west-1,s4dd6,s4dd6@POST@/light,745
10,us-west-1,mc46a6,mc46a6@POST@/light,728
10,us-west-1,mcd096,mcd096@POST@/light,722
10,us-west-1,sd03b,sd03b@POST@/light,716
10,us-west-1,mc660d,mc660d@POST@/light,726
10,us-west-1,s6f83,s6f83@POST@/light,726
10,us-west-1,db10bb,db10bb@POST@/light,713
