Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,db10bb-us-central-1-94c947d4d-hjlgp,db10bb,0,5
default,db10bb-us-central-1-94c947d4d-hjlgp,istio-proxy,5,106
default,db10bb-us-central-1-94c947d4d-hplwr,db10bb,0,5
default,db10bb-us-central-1-94c947d4d-hplwr,istio-proxy,4,103
default,db10bb-us-central-1-94c947d4d-vnclc,db10bb,0,5
default,db10bb-us-central-1-94c947d4d-vnclc,istio-proxy,6,103
default,db10bb-us-east-1-79ff5469cd-d4mzq,db10bb,0,5
default,db10bb-us-east-1-79ff5469cd-d4mzq,istio-proxy,8,102
default,db10bb-us-east-1-79ff5469cd-qr2qh,db10bb,0,5
default,db10bb-us-east-1-79ff5469cd-qr2qh,istio-proxy,8,102
default,db10bb-us-east-1-79ff5469cd-v8hsz,db10bb,0,5
default,db10bb-us-east-1-79ff5469cd-v8hsz,istio-proxy,8,102
default,db10bb-us-south-1-55648fb7f6-f4h46,db10bb,0,5
default,db10bb-us-south-1-55648fb7f6-f4h46,istio-proxy,4,102
default,db10bb-us-south-1-55648fb7f6-j9lmz,db10bb,0,5
default,db10bb-us-south-1-55648fb7f6-j9lmz,istio-proxy,9,102
default,db10bb-us-south-1-55648fb7f6-mmdln,db10bb,0,5
default,db10bb-us-south-1-55648fb7f6-mmdln,istio-proxy,5,104
default,db10bb-us-west-1-5f79bb4b94-2tbdd,db10bb,55,9
default,db10bb-us-west-1-5f79bb4b94-2tbdd,istio-proxy,85,102
default,db10bb-us-west-1-5f79bb4b94-4w6kr,db10bb,0,5
default,db10bb-us-west-1-5f79bb4b94-4w6kr,istio-proxy,85,102
default,db10bb-us-west-1-5f79bb4b94-r5nzv,db10bb,0,5
default,db10bb-us-west-1-5f79bb4b94-r5nzv,istio-proxy,116,105
default,db2af0-us-central-1-54f54cdb-sqdkn,db2af0,0,5
default,db2af0-us-central-1-54f54cdb-sqdkn,istio-proxy,6,106
default,db2af0-us-central-1-54f54cdb-vjgdq,db2af0,0,5
default,db2af0-us-central-1-54f54cdb-vjgdq,istio-proxy,5,101
default,db2af0-us-central-1-54f54cdb-zcnhn,db2af0,0,5
default,db2af0-us-central-1-54f54cdb-zcnhn,istio-proxy,4,102
default,db2af0-us-east-1-6894c6f4cb-859zk,db2af0,0,5
default,db2af0-us-east-1-6894c6f4cb-859zk,istio-proxy,7,102
default,db2af0-us-east-1-6894c6f4cb-9p9fd,db2af0,0,6
default,db2af0-us-east-1-6894c6f4cb-9p9fd,istio-proxy,8,101
default,db2af0-us-east-1-6894c6f4cb-x5mcw,db2af0,0,5
default,db2af0-us-east-1-6894c6f4cb-x5mcw,istio-proxy,8,102
default,db2af0-us-south-1-75b84cb974-dnhgk,db2af0,0,5
default,db2af0-us-south-1-75b84cb974-dnhgk,istio-proxy,4,101
default,db2af0-us-south-1-75b84cb974-qt86g,db2af0,0,5
default,db2af0-us-south-1-75b84cb974-qt86g,istio-proxy,6,100
default,db2af0-us-south-1-75b84cb974-xz9g4,db2af0,0,5
