counter,region,service,endpoint, rps
0,us-east-1,frontend,frontend@POST@/write1mb,0
0,us-east-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,compute-node,compute-node@POST@/write1mb,0
0,us-east-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,compute-node,compute-node@POST@/write1mb,0
0,us-west-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,frontend,frontend@POST@/write1mb,0
0,us-west-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,frontend,frontend@POST@/write1mb,0
0,us-east-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,compute-node,compute-node@POST@/write1mb,0
0,us-east-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,compute-node,compute-node@POST@/write1mb,0
0,us-west-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,frontend,frontend@POST@/write1mb,0
0,us-west-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,frontend,frontend@POST@/write1mb,0
0,us-east-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,compute-node,compute-node@POST@/write1mb,0
0,us-east-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,compute-node,compute-node@POST@/write1mb,0
0,us-west-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,frontend,frontend@POST@/write1mb,0
0,us-west-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,frontend,frontend@POST@/write1mb,0
0,us-east-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,compute-node,compute-node@POST@/write1mb,0
0,us-east-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,compute-node,compute-node@POST@/write1mb,0
0,us-west-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,frontend,frontend@POST@/write1mb,0
0,us-west-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,frontend,frontend@POST@/write1mb,0
0,us-east-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,compute-node,compute-node@POST@/write1mb,0
0,us-east-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,compute-node,compute-node@POST@/write1mb,0
0,us-west-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,frontend,frontend@POST@/write1mb,0
0,us-west-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,frontend,frontend@POST@/write1mb,0
0,us-east-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,compute-node,compute-node@POST@/write1mb,0
0,us-east-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,compute-node,compute-node@POST@/write1mb,0
0,us-west-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,frontend,frontend@POST@/write1mb,0
0,us-west-1,frontend,frontend@POST@/write10kb,0
1,us-east-1,frontend,frontend@POST@/write1mb,0
1,us-east-1,frontend,frontend@POST@/write10kb,0
1,us-east-1,compute-node,compute-node@POST@/write1mb,0
1,us-east-1,compute-node,compute-node@POST@/write10kb,0
1,us-west-1,compute-node,compute-node@POST@/write1mb,0
1,us-west-1,compute-node,compute-node@POST@/write10kb,20
1,us-west-1,frontend,frontend@POST@/write1mb,0
1,us-west-1,frontend,frontend@POST@/write10kb,233
2,us-east-1,frontend,frontend@POST@/write1mb,0
2,us-east-1,frontend,frontend@POST@/write10kb,0
2,us-east-1,compute-node,compute-node@POST@/write1mb,0
2,us-east-1,compute-node,compute-node@POST@/write10kb,0
2,us-west-1,compute-node,compute-node@POST@/write1mb,41
2,us-west-1,compute-node,compute-node@POST@/write10kb,512
2,us-west-1,frontend,frontend@POST@/write1mb,246
2,us-west-1,frontend,frontend@POST@/write10kb,538
3,us-east-1,frontend,frontend@POST@/write1mb,0
3,us-east-1,frontend,frontend@POST@/write10kb,86
3,us-east-1,compute-node,compute-node@POST@/write1mb,0
3,us-east-1,compute-node,compute-node@POST@/write10kb,85
3,us-west-1,compute-node,compute-node@POST@/write1mb,478
3,us-west-1,compute-node,compute-node@POST@/write10kb,512
3,us-west-1,frontend,frontend@POST@/write1mb,514
3,us-west-1,frontend,frontend@POST@/write10kb,510
4,us-east-1,frontend,frontend@POST@/write1mb,85
4,us-east-1,frontend,frontend@POST@/write10kb,103
4,us-east-1,compute-node,compute-node@POST@/write1mb,85
4,us-east-1,compute-node,compute-node@POST@/write10kb,104
4,us-west-1,compute-node,compute-node@POST@/write1mb,505
4,us-west-1,compute-node,compute-node@POST@/write10kb,515
4,us-west-1,frontend,frontend@POST@/write1mb,501
4,us-west-1,frontend,frontend@POST@/write10kb,494
5,us-east-1,frontend,frontend@POST@/write1mb,104
5,us-east-1,frontend,frontend@POST@/write10kb,107
5,us-east-1,compute-node,compute-node@POST@/write1mb,226
5,us-east-1,compute-node,compute-node@POST@/write10kb,105
5,us-west-1,compute-node,compute-node@POST@/write1mb,342
5,us-west-1,compute-node,compute-node@POST@/write10kb,366
5,us-west-1,frontend,frontend@POST@/write1mb,363
5,us-west-1,frontend,frontend@POST@/write10kb,343
6,us-east-1,frontend,frontend@POST@/write1mb,108
6,us-east-1,frontend,frontend@POST@/write10kb,100
6,us-east-1,compute-node,compute-node@POST@/write1mb,227
6,us-east-1,compute-node,compute-node@POST@/write10kb,101
6,us-west-1,compute-node,compute-node@POST@/write1mb,196
6,us-west-1,compute-node,compute-node@POST@/write10kb,292
6,us-west-1,frontend,frontend@POST@/write1mb,358
6,us-west-1,frontend,frontend@POST@/write10kb,345
7,us-east-1,frontend,frontend@POST@/write1mb,98
7,us-east-1,frontend,frontend@POST@/write10kb,123
7,us-east-1,compute-node,compute-node@POST@/write1mb,203
7,us-east-1,compute-node,compute-node@POST@/write10kb,122
7,us-west-1,compute-node,compute-node@POST@/write1mb,375
7,us-west-1,compute-node,compute-node@POST@/write10kb,497
7,us-west-1,frontend,frontend@POST@/write1mb,470
7,us-west-1,frontend,frontend@POST@/write10kb,497
8,us-east-1,frontend,frontend@POST@/write1mb,123
8,us-east-1,frontend,frontend@POST@/write10kb,117
8,us-east-1,compute-node,compute-node@POST@/write1mb,261
8,us-east-1,compute-node,compute-node@POST@/write10kb,116
8,us-west-1,compute-node,compute-node@POST@/write1mb,617
8,us-west-1,compute-node,compute-node@POST@/write10kb,756
8,us-west-1,frontend,frontend@POST@/write1mb,607
8,us-west-1,frontend,frontend@POST@/write10kb,586
9,us-east-1,frontend,frontend@POST@/write1mb,118
9,us-east-1,frontend,frontend@POST@/write10kb,89
9,us-east-1,compute-node,compute-node@POST@/write1mb,239
9,us-east-1,compute-node,compute-node@POST@/write10kb,89
9,us-west-1,compute-node,compute-node@POST@/write1mb,427
9,us-west-1,compute-node,compute-node@POST@/write10kb,537
9,us-west-1,frontend,frontend@POST@/write1mb,479
9,us-west-1,frontend,frontend@POST@/write10kb,514
10,us-east-1,frontend,frontend@POST@/write1mb,88
10,us-east-1,frontend,frontend@POST@/write10kb,93
10,us-east-1,compute-node,compute-node@POST@/write1mb,255
10,us-east-1,compute-node,compute-node@POST@/write10kb,97
