index_col,counter,src_svc,dst_svc,src_endpoint,dst_endpoint,src_cid,dst_cid,flow,total,weight
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",2,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,233,233,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",2,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,233,233,1.0
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",3,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,246,246,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",3,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,538,538,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",3,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,246,246,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",3,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,538,538,1.0
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",4,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,325,515,0.6310679611650486
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",4,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,190,515,0.36893203883495146
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",4,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,510,510,1.0
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",4,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,86,86,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",4,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,514,514,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",4,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,510,596,0.8557046979865772
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",4,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,86,596,0.14429530201342283
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",5,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,353,502,0.703187250996016
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",5,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,149,502,0.2968127490039841
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",5,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,85,85,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",5,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,494,494,1.0
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",5,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,103,103,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",5,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,501,586,0.8549488054607508
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",5,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-east-1,85,586,0.14505119453924914
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",5,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,494,597,0.8274706867671692
