counter,region,service,endpoint, rps
0,us-west-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,compute-node,compute-node@POST@/write1mb,0
0,us-west-1,frontend,frontend@POST@/write1mb,0
0,us-west-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,compute-node,compute-node@POST@/write10kb,0
0,us-east-1,compute-node,compute-node@POST@/write1mb,0
0,us-east-1,frontend,frontend@POST@/write1mb,0
0,us-east-1,frontend,frontend@POST@/write10kb,0
0,us-west-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,compute-node,compute-node@POST@/write1mb,0
0,us-west-1,frontend,frontend@POST@/write1mb,0
0,us-west-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,compute-node,compute-node@POST@/write10kb,0
0,us-east-1,compute-node,compute-node@POST@/write1mb,0
0,us-east-1,frontend,frontend@POST@/write1mb,0
0,us-east-1,frontend,frontend@POST@/write10kb,0
0,us-west-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,compute-node,compute-node@POST@/write1mb,0
0,us-west-1,frontend,frontend@POST@/write1mb,0
0,us-west-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,compute-node,compute-node@POST@/write10kb,0
0,us-east-1,compute-node,compute-node@POST@/write1mb,0
0,us-east-1,frontend,frontend@POST@/write1mb,0
0,us-east-1,frontend,frontend@POST@/write10kb,0
0,us-west-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,compute-node,compute-node@POST@/write1mb,0
0,us-west-1,frontend,frontend@POST@/write1mb,0
0,us-west-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,compute-node,compute-node@POST@/write10kb,0
0,us-east-1,compute-node,compute-node@POST@/write1mb,0
0,us-east-1,frontend,frontend@POST@/write1mb,0
0,us-east-1,frontend,frontend@POST@/write10kb,0
0,us-west-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,compute-node,compute-node@POST@/write1mb,0
0,us-west-1,frontend,frontend@POST@/write1mb,0
0,us-west-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,compute-node,compute-node@POST@/write10kb,0
0,us-east-1,compute-node,compute-node@POST@/write1mb,0
0,us-east-1,frontend,frontend@POST@/write1mb,0
0,us-east-1,frontend,frontend@POST@/write10kb,0
0,us-west-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,compute-node,compute-node@POST@/write1mb,0
0,us-west-1,frontend,frontend@POST@/write1mb,0
0,us-west-1,frontend,frontend@POST@/write10kb,41
0,us-east-1,compute-node,compute-node@POST@/write10kb,0
0,us-east-1,compute-node,compute-node@POST@/write1mb,0
0,us-east-1,frontend,frontend@POST@/write1mb,0
0,us-east-1,frontend,frontend@POST@/write10kb,0
1,us-west-1,compute-node,compute-node@POST@/write10kb,228
1,us-west-1,compute-node,compute-node@POST@/write1mb,0
1,us-west-1,frontend,frontend@POST@/write1mb,48
1,us-west-1,frontend,frontend@POST@/write10kb,505
1,us-east-1,compute-node,compute-node@POST@/write10kb,0
1,us-east-1,compute-node,compute-node@POST@/write1mb,0
1,us-east-1,frontend,frontend@POST@/write1mb,0
1,us-east-1,frontend,frontend@POST@/write10kb,0
2,us-west-1,compute-node,compute-node@POST@/write10kb,517
2,us-west-1,compute-node,compute-node@POST@/write1mb,222
2,us-west-1,frontend,frontend@POST@/write1mb,490
2,us-west-1,frontend,frontend@POST@/write10kb,509
2,us-east-1,compute-node,compute-node@POST@/write10kb,40
2,us-east-1,compute-node,compute-node@POST@/write1mb,0
2,us-east-1,frontend,frontend@POST@/write1mb,0
2,us-east-1,frontend,frontend@POST@/write10kb,53
3,us-west-1,compute-node,compute-node@POST@/write10kb,494
3,us-west-1,compute-node,compute-node@POST@/write1mb,520
3,us-west-1,frontend,frontend@POST@/write1mb,511
3,us-west-1,frontend,frontend@POST@/write10kb,516
3,us-east-1,compute-node,compute-node@POST@/write10kb,111
3,us-east-1,compute-node,compute-node@POST@/write1mb,35
3,us-east-1,frontend,frontend@POST@/write1mb,41
3,us-east-1,frontend,frontend@POST@/write10kb,109
4,us-west-1,compute-node,compute-node@POST@/write10kb,391
4,us-west-1,compute-node,compute-node@POST@/write1mb,352
4,us-west-1,frontend,frontend@POST@/write1mb,389
4,us-west-1,frontend,frontend@POST@/write10kb,382
4,us-east-1,compute-node,compute-node@POST@/write10kb,139
4,us-east-1,compute-node,compute-node@POST@/write1mb,148
4,us-east-1,frontend,frontend@POST@/write1mb,111
4,us-east-1,frontend,frontend@POST@/write10kb,101
5,us-west-1,compute-node,compute-node@POST@/write10kb,107
5,us-west-1,compute-node,compute-node@POST@/write1mb,120
5,us-west-1,frontend,frontend@POST@/write1mb,296
5,us-west-1,frontend,frontend@POST@/write10kb,270
5,us-east-1,compute-node,compute-node@POST@/write10kb,186
5,us-east-1,compute-node,compute-node@POST@/write1mb,192
5,us-east-1,frontend,frontend@POST@/write1mb,100
5,us-east-1,frontend,frontend@POST@/write10kb,102
6,us-west-1,compute-node,compute-node@POST@/write10kb,255
6,us-west-1,compute-node,compute-node@POST@/write1mb,243
6,us-west-1,frontend,frontend@POST@/write1mb,360
6,us-west-1,frontend,frontend@POST@/write10kb,427
6,us-east-1,compute-node,compute-node@POST@/write10kb,145
6,us-east-1,compute-node,compute-node@POST@/write1mb,128
6,us-east-1,frontend,frontend@POST@/write1mb,102
6,us-east-1,frontend,frontend@POST@/write10kb,114
7,us-west-1,compute-node,compute-node@POST@/write10kb,553
7,us-west-1,compute-node,compute-node@POST@/write1mb,541
7,us-west-1,frontend,frontend@POST@/write1mb,584
7,us-west-1,frontend,frontend@POST@/write10kb,561
7,us-east-1,compute-node,compute-node@POST@/write10kb,152
7,us-east-1,compute-node,compute-node@POST@/write1mb,155
7,us-east-1,frontend,frontend@POST@/write1mb,120
7,us-east-1,frontend,frontend@POST@/write10kb,125
8,us-west-1,compute-node,compute-node@POST@/write10kb,663
8,us-west-1,compute-node,compute-node@POST@/write1mb,649
8,us-west-1,frontend,frontend@POST@/write1mb,664
8,us-west-1,frontend,frontend@POST@/write10kb,659
8,us-east-1,compute-node,compute-node@POST@/write10kb,242
8,us-east-1,compute-node,compute-node@POST@/write1mb,279
8,us-east-1,frontend,frontend@POST@/write1mb,125
8,us-east-1,frontend,frontend@POST@/write10kb,93
9,us-west-1,compute-node,compute-node@POST@/write10kb,509
9,us-west-1,compute-node,compute-node@POST@/write1mb,521
9,us-west-1,frontend,frontend@POST@/write1mb,640
9,us-west-1,frontend,frontend@POST@/write10kb,652
9,us-east-1,compute-node,compute-node@POST@/write10kb,378
9,us-east-1,compute-node,compute-node@POST@/write1mb,374
9,us-east-1,frontend,frontend@POST@/write1mb,92
9,us-east-1,frontend,frontend@POST@/write10kb,93
10,us-west-1,compute-node,compute-node@POST@/write10kb,356
10,us-west-1,compute-node,compute-node@POST@/write1mb,345
10,us-west-1,frontend,frontend@POST@/write1mb,550
10,us-west-1,frontend,frontend@POST@/write10kb,535
10,us-east-1,compute-node,compute-node@POST@/write10kb,308
10,us-east-1,compute-node,compute-node@POST@/write1mb,291
10,us-east-1,frontend,frontend@POST@/write1mb,99
10,us-east-1,frontend,frontend@POST@/write10kb,92
11,us-west-1,compute-node,compute-node@POST@/write10kb,308
11,us-west-1,compute-node,compute-node@POST@/write1mb,309
11,us-west-1,frontend,frontend@POST@/write1mb,510
11,us-west-1,frontend,frontend@POST@/write10kb,532
11,us-east-1,compute-node,compute-node@POST@/write10kb,277
11,us-east-1,compute-node,compute-node@POST@/write1mb,297
11,us-east-1,frontend,frontend@POST@/write1mb,90
11,us-east-1,frontend,frontend@POST@/write10kb,96
12,us-west-1,compute-node,compute-node@POST@/write10kb,306
12,us-west-1,compute-node,compute-node@POST@/write1mb,331
12,us-west-1,frontend,frontend@POST@/write1mb,532
12,us-west-1,frontend,frontend@POST@/write10kb,457
12,us-east-1,compute-node,compute-node@POST@/write10kb,269
12,us-east-1,compute-node,compute-node@POST@/write1mb,273
12,us-east-1,frontend,frontend@POST@/write1mb,96
12,us-east-1,frontend,frontend@POST@/write10kb,108
13,us-west-1,compute-node,compute-node@POST@/write10kb,315
13,us-west-1,compute-node,compute-node@POST@/write1mb,301
13,us-west-1,frontend,frontend@POST@/write1mb,457
13,us-west-1,frontend,frontend@POST@/write10kb,475
13,us-east-1,compute-node,compute-node@POST@/write10kb,233
13,us-east-1,compute-node,compute-node@POST@/write1mb,267
13,us-east-1,frontend,frontend@POST@/write1mb,111
13,us-east-1,frontend,frontend@POST@/write10kb,103
14,us-west-1,compute-node,compute-node@POST@/write10kb,349
14,us-west-1,compute-node,compute-node@POST@/write1mb,319
14,us-west-1,frontend,frontend@POST@/write1mb,475
14,us-west-1,frontend,frontend@POST@/write10kb,485
14,us-east-1,compute-node,compute-node@POST@/write10kb,244
14,us-east-1,compute-node,compute-node@POST@/write1mb,217
14,us-east-1,frontend,frontend@POST@/write1mb,94
14,us-east-1,frontend,frontend@POST@/write10kb,95
15,us-west-1,compute-node,compute-node@POST@/write10kb,389
15,us-west-1,compute-node,compute-node@POST@/write1mb,379
15,us-west-1,frontend,frontend@POST@/write1mb,484
15,us-west-1,frontend,frontend@POST@/write10kb,530
15,us-east-1,compute-node,compute-node@POST@/write10kb,222
15,us-east-1,compute-node,compute-node@POST@/write1mb,237
15,us-east-1,frontend,frontend@POST@/write1mb,102
15,us-east-1,frontend,frontend@POST@/write10kb,92
16,us-west-1,compute-node,compute-node@POST@/write10kb,386
16,us-west-1,compute-node,compute-node@POST@/write1mb,385
16,us-west-1,frontend,frontend@POST@/write1mb,531
16,us-west-1,frontend,frontend@POST@/write10kb,502
16,us-east-1,compute-node,compute-node@POST@/write10kb,235
16,us-east-1,compute-node,compute-node@POST@/write1mb,230
16,us-east-1,frontend,frontend@POST@/write1mb,93
16,us-east-1,frontend,frontend@POST@/write10kb,100
17,us-west-1,compute-node,compute-node@POST@/write10kb,354
17,us-west-1,compute-node,compute-node@POST@/write1mb,365
17,us-west-1,frontend,frontend@POST@/write1mb,504
17,us-west-1,frontend,frontend@POST@/write10kb,497
17,us-east-1,compute-node,compute-node@POST@/write10kb,264
17,us-east-1,compute-node,compute-node@POST@/write1mb,257
17,us-east-1,frontend,frontend@POST@/write1mb,92
17,us-east-1,frontend,frontend@POST@/write10kb,101
18,us-west-1,compute-node,compute-node@POST@/write10kb,308
18,us-west-1,compute-node,compute-node@POST@/write1mb,326
18,us-west-1,frontend,frontend@POST@/write1mb,494
18,us-west-1,frontend,frontend@POST@/write10kb,503
18,us-east-1,compute-node,compute-node@POST@/write10kb,274
18,us-east-1,compute-node,compute-node@POST@/write1mb,262
18,us-east-1,frontend,frontend@POST@/write1mb,102
18,us-east-1,frontend,frontend@POST@/write10kb,86
19,us-west-1,compute-node,compute-node@POST@/write10kb,360
19,us-west-1,compute-node,compute-node@POST@/write1mb,335
19,us-west-1,frontend,frontend@POST@/write1mb,503
19,us-west-1,frontend,frontend@POST@/write10kb,494
19,us-east-1,compute-node,compute-node@POST@/write10kb,221
19,us-east-1,compute-node,compute-node@POST@/write1mb,258
19,us-east-1,frontend,frontend@POST@/write1mb,96
19,us-east-1,frontend,frontend@POST@/write10kb,107
20,us-west-1,compute-node,compute-node@POST@/write10kb,328
20,us-west-1,compute-node,compute-node@POST@/write1mb,348
20,us-west-1,frontend,frontend@POST@/write1mb,494
20,us-west-1,frontend,frontend@POST@/write10kb,470
20,us-east-1,compute-node,compute-node@POST@/write10kb,254
20,us-east-1,compute-node,compute-node@POST@/write1mb,230
20,us-east-1,frontend,frontend@POST@/write1mb,104
20,us-east-1,frontend,frontend@POST@/write10kb,101
21,us-west-1,compute-node,compute-node@POST@/write10kb,320
21,us-west-1,compute-node,compute-node@POST@/write1mb,326
21,us-west-1,frontend,frontend@POST@/write1mb,470
21,us-west-1,frontend,frontend@POST@/write10kb,480
21,us-east-1,compute-node,compute-node@POST@/write10kb,237
21,us-east-1,compute-node,compute-node@POST@/write1mb,240
21,us-east-1,frontend,frontend@POST@/write1mb,103
21,us-east-1,frontend,frontend@POST@/write10kb,91
22,us-west-1,compute-node,compute-node@POST@/write10kb,367
22,us-west-1,compute-node,compute-node@POST@/write1mb,352
22,us-west-1,frontend,frontend@POST@/write1mb,478
22,us-west-1,frontend,frontend@POST@/write10kb,489
22,us-east-1,compute-node,compute-node@POST@/write10kb,212
22,us-east-1,compute-node,compute-node@POST@/write1mb,233
22,us-east-1,frontend,frontend@POST@/write1mb,97
22,us-east-1,frontend,frontend@POST@/write10kb,96
23,us-west-1,compute-node,compute-node@POST@/write10kb,408
23,us-west-1,compute-node,compute-node@POST@/write1mb,367
23,us-west-1,frontend,frontend@POST@/write1mb,489
23,us-west-1,frontend,frontend@POST@/write10kb,537
23,us-east-1,compute-node,compute-node@POST@/write10kb,230
23,us-east-1,compute-node,compute-node@POST@/write1mb,207
23,us-east-1,frontend,frontend@POST@/write1mb,90
23,us-east-1,frontend,frontend@POST@/write10kb,94
24,us-west-1,compute-node,compute-node@POST@/write10kb,345
24,us-west-1,compute-node,compute-node@POST@/write1mb,402
24,us-west-1,frontend,frontend@POST@/write1mb,540
24,us-west-1,frontend,frontend@POST@/write10kb,468
24,us-east-1,compute-node,compute-node@POST@/write10kb,244
24,us-east-1,compute-node,compute-node@POST@/write1mb,259
24,us-east-1,frontend,frontend@POST@/write1mb,93
24,us-east-1,frontend,frontend@POST@/write10kb,109
25,us-west-1,compute-node,compute-node@POST@/write10kb,340
25,us-west-1,compute-node,compute-node@POST@/write1mb,325
25,us-west-1,frontend,frontend@POST@/write1mb,469
25,us-west-1,frontend,frontend@POST@/write10kb,506
25,us-east-1,compute-node,compute-node@POST@/write10kb,270
25,us-east-1,compute-node,compute-node@POST@/write1mb,241
25,us-east-1,frontend,frontend@POST@/write1mb,111
25,us-east-1,frontend,frontend@POST@/write10kb,110
26,us-west-1,compute-node,compute-node@POST@/write10kb,351
26,us-west-1,compute-node,compute-node@POST@/write1mb,334
26,us-west-1,frontend,frontend@POST@/write1mb,469
26,us-west-1,frontend,frontend@POST@/write10kb,506
26,us-east-1,compute-node,compute-node@POST@/write10kb,271
26,us-east-1,compute-node,compute-node@POST@/write1mb,272
26,us-east-1,frontend,frontend@POST@/write1mb,106
26,us-east-1,frontend,frontend@POST@/write10kb,110
27,us-west-1,compute-node,compute-node@POST@/write10kb,361
27,us-west-1,compute-node,compute-node@POST@/write1mb,347
27,us-west-1,frontend,frontend@POST@/write1mb,505
27,us-west-1,frontend,frontend@POST@/write10kb,517
27,us-east-1,compute-node,compute-node@POST@/write10kb,249
27,us-east-1,compute-node,compute-node@POST@/write1mb,280
27,us-east-1,frontend,frontend@POST@/write1mb,115
27,us-east-1,frontend,frontend@POST@/write10kb,99
28,us-west-1,compute-node,compute-node@POST@/write10kb,378
28,us-west-1,compute-node,compute-node@POST@/write1mb,344
28,us-west-1,frontend,frontend@POST@/write1mb,516
28,us-west-1,frontend,frontend@POST@/write10kb,535
28,us-east-1,compute-node,compute-node@POST@/write10kb,265
28,us-east-1,compute-node,compute-node@POST@/write1mb,287
28,us-east-1,frontend,frontend@POST@/write1mb,106
28,us-east-1,frontend,frontend@POST@/write10kb,98
29,us-west-1,compute-node,compute-node@POST@/write10kb,329
29,us-west-1,compute-node,compute-node@POST@/write1mb,357
29,us-west-1,frontend,frontend@POST@/write1mb,536
29,us-west-1,frontend,frontend@POST@/write10kb,496
29,us-east-1,compute-node,compute-node@POST@/write10kb,255
29,us-east-1,compute-node,compute-node@POST@/write1mb,249
29,us-east-1,frontend,frontend@POST@/write1mb,92
29,us-east-1,frontend,frontend@POST@/write10kb,94
30,us-west-1,compute-node,compute-node@POST@/write10kb,356
30,us-west-1,compute-node,compute-node@POST@/write1mb,336
30,us-west-1,frontend,frontend@POST@/write1mb,496
30,us-west-1,frontend,frontend@POST@/write10kb,518
30,us-east-1,compute-node,compute-node@POST@/write10kb,274
30,us-east-1,compute-node,compute-node@POST@/write1mb,263
30,us-east-1,frontend,frontend@POST@/write1mb,94
30,us-east-1,frontend,frontend@POST@/write10kb,92
31,us-west-1,compute-node,compute-node@POST@/write10kb,306
31,us-west-1,compute-node,compute-node@POST@/write1mb,366
31,us-west-1,frontend,frontend@POST@/write1mb,521
31,us-west-1,frontend,frontend@POST@/write10kb,474
31,us-east-1,compute-node,compute-node@POST@/write10kb,257
31,us-east-1,compute-node,compute-node@POST@/write1mb,249
31,us-east-1,frontend,frontend@POST@/write1mb,97
31,us-east-1,frontend,frontend@POST@/write10kb,100
32,us-west-1,compute-node,compute-node@POST@/write10kb,342
32,us-west-1,compute-node,compute-node@POST@/write1mb,331
32,us-west-1,frontend,frontend@POST@/write1mb,470
32,us-west-1,frontend,frontend@POST@/write10kb,494
32,us-east-1,compute-node,compute-node@POST@/write10kb,228
32,us-east-1,compute-node,compute-node@POST@/write1mb,237
32,us-east-1,frontend,frontend@POST@/write1mb,98
32,us-east-1,frontend,frontend@POST@/write10kb,110
33,us-west-1,compute-node,compute-node@POST@/write10kb,338
33,us-west-1,compute-node,compute-node@POST@/write1mb,356
33,us-west-1,frontend,frontend@POST@/write1mb,494
33,us-west-1,frontend,frontend@POST@/write10kb,451
33,us-east-1,compute-node,compute-node@POST@/write10kb,231
33,us-east-1,compute-node,compute-node@POST@/write1mb,236
33,us-east-1,frontend,frontend@POST@/write1mb,109
33,us-east-1,frontend,frontend@POST@/write10kb,105
34,us-west-1,compute-node,compute-node@POST@/write10kb,368
34,us-west-1,compute-node,compute-node@POST@/write1mb,327
34,us-west-1,frontend,frontend@POST@/write1mb,446
34,us-west-1,frontend,frontend@POST@/write10kb,495
34,us-east-1,compute-node,compute-node@POST@/write10kb,204
34,us-east-1,compute-node,compute-node@POST@/write1mb,239
34,us-east-1,frontend,frontend@POST@/write1mb,112
34,us-east-1,frontend,frontend@POST@/write10kb,81
35,us-west-1,compute-node,compute-node@POST@/write10kb,384
35,us-west-1,compute-node,compute-node@POST@/write1mb,350
35,us-west-1,frontend,frontend@POST@/write1mb,495
35,us-west-1,frontend,frontend@POST@/write10kb,515
35,us-east-1,compute-node,compute-node@POST@/write10kb,218
35,us-east-1,compute-node,compute-node@POST@/write1mb,211
35,us-east-1,frontend,frontend@POST@/write1mb,80
35,us-east-1,frontend,frontend@POST@/write10kb,93
36,us-west-1,compute-node,compute-node@POST@/write10kb,368
36,us-west-1,compute-node,compute-node@POST@/write1mb,383
36,us-west-1,frontend,frontend@POST@/write1mb,517
36,us-west-1,frontend,frontend@POST@/write10kb,493
36,us-east-1,compute-node,compute-node@POST@/write10kb,256
36,us-east-1,compute-node,compute-node@POST@/write1mb,246
36,us-east-1,frontend,frontend@POST@/write1mb,89
36,us-east-1,frontend,frontend@POST@/write10kb,102
37,us-west-1,compute-node,compute-node@POST@/write10kb,342
37,us-west-1,compute-node,compute-node@POST@/write1mb,340
37,us-west-1,frontend,frontend@POST@/write1mb,497
37,us-west-1,frontend,frontend@POST@/write10kb,513
37,us-east-1,compute-node,compute-node@POST@/write10kb,261
37,us-east-1,compute-node,compute-node@POST@/write1mb,250
37,us-east-1,frontend,frontend@POST@/write1mb,105
37,us-east-1,frontend,frontend@POST@/write10kb,96
38,us-west-1,compute-node,compute-node@POST@/write10kb,342
38,us-west-1,compute-node,compute-node@POST@/write1mb,350
38,us-west-1,frontend,frontend@POST@/write1mb,508
38,us-west-1,frontend,frontend@POST@/write10kb,485
38,us-east-1,compute-node,compute-node@POST@/write10kb,272
38,us-east-1,compute-node,compute-node@POST@/write1mb,264
38,us-east-1,frontend,frontend@POST@/write1mb,108
38,us-east-1,frontend,frontend@POST@/write10kb,113
39,us-west-1,compute-node,compute-node@POST@/write10kb,338
39,us-west-1,compute-node,compute-node@POST@/write1mb,338
39,us-west-1,frontend,frontend@POST@/write1mb,483
39,us-west-1,frontend,frontend@POST@/write10kb,490
39,us-east-1,compute-node,compute-node@POST@/write10kb,239
39,us-east-1,compute-node,compute-node@POST@/write1mb,278
39,us-east-1,frontend,frontend@POST@/write1mb,107
39,us-east-1,frontend,frontend@POST@/write10kb,99
40,us-west-1,compute-node,compute-node@POST@/write10kb,325
40,us-west-1,compute-node,compute-node@POST@/write1mb,337
40,us-west-1,frontend,frontend@POST@/write1mb,492
40,us-west-1,frontend,frontend@POST@/write10kb,471
40,us-east-1,compute-node,compute-node@POST@/write10kb,233
40,us-east-1,compute-node,compute-node@POST@/write1mb,236
40,us-east-1,frontend,frontend@POST@/write1mb,96
40,us-east-1,frontend,frontend@POST@/write10kb,101
41,us-west-1,compute-node,compute-node@POST@/write10kb,310
41,us-west-1,compute-node,compute-node@POST@/write1mb,320
41,us-west-1,frontend,frontend@POST@/write1mb,472
41,us-west-1,frontend,frontend@POST@/write10kb,421
41,us-east-1,compute-node,compute-node@POST@/write10kb,229
41,us-east-1,compute-node,compute-node@POST@/write1mb,243
41,us-east-1,frontend,frontend@POST@/write1mb,106
41,us-east-1,frontend,frontend@POST@/write10kb,107
42,us-west-1,compute-node,compute-node@POST@/write10kb,336
42,us-west-1,compute-node,compute-node@POST@/write1mb,308
42,us-west-1,frontend,frontend@POST@/write1mb,423
42,us-west-1,frontend,frontend@POST@/write10kb,496
42,us-east-1,compute-node,compute-node@POST@/write10kb,243
42,us-east-1,compute-node,compute-node@POST@/write1mb,203
42,us-east-1,frontend,frontend@POST@/write1mb,101
42,us-east-1,frontend,frontend@POST@/write10kb,106
43,us-west-1,compute-node,compute-node@POST@/write10kb,403
43,us-west-1,compute-node,compute-node@POST@/write1mb,366
43,us-west-1,frontend,frontend@POST@/write1mb,493
43,us-west-1,frontend,frontend@POST@/write10kb,549
43,us-east-1,compute-node,compute-node@POST@/write10kb,224
43,us-east-1,compute-node,compute-node@POST@/write1mb,241
43,us-east-1,frontend,frontend@POST@/write1mb,109
43,us-east-1,frontend,frontend@POST@/write10kb,99
44,us-west-1,compute-node,compute-node@POST@/write10kb,433
44,us-west-1,compute-node,compute-node@POST@/write1mb,397
44,us-west-1,frontend,frontend@POST@/write1mb,549
44,us-west-1,frontend,frontend@POST@/write10kb,520
44,us-east-1,compute-node,compute-node@POST@/write10kb,262
44,us-east-1,compute-node,compute-node@POST@/write1mb,260
44,us-east-1,frontend,frontend@POST@/write1mb,99
44,us-east-1,frontend,frontend@POST@/write10kb,98
45,us-west-1,compute-node,compute-node@POST@/write10kb,334
45,us-west-1,compute-node,compute-node@POST@/write1mb,381
