counter,region,service,endpoint, rps
0,us-west-1,compute-node,compute-node@POST@/write1kb,345
0,us-west-1,frontend,frontend@POST@/write1kb,414
0,us-west-1,compute-node,compute-node@POST@/write1kb,792
0,us-west-1,frontend,frontend@POST@/write1kb,812
0,us-west-1,compute-node,compute-node@POST@/write1kb,803
0,us-west-1,frontend,frontend@POST@/write1kb,786
0,us-west-1,compute-node,compute-node@POST@/write1kb,797
0,us-west-1,frontend,frontend@POST@/write1kb,800
0,us-west-1,compute-node,compute-node@POST@/write1kb,767
0,us-west-1,frontend,frontend@POST@/write1kb,769
0,us-west-1,compute-node,compute-node@POST@/write1kb,840
0,us-west-1,frontend,frontend@POST@/write1kb,818
0,us-west-1,compute-node,compute-node@POST@/write1kb,753
0,us-west-1,frontend,frontend@POST@/write1kb,766
0,us-west-1,compute-node,compute-node@POST@/write1kb,828
0,us-west-1,frontend,frontend@POST@/write1kb,828
0,us-west-1,compute-node,compute-node@POST@/write1kb,800
0,us-west-1,frontend,frontend@POST@/write1kb,793
0,us-west-1,compute-node,compute-node@POST@/write1kb,802
0,us-west-1,frontend,frontend@POST@/write1kb,792
0,us-west-1,compute-node,compute-node@POST@/write1kb,763
0,us-west-1,frontend,frontend@POST@/write1kb,782
0,us-west-1,compute-node,compute-node@POST@/write1kb,831
0,us-west-1,frontend,frontend@POST@/write1kb,825
0,us-west-1,compute-node,compute-node@POST@/write1kb,760
0,us-west-1,frontend,frontend@POST@/write1kb,780
0,us-west-1,compute-node,compute-node@POST@/write1kb,870
0,us-west-1,frontend,frontend@POST@/write1kb,847
0,us-west-1,compute-node,compute-node@POST@/write1kb,801
0,us-west-1,frontend,frontend@POST@/write1kb,834
0,us-west-1,compute-node,compute-node@POST@/write1kb,785
0,us-west-1,frontend,frontend@POST@/write1kb,753
0,us-west-1,compute-node,compute-node@POST@/write1kb,756
0,us-west-1,frontend,frontend@POST@/write1kb,771
0,us-west-1,compute-node,compute-node@POST@/write1kb,819
0,us-west-1,frontend,frontend@POST@/write1kb,827
0,us-west-1,compute-node,compute-node@POST@/write1kb,799
0,us-west-1,frontend,frontend@POST@/write1kb,787
0,us-west-1,compute-node,compute-node@POST@/write1kb,802
0,us-west-1,frontend,frontend@POST@/write1kb,817
0,us-west-1,compute-node,compute-node@POST@/write1kb,741
0,us-west-1,frontend,frontend@POST@/write1kb,709
0,us-west-1,compute-node,compute-node@POST@/write1kb,843
0,us-west-1,frontend,frontend@POST@/write1kb,855
0,us-west-1,compute-node,compute-node@POST@/write1kb,838
0,us-west-1,frontend,frontend@POST@/write1kb,849
0,us-west-1,compute-node,compute-node@POST@/write1kb,803
0,us-west-1,frontend,frontend@POST@/write1kb,813
0,us-west-1,compute-node,compute-node@POST@/write1kb,833
0,us-west-1,frontend,frontend@POST@/write1kb,829
0,us-west-1,compute-node,compute-node@POST@/write1kb,810
0,us-west-1,frontend,frontend@POST@/write1kb,798
0,us-west-1,compute-node,compute-node@POST@/write1kb,803
0,us-west-1,frontend,frontend@POST@/write1kb,803
0,us-west-1,compute-node,compute-node@POST@/write1kb,826
0,us-west-1,frontend,frontend@POST@/write1kb,840
0,us-west-1,compute-node,compute-node@POST@/write1kb,884
0,us-west-1,frontend,frontend@POST@/write1kb,879
0,us-west-1,compute-node,compute-node@POST@/write1kb,821
0,us-west-1,frontend,frontend@POST@/write1kb,811
0,us-west-1,compute-node,compute-node@POST@/write1kb,843
0,us-west-1,frontend,frontend@POST@/write1kb,850
0,us-west-1,compute-node,compute-node@POST@/write1kb,810
0,us-west-1,frontend,frontend@POST@/write1kb,808
0,us-west-1,compute-node,compute-node@POST@/write1kb,793
0,us-west-1,frontend,frontend@POST@/write1kb,788
0,us-west-1,compute-node,compute-node@POST@/write1kb,772
0,us-west-1,frontend,frontend@POST@/write1kb,765
0,us-west-1,compute-node,compute-node@POST@/write1kb,813
0,us-west-1,frontend,frontend@POST@/write1kb,830
0,us-west-1,compute-node,compute-node@POST@/write1kb,750
0,us-west-1,frontend,frontend@POST@/write1kb,742
0,us-west-1,compute-node,compute-node@POST@/write1kb,820
0,us-west-1,frontend,frontend@POST@/write1kb,814
0,us-west-1,compute-node,compute-node@POST@/write1kb,793
0,us-west-1,frontend,frontend@POST@/write1kb,814
0,us-west-1,compute-node,compute-node@POST@/write1kb,795
0,us-west-1,frontend,frontend@POST@/write1kb,794
0,us-west-1,compute-node,compute-node@POST@/write1kb,842
0,us-west-1,frontend,frontend@POST@/write1kb,828
0,us-west-1,compute-node,compute-node@POST@/write1kb,823
0,us-west-1,frontend,frontend@POST@/write1kb,841
0,us-west-1,compute-node,compute-node@POST@/write1kb,844
0,us-west-1,frontend,frontend@POST@/write1kb,843
0,us-west-1,compute-node,compute-node@POST@/write1kb,828
0,us-west-1,frontend,frontend@POST@/write1kb,811
