counter,region,service,endpoint, rps
0,us-west-1,frontend,frontend@POST@/write1mb,6
0,us-west-1,compute-node,compute-node@POST@/write1mb,130
0,us-west-1,frontend,frontend@POST@/write1mb,409
0,us-west-1,compute-node,compute-node@POST@/write1mb,287
0,us-west-1,frontend,frontend@POST@/write1mb,472
0,us-west-1,compute-node,compute-node@POST@/write1mb,521
0,us-west-1,frontend,frontend@POST@/write1mb,654
0,us-west-1,compute-node,compute-node@POST@/write1mb,838
0,us-west-1,frontend,frontend@POST@/write1mb,834
0,us-west-1,compute-node,compute-node@POST@/write1mb,897
0,us-west-1,frontend,frontend@POST@/write1mb,786
0,us-west-1,compute-node,compute-node@POST@/write1mb,627
0,us-west-1,frontend,frontend@POST@/write1mb,604
0,us-west-1,compute-node,compute-node@POST@/write1mb,530
0,us-west-1,frontend,frontend@POST@/write1mb,528
0,us-west-1,compute-node,compute-node@POST@/write1mb,573
0,us-west-1,frontend,frontend@POST@/write1mb,580
0,us-west-1,compute-node,compute-node@POST@/write1mb,590
0,us-west-1,frontend,frontend@POST@/write1mb,593
0,us-west-1,compute-node,compute-node@POST@/write1mb,570
0,us-west-1,frontend,frontend@POST@/write1mb,572
0,us-west-1,compute-node,compute-node@POST@/write1mb,556
0,us-west-1,frontend,frontend@POST@/write1mb,553
0,us-west-1,compute-node,compute-node@POST@/write1mb,580
0,us-west-1,frontend,frontend@POST@/write1mb,580
0,us-west-1,compute-node,compute-node@POST@/write1mb,561
0,us-west-1,frontend,frontend@POST@/write1mb,566
0,us-west-1,compute-node,compute-node@POST@/write1mb,626
0,us-west-1,frontend,frontend@POST@/write1mb,616
0,us-west-1,compute-node,compute-node@POST@/write1mb,589
0,us-west-1,frontend,frontend@POST@/write1mb,595
0,us-west-1,compute-node,compute-node@POST@/write1mb,563
0,us-west-1,frontend,frontend@POST@/write1mb,572
0,us-west-1,compute-node,compute-node@POST@/write1mb,573
0,us-west-1,frontend,frontend@POST@/write1mb,543
0,us-west-1,compute-node,compute-node@POST@/write1mb,555
0,us-west-1,frontend,frontend@POST@/write1mb,585
0,us-west-1,compute-node,compute-node@POST@/write1mb,614
0,us-west-1,frontend,frontend@POST@/write1mb,602
0,us-west-1,compute-node,compute-node@POST@/write1mb,565
0,us-west-1,frontend,frontend@POST@/write1mb,556
0,us-west-1,compute-node,compute-node@POST@/write1mb,520
0,us-west-1,frontend,frontend@POST@/write1mb,522
0,us-west-1,compute-node,compute-node@POST@/write1mb,583
0,us-west-1,frontend,frontend@POST@/write1mb,580
0,us-west-1,compute-node,compute-node@POST@/write1mb,583
0,us-west-1,frontend,frontend@POST@/write1mb,609
0,us-west-1,compute-node,compute-node@POST@/write1mb,633
0,us-west-1,frontend,frontend@POST@/write1mb,614
0,us-west-1,compute-node,compute-node@POST@/write1mb,553
0,us-west-1,frontend,frontend@POST@/write1mb,562
0,us-west-1,compute-node,compute-node@POST@/write1mb,554
0,us-west-1,frontend,frontend@POST@/write1mb,537
0,us-west-1,compute-node,compute-node@POST@/write1mb,578
0,us-west-1,frontend,frontend@POST@/write1mb,575
0,us-west-1,compute-node,compute-node@POST@/write1mb,550
0,us-west-1,frontend,frontend@POST@/write1mb,558
0,us-west-1,compute-node,compute-node@POST@/write1mb,602
0,us-west-1,frontend,frontend@POST@/write1mb,604
0,us-west-1,compute-node,compute-node@POST@/write1mb,593
0,us-west-1,frontend,frontend@POST@/write1mb,591
0,us-west-1,compute-node,compute-node@POST@/write1mb,601
0,us-west-1,frontend,frontend@POST@/write1mb,604
0,us-west-1,compute-node,compute-node@POST@/write1mb,558
0,us-west-1,frontend,frontend@POST@/write1mb,565
0,us-west-1,compute-node,compute-node@POST@/write1mb,544
0,us-west-1,frontend,frontend@POST@/write1mb,550
0,us-west-1,compute-node,compute-node@POST@/write1mb,556
0,us-west-1,frontend,frontend@POST@/write1mb,564
0,us-west-1,compute-node,compute-node@POST@/write1mb,569
0,us-west-1,frontend,frontend@POST@/write1mb,547
0,us-west-1,compute-node,compute-node@POST@/write1mb,553
0,us-west-1,frontend,frontend@POST@/write1mb,554
0,us-west-1,compute-node,compute-node@POST@/write1mb,576
0,us-west-1,frontend,frontend@POST@/write1mb,577
0,us-west-1,compute-node,compute-node@POST@/write1mb,598
0,us-west-1,frontend,frontend@POST@/write1mb,600
0,us-west-1,compute-node,compute-node@POST@/write1mb,566
0,us-west-1,frontend,frontend@POST@/write1mb,556
0,us-west-1,compute-node,compute-node@POST@/write1mb,600
0,us-west-1,frontend,frontend@POST@/write1mb,603
0,us-west-1,compute-node,compute-node@POST@/write1mb,571
0,us-west-1,frontend,frontend@POST@/write1mb,583
0,us-west-1,compute-node,compute-node@POST@/write1mb,580
0,us-west-1,frontend,frontend@POST@/write1mb,584
0,us-west-1,compute-node,compute-node@POST@/write1mb,577
0,us-west-1,frontend,frontend@POST@/write1mb,582
0,us-west-1,compute-node,compute-node@POST@/write1mb,547
0,us-west-1,frontend,frontend@POST@/write1mb,526
0,us-west-1,compute-node,compute-node@POST@/write1mb,545
0,us-west-1,frontend,frontend@POST@/write1mb,544
0,us-west-1,compute-node,compute-node@POST@/write1mb,606
0,us-west-1,frontend,frontend@POST@/write1mb,607
0,us-west-1,compute-node,compute-node@POST@/write1mb,542
0,us-west-1,frontend,frontend@POST@/write1mb,549
0,us-west-1,compute-node,compute-node@POST@/write1mb,601
0,us-west-1,frontend,frontend@POST@/write1mb,608
0,us-west-1,compute-node,compute-node@POST@/write1mb,564
0,us-west-1,frontend,frontend@POST@/write1mb,551
0,us-west-1,compute-node,compute-node@POST@/write1mb,543
0,us-west-1,frontend,frontend@POST@/write1mb,556
0,us-west-1,compute-node,compute-node@POST@/write1mb,593
0,us-west-1,frontend,frontend@POST@/write1mb,587
0,us-west-1,compute-node,compute-node@POST@/write1mb,573
0,us-west-1,frontend,frontend@POST@/write1mb,578
0,us-west-1,compute-node,compute-node@POST@/write1mb,571
0,us-west-1,frontend,frontend@POST@/write1mb,557
0,us-west-1,compute-node,compute-node@POST@/write1mb,600
0,us-west-1,frontend,frontend@POST@/write1mb,612
0,us-west-1,compute-node,compute-node@POST@/write1mb,602
0,us-west-1,frontend,frontend@POST@/write1mb,583
0,us-west-1,compute-node,compute-node@POST@/write1mb,539
0,us-west-1,frontend,frontend@POST@/write1mb,546
0,us-west-1,compute-node,compute-node@POST@/write1mb,577
0,us-west-1,frontend,frontend@POST@/write1mb,576
0,us-west-1,compute-node,compute-node@POST@/write1mb,567
0,us-west-1,frontend,frontend@POST@/write1mb,582
0,us-west-1,compute-node,compute-node@POST@/write1mb,541
0,us-west-1,frontend,frontend@POST@/write1mb,525
0,us-west-1,compute-node,compute-node@POST@/write1mb,588
0,us-west-1,frontend,frontend@POST@/write1mb,595
