counter,region,service,endpoint, rps
0,us-west-1,compute-node,compute-node@POST@/write2mb,88
0,us-west-1,frontend,frontend@POST@/write2mb,151
0,us-west-1,compute-node,compute-node@POST@/write2mb,146
0,us-west-1,frontend,frontend@POST@/write2mb,154
0,us-west-1,compute-node,compute-node@POST@/write2mb,193
0,us-west-1,frontend,frontend@POST@/write2mb,196
0,us-west-1,compute-node,compute-node@POST@/write2mb,179
0,us-west-1,frontend,frontend@POST@/write2mb,155
0,us-west-1,compute-node,compute-node@POST@/write2mb,148
0,us-west-1,frontend,frontend@POST@/write2mb,144
0,us-west-1,compute-node,compute-node@POST@/write2mb,150
0,us-west-1,frontend,frontend@POST@/write2mb,172
0,us-west-1,compute-node,compute-node@POST@/write2mb,162
0,us-west-1,frontend,frontend@POST@/write2mb,162
0,us-west-1,compute-node,compute-node@POST@/write2mb,182
0,us-west-1,frontend,frontend@POST@/write2mb,159
0,us-west-1,compute-node,compute-node@POST@/write2mb,145
0,us-west-1,frontend,frontend@POST@/write2mb,154
0,us-west-1,compute-node,compute-node@POST@/write2mb,145
0,us-west-1,frontend,frontend@POST@/write2mb,152
0,us-west-1,compute-node,compute-node@POST@/write2mb,151
0,us-west-1,frontend,frontend@POST@/write2mb,146
0,us-west-1,compute-node,compute-node@POST@/write2mb,158
0,us-west-1,frontend,frontend@POST@/write2mb,186
0,us-west-1,compute-node,compute-node@POST@/write2mb,183
0,us-west-1,frontend,frontend@POST@/write2mb,159
0,us-west-1,compute-node,compute-node@POST@/write2mb,140
0,us-west-1,frontend,frontend@POST@/write2mb,138
0,us-west-1,compute-node,compute-node@POST@/write2mb,171
0,us-west-1,frontend,frontend@POST@/write2mb,173
0,us-west-1,compute-node,compute-node@POST@/write2mb,177
0,us-west-1,frontend,frontend@POST@/write2mb,169
0,us-west-1,compute-node,compute-node@POST@/write2mb,143
0,us-west-1,frontend,frontend@POST@/write2mb,152
0,us-west-1,compute-node,compute-node@POST@/write2mb,156
0,us-west-1,frontend,frontend@POST@/write2mb,162
0,us-west-1,compute-node,compute-node@POST@/write2mb,157
0,us-west-1,frontend,frontend@POST@/write2mb,149
0,us-west-1,compute-node,compute-node@POST@/write2mb,171
0,us-west-1,frontend,frontend@POST@/write2mb,166
0,us-west-1,compute-node,compute-node@POST@/write2mb,165
0,us-west-1,frontend,frontend@POST@/write2mb,182
0,us-west-1,compute-node,compute-node@POST@/write2mb,153
0,us-west-1,frontend,frontend@POST@/write2mb,141
0,us-west-1,compute-node,compute-node@POST@/write2mb,175
0,us-west-1,frontend,frontend@POST@/write2mb,165
0,us-west-1,compute-node,compute-node@POST@/write2mb,138
0,us-west-1,frontend,frontend@POST@/write2mb,139
0,us-west-1,compute-node,compute-node@POST@/write2mb,161
0,us-west-1,frontend,frontend@POST@/write2mb,156
0,us-west-1,compute-node,compute-node@POST@/write2mb,176
0,us-west-1,frontend,frontend@POST@/write2mb,192
0,us-west-1,compute-node,compute-node@POST@/write2mb,183
0,us-west-1,frontend,frontend@POST@/write2mb,179
0,us-west-1,compute-node,compute-node@POST@/write2mb,146
0,us-west-1,frontend,frontend@POST@/write2mb,141
0,us-west-1,compute-node,compute-node@POST@/write2mb,146
0,us-west-1,frontend,frontend@POST@/write2mb,155
0,us-west-1,compute-node,compute-node@POST@/write2mb,159
0,us-west-1,frontend,frontend@POST@/write2mb,146
0,us-west-1,compute-node,compute-node@POST@/write2mb,159
0,us-west-1,frontend,frontend@POST@/write2mb,168
0,us-west-1,compute-node,compute-node@POST@/write2mb,165
0,us-west-1,frontend,frontend@POST@/write2mb,157
0,us-west-1,compute-node,compute-node@POST@/write2mb,151
0,us-west-1,frontend,frontend@POST@/write2mb,158
0,us-west-1,compute-node,compute-node@POST@/write2mb,160
0,us-west-1,frontend,frontend@POST@/write2mb,164
0,us-west-1,compute-node,compute-node@POST@/write2mb,178
0,us-west-1,frontend,frontend@POST@/write2mb,172
0,us-west-1,compute-node,compute-node@POST@/write2mb,162
0,us-west-1,frontend,frontend@POST@/write2mb,181
0,us-west-1,compute-node,compute-node@POST@/write2mb,184
0,us-west-1,frontend,frontend@POST@/write2mb,165
0,us-west-1,compute-node,compute-node@POST@/write2mb,151
0,us-west-1,frontend,frontend@POST@/write2mb,152
0,us-west-1,compute-node,compute-node@POST@/write2mb,170
0,us-west-1,frontend,frontend@POST@/write2mb,177
0,us-west-1,compute-node,compute-node@POST@/write2mb,175
0,us-west-1,frontend,frontend@POST@/write2mb,158
0,us-west-1,compute-node,compute-node@POST@/write2mb,144
0,us-west-1,frontend,frontend@POST@/write2mb,164
0,us-west-1,compute-node,compute-node@POST@/write2mb,188
0,us-west-1,frontend,frontend@POST@/write2mb,180
0,us-west-1,compute-node,compute-node@POST@/write2mb,168
0,us-west-1,frontend,frontend@POST@/write2mb,155
0,us-west-1,compute-node,compute-node@POST@/write2mb,148
0,us-west-1,frontend,frontend@POST@/write2mb,155
0,us-west-1,compute-node,compute-node@POST@/write2mb,160
0,us-west-1,frontend,frontend@POST@/write2mb,160
0,us-west-1,compute-node,compute-node@POST@/write2mb,166
0,us-west-1,frontend,frontend@POST@/write2mb,169
0,us-west-1,compute-node,compute-node@POST@/write2mb,161
0,us-west-1,frontend,frontend@POST@/write2mb,150
0,us-west-1,compute-node,compute-node@POST@/write2mb,125
0,us-west-1,frontend,frontend@POST@/write2mb,120
0,us-west-1,compute-node,compute-node@POST@/write2mb,146
0,us-west-1,frontend,frontend@POST@/write2mb,151
0,us-west-1,compute-node,compute-node@POST@/write2mb,156
0,us-west-1,frontend,frontend@POST@/write2mb,172
0,us-west-1,compute-node,compute-node@POST@/write2mb,159
0,us-west-1,frontend,frontend@POST@/write2mb,149
0,us-west-1,compute-node,compute-node@POST@/write2mb,148
0,us-west-1,frontend,frontend@POST@/write2mb,156
0,us-west-1,compute-node,compute-node@POST@/write2mb,170
0,us-west-1,frontend,frontend@POST@/write2mb,174
0,us-west-1,compute-node,compute-node@POST@/write2mb,166
0,us-west-1,frontend,frontend@POST@/write2mb,175
0,us-west-1,compute-node,compute-node@POST@/write2mb,178
0,us-west-1,frontend,frontend@POST@/write2mb,165
0,us-west-1,compute-node,compute-node@POST@/write2mb,166
0,us-west-1,frontend,frontend@POST@/write2mb,169
0,us-west-1,compute-node,compute-node@POST@/write2mb,166
0,us-west-1,frontend,frontend@POST@/write2mb,179
0,us-west-1,compute-node,compute-node@POST@/write2mb,168
0,us-west-1,frontend,frontend@POST@/write2mb,155
0,us-west-1,compute-node,compute-node@POST@/write2mb,159
0,us-west-1,frontend,frontend@POST@/write2mb,149
0,us-west-1,compute-node,compute-node@POST@/write2mb,148
0,us-west-1,frontend,frontend@POST@/write2mb,149
