index_col,counter,src_svc,dst_svc,src_endpoint,dst_endpoint,src_cid,dst_cid,flow,total,weight
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",1,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,17,17,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",1,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,17,17,1.0
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",2,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,17,17,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",2,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,459,459,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",2,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,16,16,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",2,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,459,459,1.0
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",3,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,159,467,0.3404710920770878
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",3,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,308,467,0.6595289079229122
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",3,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,73,73,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",3,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,480,480,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",3,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,466,466,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",3,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,73,553,0.13200723327305605
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",3,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,480,553,0.8679927667269439
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",4,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,71,71,1.0
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",4,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,144,484,0.2975206611570248
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",4,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,340,484,0.7024793388429752
