counter,region,service,endpoint, rps
0,us-east-1,frontend,frontend@POST@/write1mb,0
0,us-east-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,compute-node,compute-node@POST@/write1mb,0
0,us-east-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,compute-node,compute-node@POST@/write1mb,0
0,us-west-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,frontend,frontend@POST@/write1mb,0
0,us-west-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,frontend,frontend@POST@/write1mb,0
0,us-east-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,compute-node,compute-node@POST@/write1mb,0
0,us-east-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,compute-node,compute-node@POST@/write1mb,0
0,us-west-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,frontend,frontend@POST@/write1mb,0
0,us-west-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,frontend,frontend@POST@/write1mb,0
0,us-east-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,compute-node,compute-node@POST@/write1mb,0
0,us-east-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,compute-node,compute-node@POST@/write1mb,0
0,us-west-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,frontend,frontend@POST@/write1mb,0
0,us-west-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,frontend,frontend@POST@/write1mb,0
0,us-east-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,compute-node,compute-node@POST@/write1mb,0
0,us-east-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,compute-node,compute-node@POST@/write1mb,0
0,us-west-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,frontend,frontend@POST@/write1mb,0
0,us-west-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,frontend,frontend@POST@/write1mb,0
0,us-east-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,compute-node,compute-node@POST@/write1mb,0
0,us-east-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,compute-node,compute-node@POST@/write1mb,0
0,us-west-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,frontend,frontend@POST@/write1mb,0
0,us-west-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,frontend,frontend@POST@/write1mb,0
0,us-east-1,frontend,frontend@POST@/write10kb,0
0,us-east-1,compute-node,compute-node@POST@/write1mb,0
0,us-east-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,compute-node,compute-node@POST@/write1mb,0
0,us-west-1,compute-node,compute-node@POST@/write10kb,0
0,us-west-1,frontend,frontend@POST@/write1mb,0
0,us-west-1,frontend,frontend@POST@/write10kb,0
1,us-east-1,frontend,frontend@POST@/write1mb,0
1,us-east-1,frontend,frontend@POST@/write10kb,0
1,us-east-1,compute-node,compute-node@POST@/write1mb,0
1,us-east-1,compute-node,compute-node@POST@/write10kb,0
1,us-west-1,compute-node,compute-node@POST@/write1mb,0
1,us-west-1,compute-node,compute-node@POST@/write10kb,16
1,us-west-1,frontend,frontend@POST@/write1mb,0
1,us-west-1,frontend,frontend@POST@/write10kb,127
2,us-east-1,frontend,frontend@POST@/write1mb,0
2,us-east-1,frontend,frontend@POST@/write10kb,0
2,us-east-1,compute-node,compute-node@POST@/write1mb,0
2,us-east-1,compute-node,compute-node@POST@/write10kb,0
2,us-west-1,compute-node,compute-node@POST@/write1mb,32
2,us-west-1,compute-node,compute-node@POST@/write10kb,480
2,us-west-1,frontend,frontend@POST@/write1mb,130
2,us-west-1,frontend,frontend@POST@/write10kb,513
3,us-east-1,frontend,frontend@POST@/write1mb,0
3,us-east-1,frontend,frontend@POST@/write10kb,96
3,us-east-1,compute-node,compute-node@POST@/write1mb,0
3,us-east-1,compute-node,compute-node@POST@/write10kb,76
3,us-west-1,compute-node,compute-node@POST@/write1mb,343
3,us-west-1,compute-node,compute-node@POST@/write10kb,359
3,us-west-1,frontend,frontend@POST@/write1mb,345
3,us-west-1,frontend,frontend@POST@/write10kb,330
4,us-east-1,frontend,frontend@POST@/write1mb,96
4,us-east-1,frontend,frontend@POST@/write10kb,104
4,us-east-1,compute-node,compute-node@POST@/write1mb,76
4,us-east-1,compute-node,compute-node@POST@/write10kb,101
4,us-west-1,compute-node,compute-node@POST@/write1mb,155
4,us-west-1,compute-node,compute-node@POST@/write10kb,146
4,us-west-1,frontend,frontend@POST@/write1mb,253
4,us-west-1,frontend,frontend@POST@/write10kb,256
5,us-east-1,frontend,frontend@POST@/write1mb,106
5,us-east-1,frontend,frontend@POST@/write10kb,109
5,us-east-1,compute-node,compute-node@POST@/write1mb,100
5,us-east-1,compute-node,compute-node@POST@/write10kb,107
5,us-west-1,compute-node,compute-node@POST@/write1mb,350
5,us-west-1,compute-node,compute-node@POST@/write10kb,363
5,us-west-1,frontend,frontend@POST@/write1mb,550
5,us-west-1,frontend,frontend@POST@/write10kb,560
6,us-east-1,frontend,frontend@POST@/write1mb,106
6,us-east-1,frontend,frontend@POST@/write10kb,97
6,us-east-1,compute-node,compute-node@POST@/write1mb,106
6,us-east-1,compute-node,compute-node@POST@/write10kb,102
6,us-west-1,compute-node,compute-node@POST@/write1mb,644
6,us-west-1,compute-node,compute-node@POST@/write10kb,661
6,us-west-1,frontend,frontend@POST@/write1mb,629
6,us-west-1,frontend,frontend@POST@/write10kb,679
7,us-east-1,frontend,frontend@POST@/write1mb,97
7,us-east-1,frontend,frontend@POST@/write10kb,129
7,us-east-1,compute-node,compute-node@POST@/write1mb,210
7,us-east-1,compute-node,compute-node@POST@/write10kb,222
7,us-west-1,compute-node,compute-node@POST@/write1mb,614
7,us-west-1,compute-node,compute-node@POST@/write10kb,648
7,us-west-1,frontend,frontend@POST@/write1mb,508
7,us-west-1,frontend,frontend@POST@/write10kb,491
8,us-east-1,frontend,frontend@POST@/write1mb,130
8,us-east-1,frontend,frontend@POST@/write10kb,108
8,us-east-1,compute-node,compute-node@POST@/write1mb,398
8,us-east-1,compute-node,compute-node@POST@/write10kb,363
8,us-west-1,compute-node,compute-node@POST@/write1mb,328
8,us-west-1,compute-node,compute-node@POST@/write10kb,338
8,us-west-1,frontend,frontend@POST@/write1mb,603
8,us-west-1,frontend,frontend@POST@/write10kb,568
9,us-east-1,frontend,frontend@POST@/write1mb,107
9,us-east-1,frontend,frontend@POST@/write10kb,89
9,us-east-1,compute-node,compute-node@POST@/write1mb,329
9,us-east-1,compute-node,compute-node@POST@/write10kb,295
9,us-west-1,compute-node,compute-node@POST@/write1mb,370
9,us-west-1,compute-node,compute-node@POST@/write10kb,349
9,us-west-1,frontend,frontend@POST@/write1mb,536
9,us-west-1,frontend,frontend@POST@/write10kb,554
10,us-east-1,frontend,frontend@POST@/write1mb,88
10,us-east-1,frontend,frontend@POST@/write10kb,93
10,us-east-1,compute-node,compute-node@POST@/write1mb,250
10,us-east-1,compute-node,compute-node@POST@/write10kb,269
