counter,region,service,endpoint, rps
0,us-west-1,compute-node,compute-node@POST@/write10kb,1127
0,us-west-1,frontend,frontend@POST@/write10kb,212
0,us-west-1,compute-node,compute-node@POST@/write10kb,1065
0,us-west-1,frontend,frontend@POST@/write10kb,1219
0,us-west-1,compute-node,compute-node@POST@/write10kb,1108
0,us-west-1,frontend,frontend@POST@/write10kb,1047
0,us-west-1,compute-node,compute-node@POST@/write10kb,1080
0,us-west-1,frontend,frontend@POST@/write10kb,1086
0,us-west-1,compute-node,compute-node@POST@/write10kb,1116
0,us-west-1,frontend,frontend@POST@/write10kb,1101
0,us-west-1,compute-node,compute-node@POST@/write10kb,1037
0,us-west-1,frontend,frontend@POST@/write10kb,1090
0,us-west-1,compute-node,compute-node@POST@/write10kb,1135
0,us-west-1,frontend,frontend@POST@/write10kb,1057
0,us-west-1,compute-node,compute-node@POST@/write10kb,1082
0,us-west-1,frontend,frontend@POST@/write10kb,1135
0,us-west-1,compute-node,compute-node@POST@/write10kb,1055
0,us-west-1,frontend,frontend@POST@/write10kb,1104
0,us-west-1,compute-node,compute-node@POST@/write10kb,1094
0,us-west-1,frontend,frontend@POST@/write10kb,1012
0,us-west-1,compute-node,compute-node@POST@/write10kb,1068
0,us-west-1,frontend,frontend@POST@/write10kb,1137
0,us-west-1,compute-node,compute-node@POST@/write10kb,1119
0,us-west-1,frontend,frontend@POST@/write10kb,1052
0,us-west-1,compute-node,compute-node@POST@/write10kb,1130
0,us-west-1,frontend,frontend@POST@/write10kb,1154
0,us-west-1,compute-node,compute-node@POST@/write10kb,1100
0,us-west-1,frontend,frontend@POST@/write10kb,1112
0,us-west-1,compute-node,compute-node@POST@/write10kb,1032
0,us-west-1,frontend,frontend@POST@/write10kb,1071
0,us-west-1,compute-node,compute-node@POST@/write10kb,1119
0,us-west-1,frontend,frontend@POST@/write10kb,1031
0,us-west-1,compute-node,compute-node@POST@/write10kb,1077
0,us-west-1,frontend,frontend@POST@/write10kb,1108
0,us-west-1,compute-node,compute-node@POST@/write10kb,1044
0,us-west-1,frontend,frontend@POST@/write10kb,1085
