Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-5f47984bf6-d8q6m,server,1,196
default,adservice-us-central-1-5f47984bf6-d8q6m,istio-proxy,6,46
default,adservice-us-central-1-5f47984bf6-fktbq,server,1,196
default,adservice-us-central-1-5f47984bf6-fktbq,istio-proxy,3,46
default,adservice-us-central-1-5f47984bf6-gt67h,server,1,194
default,adservice-us-central-1-5f47984bf6-gt67h,istio-proxy,7,45
default,adservice-us-east-1-8554569554-d2lhc,server,1,195
default,adservice-us-east-1-8554569554-d2lhc,istio-proxy,5,46
default,adservice-us-east-1-8554569554-jmrk8,server,1,194
default,adservice-us-east-1-8554569554-jmrk8,istio-proxy,4,46
default,adservice-us-east-1-8554569554-kcxl8,server,1,193
default,adservice-us-east-1-8554569554-kcxl8,istio-proxy,6,45
default,adservice-us-south-1-9f995dcb4-8t254,server,1,195
default,adservice-us-south-1-9f995dcb4-8t254,istio-proxy,6,46
default,adservice-us-south-1-9f995dcb4-nz9ld,server,1,196
default,adservice-us-south-1-9f995dcb4-nz9ld,istio-proxy,6,47
default,adservice-us-south-1-9f995dcb4-xfmmr,server,1,193
default,adservice-us-south-1-9f995dcb4-xfmmr,istio-proxy,6,46
default,adservice-us-west-1-5f6ddcb9d4-pv7bm,server,3,120
default,adservice-us-west-1-5f6ddcb9d4-pv7bm,istio-proxy,5,45
default,adservice-us-west-1-5f6ddcb9d4-shqn2,server,2,120
default,adservice-us-west-1-5f6ddcb9d4-shqn2,istio-proxy,5,45
default,adservice-us-west-1-5f6ddcb9d4-sp2gq,server,2,113
default,adservice-us-west-1-5f6ddcb9d4-sp2gq,istio-proxy,7,45
default,cartservice-us-central-1-78f5c649d7-5s26b,server,0,36
default,cartservice-us-central-1-78f5c649d7-5s26b,istio-proxy,6,47
default,cartservice-us-central-1-78f5c649d7-7vf4l,server,0,35
default,cartservice-us-central-1-78f5c649d7-7vf4l,istio-proxy,7,47
default,cartservice-us-central-1-78f5c649d7-lswz7,server,0,39
default,cartservice-us-central-1-78f5c649d7-lswz7,istio-proxy,6,47
default,cartservice-us-east-1-5dc8b6fb7c-fnpfk,server,0,35
default,cartservice-us-east-1-5dc8b6fb7c-fnpfk,istio-proxy,6,47
default,cartservice-us-east-1-5dc8b6fb7c-m84tz,server,1,35
default,cartservice-us-east-1-5dc8b6fb7c-m84tz,istio-proxy,3,47
default,cartservice-us-east-1-5dc8b6fb7c-pq4qf,server,1,35
default,cartservice-us-east-1-5dc8b6fb7c-pq4qf,istio-proxy,4,47
default,cartservice-us-south-1-64447557d7-j6p8w,server,0,40
default,cartservice-us-south-1-64447557d7-j6p8w,istio-proxy,4,46
default,cartservice-us-south-1-64447557d7-l7l7s,server,1,36
default,cartservice-us-south-1-64447557d7-l7l7s,istio-proxy,4,46
default,cartservice-us-south-1-64447557d7-mz4wv,server,0,35
default,cartservice-us-south-1-64447557d7-mz4wv,istio-proxy,3,46
default,cartservice-us-west-1-86cd7cd97f-5llnf,server,8,27
default,cartservice-us-west-1-86cd7cd97f-5llnf,istio-proxy,6,45
default,cartservice-us-west-1-86cd7cd97f-cvq66,server,79,37
default,cartservice-us-west-1-86cd7cd97f-cvq66,istio-proxy,5,45
default,cartservice-us-west-1-86cd7cd97f-jzpl7,server,4,27
