Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-86f54f788c-tgljg,server,1,193
default,adservice-us-central-1-86f54f788c-tgljg,istio-proxy,5,83
default,adservice-us-central-1-86f54f788c-wfcvg,server,1,198
default,adservice-us-central-1-86f54f788c-wfcvg,istio-proxy,3,81
default,adservice-us-central-1-86f54f788c-wzfkr,server,4,194
default,adservice-us-central-1-86f54f788c-wzfkr,istio-proxy,5,85
default,adservice-us-east-1-74df56946c-6k8qp,server,2,193
default,adservice-us-east-1-74df56946c-6k8qp,istio-proxy,4,86
default,adservice-us-east-1-74df56946c-j5pnf,server,4,195
default,adservice-us-east-1-74df56946c-j5pnf,istio-proxy,4,85
default,adservice-us-east-1-74df56946c-kcbtq,server,2,198
default,adservice-us-east-1-74df56946c-kcbtq,istio-proxy,4,86
default,adservice-us-south-1-b9cbb4987-nhtbl,server,4,193
default,adservice-us-south-1-b9cbb4987-nhtbl,istio-proxy,3,84
default,adservice-us-south-1-b9cbb4987-tfxx6,server,2,196
default,adservice-us-south-1-b9cbb4987-tfxx6,istio-proxy,6,84
default,adservice-us-south-1-b9cbb4987-zxrbr,server,2,195
default,adservice-us-south-1-b9cbb4987-zxrbr,istio-proxy,4,83
default,adservice-us-west-1-b7b47ffdf-4ckk4,server,4,137
default,adservice-us-west-1-b7b47ffdf-4ckk4,istio-proxy,5,85
default,adservice-us-west-1-b7b47ffdf-542rd,server,4,134
default,adservice-us-west-1-b7b47ffdf-542rd,istio-proxy,3,84
default,adservice-us-west-1-b7b47ffdf-rdn4s,server,0,129
default,adservice-us-west-1-b7b47ffdf-rdn4s,istio-proxy,5,83
default,cartservice-us-central-1-cff64cf66-6ngx6,server,0,38
default,cartservice-us-central-1-cff64cf66-6ngx6,istio-proxy,4,83
default,cartservice-us-central-1-cff64cf66-dsbnr,server,0,38
default,cartservice-us-central-1-cff64cf66-dsbnr,istio-proxy,5,86
default,cartservice-us-central-1-cff64cf66-lwq8p,server,0,38
default,cartservice-us-central-1-cff64cf66-lwq8p,istio-proxy,3,84
default,cartservice-us-east-1-7b8d6cfd86-ddx56,server,0,37
default,cartservice-us-east-1-7b8d6cfd86-ddx56,istio-proxy,4,85
default,cartservice-us-east-1-7b8d6cfd86-txswl,server,0,38
default,cartservice-us-east-1-7b8d6cfd86-txswl,istio-proxy,3,86
default,cartservice-us-east-1-7b8d6cfd86-xqj7k,server,0,39
default,cartservice-us-east-1-7b8d6cfd86-xqj7k,istio-proxy,5,84
default,cartservice-us-south-1-5b8967854b-7f62b,server,0,38
default,cartservice-us-south-1-5b8967854b-7f62b,istio-proxy,3,84
default,cartservice-us-south-1-5b8967854b-rrl9s,server,0,37
default,cartservice-us-south-1-5b8967854b-rrl9s,istio-proxy,5,84
default,cartservice-us-south-1-5b8967854b-tnxfx,server,0,37
default,cartservice-us-south-1-5b8967854b-tnxfx,istio-proxy,4,86
default,cartservice-us-west-1-5f76f645b4-4zl4h,server,1,28
default,cartservice-us-west-1-5f76f645b4-4zl4h,istio-proxy,76,85
default,cartservice-us-west-1-5f76f645b4-8l5kh,server,6,28
default,cartservice-us-west-1-5f76f645b4-8l5kh,istio-proxy,68,87
default,cartservice-us-west-1-5f76f645b4-q687v,server,161,44
default,cartservice-us-west-1-5f76f645b4-q687v,istio-proxy,6,83
default,checkoutservice-us-central-1-69cbccd69f-2w2rb,server,0,9
default,checkoutservice-us-central-1-69cbccd69f-2w2rb,istio-proxy,3,84
default,checkoutservice-us-central-1-69cbccd69f-ptbgp,server,0,9
default,checkoutservice-us-central-1-69cbccd69f-ptbgp,istio-proxy,5,83
default,checkoutservice-us-central-1-69cbccd69f-rk24j,server,0,9
default,checkoutservice-us-central-1-69cbccd69f-rk24j,istio-proxy,4,83
default,checkoutservice-us-east-1-75fdcb94f-ktrlq,server,0,9
default,checkoutservice-us-east-1-75fdcb94f-ktrlq,istio-proxy,4,85
default,checkoutservice-us-east-1-75fdcb94f-tpxcf,server,0,9
default,checkoutservice-us-east-1-75fdcb94f-tpxcf,istio-proxy,5,85
default,checkoutservice-us-east-1-75fdcb94f-wqsb5,server,0,9
default,checkoutservice-us-east-1-75fdcb94f-wqsb5,istio-proxy,5,83
default,checkoutservice-us-south-1-595fff659-7vvlr,server,0,9
default,checkoutservice-us-south-1-595fff659-7vvlr,istio-proxy,4,83
default,checkoutservice-us-south-1-595fff659-g58t4,server,0,9
default,checkoutservice-us-south-1-595fff659-g58t4,istio-proxy,3,85
default,checkoutservice-us-south-1-595fff659-rdzgq,server,0,9
default,checkoutservice-us-south-1-595fff659-rdzgq,istio-proxy,6,84
default,checkoutservice-us-west-1-7dbd59b59f-8pzr7,server,0,11
default,checkoutservice-us-west-1-7dbd59b59f-8pzr7,istio-proxy,6,84
default,checkoutservice-us-west-1-7dbd59b59f-b98sk,server,0,8
default,checkoutservice-us-west-1-7dbd59b59f-b98sk,istio-proxy,5,84
default,checkoutservice-us-west-1-7dbd59b59f-glfwh,server,59,14
