Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-559b7d5777-4cht7,server,1,196
default,adservice-us-central-1-559b7d5777-4cht7,istio-proxy,3,83
default,adservice-us-central-1-559b7d5777-dzcnr,server,1,194
default,adservice-us-central-1-559b7d5777-dzcnr,istio-proxy,3,85
default,adservice-us-central-1-559b7d5777-wskm8,server,1,197
default,adservice-us-central-1-559b7d5777-wskm8,istio-proxy,4,86
default,adservice-us-east-1-c845648bf-2sf4z,server,1,193
default,adservice-us-east-1-c845648bf-2sf4z,istio-proxy,3,84
default,adservice-us-east-1-c845648bf-mbg54,server,1,194
default,adservice-us-east-1-c845648bf-mbg54,istio-proxy,4,82
default,adservice-us-east-1-c845648bf-q2d9c,server,1,194
default,adservice-us-east-1-c845648bf-q2d9c,istio-proxy,3,83
default,adservice-us-south-1-f4466949-cjls7,server,1,196
default,adservice-us-south-1-f4466949-cjls7,istio-proxy,4,83
default,adservice-us-south-1-f4466949-g88kz,server,1,194
default,adservice-us-south-1-f4466949-g88kz,istio-proxy,3,84
default,adservice-us-south-1-f4466949-p9d86,server,1,195
default,adservice-us-south-1-f4466949-p9d86,istio-proxy,3,82
default,adservice-us-west-1-6dc9956b7d-5bgn9,server,2,128
default,adservice-us-west-1-6dc9956b7d-5bgn9,istio-proxy,4,85
default,adservice-us-west-1-6dc9956b7d-pvwp2,server,2,129
default,adservice-us-west-1-6dc9956b7d-pvwp2,istio-proxy,6,84
default,adservice-us-west-1-6dc9956b7d-qh9d8,server,4,120
default,adservice-us-west-1-6dc9956b7d-qh9d8,istio-proxy,6,83
default,cartservice-us-central-1-867ff76fcb-594rb,server,0,37
default,cartservice-us-central-1-867ff76fcb-594rb,istio-proxy,3,85
default,cartservice-us-central-1-867ff76fcb-6pdj4,server,0,36
default,cartservice-us-central-1-867ff76fcb-6pdj4,istio-proxy,4,85
default,cartservice-us-central-1-867ff76fcb-qgpx7,server,0,37
default,cartservice-us-central-1-867ff76fcb-qgpx7,istio-proxy,3,84
default,cartservice-us-east-1-9b9c664cb-9jf9l,server,0,41
default,cartservice-us-east-1-9b9c664cb-9jf9l,istio-proxy,3,85
default,cartservice-us-east-1-9b9c664cb-j7n4p,server,0,37
default,cartservice-us-east-1-9b9c664cb-j7n4p,istio-proxy,6,84
default,cartservice-us-east-1-9b9c664cb-lzgt9,server,0,37
default,cartservice-us-east-1-9b9c664cb-lzgt9,istio-proxy,3,83
default,cartservice-us-south-1-6c74fd9576-6fk7b,server,0,37
default,cartservice-us-south-1-6c74fd9576-6fk7b,istio-proxy,4,84
default,cartservice-us-south-1-6c74fd9576-99lks,server,0,37
default,cartservice-us-south-1-6c74fd9576-99lks,istio-proxy,3,82
default,cartservice-us-south-1-6c74fd9576-sdnjq,server,1,37
