counter,region,service,endpoint, rps
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-central-1,consul,consul@PUT@/v1/agent/service/register,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-central-1,consul,consul@PUT@/v1/agent/service/register,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-central-1,consul,consul@PUT@/v1/agent/service/register,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-central-1,consul,consul@PUT@/v1/agent/service/register,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-central-1,consul,consul@PUT@/v1/agent/service/register,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-central-1,consul,consul@PUT@/v1/agent/service/register,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-central-1,consul,consul@PUT@/v1/agent/service/register,0
0,us-west-1,frontend,frontend@POST@/reservation,0
0,us-central-1,consul,consul@PUT@/v1/agent/service/register,0
