Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-84747485bc-279mp,server,5,216
default,adservice-us-central-1-84747485bc-279mp,istio-proxy,3,84
default,adservice-us-central-1-84747485bc-rdzgh,server,1,215
default,adservice-us-central-1-84747485bc-rdzgh,istio-proxy,3,86
default,adservice-us-central-1-84747485bc-vcwg4,server,1,222
default,adservice-us-central-1-84747485bc-vcwg4,istio-proxy,4,85
default,adservice-us-east-1-779fbf78c-25m47,server,1,215
default,adservice-us-east-1-779fbf78c-25m47,istio-proxy,3,85
default,adservice-us-east-1-779fbf78c-66rlj,server,0,214
default,adservice-us-east-1-779fbf78c-66rlj,istio-proxy,3,85
default,adservice-us-east-1-779fbf78c-8g5bs,server,0,217
default,adservice-us-east-1-779fbf78c-8g5bs,istio-proxy,4,85
default,adservice-us-south-1-578f649979-f5f8c,server,3,216
default,adservice-us-south-1-578f649979-f5f8c,istio-proxy,4,85
default,adservice-us-south-1-578f649979-kt2lv,server,1,214
default,adservice-us-south-1-578f649979-kt2lv,istio-proxy,2,83
default,adservice-us-south-1-578f649979-pbwsm,server,3,215
default,adservice-us-south-1-578f649979-pbwsm,istio-proxy,4,85
default,adservice-us-west-1-f5fcf4b87-hc2r7,server,0,102
default,adservice-us-west-1-f5fcf4b87-hc2r7,istio-proxy,3,81
default,adservice-us-west-1-f5fcf4b87-rdglc,server,2,136
default,adservice-us-west-1-f5fcf4b87-rdglc,istio-proxy,4,82
default,adservice-us-west-1-f5fcf4b87-rml2c,server,2,119
default,adservice-us-west-1-f5fcf4b87-rml2c,istio-proxy,4,80
default,cartservice-us-central-1-75887dd45d-nt7p2,server,0,59
default,cartservice-us-central-1-75887dd45d-nt7p2,istio-proxy,3,84
default,cartservice-us-central-1-75887dd45d-q8zwb,server,0,56
default,cartservice-us-central-1-75887dd45d-q8zwb,istio-proxy,3,84
default,cartservice-us-central-1-75887dd45d-tsm2d,server,0,56
default,cartservice-us-central-1-75887dd45d-tsm2d,istio-proxy,2,84
default,cartservice-us-east-1-76494b94f4-gbszh,server,0,59
default,cartservice-us-east-1-76494b94f4-gbszh,istio-proxy,3,85
default,cartservice-us-east-1-76494b94f4-m52t8,server,0,60
default,cartservice-us-east-1-76494b94f4-m52t8,istio-proxy,3,85
default,cartservice-us-east-1-76494b94f4-n8824,server,0,60
default,cartservice-us-east-1-76494b94f4-n8824,istio-proxy,3,86
default,cartservice-us-south-1-5cc58c5f8-4xt6c,server,0,57
default,cartservice-us-south-1-5cc58c5f8-4xt6c,istio-proxy,4,84
default,cartservice-us-south-1-5cc58c5f8-9pl5p,server,0,55
default,cartservice-us-south-1-5cc58c5f8-9pl5p,istio-proxy,2,84
default,cartservice-us-south-1-5cc58c5f8-bwt8f,server,0,58
default,cartservice-us-south-1-5cc58c5f8-bwt8f,istio-proxy,2,86
default,cartservice-us-west-1-55d5c68db6-czqbf,server,9,29
default,cartservice-us-west-1-55d5c68db6-czqbf,istio-proxy,196,84
default,cartservice-us-west-1-55d5c68db6-dnzlj,server,319,55
default,cartservice-us-west-1-55d5c68db6-dnzlj,istio-proxy,3,81
default,cartservice-us-west-1-55d5c68db6-r67xn,server,1,26
default,cartservice-us-west-1-55d5c68db6-r67xn,istio-proxy,4,83
default,checkoutservice-us-central-1-5494c796cf-5qdsh,server,0,8
default,checkoutservice-us-central-1-5494c796cf-5qdsh,istio-proxy,4,84
default,checkoutservice-us-central-1-5494c796cf-6mk8m,server,0,9
default,checkoutservice-us-central-1-5494c796cf-6mk8m,istio-proxy,4,84
default,checkoutservice-us-central-1-5494c796cf-v8fl7,server,0,8
default,checkoutservice-us-central-1-5494c796cf-v8fl7,istio-proxy,3,85
default,checkoutservice-us-east-1-8494fcd6c7-6xjhh,server,0,8
default,checkoutservice-us-east-1-8494fcd6c7-6xjhh,istio-proxy,4,84
default,checkoutservice-us-east-1-8494fcd6c7-985pc,server,0,8
default,checkoutservice-us-east-1-8494fcd6c7-985pc,istio-proxy,3,84
default,checkoutservice-us-east-1-8494fcd6c7-r4sxs,server,0,8
default,checkoutservice-us-east-1-8494fcd6c7-r4sxs,istio-proxy,4,86
default,checkoutservice-us-south-1-7b8689c94c-g6pvx,server,0,8
default,checkoutservice-us-south-1-7b8689c94c-g6pvx,istio-proxy,2,84
default,checkoutservice-us-south-1-7b8689c94c-mdd62,server,0,8
default,checkoutservice-us-south-1-7b8689c94c-mdd62,istio-proxy,4,85
default,checkoutservice-us-south-1-7b8689c94c-mtzzj,server,0,9
default,checkoutservice-us-south-1-7b8689c94c-mtzzj,istio-proxy,3,85
default,checkoutservice-us-west-1-79bdffd6df-69lwq,server,0,7
default,checkoutservice-us-west-1-79bdffd6df-69lwq,istio-proxy,3,82
default,checkoutservice-us-west-1-79bdffd6df-hp2wg,server,0,8
default,checkoutservice-us-west-1-79bdffd6df-hp2wg,istio-proxy,4,82
default,checkoutservice-us-west-1-79bdffd6df-mt9lx,server,0,8
default,checkoutservice-us-west-1-79bdffd6df-mt9lx,istio-proxy,3,83
default,currencyservice-us-central-1-7c5d75576f-8gkv9,server,0,23
default,currencyservice-us-central-1-7c5d75576f-8gkv9,istio-proxy,3,85
default,currencyservice-us-central-1-7c5d75576f-c2m8v,server,0,23
default,currencyservice-us-central-1-7c5d75576f-c2m8v,istio-proxy,4,84
default,currencyservice-us-central-1-7c5d75576f-v2gnb,server,0,22
default,currencyservice-us-central-1-7c5d75576f-v2gnb,istio-proxy,4,86
default,currencyservice-us-east-1-64dbdc466f-v64wr,server,0,22
default,currencyservice-us-east-1-64dbdc466f-v64wr,istio-proxy,3,84
default,currencyservice-us-east-1-64dbdc466f-v7d64,server,0,22
default,currencyservice-us-east-1-64dbdc466f-v7d64,istio-proxy,3,84
default,currencyservice-us-east-1-64dbdc466f-wmshr,server,0,23
default,currencyservice-us-east-1-64dbdc466f-wmshr,istio-proxy,2,85
default,currencyservice-us-south-1-5b56b5849c-nqv5r,server,0,21
default,currencyservice-us-south-1-5b56b5849c-nqv5r,istio-proxy,3,85
default,currencyservice-us-south-1-5b56b5849c-pnv7j,server,1,24
default,currencyservice-us-south-1-5b56b5849c-pnv7j,istio-proxy,3,85
default,currencyservice-us-south-1-5b56b5849c-swnnt,server,0,22
default,currencyservice-us-south-1-5b56b5849c-swnnt,istio-proxy,4,86
default,currencyservice-us-west-1-75558f8bb5-52tcq,server,0,18
default,currencyservice-us-west-1-75558f8bb5-52tcq,istio-proxy,3,82
default,currencyservice-us-west-1-75558f8bb5-854b7,server,0,15
default,currencyservice-us-west-1-75558f8bb5-854b7,istio-proxy,3,83
default,currencyservice-us-west-1-75558f8bb5-tq5dr,server,0,16
default,currencyservice-us-west-1-75558f8bb5-tq5dr,istio-proxy,4,84
default,emailservice-us-central-1-868d9498f5-g4b5z,server,1,41
default,emailservice-us-central-1-868d9498f5-g4b5z,istio-proxy,4,86
default,emailservice-us-central-1-868d9498f5-npm7w,server,1,40
default,emailservice-us-central-1-868d9498f5-npm7w,istio-proxy,3,85
default,emailservice-us-central-1-868d9498f5-vwjz7,server,1,40
default,emailservice-us-central-1-868d9498f5-vwjz7,istio-proxy,5,86
default,emailservice-us-east-1-699498d6cc-f8ww5,server,1,41
default,emailservice-us-east-1-699498d6cc-f8ww5,istio-proxy,5,86
default,emailservice-us-east-1-699498d6cc-mgc2t,server,1,41
default,emailservice-us-east-1-699498d6cc-mgc2t,istio-proxy,4,86
default,emailservice-us-east-1-699498d6cc-t249w,server,1,41
default,emailservice-us-east-1-699498d6cc-t249w,istio-proxy,3,86
default,emailservice-us-south-1-c78b56b67-cqm9r,server,1,40
default,emailservice-us-south-1-c78b56b67-cqm9r,istio-proxy,4,86
default,emailservice-us-south-1-c78b56b67-fqxpm,server,1,41
default,emailservice-us-south-1-c78b56b67-fqxpm,istio-proxy,3,85
default,emailservice-us-south-1-c78b56b67-pqwks,server,1,41
default,emailservice-us-south-1-c78b56b67-pqwks,istio-proxy,4,85
default,emailservice-us-west-1-789fb67897-848sz,server,1,40
default,emailservice-us-west-1-789fb67897-848sz,istio-proxy,5,82
default,emailservice-us-west-1-789fb67897-lbb4m,server,1,40
default,emailservice-us-west-1-789fb67897-lbb4m,istio-proxy,6,83
default,emailservice-us-west-1-789fb67897-z65m7,server,1,40
default,emailservice-us-west-1-789fb67897-z65m7,istio-proxy,3,83
default,frontend-us-central-1-78ff9f459b-9jndm,server,0,10
default,frontend-us-central-1-78ff9f459b-9jndm,istio-proxy,3,83
default,frontend-us-central-1-78ff9f459b-qdcz8,server,0,10
default,frontend-us-central-1-78ff9f459b-qdcz8,istio-proxy,3,82
default,frontend-us-central-1-78ff9f459b-xlphs,server,0,10
default,frontend-us-central-1-78ff9f459b-xlphs,istio-proxy,3,81
default,frontend-us-east-1-7cb87bbc98-4lh82,server,0,10
default,frontend-us-east-1-7cb87bbc98-4lh82,istio-proxy,4,85
default,frontend-us-east-1-7cb87bbc98-8b2nz,server,0,10
default,frontend-us-east-1-7cb87bbc98-8b2nz,istio-proxy,2,84
default,frontend-us-east-1-7cb87bbc98-wcc5g,server,0,10
default,frontend-us-east-1-7cb87bbc98-wcc5g,istio-proxy,3,83
default,frontend-us-south-1-9dc96c784-6gsjh,server,0,10
default,frontend-us-south-1-9dc96c784-6gsjh,istio-proxy,5,83
default,frontend-us-south-1-9dc96c784-dtww8,server,0,10
default,frontend-us-south-1-9dc96c784-dtww8,istio-proxy,3,81
default,frontend-us-south-1-9dc96c784-skcrh,server,0,10
default,frontend-us-south-1-9dc96c784-skcrh,istio-proxy,3,84
default,frontend-us-west-1-746dd4dbd4-t9kvl,server,156,28
default,frontend-us-west-1-746dd4dbd4-t9kvl,istio-proxy,12,84
default,frontend-us-west-1-746dd4dbd4-vqqfk,server,93,21
default,frontend-us-west-1-746dd4dbd4-vqqfk,istio-proxy,3,83
