Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-5bb657f4d5-9fz77,server,0,373
default,adservice-us-central-1-5bb657f4d5-9fz77,istio-proxy,4,100
default,adservice-us-central-1-5bb657f4d5-lr5wv,server,0,373
default,adservice-us-central-1-5bb657f4d5-lr5wv,istio-proxy,4,99
default,adservice-us-central-1-5bb657f4d5-rz962,server,0,359
default,adservice-us-central-1-5bb657f4d5-rz962,istio-proxy,4,98
default,adservice-us-east-1-67cbb54789-ccthh,server,0,371
default,adservice-us-east-1-67cbb54789-ccthh,istio-proxy,3,100
default,adservice-us-east-1-67cbb54789-mvg9m,server,0,369
default,adservice-us-east-1-67cbb54789-mvg9m,istio-proxy,2,102
default,adservice-us-east-1-67cbb54789-nk4dp,server,0,370
default,adservice-us-east-1-67cbb54789-nk4dp,istio-proxy,3,98
default,adservice-us-south-1-5b887b7649-56wmw,server,0,370
default,adservice-us-south-1-5b887b7649-56wmw,istio-proxy,5,99
default,adservice-us-south-1-5b887b7649-fbndj,server,0,328
default,adservice-us-south-1-5b887b7649-fbndj,istio-proxy,4,100
default,adservice-us-south-1-5b887b7649-rc95q,server,0,358
default,adservice-us-south-1-5b887b7649-rc95q,istio-proxy,4,98
default,adservice-us-west-1-5b59d97f5f-2d7l9,server,0,374
default,adservice-us-west-1-5b59d97f5f-2d7l9,istio-proxy,2,92
default,adservice-us-west-1-5b59d97f5f-5s2l8,server,0,370
default,adservice-us-west-1-5b59d97f5f-5s2l8,istio-proxy,2,91
default,adservice-us-west-1-5b59d97f5f-8x5jg,server,0,344
default,adservice-us-west-1-5b59d97f5f-8x5jg,istio-proxy,4,93
default,cartservice-us-central-1-88857b8-4zghg,server,0,98
default,cartservice-us-central-1-88857b8-4zghg,istio-proxy,4,100
default,cartservice-us-central-1-88857b8-smk8f,server,0,101
default,cartservice-us-central-1-88857b8-smk8f,istio-proxy,2,102
default,cartservice-us-central-1-88857b8-x9fm2,server,0,102
default,cartservice-us-central-1-88857b8-x9fm2,istio-proxy,4,100
default,cartservice-us-east-1-f47cb79b4-85cbp,server,0,103
default,cartservice-us-east-1-f47cb79b4-85cbp,istio-proxy,5,101
default,cartservice-us-east-1-f47cb79b4-ngt8w,server,0,97
default,cartservice-us-east-1-f47cb79b4-ngt8w,istio-proxy,5,100
default,cartservice-us-east-1-f47cb79b4-rt8vn,server,0,99
default,cartservice-us-east-1-f47cb79b4-rt8vn,istio-proxy,2,104
default,cartservice-us-south-1-8b576c444-7pr5g,server,0,104
default,cartservice-us-south-1-8b576c444-7pr5g,istio-proxy,4,101
default,cartservice-us-south-1-8b576c444-hf6nb,server,0,100
default,cartservice-us-south-1-8b576c444-hf6nb,istio-proxy,4,100
default,cartservice-us-south-1-8b576c444-zbhj7,server,0,103
default,cartservice-us-south-1-8b576c444-zbhj7,istio-proxy,3,102
default,cartservice-us-west-1-6fbf6459fd-89hn4,server,1,103
default,cartservice-us-west-1-6fbf6459fd-89hn4,istio-proxy,2,94
default,cartservice-us-west-1-6fbf6459fd-cw88l,server,1,110
default,cartservice-us-west-1-6fbf6459fd-cw88l,istio-proxy,4,95
default,cartservice-us-west-1-6fbf6459fd-qlgr5,server,1,109
default,cartservice-us-west-1-6fbf6459fd-qlgr5,istio-proxy,4,94
default,checkoutservice-us-central-1-6b468dd5fc-547rw,server,0,9
default,checkoutservice-us-central-1-6b468dd5fc-547rw,istio-proxy,4,101
default,checkoutservice-us-central-1-6b468dd5fc-dsqqm,server,0,10
default,checkoutservice-us-central-1-6b468dd5fc-dsqqm,istio-proxy,4,101
