Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-bcf4847-5jvg5,server,3,148
default,adservice-us-central-1-bcf4847-5jvg5,istio-proxy,2,81
default,adservice-us-central-1-bcf4847-cwdt6,server,2,153
default,adservice-us-central-1-bcf4847-cwdt6,istio-proxy,2,80
default,adservice-us-central-1-bcf4847-pxw6z,server,0,142
default,adservice-us-central-1-bcf4847-pxw6z,istio-proxy,2,81
default,adservice-us-east-1-cc7546c46-55fzj,server,2,154
default,adservice-us-east-1-cc7546c46-55fzj,istio-proxy,2,79
default,adservice-us-east-1-cc7546c46-h6zz7,server,3,148
default,adservice-us-east-1-cc7546c46-h6zz7,istio-proxy,2,79
default,adservice-us-east-1-cc7546c46-sr6tw,server,2,154
default,adservice-us-east-1-cc7546c46-sr6tw,istio-proxy,2,80
default,adservice-us-south-1-5f7d84464d-652xr,server,3,148
default,adservice-us-south-1-5f7d84464d-652xr,istio-proxy,2,82
default,adservice-us-south-1-5f7d84464d-nhwzv,server,2,153
default,adservice-us-south-1-5f7d84464d-nhwzv,istio-proxy,2,81
default,adservice-us-south-1-5f7d84464d-xf52g,server,3,152
default,adservice-us-south-1-5f7d84464d-xf52g,istio-proxy,2,80
default,adservice-us-west-1-d5dbdb954-fprd2,server,2,152
default,adservice-us-west-1-d5dbdb954-fprd2,istio-proxy,2,80
default,adservice-us-west-1-d5dbdb954-qtb4s,server,3,150
default,adservice-us-west-1-d5dbdb954-qtb4s,istio-proxy,2,79
default,adservice-us-west-1-d5dbdb954-tfjst,server,3,154
default,adservice-us-west-1-d5dbdb954-tfjst,istio-proxy,2,78
default,cartservice-us-central-1-5657f966cf-4tg8z,server,165,65
default,cartservice-us-central-1-5657f966cf-4tg8z,istio-proxy,108,81
default,cartservice-us-central-1-5657f966cf-8blfw,server,167,63
default,cartservice-us-central-1-5657f966cf-8blfw,istio-proxy,108,80
default,cartservice-us-central-1-5657f966cf-r5vz9,server,173,62
default,cartservice-us-central-1-5657f966cf-r5vz9,istio-proxy,110,80
default,cartservice-us-east-1-78bf5cccd5-frs5c,server,166,62
default,cartservice-us-east-1-78bf5cccd5-frs5c,istio-proxy,110,79
default,cartservice-us-east-1-78bf5cccd5-g2sdq,server,170,62
default,cartservice-us-east-1-78bf5cccd5-g2sdq,istio-proxy,109,80
default,cartservice-us-east-1-78bf5cccd5-zd4lh,server,170,58
default,cartservice-us-east-1-78bf5cccd5-zd4lh,istio-proxy,102,81
default,cartservice-us-south-1-6995799c48-66fqc,server,171,60
default,cartservice-us-south-1-6995799c48-66fqc,istio-proxy,110,81
default,cartservice-us-south-1-6995799c48-bjk8n,server,167,64
default,cartservice-us-south-1-6995799c48-bjk8n,istio-proxy,110,80
default,cartservice-us-south-1-6995799c48-n2phr,server,172,64
default,cartservice-us-south-1-6995799c48-n2phr,istio-proxy,106,82
default,cartservice-us-west-1-6d64bdf4b8-2lv6g,server,342,84
default,cartservice-us-west-1-6d64bdf4b8-2lv6g,istio-proxy,249,80
default,cartservice-us-west-1-6d64bdf4b8-2p8s4,server,329,94
default,cartservice-us-west-1-6d64bdf4b8-2p8s4,istio-proxy,243,80
default,cartservice-us-west-1-6d64bdf4b8-ljwsx,server,332,86
default,cartservice-us-west-1-6d64bdf4b8-ljwsx,istio-proxy,237,81
default,checkoutservice-us-central-1-6fbfb5b66f-2gm22,server,115,11
default,checkoutservice-us-central-1-6fbfb5b66f-2gm22,istio-proxy,210,81
default,checkoutservice-us-central-1-6fbfb5b66f-6hj5s,server,119,12
default,checkoutservice-us-central-1-6fbfb5b66f-6hj5s,istio-proxy,218,81
default,checkoutservice-us-central-1-6fbfb5b66f-7ds7k,server,118,11
default,checkoutservice-us-central-1-6fbfb5b66f-7ds7k,istio-proxy,225,81
default,checkoutservice-us-east-1-6779544fb7-2ht9k,server,124,11
default,checkoutservice-us-east-1-6779544fb7-2ht9k,istio-proxy,227,80
default,checkoutservice-us-east-1-6779544fb7-m79nt,server,112,11
default,checkoutservice-us-east-1-6779544fb7-m79nt,istio-proxy,201,80
default,checkoutservice-us-east-1-6779544fb7-ts4g4,server,114,11
default,checkoutservice-us-east-1-6779544fb7-ts4g4,istio-proxy,217,82
default,checkoutservice-us-south-1-766f6b77b-bqfbq,server,124,11
default,checkoutservice-us-south-1-766f6b77b-bqfbq,istio-proxy,222,81
default,checkoutservice-us-south-1-766f6b77b-c9sd2,server,110,11
default,checkoutservice-us-south-1-766f6b77b-c9sd2,istio-proxy,204,80
default,checkoutservice-us-south-1-766f6b77b-dfp7v,server,117,11
default,checkoutservice-us-south-1-766f6b77b-dfp7v,istio-proxy,224,80
default,checkoutservice-us-west-1-5cffb67476-ksxmz,server,443,12
default,checkoutservice-us-west-1-5cffb67476-ksxmz,istio-proxy,883,82
default,checkoutservice-us-west-1-5cffb67476-mtpjs,server,445,12
default,checkoutservice-us-west-1-5cffb67476-mtpjs,istio-proxy,890,81
default,checkoutservice-us-west-1-5cffb67476-qv5tb,server,441,12
default,checkoutservice-us-west-1-5cffb67476-qv5tb,istio-proxy,895,81
default,currencyservice-us-central-1-8478c7b596-6jjwk,server,85,28
default,currencyservice-us-central-1-8478c7b596-6jjwk,istio-proxy,52,80
default,currencyservice-us-central-1-8478c7b596-vpbcf,server,92,28
default,currencyservice-us-central-1-8478c7b596-vpbcf,istio-proxy,53,80
default,currencyservice-us-central-1-8478c7b596-zxfcm,server,72,30
default,currencyservice-us-central-1-8478c7b596-zxfcm,istio-proxy,52,79
default,currencyservice-us-east-1-58bdcb8fc4-942s4,server,71,30
default,currencyservice-us-east-1-58bdcb8fc4-942s4,istio-proxy,52,81
default,currencyservice-us-east-1-58bdcb8fc4-gmx7d,server,78,29
default,currencyservice-us-east-1-58bdcb8fc4-gmx7d,istio-proxy,50,80
default,currencyservice-us-east-1-58bdcb8fc4-tmj8r,server,83,29
default,currencyservice-us-east-1-58bdcb8fc4-tmj8r,istio-proxy,54,83
default,currencyservice-us-south-1-cb765f6d9-5kgmq,server,72,29
default,currencyservice-us-south-1-cb765f6d9-5kgmq,istio-proxy,54,81
default,currencyservice-us-south-1-cb765f6d9-hcml6,server,85,29
default,currencyservice-us-south-1-cb765f6d9-hcml6,istio-proxy,51,80
default,currencyservice-us-south-1-cb765f6d9-wp6dg,server,87,28
default,currencyservice-us-south-1-cb765f6d9-wp6dg,istio-proxy,52,79
default,currencyservice-us-west-1-c5f5fdc85-882db,server,214,38
default,currencyservice-us-west-1-c5f5fdc85-882db,istio-proxy,207,80
default,currencyservice-us-west-1-c5f5fdc85-bbqj2,server,212,36
default,currencyservice-us-west-1-c5f5fdc85-bbqj2,istio-proxy,207,84
default,currencyservice-us-west-1-c5f5fdc85-cbglj,server,218,36
default,currencyservice-us-west-1-c5f5fdc85-cbglj,istio-proxy,211,79
default,emailservice-us-central-1-d469d9c6c-7pdln,server,39,41
default,emailservice-us-central-1-d469d9c6c-7pdln,istio-proxy,34,84
default,emailservice-us-central-1-d469d9c6c-cqrcp,server,41,41
default,emailservice-us-central-1-d469d9c6c-cqrcp,istio-proxy,34,78
default,emailservice-us-central-1-d469d9c6c-h9hz9,server,46,41
default,emailservice-us-central-1-d469d9c6c-h9hz9,istio-proxy,37,81
default,emailservice-us-east-1-5c498dd786-4kcfc,server,39,41
default,emailservice-us-east-1-5c498dd786-4kcfc,istio-proxy,35,79
default,emailservice-us-east-1-5c498dd786-75tr7,server,41,41
default,emailservice-us-east-1-5c498dd786-75tr7,istio-proxy,35,80
default,emailservice-us-east-1-5c498dd786-8rprw,server,44,41
default,emailservice-us-east-1-5c498dd786-8rprw,istio-proxy,36,80
default,emailservice-us-south-1-644d4c944b-ld6zx,server,41,41
default,emailservice-us-south-1-644d4c944b-ld6zx,istio-proxy,34,80
default,emailservice-us-south-1-644d4c944b-pltmw,server,41,41
default,emailservice-us-south-1-644d4c944b-pltmw,istio-proxy,38,80
default,emailservice-us-south-1-644d4c944b-qv5c6,server,41,41
default,emailservice-us-south-1-644d4c944b-qv5c6,istio-proxy,34,82
default,emailservice-us-west-1-67f55f7858-4bjkb,server,163,41
default,emailservice-us-west-1-67f55f7858-4bjkb,istio-proxy,140,81
default,emailservice-us-west-1-67f55f7858-tfccs,server,165,41
default,emailservice-us-west-1-67f55f7858-tfccs,istio-proxy,139,80
default,emailservice-us-west-1-67f55f7858-vbr9t,server,163,41
default,emailservice-us-west-1-67f55f7858-vbr9t,istio-proxy,136,80
default,frontend-us-central-1-6d5555ff79-4mg2x,server,151,18
default,frontend-us-central-1-6d5555ff79-4mg2x,istio-proxy,243,80
default,frontend-us-central-1-6d5555ff79-kdvjx,server,150,17
default,frontend-us-central-1-6d5555ff79-kdvjx,istio-proxy,251,82
default,frontend-us-central-1-6d5555ff79-wqx82,server,145,17
default,frontend-us-central-1-6d5555ff79-wqx82,istio-proxy,241,82
default,frontend-us-east-1-6c8db7f7ff-jdnng,server,145,17
default,frontend-us-east-1-6c8db7f7ff-jdnng,istio-proxy,236,80
default,frontend-us-east-1-6c8db7f7ff-q25fz,server,148,18
default,frontend-us-east-1-6c8db7f7ff-q25fz,istio-proxy,240,81
default,frontend-us-east-1-6c8db7f7ff-xrbbm,server,150,17
