Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-bcf4847-5jvg5,server,3,138
default,adservice-us-central-1-bcf4847-5jvg5,istio-proxy,2,81
default,adservice-us-central-1-bcf4847-cwdt6,server,2,144
default,adservice-us-central-1-bcf4847-cwdt6,istio-proxy,2,80
default,adservice-us-central-1-bcf4847-pxw6z,server,3,138
default,adservice-us-central-1-bcf4847-pxw6z,istio-proxy,3,81
default,adservice-us-east-1-cc7546c46-55fzj,server,2,140
default,adservice-us-east-1-cc7546c46-55fzj,istio-proxy,2,79
default,adservice-us-east-1-cc7546c46-h6zz7,server,2,143
default,adservice-us-east-1-cc7546c46-h6zz7,istio-proxy,2,79
default,adservice-us-east-1-cc7546c46-sr6tw,server,3,145
default,adservice-us-east-1-cc7546c46-sr6tw,istio-proxy,2,80
default,adservice-us-south-1-5f7d84464d-652xr,server,4,138
default,adservice-us-south-1-5f7d84464d-652xr,istio-proxy,2,82
default,adservice-us-south-1-5f7d84464d-nhwzv,server,4,144
default,adservice-us-south-1-5f7d84464d-nhwzv,istio-proxy,2,81
default,adservice-us-south-1-5f7d84464d-xf52g,server,2,142
default,adservice-us-south-1-5f7d84464d-xf52g,istio-proxy,2,80
default,adservice-us-west-1-d5dbdb954-fprd2,server,2,143
default,adservice-us-west-1-d5dbdb954-fprd2,istio-proxy,2,80
default,adservice-us-west-1-d5dbdb954-qtb4s,server,4,141
default,adservice-us-west-1-d5dbdb954-qtb4s,istio-proxy,2,79
default,adservice-us-west-1-d5dbdb954-tfjst,server,3,144
default,adservice-us-west-1-d5dbdb954-tfjst,istio-proxy,2,78
default,cartservice-us-central-1-5657f966cf-4tg8z,server,252,43
default,cartservice-us-central-1-5657f966cf-4tg8z,istio-proxy,105,81
default,cartservice-us-central-1-5657f966cf-8blfw,server,186,48
default,cartservice-us-central-1-5657f966cf-8blfw,istio-proxy,113,80
default,cartservice-us-central-1-5657f966cf-r5vz9,server,377,43
default,cartservice-us-central-1-5657f966cf-r5vz9,istio-proxy,83,80
default,cartservice-us-east-1-78bf5cccd5-frs5c,server,308,44
default,cartservice-us-east-1-78bf5cccd5-frs5c,istio-proxy,44,79
default,cartservice-us-east-1-78bf5cccd5-g2sdq,server,433,45
default,cartservice-us-east-1-78bf5cccd5-g2sdq,istio-proxy,101,80
default,cartservice-us-east-1-78bf5cccd5-zd4lh,server,331,49
default,cartservice-us-east-1-78bf5cccd5-zd4lh,istio-proxy,88,81
default,cartservice-us-south-1-6995799c48-66fqc,server,290,46
