Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-bcf4847-5jvg5,server,3,143
default,adservice-us-central-1-bcf4847-5jvg5,istio-proxy,2,81
default,adservice-us-central-1-bcf4847-cwdt6,server,2,144
default,adservice-us-central-1-bcf4847-cwdt6,istio-proxy,2,80
default,adservice-us-central-1-bcf4847-pxw6z,server,3,142
default,adservice-us-central-1-bcf4847-pxw6z,istio-proxy,3,81
default,adservice-us-east-1-cc7546c46-55fzj,server,4,149
default,adservice-us-east-1-cc7546c46-55fzj,istio-proxy,2,79
default,adservice-us-east-1-cc7546c46-h6zz7,server,0,143
default,adservice-us-east-1-cc7546c46-h6zz7,istio-proxy,2,79
default,adservice-us-east-1-cc7546c46-sr6tw,server,2,149
default,adservice-us-east-1-cc7546c46-sr6tw,istio-proxy,2,80
default,adservice-us-south-1-5f7d84464d-652xr,server,3,143
default,adservice-us-south-1-5f7d84464d-652xr,istio-proxy,2,82
default,adservice-us-south-1-5f7d84464d-nhwzv,server,2,148
default,adservice-us-south-1-5f7d84464d-nhwzv,istio-proxy,2,81
default,adservice-us-south-1-5f7d84464d-xf52g,server,3,147
default,adservice-us-south-1-5f7d84464d-xf52g,istio-proxy,2,80
default,adservice-us-west-1-d5dbdb954-fprd2,server,4,147
default,adservice-us-west-1-d5dbdb954-fprd2,istio-proxy,3,80
default,adservice-us-west-1-d5dbdb954-qtb4s,server,3,146
default,adservice-us-west-1-d5dbdb954-qtb4s,istio-proxy,2,79
default,adservice-us-west-1-d5dbdb954-tfjst,server,3,149
default,adservice-us-west-1-d5dbdb954-tfjst,istio-proxy,2,78
default,cartservice-us-central-1-5657f966cf-4tg8z,server,176,56
default,cartservice-us-central-1-5657f966cf-4tg8z,istio-proxy,108,81
default,cartservice-us-central-1-5657f966cf-8blfw,server,171,53
default,cartservice-us-central-1-5657f966cf-8blfw,istio-proxy,108,80
default,cartservice-us-central-1-5657f966cf-r5vz9,server,177,51
default,cartservice-us-central-1-5657f966cf-r5vz9,istio-proxy,114,80
default,cartservice-us-east-1-78bf5cccd5-frs5c,server,181,55
default,cartservice-us-east-1-78bf5cccd5-frs5c,istio-proxy,106,79
default,cartservice-us-east-1-78bf5cccd5-g2sdq,server,177,54
default,cartservice-us-east-1-78bf5cccd5-g2sdq,istio-proxy,103,80
default,cartservice-us-east-1-78bf5cccd5-zd4lh,server,331,49
default,cartservice-us-east-1-78bf5cccd5-zd4lh,istio-proxy,104,81
default,cartservice-us-south-1-6995799c48-66fqc,server,175,54
default,cartservice-us-south-1-6995799c48-66fqc,istio-proxy,107,81
default,cartservice-us-south-1-6995799c48-bjk8n,server,185,56
default,cartservice-us-south-1-6995799c48-bjk8n,istio-proxy,109,80
default,cartservice-us-south-1-6995799c48-n2phr,server,181,54
default,cartservice-us-south-1-6995799c48-n2phr,istio-proxy,105,82
default,cartservice-us-west-1-6d64bdf4b8-2lv6g,server,332,63
default,cartservice-us-west-1-6d64bdf4b8-2lv6g,istio-proxy,242,80
default,cartservice-us-west-1-6d64bdf4b8-2p8s4,server,451,63
default,cartservice-us-west-1-6d64bdf4b8-2p8s4,istio-proxy,233,80
default,cartservice-us-west-1-6d64bdf4b8-ljwsx,server,342,73
default,cartservice-us-west-1-6d64bdf4b8-ljwsx,istio-proxy,241,81
default,checkoutservice-us-central-1-6fbfb5b66f-2gm22,server,115,11
default,checkoutservice-us-central-1-6fbfb5b66f-2gm22,istio-proxy,218,80
default,checkoutservice-us-central-1-6fbfb5b66f-6hj5s,server,119,12
default,checkoutservice-us-central-1-6fbfb5b66f-6hj5s,istio-proxy,228,81
default,checkoutservice-us-central-1-6fbfb5b66f-7ds7k,server,116,11
default,checkoutservice-us-central-1-6fbfb5b66f-7ds7k,istio-proxy,213,81
default,checkoutservice-us-east-1-6779544fb7-2ht9k,server,119,11
default,checkoutservice-us-east-1-6779544fb7-2ht9k,istio-proxy,209,80
default,checkoutservice-us-east-1-6779544fb7-m79nt,server,118,10
default,checkoutservice-us-east-1-6779544fb7-m79nt,istio-proxy,215,80
default,checkoutservice-us-east-1-6779544fb7-ts4g4,server,114,11
default,checkoutservice-us-east-1-6779544fb7-ts4g4,istio-proxy,220,82
default,checkoutservice-us-south-1-766f6b77b-bqfbq,server,119,11
default,checkoutservice-us-south-1-766f6b77b-bqfbq,istio-proxy,227,81
default,checkoutservice-us-south-1-766f6b77b-c9sd2,server,107,11
default,checkoutservice-us-south-1-766f6b77b-c9sd2,istio-proxy,203,81
default,checkoutservice-us-south-1-766f6b77b-dfp7v,server,124,11
