Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-bcf4847-5jvg5,server,2,152
default,adservice-us-central-1-bcf4847-5jvg5,istio-proxy,2,81
default,adservice-us-central-1-bcf4847-cwdt6,server,2,153
default,adservice-us-central-1-bcf4847-cwdt6,istio-proxy,2,80
default,adservice-us-central-1-bcf4847-pxw6z,server,2,147
default,adservice-us-central-1-bcf4847-pxw6z,istio-proxy,2,81
default,adservice-us-east-1-cc7546c46-55fzj,server,6,159
default,adservice-us-east-1-cc7546c46-55fzj,istio-proxy,3,79
default,adservice-us-east-1-cc7546c46-h6zz7,server,2,153
default,adservice-us-east-1-cc7546c46-h6zz7,istio-proxy,2,79
default,adservice-us-east-1-cc7546c46-sr6tw,server,9,159
default,adservice-us-east-1-cc7546c46-sr6tw,istio-proxy,3,80
default,adservice-us-south-1-5f7d84464d-652xr,server,2,152
default,adservice-us-south-1-5f7d84464d-652xr,istio-proxy,3,80
default,adservice-us-south-1-5f7d84464d-nhwzv,server,10,158
default,adservice-us-south-1-5f7d84464d-nhwzv,istio-proxy,2,81
default,adservice-us-south-1-5f7d84464d-xf52g,server,8,157
default,adservice-us-south-1-5f7d84464d-xf52g,istio-proxy,2,80
default,adservice-us-west-1-d5dbdb954-fprd2,server,3,157
default,adservice-us-west-1-d5dbdb954-fprd2,istio-proxy,3,79
default,adservice-us-west-1-d5dbdb954-qtb4s,server,8,155
default,adservice-us-west-1-d5dbdb954-qtb4s,istio-proxy,2,79
default,adservice-us-west-1-d5dbdb954-tfjst,server,3,154
default,adservice-us-west-1-d5dbdb954-tfjst,istio-proxy,3,77
default,cartservice-us-central-1-5657f966cf-4tg8z,server,165,65
default,cartservice-us-central-1-5657f966cf-4tg8z,istio-proxy,105,81
default,cartservice-us-central-1-5657f966cf-8blfw,server,167,69
default,cartservice-us-central-1-5657f966cf-8blfw,istio-proxy,98,79
default,cartservice-us-central-1-5657f966cf-r5vz9,server,166,72
default,cartservice-us-central-1-5657f966cf-r5vz9,istio-proxy,97,80
default,cartservice-us-east-1-78bf5cccd5-frs5c,server,166,70
default,cartservice-us-east-1-78bf5cccd5-frs5c,istio-proxy,108,79
default,cartservice-us-east-1-78bf5cccd5-g2sdq,server,165,69
default,cartservice-us-east-1-78bf5cccd5-g2sdq,istio-proxy,111,80
default,cartservice-us-east-1-78bf5cccd5-zd4lh,server,165,67
default,cartservice-us-east-1-78bf5cccd5-zd4lh,istio-proxy,107,81
default,cartservice-us-south-1-6995799c48-66fqc,server,172,70
default,cartservice-us-south-1-6995799c48-66fqc,istio-proxy,109,81
default,cartservice-us-south-1-6995799c48-bjk8n,server,146,72
default,cartservice-us-south-1-6995799c48-bjk8n,istio-proxy,89,80
default,cartservice-us-south-1-6995799c48-n2phr,server,172,64
default,cartservice-us-south-1-6995799c48-n2phr,istio-proxy,111,82
default,cartservice-us-west-1-6d64bdf4b8-2lv6g,server,332,103
default,cartservice-us-west-1-6d64bdf4b8-2lv6g,istio-proxy,249,80
default,cartservice-us-west-1-6d64bdf4b8-2p8s4,server,329,94
default,cartservice-us-west-1-6d64bdf4b8-2p8s4,istio-proxy,188,80
default,cartservice-us-west-1-6d64bdf4b8-ljwsx,server,322,105
default,cartservice-us-west-1-6d64bdf4b8-ljwsx,istio-proxy,232,81
default,checkoutservice-us-central-1-6fbfb5b66f-2gm22,server,100,12
default,checkoutservice-us-central-1-6fbfb5b66f-2gm22,istio-proxy,200,80
default,checkoutservice-us-central-1-6fbfb5b66f-6hj5s,server,115,11
default,checkoutservice-us-central-1-6fbfb5b66f-6hj5s,istio-proxy,188,80
default,checkoutservice-us-central-1-6fbfb5b66f-7ds7k,server,114,11
default,checkoutservice-us-central-1-6fbfb5b66f-7ds7k,istio-proxy,190,81
default,checkoutservice-us-east-1-6779544fb7-2ht9k,server,124,11
default,checkoutservice-us-east-1-6779544fb7-2ht9k,istio-proxy,220,80
default,checkoutservice-us-east-1-6779544fb7-m79nt,server,108,12
default,checkoutservice-us-east-1-6779544fb7-m79nt,istio-proxy,201,80
default,checkoutservice-us-east-1-6779544fb7-ts4g4,server,123,12
default,checkoutservice-us-east-1-6779544fb7-ts4g4,istio-proxy,223,82
default,checkoutservice-us-south-1-766f6b77b-bqfbq,server,96,11
default,checkoutservice-us-south-1-766f6b77b-bqfbq,istio-proxy,226,81
default,checkoutservice-us-south-1-766f6b77b-c9sd2,server,120,11
default,checkoutservice-us-south-1-766f6b77b-c9sd2,istio-proxy,222,80
default,checkoutservice-us-south-1-766f6b77b-dfp7v,server,114,12
default,checkoutservice-us-south-1-766f6b77b-dfp7v,istio-proxy,210,80
default,checkoutservice-us-west-1-5cffb67476-ksxmz,server,448,11
default,checkoutservice-us-west-1-5cffb67476-ksxmz,istio-proxy,884,82
default,checkoutservice-us-west-1-5cffb67476-mtpjs,server,436,12
default,checkoutservice-us-west-1-5cffb67476-mtpjs,istio-proxy,799,80
default,checkoutservice-us-west-1-5cffb67476-qv5tb,server,444,12
default,checkoutservice-us-west-1-5cffb67476-qv5tb,istio-proxy,892,81
default,currencyservice-us-central-1-8478c7b596-6jjwk,server,65,31
default,currencyservice-us-central-1-8478c7b596-6jjwk,istio-proxy,47,80
default,currencyservice-us-central-1-8478c7b596-vpbcf,server,71,31
default,currencyservice-us-central-1-8478c7b596-vpbcf,istio-proxy,54,80
default,currencyservice-us-central-1-8478c7b596-zxfcm,server,60,31
default,currencyservice-us-central-1-8478c7b596-zxfcm,istio-proxy,52,79
default,currencyservice-us-east-1-58bdcb8fc4-942s4,server,62,31
default,currencyservice-us-east-1-58bdcb8fc4-942s4,istio-proxy,53,81
default,currencyservice-us-east-1-58bdcb8fc4-gmx7d,server,68,31
default,currencyservice-us-east-1-58bdcb8fc4-gmx7d,istio-proxy,52,80
default,currencyservice-us-east-1-58bdcb8fc4-tmj8r,server,83,29
default,currencyservice-us-east-1-58bdcb8fc4-tmj8r,istio-proxy,50,82
default,currencyservice-us-south-1-cb765f6d9-5kgmq,server,65,31
default,currencyservice-us-south-1-cb765f6d9-5kgmq,istio-proxy,51,81
default,currencyservice-us-south-1-cb765f6d9-hcml6,server,63,31
default,currencyservice-us-south-1-cb765f6d9-hcml6,istio-proxy,51,80
default,currencyservice-us-south-1-cb765f6d9-wp6dg,server,75,30
default,currencyservice-us-south-1-cb765f6d9-wp6dg,istio-proxy,49,77
default,currencyservice-us-west-1-c5f5fdc85-882db,server,214,36
default,currencyservice-us-west-1-c5f5fdc85-882db,istio-proxy,202,80
default,currencyservice-us-west-1-c5f5fdc85-bbqj2,server,198,37
default,currencyservice-us-west-1-c5f5fdc85-bbqj2,istio-proxy,207,84
default,currencyservice-us-west-1-c5f5fdc85-cbglj,server,201,37
default,currencyservice-us-west-1-c5f5fdc85-cbglj,istio-proxy,204,79
default,emailservice-us-central-1-d469d9c6c-7pdln,server,42,41
default,emailservice-us-central-1-d469d9c6c-7pdln,istio-proxy,35,84
default,emailservice-us-central-1-d469d9c6c-cqrcp,server,37,41
default,emailservice-us-central-1-d469d9c6c-cqrcp,istio-proxy,33,78
default,emailservice-us-central-1-d469d9c6c-h9hz9,server,44,41
default,emailservice-us-central-1-d469d9c6c-h9hz9,istio-proxy,33,81
default,emailservice-us-east-1-5c498dd786-4kcfc,server,38,41
default,emailservice-us-east-1-5c498dd786-4kcfc,istio-proxy,29,79
default,emailservice-us-east-1-5c498dd786-75tr7,server,41,41
default,emailservice-us-east-1-5c498dd786-75tr7,istio-proxy,31,80
default,emailservice-us-east-1-5c498dd786-8rprw,server,39,41
default,emailservice-us-east-1-5c498dd786-8rprw,istio-proxy,35,80
default,emailservice-us-south-1-644d4c944b-ld6zx,server,39,41
default,emailservice-us-south-1-644d4c944b-ld6zx,istio-proxy,34,81
default,emailservice-us-south-1-644d4c944b-pltmw,server,44,41
default,emailservice-us-south-1-644d4c944b-pltmw,istio-proxy,35,80
default,emailservice-us-south-1-644d4c944b-qv5c6,server,44,41
default,emailservice-us-south-1-644d4c944b-qv5c6,istio-proxy,34,82
default,emailservice-us-west-1-67f55f7858-4bjkb,server,163,41
default,emailservice-us-west-1-67f55f7858-4bjkb,istio-proxy,109,81
default,emailservice-us-west-1-67f55f7858-tfccs,server,150,41
default,emailservice-us-west-1-67f55f7858-tfccs,istio-proxy,137,80
default,emailservice-us-west-1-67f55f7858-vbr9t,server,166,41
