Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-84747485bc-279mp,server,0,222
default,adservice-us-central-1-84747485bc-279mp,istio-proxy,2,84
default,adservice-us-central-1-84747485bc-rdzgh,server,0,221
default,adservice-us-central-1-84747485bc-rdzgh,istio-proxy,2,86
default,adservice-us-central-1-84747485bc-vcwg4,server,0,228
default,adservice-us-central-1-84747485bc-vcwg4,istio-proxy,2,86
default,adservice-us-east-1-779fbf78c-25m47,server,1,221
default,adservice-us-east-1-779fbf78c-25m47,istio-proxy,3,84
default,adservice-us-east-1-779fbf78c-66rlj,server,0,220
default,adservice-us-east-1-779fbf78c-66rlj,istio-proxy,3,85
default,adservice-us-east-1-779fbf78c-8g5bs,server,0,225
default,adservice-us-east-1-779fbf78c-8g5bs,istio-proxy,2,85
default,adservice-us-south-1-578f649979-f5f8c,server,0,223
default,adservice-us-south-1-578f649979-f5f8c,istio-proxy,3,85
default,adservice-us-south-1-578f649979-kt2lv,server,0,220
default,adservice-us-south-1-578f649979-kt2lv,istio-proxy,2,83
default,adservice-us-south-1-578f649979-pbwsm,server,0,222
default,adservice-us-south-1-578f649979-pbwsm,istio-proxy,3,84
default,adservice-us-west-1-7df95476d9-cfzxc,server,4,106
default,adservice-us-west-1-7df95476d9-cfzxc,istio-proxy,3,83
default,adservice-us-west-1-7df95476d9-l9vww,server,0,150
default,adservice-us-west-1-7df95476d9-l9vww,istio-proxy,3,82
default,adservice-us-west-1-7df95476d9-xkb4s,server,4,120
default,adservice-us-west-1-7df95476d9-xkb4s,istio-proxy,4,81
default,cartservice-us-central-1-75887dd45d-nt7p2,server,0,64
default,cartservice-us-central-1-75887dd45d-nt7p2,istio-proxy,2,85
default,cartservice-us-central-1-75887dd45d-q8zwb,server,0,61
default,cartservice-us-central-1-75887dd45d-q8zwb,istio-proxy,2,85
default,cartservice-us-central-1-75887dd45d-tsm2d,server,0,59
default,cartservice-us-central-1-75887dd45d-tsm2d,istio-proxy,2,85
default,cartservice-us-east-1-76494b94f4-gbszh,server,0,63
default,cartservice-us-east-1-76494b94f4-gbszh,istio-proxy,3,86
default,cartservice-us-east-1-76494b94f4-m52t8,server,0,66
default,cartservice-us-east-1-76494b94f4-m52t8,istio-proxy,2,87
default,cartservice-us-east-1-76494b94f4-n8824,server,0,70
default,cartservice-us-east-1-76494b94f4-n8824,istio-proxy,2,87
default,cartservice-us-south-1-5cc58c5f8-4xt6c,server,0,60
default,cartservice-us-south-1-5cc58c5f8-4xt6c,istio-proxy,3,85
default,cartservice-us-south-1-5cc58c5f8-9pl5p,server,0,59
default,cartservice-us-south-1-5cc58c5f8-9pl5p,istio-proxy,3,85
default,cartservice-us-south-1-5cc58c5f8-bwt8f,server,0,60
default,cartservice-us-south-1-5cc58c5f8-bwt8f,istio-proxy,3,86
default,cartservice-us-west-1-7bb5b6574d-8nnp2,server,242,42
default,cartservice-us-west-1-7bb5b6574d-8nnp2,istio-proxy,70,84
default,cartservice-us-west-1-7bb5b6574d-cxhfp,server,14,27
default,cartservice-us-west-1-7bb5b6574d-cxhfp,istio-proxy,40,83
default,cartservice-us-west-1-7bb5b6574d-qd79h,server,293,45
default,cartservice-us-west-1-7bb5b6574d-qd79h,istio-proxy,4,85
default,checkoutservice-us-central-1-5494c796cf-5qdsh,server,0,8
default,checkoutservice-us-central-1-5494c796cf-5qdsh,istio-proxy,3,85
default,checkoutservice-us-central-1-5494c796cf-6mk8m,server,0,8
default,checkoutservice-us-central-1-5494c796cf-6mk8m,istio-proxy,2,83
default,checkoutservice-us-central-1-5494c796cf-v8fl7,server,0,8
default,checkoutservice-us-central-1-5494c796cf-v8fl7,istio-proxy,3,85
default,checkoutservice-us-east-1-8494fcd6c7-6xjhh,server,0,8
default,checkoutservice-us-east-1-8494fcd6c7-6xjhh,istio-proxy,3,85
default,checkoutservice-us-east-1-8494fcd6c7-985pc,server,0,9
default,checkoutservice-us-east-1-8494fcd6c7-985pc,istio-proxy,3,85
default,checkoutservice-us-east-1-8494fcd6c7-r4sxs,server,0,9
default,checkoutservice-us-east-1-8494fcd6c7-r4sxs,istio-proxy,2,85
default,checkoutservice-us-south-1-7b8689c94c-g6pvx,server,0,9
default,checkoutservice-us-south-1-7b8689c94c-g6pvx,istio-proxy,3,84
default,checkoutservice-us-south-1-7b8689c94c-mdd62,server,0,9
default,checkoutservice-us-south-1-7b8689c94c-mdd62,istio-proxy,2,84
default,checkoutservice-us-south-1-7b8689c94c-mtzzj,server,0,9
default,checkoutservice-us-south-1-7b8689c94c-mtzzj,istio-proxy,2,85
default,checkoutservice-us-west-1-584b947b5f-87jzs,server,0,7
default,checkoutservice-us-west-1-584b947b5f-87jzs,istio-proxy,4,81
default,checkoutservice-us-west-1-584b947b5f-jvngj,server,0,8
default,checkoutservice-us-west-1-584b947b5f-jvngj,istio-proxy,3,83
default,checkoutservice-us-west-1-584b947b5f-t8jzb,server,0,8
default,checkoutservice-us-west-1-584b947b5f-t8jzb,istio-proxy,4,84
default,currencyservice-us-central-1-7c5d75576f-8gkv9,server,0,25
default,currencyservice-us-central-1-7c5d75576f-8gkv9,istio-proxy,3,86
default,currencyservice-us-central-1-7c5d75576f-c2m8v,server,0,25
default,currencyservice-us-central-1-7c5d75576f-c2m8v,istio-proxy,3,85
default,currencyservice-us-central-1-7c5d75576f-v2gnb,server,0,25
default,currencyservice-us-central-1-7c5d75576f-v2gnb,istio-proxy,2,86
default,currencyservice-us-east-1-64dbdc466f-v64wr,server,0,25
default,currencyservice-us-east-1-64dbdc466f-v64wr,istio-proxy,3,84
default,currencyservice-us-east-1-64dbdc466f-v7d64,server,0,25
default,currencyservice-us-east-1-64dbdc466f-v7d64,istio-proxy,3,83
default,currencyservice-us-east-1-64dbdc466f-wmshr,server,0,25
default,currencyservice-us-east-1-64dbdc466f-wmshr,istio-proxy,3,85
default,currencyservice-us-south-1-5b56b5849c-nqv5r,server,0,23
default,currencyservice-us-south-1-5b56b5849c-nqv5r,istio-proxy,3,86
default,currencyservice-us-south-1-5b56b5849c-pnv7j,server,0,25
default,currencyservice-us-south-1-5b56b5849c-pnv7j,istio-proxy,2,85
default,currencyservice-us-south-1-5b56b5849c-swnnt,server,0,25
default,currencyservice-us-south-1-5b56b5849c-swnnt,istio-proxy,2,87
default,currencyservice-us-west-1-64ccb5497f-5l6ch,server,89,22
default,currencyservice-us-west-1-64ccb5497f-5l6ch,istio-proxy,18,84
default,currencyservice-us-west-1-64ccb5497f-rdzbx,server,68,20
default,currencyservice-us-west-1-64ccb5497f-rdzbx,istio-proxy,3,82
default,currencyservice-us-west-1-64ccb5497f-w5gv6,server,118,25
