Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-84747485bc-279mp,server,1,223
default,adservice-us-central-1-84747485bc-279mp,istio-proxy,3,83
default,adservice-us-central-1-84747485bc-rdzgh,server,1,222
default,adservice-us-central-1-84747485bc-rdzgh,istio-proxy,3,85
default,adservice-us-central-1-84747485bc-vcwg4,server,5,229
default,adservice-us-central-1-84747485bc-vcwg4,istio-proxy,2,84
default,adservice-us-east-1-779fbf78c-25m47,server,0,222
default,adservice-us-east-1-779fbf78c-25m47,istio-proxy,3,84
default,adservice-us-east-1-779fbf78c-66rlj,server,0,221
default,adservice-us-east-1-779fbf78c-66rlj,istio-proxy,3,85
default,adservice-us-east-1-779fbf78c-8g5bs,server,0,226
default,adservice-us-east-1-779fbf78c-8g5bs,istio-proxy,3,85
default,adservice-us-south-1-578f649979-f5f8c,server,0,224
default,adservice-us-south-1-578f649979-f5f8c,istio-proxy,3,85
default,adservice-us-south-1-578f649979-kt2lv,server,0,221
default,adservice-us-south-1-578f649979-kt2lv,istio-proxy,2,82
default,adservice-us-south-1-578f649979-pbwsm,server,0,223
default,adservice-us-south-1-578f649979-pbwsm,istio-proxy,2,84
default,adservice-us-west-1-59cf69b48f-2nq99,server,45,104
default,adservice-us-west-1-59cf69b48f-2nq99,istio-proxy,9,80
default,adservice-us-west-1-59cf69b48f-bppp2,server,0,154
default,adservice-us-west-1-59cf69b48f-bppp2,istio-proxy,3,82
default,adservice-us-west-1-59cf69b48f-r2k8n,server,3,130
default,adservice-us-west-1-59cf69b48f-r2k8n,istio-proxy,3,82
default,cartservice-us-central-1-75887dd45d-nt7p2,server,0,65
default,cartservice-us-central-1-75887dd45d-nt7p2,istio-proxy,3,85
default,cartservice-us-central-1-75887dd45d-q8zwb,server,0,63
default,cartservice-us-central-1-75887dd45d-q8zwb,istio-proxy,3,84
default,cartservice-us-central-1-75887dd45d-tsm2d,server,0,59
default,cartservice-us-central-1-75887dd45d-tsm2d,istio-proxy,3,84
