Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-5bb657f4d5-9fz77,server,1,211
default,adservice-us-central-1-5bb657f4d5-9fz77,istio-proxy,2,75
default,adservice-us-central-1-5bb657f4d5-lr5wv,server,2,215
default,adservice-us-central-1-5bb657f4d5-lr5wv,istio-proxy,4,79
default,adservice-us-central-1-5bb657f4d5-rz962,server,1,212
default,adservice-us-central-1-5bb657f4d5-rz962,istio-proxy,3,78
default,adservice-us-east-1-67cbb54789-ccthh,server,1,208
default,adservice-us-east-1-67cbb54789-ccthh,istio-proxy,2,77
default,adservice-us-east-1-67cbb54789-mvg9m,server,1,209
default,adservice-us-east-1-67cbb54789-mvg9m,istio-proxy,4,78
default,adservice-us-east-1-67cbb54789-nk4dp,server,1,206
default,adservice-us-east-1-67cbb54789-nk4dp,istio-proxy,2,79
default,adservice-us-south-1-5b887b7649-56wmw,server,1,208
default,adservice-us-south-1-5b887b7649-56wmw,istio-proxy,6,77
default,adservice-us-south-1-5b887b7649-fbndj,server,1,214
default,adservice-us-south-1-5b887b7649-fbndj,istio-proxy,2,79
default,adservice-us-south-1-5b887b7649-rc95q,server,0,208
default,adservice-us-south-1-5b887b7649-rc95q,istio-proxy,1,78
default,adservice-us-west-1-6d7f6c7bd4-6hd7k,server,2,116
default,adservice-us-west-1-6d7f6c7bd4-6hd7k,istio-proxy,4,45
default,adservice-us-west-1-6d7f6c7bd4-g96cq,server,4,112
default,adservice-us-west-1-6d7f6c7bd4-g96cq,istio-proxy,10,44
default,adservice-us-west-1-6d7f6c7bd4-q9zjz,server,3,119
default,adservice-us-west-1-6d7f6c7bd4-q9zjz,istio-proxy,2,45
default,cartservice-us-central-1-88857b8-4zghg,server,1,57
default,cartservice-us-central-1-88857b8-4zghg,istio-proxy,2,78
default,cartservice-us-central-1-88857b8-smk8f,server,9,56
default,cartservice-us-central-1-88857b8-smk8f,istio-proxy,4,79
default,cartservice-us-central-1-88857b8-x9fm2,server,0,56
default,cartservice-us-central-1-88857b8-x9fm2,istio-proxy,3,78
default,cartservice-us-east-1-f47cb79b4-85cbp,server,0,57
default,cartservice-us-east-1-f47cb79b4-85cbp,istio-proxy,3,79
default,cartservice-us-east-1-f47cb79b4-ngt8w,server,0,59
default,cartservice-us-east-1-f47cb79b4-ngt8w,istio-proxy,5,80
default,cartservice-us-east-1-f47cb79b4-rt8vn,server,0,56
default,cartservice-us-east-1-f47cb79b4-rt8vn,istio-proxy,4,78
default,cartservice-us-south-1-8b576c444-7pr5g,server,0,56
default,cartservice-us-south-1-8b576c444-7pr5g,istio-proxy,4,79
default,cartservice-us-south-1-8b576c444-hf6nb,server,0,57
default,cartservice-us-south-1-8b576c444-hf6nb,istio-proxy,2,77
default,cartservice-us-south-1-8b576c444-zbhj7,server,0,59
default,cartservice-us-south-1-8b576c444-zbhj7,istio-proxy,5,78
default,cartservice-us-west-1-bbfd6b5cf-5xd7c,server,239,40
default,cartservice-us-west-1-bbfd6b5cf-5xd7c,istio-proxy,44,47
default,cartservice-us-west-1-bbfd6b5cf-6r9rg,server,86,36
default,cartservice-us-west-1-bbfd6b5cf-6r9rg,istio-proxy,19,46
default,cartservice-us-west-1-bbfd6b5cf-96gdw,server,19,27
default,cartservice-us-west-1-bbfd6b5cf-96gdw,istio-proxy,105,46
default,checkoutservice-us-central-1-6b468dd5fc-547rw,server,0,8
default,checkoutservice-us-central-1-6b468dd5fc-547rw,istio-proxy,4,82
default,checkoutservice-us-central-1-6b468dd5fc-dsqqm,server,0,8
default,checkoutservice-us-central-1-6b468dd5fc-dsqqm,istio-proxy,2,78
default,checkoutservice-us-central-1-6b468dd5fc-rc65d,server,0,8
default,checkoutservice-us-central-1-6b468dd5fc-rc65d,istio-proxy,2,79
default,checkoutservice-us-east-1-775ff9f4c-dblnz,server,0,8
default,checkoutservice-us-east-1-775ff9f4c-dblnz,istio-proxy,2,78
default,checkoutservice-us-east-1-775ff9f4c-x7sr6,server,0,8
default,checkoutservice-us-east-1-775ff9f4c-x7sr6,istio-proxy,3,78
default,checkoutservice-us-east-1-775ff9f4c-xnwlv,server,0,8
default,checkoutservice-us-east-1-775ff9f4c-xnwlv,istio-proxy,4,80
default,checkoutservice-us-south-1-6cc6d47fdf-nm2fv,server,0,8
default,checkoutservice-us-south-1-6cc6d47fdf-nm2fv,istio-proxy,2,78
default,checkoutservice-us-south-1-6cc6d47fdf-rz2bc,server,0,8
default,checkoutservice-us-south-1-6cc6d47fdf-rz2bc,istio-proxy,2,79
default,checkoutservice-us-south-1-6cc6d47fdf-vfxmb,server,0,9
default,checkoutservice-us-south-1-6cc6d47fdf-vfxmb,istio-proxy,2,78
default,checkoutservice-us-west-1-5b9dbc4bb4-9r8lp,server,247,11
default,checkoutservice-us-west-1-5b9dbc4bb4-9r8lp,istio-proxy,275,48
default,checkoutservice-us-west-1-5b9dbc4bb4-m86bp,server,137,11
default,checkoutservice-us-west-1-5b9dbc4bb4-m86bp,istio-proxy,190,48
