Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-bcc98675-mw98l,server,2,202
default,adservice-us-central-1-bcc98675-mw98l,istio-proxy,6,46
default,adservice-us-central-1-bcc98675-r28r7,server,0,206
default,adservice-us-central-1-bcc98675-r28r7,istio-proxy,2,47
default,adservice-us-central-1-bcc98675-zdf9k,server,2,201
default,adservice-us-central-1-bcc98675-zdf9k,istio-proxy,4,47
default,adservice-us-east-1-6d5cbf67cf-8jzw9,server,1,201
default,adservice-us-east-1-6d5cbf67cf-8jzw9,istio-proxy,2,47
default,adservice-us-east-1-6d5cbf67cf-fhcdb,server,1,200
default,adservice-us-east-1-6d5cbf67cf-fhcdb,istio-proxy,4,47
default,adservice-us-east-1-6d5cbf67cf-sn87r,server,1,201
default,adservice-us-east-1-6d5cbf67cf-sn87r,istio-proxy,2,47
default,adservice-us-south-1-c4666ffc9-2qgnr,server,1,202
default,adservice-us-south-1-c4666ffc9-2qgnr,istio-proxy,6,47
default,adservice-us-south-1-c4666ffc9-hjwfb,server,1,203
default,adservice-us-south-1-c4666ffc9-hjwfb,istio-proxy,2,47
default,adservice-us-south-1-c4666ffc9-r674x,server,1,207
default,adservice-us-south-1-c4666ffc9-r674x,istio-proxy,5,46
default,adservice-us-west-1-7fb74c675f-5g9b6,server,2,128
default,adservice-us-west-1-7fb74c675f-5g9b6,istio-proxy,2,45
default,adservice-us-west-1-7fb74c675f-c9c9l,server,3,119
default,adservice-us-west-1-7fb74c675f-c9c9l,istio-proxy,6,45
default,adservice-us-west-1-7fb74c675f-jlz52,server,2,115
default,adservice-us-west-1-7fb74c675f-jlz52,istio-proxy,5,46
default,cartservice-us-central-1-565d8c7f89-4pcgm,server,0,53
default,cartservice-us-central-1-565d8c7f89-4pcgm,istio-proxy,5,47
default,cartservice-us-central-1-565d8c7f89-pb2db,server,0,52
default,cartservice-us-central-1-565d8c7f89-pb2db,istio-proxy,5,47
default,cartservice-us-central-1-565d8c7f89-ztfnq,server,0,50
default,cartservice-us-central-1-565d8c7f89-ztfnq,istio-proxy,3,47
default,cartservice-us-east-1-5bdc987c67-kttt6,server,0,54
default,cartservice-us-east-1-5bdc987c67-kttt6,istio-proxy,4,47
default,cartservice-us-east-1-5bdc987c67-mp6ch,server,0,52
default,cartservice-us-east-1-5bdc987c67-mp6ch,istio-proxy,2,48
default,cartservice-us-east-1-5bdc987c67-pfhp5,server,0,51
default,cartservice-us-east-1-5bdc987c67-pfhp5,istio-proxy,6,47
default,cartservice-us-south-1-567c947bf7-7v9hm,server,0,51
default,cartservice-us-south-1-567c947bf7-7v9hm,istio-proxy,5,48
default,cartservice-us-south-1-567c947bf7-czrdt,server,0,54
default,cartservice-us-south-1-567c947bf7-czrdt,istio-proxy,2,47
default,cartservice-us-south-1-567c947bf7-mjnkk,server,0,52
default,cartservice-us-south-1-567c947bf7-mjnkk,istio-proxy,4,48
default,cartservice-us-west-1-849c97ccf4-dgvdk,server,7,29
default,cartservice-us-west-1-849c97ccf4-dgvdk,istio-proxy,3,46
default,cartservice-us-west-1-849c97ccf4-hsnvf,server,15,28
default,cartservice-us-west-1-849c97ccf4-hsnvf,istio-proxy,4,45
default,cartservice-us-west-1-849c97ccf4-nqnkx,server,12,29
default,cartservice-us-west-1-849c97ccf4-nqnkx,istio-proxy,34,46
default,checkoutservice-us-central-1-99bcb5f56-f8cq4,server,0,8
default,checkoutservice-us-central-1-99bcb5f56-f8cq4,istio-proxy,5,47
default,checkoutservice-us-central-1-99bcb5f56-jxfk2,server,0,8
default,checkoutservice-us-central-1-99bcb5f56-jxfk2,istio-proxy,3,47
default,checkoutservice-us-central-1-99bcb5f56-wkl6r,server,0,8
default,checkoutservice-us-central-1-99bcb5f56-wkl6r,istio-proxy,6,48
default,checkoutservice-us-east-1-696bd5f77b-767v9,server,0,8
default,checkoutservice-us-east-1-696bd5f77b-767v9,istio-proxy,5,47
default,checkoutservice-us-east-1-696bd5f77b-qdn9k,server,0,8
default,checkoutservice-us-east-1-696bd5f77b-qdn9k,istio-proxy,5,49
default,checkoutservice-us-east-1-696bd5f77b-z58x9,server,0,8
default,checkoutservice-us-east-1-696bd5f77b-z58x9,istio-proxy,5,47
default,checkoutservice-us-south-1-6ddcb79dc6-2qksq,server,0,8
default,checkoutservice-us-south-1-6ddcb79dc6-2qksq,istio-proxy,6,47
default,checkoutservice-us-south-1-6ddcb79dc6-b92bx,server,0,8
default,checkoutservice-us-south-1-6ddcb79dc6-b92bx,istio-proxy,6,47
default,checkoutservice-us-south-1-6ddcb79dc6-ld745,server,0,8
default,checkoutservice-us-south-1-6ddcb79dc6-ld745,istio-proxy,6,47
default,checkoutservice-us-west-1-f9f4c89c-ml9mt,server,0,8
default,checkoutservice-us-west-1-f9f4c89c-ml9mt,istio-proxy,3,46
default,checkoutservice-us-west-1-f9f4c89c-npctv,server,0,8
default,checkoutservice-us-west-1-f9f4c89c-npctv,istio-proxy,4,45
default,checkoutservice-us-west-1-f9f4c89c-r5dl9,server,0,8
default,checkoutservice-us-west-1-f9f4c89c-r5dl9,istio-proxy,5,47
default,currencyservice-us-central-1-5bb5d7c968-2z8gk,server,0,20
default,currencyservice-us-central-1-5bb5d7c968-2z8gk,istio-proxy,2,48
default,currencyservice-us-central-1-5bb5d7c968-8nc5t,server,0,20
default,currencyservice-us-central-1-5bb5d7c968-8nc5t,istio-proxy,5,48
default,currencyservice-us-central-1-5bb5d7c968-9smkx,server,0,20
default,currencyservice-us-central-1-5bb5d7c968-9smkx,istio-proxy,5,48
default,currencyservice-us-east-1-6fc4b86f4b-qzz7t,server,0,20
default,currencyservice-us-east-1-6fc4b86f4b-qzz7t,istio-proxy,3,48
default,currencyservice-us-east-1-6fc4b86f4b-rx5xp,server,0,20
default,currencyservice-us-east-1-6fc4b86f4b-rx5xp,istio-proxy,3,48
default,currencyservice-us-east-1-6fc4b86f4b-wwl75,server,0,20
default,currencyservice-us-east-1-6fc4b86f4b-wwl75,istio-proxy,3,47
