Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-5d4c77cfc-2pttq,server,2,147
default,adservice-us-central-1-5d4c77cfc-2pttq,istio-proxy,3,83
default,adservice-us-central-1-5d4c77cfc-g7l89,server,3,149
default,adservice-us-central-1-5d4c77cfc-g7l89,istio-proxy,3,82
default,adservice-us-central-1-5d4c77cfc-gdsxc,server,0,144
default,adservice-us-central-1-5d4c77cfc-gdsxc,istio-proxy,3,85
default,adservice-us-east-1-57d5645dd5-4rb6t,server,3,148
default,adservice-us-east-1-57d5645dd5-4rb6t,istio-proxy,4,82
default,adservice-us-east-1-57d5645dd5-sbknf,server,2,148
default,adservice-us-east-1-57d5645dd5-sbknf,istio-proxy,3,83
default,adservice-us-east-1-57d5645dd5-wnztw,server,0,145
default,adservice-us-east-1-57d5645dd5-wnztw,istio-proxy,3,84
default,adservice-us-south-1-74c5bd48-g2tqn,server,2,149
default,adservice-us-south-1-74c5bd48-g2tqn,istio-proxy,5,84
default,adservice-us-south-1-74c5bd48-g5xv8,server,2,142
default,adservice-us-south-1-74c5bd48-g5xv8,istio-proxy,5,85
default,adservice-us-south-1-74c5bd48-xmv26,server,2,146
default,adservice-us-south-1-74c5bd48-xmv26,istio-proxy,6,83
default,adservice-us-west-1-69fff97b6b-d98ss,server,5,150
default,adservice-us-west-1-69fff97b6b-d98ss,istio-proxy,4,84
default,adservice-us-west-1-69fff97b6b-q9jc2,server,2,148
default,adservice-us-west-1-69fff97b6b-q9jc2,istio-proxy,4,83
default,adservice-us-west-1-69fff97b6b-rv4qt,server,2,143
default,adservice-us-west-1-69fff97b6b-rv4qt,istio-proxy,4,85
default,cartservice-us-central-1-655f5c9787-7mhg8,server,61,40
default,cartservice-us-central-1-655f5c9787-7mhg8,istio-proxy,42,83
default,cartservice-us-central-1-655f5c9787-vlrh5,server,120,38
default,cartservice-us-central-1-655f5c9787-vlrh5,istio-proxy,43,83
default,cartservice-us-central-1-655f5c9787-zgwjk,server,73,42
default,cartservice-us-central-1-655f5c9787-zgwjk,istio-proxy,48,84
default,cartservice-us-east-1-5f84988769-kdf62,server,245,54
default,cartservice-us-east-1-5f84988769-kdf62,istio-proxy,119,83
default,cartservice-us-east-1-5f84988769-mxbdv,server,175,60
default,cartservice-us-east-1-5f84988769-mxbdv,istio-proxy,115,84
default,cartservice-us-east-1-5f84988769-rnxh9,server,176,58
default,cartservice-us-east-1-5f84988769-rnxh9,istio-proxy,118,85
default,cartservice-us-south-1-c5944b48c-bvh9h,server,283,72
default,cartservice-us-south-1-c5944b48c-bvh9h,istio-proxy,189,85
default,cartservice-us-south-1-c5944b48c-mkcwv,server,287,64
default,cartservice-us-south-1-c5944b48c-mkcwv,istio-proxy,190,85
default,cartservice-us-south-1-c5944b48c-qt8rb,server,276,67
default,cartservice-us-south-1-c5944b48c-qt8rb,istio-proxy,193,84
default,cartservice-us-west-1-7cbb76c679-qpwmm,server,483,119
default,cartservice-us-west-1-7cbb76c679-qpwmm,istio-proxy,471,91
default,cartservice-us-west-1-7cbb76c679-t45hs,server,512,115
default,cartservice-us-west-1-7cbb76c679-t45hs,istio-proxy,536,86
default,cartservice-us-west-1-7cbb76c679-wv2jp,server,681,94
default,cartservice-us-west-1-7cbb76c679-wv2jp,istio-proxy,445,86
default,checkoutservice-us-central-1-cd54b8876-hqn8x,server,103,11
default,checkoutservice-us-central-1-cd54b8876-hqn8x,istio-proxy,191,85
default,checkoutservice-us-central-1-cd54b8876-lwz87,server,104,11
default,checkoutservice-us-central-1-cd54b8876-lwz87,istio-proxy,192,85
default,checkoutservice-us-central-1-cd54b8876-vrj9n,server,98,11
default,checkoutservice-us-central-1-cd54b8876-vrj9n,istio-proxy,183,85
default,checkoutservice-us-east-1-5975998764-57w4t,server,120,11
default,checkoutservice-us-east-1-5975998764-57w4t,istio-proxy,215,85
default,checkoutservice-us-east-1-5975998764-k7lmf,server,120,11
default,checkoutservice-us-east-1-5975998764-k7lmf,istio-proxy,222,84
default,checkoutservice-us-east-1-5975998764-z6sdt,server,119,11
default,checkoutservice-us-east-1-5975998764-z6sdt,istio-proxy,222,84
default,checkoutservice-us-south-1-c984d69cb-wjqx6,server,120,11
default,checkoutservice-us-south-1-c984d69cb-wjqx6,istio-proxy,226,84
default,checkoutservice-us-south-1-c984d69cb-xscxd,server,119,11
