Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-5d4c77cfc-2pttq,server,2,151
default,adservice-us-central-1-5d4c77cfc-2pttq,istio-proxy,4,83
default,adservice-us-central-1-5d4c77cfc-g7l89,server,4,154
default,adservice-us-central-1-5d4c77cfc-g7l89,istio-proxy,5,82
default,adservice-us-central-1-5d4c77cfc-gdsxc,server,3,149
default,adservice-us-central-1-5d4c77cfc-gdsxc,istio-proxy,5,85
default,adservice-us-east-1-57d5645dd5-4rb6t,server,2,152
default,adservice-us-east-1-57d5645dd5-4rb6t,istio-proxy,4,82
default,adservice-us-east-1-57d5645dd5-sbknf,server,2,153
default,adservice-us-east-1-57d5645dd5-sbknf,istio-proxy,5,83
default,adservice-us-east-1-57d5645dd5-wnztw,server,3,154
default,adservice-us-east-1-57d5645dd5-wnztw,istio-proxy,4,85
default,adservice-us-south-1-74c5bd48-g2tqn,server,4,154
default,adservice-us-south-1-74c5bd48-g2tqn,istio-proxy,3,84
default,adservice-us-south-1-74c5bd48-g5xv8,server,2,152
default,adservice-us-south-1-74c5bd48-g5xv8,istio-proxy,3,85
default,adservice-us-south-1-74c5bd48-xmv26,server,2,146
default,adservice-us-south-1-74c5bd48-xmv26,istio-proxy,3,83
default,adservice-us-west-1-69fff97b6b-d98ss,server,3,154
default,adservice-us-west-1-69fff97b6b-d98ss,istio-proxy,5,84
default,adservice-us-west-1-69fff97b6b-q9jc2,server,4,153
default,adservice-us-west-1-69fff97b6b-q9jc2,istio-proxy,6,83
default,adservice-us-west-1-69fff97b6b-rv4qt,server,5,152
default,adservice-us-west-1-69fff97b6b-rv4qt,istio-proxy,6,85
default,cartservice-us-central-1-655f5c9787-7mhg8,server,63,44
default,cartservice-us-central-1-655f5c9787-7mhg8,istio-proxy,47,84
default,cartservice-us-central-1-655f5c9787-vlrh5,server,68,42
default,cartservice-us-central-1-655f5c9787-vlrh5,istio-proxy,44,84
default,cartservice-us-central-1-655f5c9787-zgwjk,server,65,43
default,cartservice-us-central-1-655f5c9787-zgwjk,istio-proxy,44,84
default,cartservice-us-east-1-5f84988769-kdf62,server,174,74
default,cartservice-us-east-1-5f84988769-kdf62,istio-proxy,118,83
default,cartservice-us-east-1-5f84988769-mxbdv,server,175,60
default,cartservice-us-east-1-5f84988769-mxbdv,istio-proxy,115,84
default,cartservice-us-east-1-5f84988769-rnxh9,server,169,65
default,cartservice-us-east-1-5f84988769-rnxh9,istio-proxy,122,85
default,cartservice-us-south-1-c5944b48c-bvh9h,server,277,87
default,cartservice-us-south-1-c5944b48c-bvh9h,istio-proxy,197,85
default,cartservice-us-south-1-c5944b48c-mkcwv,server,269,92
default,cartservice-us-south-1-c5944b48c-mkcwv,istio-proxy,191,86
default,cartservice-us-south-1-c5944b48c-qt8rb,server,278,79
default,cartservice-us-south-1-c5944b48c-qt8rb,istio-proxy,194,84
default,cartservice-us-west-1-7cbb76c679-qpwmm,server,483,119
default,cartservice-us-west-1-7cbb76c679-qpwmm,istio-proxy,348,91
default,cartservice-us-west-1-7cbb76c679-t45hs,server,398,135
default,cartservice-us-west-1-7cbb76c679-t45hs,istio-proxy,377,88
default,cartservice-us-west-1-7cbb76c679-wv2jp,server,448,126
