Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-5d4c77cfc-2pttq,server,4,156
default,adservice-us-central-1-5d4c77cfc-2pttq,istio-proxy,4,83
default,adservice-us-central-1-5d4c77cfc-g7l89,server,6,159
default,adservice-us-central-1-5d4c77cfc-g7l89,istio-proxy,3,82
default,adservice-us-central-1-5d4c77cfc-gdsxc,server,3,154
default,adservice-us-central-1-5d4c77cfc-gdsxc,istio-proxy,3,85
default,adservice-us-east-1-57d5645dd5-4rb6t,server,8,157
default,adservice-us-east-1-57d5645dd5-4rb6t,istio-proxy,3,82
default,adservice-us-east-1-57d5645dd5-sbknf,server,2,153
default,adservice-us-east-1-57d5645dd5-sbknf,istio-proxy,3,83
default,adservice-us-east-1-57d5645dd5-wnztw,server,9,159
default,adservice-us-east-1-57d5645dd5-wnztw,istio-proxy,3,85
default,adservice-us-south-1-74c5bd48-g2tqn,server,6,158
default,adservice-us-south-1-74c5bd48-g2tqn,istio-proxy,3,84
default,adservice-us-south-1-74c5bd48-g5xv8,server,5,157
default,adservice-us-south-1-74c5bd48-g5xv8,istio-proxy,3,85
default,adservice-us-south-1-74c5bd48-xmv26,server,2,151
default,adservice-us-south-1-74c5bd48-xmv26,istio-proxy,3,83
default,adservice-us-west-1-69fff97b6b-d98ss,server,3,154
default,adservice-us-west-1-69fff97b6b-d98ss,istio-proxy,3,84
default,adservice-us-west-1-69fff97b6b-q9jc2,server,0,152
default,adservice-us-west-1-69fff97b6b-q9jc2,istio-proxy,3,83
default,adservice-us-west-1-69fff97b6b-rv4qt,server,7,157
default,adservice-us-west-1-69fff97b6b-rv4qt,istio-proxy,3,85
default,cartservice-us-central-1-655f5c9787-7mhg8,server,33,47
default,cartservice-us-central-1-655f5c9787-7mhg8,istio-proxy,35,84
default,cartservice-us-central-1-655f5c9787-vlrh5,server,62,46
default,cartservice-us-central-1-655f5c9787-vlrh5,istio-proxy,44,84
default,cartservice-us-central-1-655f5c9787-zgwjk,server,56,46
default,cartservice-us-central-1-655f5c9787-zgwjk,istio-proxy,33,84
default,cartservice-us-east-1-5f84988769-kdf62,server,174,74
default,cartservice-us-east-1-5f84988769-kdf62,istio-proxy,74,83
default,cartservice-us-east-1-5f84988769-mxbdv,server,165,71
default,cartservice-us-east-1-5f84988769-mxbdv,istio-proxy,115,84
