Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-5d4c77cfc-2pttq,server,2,142
default,adservice-us-central-1-5d4c77cfc-2pttq,istio-proxy,3,83
default,adservice-us-central-1-5d4c77cfc-g7l89,server,2,144
default,adservice-us-central-1-5d4c77cfc-g7l89,istio-proxy,3,82
default,adservice-us-central-1-5d4c77cfc-gdsxc,server,3,144
default,adservice-us-central-1-5d4c77cfc-gdsxc,istio-proxy,3,85
default,adservice-us-east-1-57d5645dd5-4rb6t,server,2,143
default,adservice-us-east-1-57d5645dd5-4rb6t,istio-proxy,3,82
default,adservice-us-east-1-57d5645dd5-sbknf,server,3,143
default,adservice-us-east-1-57d5645dd5-sbknf,istio-proxy,3,83
default,adservice-us-east-1-57d5645dd5-wnztw,server,3,145
default,adservice-us-east-1-57d5645dd5-wnztw,istio-proxy,3,84
default,adservice-us-south-1-74c5bd48-g2tqn,server,4,144
default,adservice-us-south-1-74c5bd48-g2tqn,istio-proxy,3,84
default,adservice-us-south-1-74c5bd48-g5xv8,server,2,138
default,adservice-us-south-1-74c5bd48-g5xv8,istio-proxy,3,85
default,adservice-us-south-1-74c5bd48-xmv26,server,0,137
default,adservice-us-south-1-74c5bd48-xmv26,istio-proxy,3,83
default,adservice-us-west-1-69fff97b6b-d98ss,server,2,138
default,adservice-us-west-1-69fff97b6b-d98ss,istio-proxy,4,84
default,adservice-us-west-1-69fff97b6b-q9jc2,server,3,143
default,adservice-us-west-1-69fff97b6b-q9jc2,istio-proxy,3,83
default,adservice-us-west-1-69fff97b6b-rv4qt,server,2,138
default,adservice-us-west-1-69fff97b6b-rv4qt,istio-proxy,4,85
default,cartservice-us-central-1-655f5c9787-7mhg8,server,257,38
default,cartservice-us-central-1-655f5c9787-7mhg8,istio-proxy,27,83
default,cartservice-us-central-1-655f5c9787-vlrh5,server,120,38
default,cartservice-us-central-1-655f5c9787-vlrh5,istio-proxy,26,83
default,cartservice-us-central-1-655f5c9787-zgwjk,server,138,39
default,cartservice-us-central-1-655f5c9787-zgwjk,istio-proxy,44,84
default,cartservice-us-east-1-5f84988769-kdf62,server,245,54
default,cartservice-us-east-1-5f84988769-kdf62,istio-proxy,57,82
default,cartservice-us-east-1-5f84988769-mxbdv,server,169,50
default,cartservice-us-east-1-5f84988769-mxbdv,istio-proxy,110,84
default,cartservice-us-east-1-5f84988769-rnxh9,server,247,50
default,cartservice-us-east-1-5f84988769-rnxh9,istio-proxy,118,85
default,cartservice-us-south-1-c5944b48c-bvh9h,server,274,59
default,cartservice-us-south-1-c5944b48c-bvh9h,istio-proxy,190,85
default,cartservice-us-south-1-c5944b48c-mkcwv,server,338,48
