counter,region,service,endpoint,rps
1,us-south-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,4
1,us-south-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,17
1,us-south-1,sslateingress,sslateingress@POST@/cart,0
1,us-south-1,sslateingress,sslateingress@POST@/cart/checkout,8
1,us-south-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,6
1,us-south-1,frontend,frontend@POST@/cart,27
1,us-south-1,frontend,frontend@POST@/cart/empty,14
1,us-south-1,frontend,frontend@POST@/cart/checkout,31
1,us-south-1,frontend,frontend@POST@/setCurrency,12
1,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,97
1,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,76
1,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,36
1,us-west-1,frontend,frontend@POST@/cart,298
1,us-west-1,frontend,frontend@POST@/cart/checkout,256
1,us-west-1,frontend,frontend@POST@/cart/empty,245
1,us-west-1,frontend,frontend@POST@/setCurrency,214
1,us-west-1,sslateingress,sslateingress@POST@/cart,217
1,us-west-1,sslateingress,sslateingress@POST@/cart/checkout,212
1,us-west-1,sslateingress,sslateingress@POST@/cart/empty,172
1,us-west-1,sslateingress,sslateingress@POST@/setCurrency,141
1,us-west-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,379
1,us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,201
1,us-west-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,255
1,us-west-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,200
1,us-west-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,217
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,246
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,234
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,217
1,us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,157
1,us-central-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,33
1,us-central-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,48
1,us-central-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,29
1,us-central-1,frontend,frontend@POST@/cart/checkout,48
1,us-central-1,frontend,frontend@POST@/cart,34
1,us-central-1,frontend,frontend@POST@/setCurrency,11
1,us-central-1,frontend,frontend@POST@/cart/empty,18
1,us-central-1,sslateingress,sslateingress@POST@/cart/checkout,36
1,us-central-1,sslateingress,sslateingress@POST@/cart/empty,21
1,us-central-1,sslateingress,sslateingress@POST@/cart,33
1,us-central-1,sslateingress,sslateingress@POST@/setCurrency,20
1,us-central-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,64
1,us-central-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,23
1,us-central-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,29
1,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,30
1,us-east-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,68
