Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-7cdbc97cf-2blng,server,2,135
default,adservice-us-central-1-7cdbc97cf-2blng,istio-proxy,3,83
default,adservice-us-central-1-7cdbc97cf-7h8gd,server,3,133
default,adservice-us-central-1-7cdbc97cf-7h8gd,istio-proxy,3,82
default,adservice-us-central-1-7cdbc97cf-spdk4,server,3,138
default,adservice-us-central-1-7cdbc97cf-spdk4,istio-proxy,3,85
default,adservice-us-east-1-5f68599f6c-jmlgj,server,3,146
default,adservice-us-east-1-5f68599f6c-jmlgj,istio-proxy,3,84
default,adservice-us-east-1-5f68599f6c-stfdm,server,4,143
default,adservice-us-east-1-5f68599f6c-stfdm,istio-proxy,4,84
default,adservice-us-east-1-5f68599f6c-xs9jr,server,3,144
default,adservice-us-east-1-5f68599f6c-xs9jr,istio-proxy,3,87
default,adservice-us-south-1-74d4dbc759-djlch,server,3,137
default,adservice-us-south-1-74d4dbc759-djlch,istio-proxy,3,83
default,adservice-us-south-1-74d4dbc759-kcdz9,server,2,143
default,adservice-us-south-1-74d4dbc759-kcdz9,istio-proxy,3,84
default,adservice-us-south-1-74d4dbc759-kr42c,server,3,140
default,adservice-us-south-1-74d4dbc759-kr42c,istio-proxy,3,84
default,adservice-us-west-1-6795c466c-2m4nb,server,2,137
default,adservice-us-west-1-6795c466c-2m4nb,istio-proxy,4,84
default,adservice-us-west-1-6795c466c-4p224,server,0,138
default,adservice-us-west-1-6795c466c-4p224,istio-proxy,4,84
default,adservice-us-west-1-6795c466c-g5427,server,3,142
default,adservice-us-west-1-6795c466c-g5427,istio-proxy,4,83
default,cartservice-us-central-1-549c47cdd6-fdn8j,server,101,42
default,cartservice-us-central-1-549c47cdd6-fdn8j,istio-proxy,65,85
default,cartservice-us-central-1-549c47cdd6-kwjzv,server,221,39
default,cartservice-us-central-1-549c47cdd6-kwjzv,istio-proxy,61,84
default,cartservice-us-central-1-549c47cdd6-swm48,server,91,39
default,cartservice-us-central-1-549c47cdd6-swm48,istio-proxy,25,84
default,cartservice-us-east-1-6846d95d94-j74nz,server,331,47
default,cartservice-us-east-1-6846d95d94-j74nz,istio-proxy,123,85
default,cartservice-us-east-1-6846d95d94-ljdrj,server,186,52
default,cartservice-us-east-1-6846d95d94-ljdrj,istio-proxy,126,83
default,cartservice-us-east-1-6846d95d94-zbvm7,server,352,46
default,cartservice-us-east-1-6846d95d94-zbvm7,istio-proxy,67,84
default,cartservice-us-south-1-6db58469d-mzcph,server,352,59
default,cartservice-us-south-1-6db58469d-mzcph,istio-proxy,178,87
default,cartservice-us-south-1-6db58469d-vnlkb,server,402,58
default,cartservice-us-south-1-6db58469d-vnlkb,istio-proxy,224,84
default,cartservice-us-south-1-6db58469d-zf67c,server,294,64
default,cartservice-us-south-1-6db58469d-zf67c,istio-proxy,223,84
default,cartservice-us-west-1-6946b5b55d-jj5nw,server,444,61
default,cartservice-us-west-1-6946b5b55d-jj5nw,istio-proxy,452,85
default,cartservice-us-west-1-6946b5b55d-mdl42,server,687,71
default,cartservice-us-west-1-6946b5b55d-mdl42,istio-proxy,444,83
default,cartservice-us-west-1-6946b5b55d-twrjv,server,888,66
default,cartservice-us-west-1-6946b5b55d-twrjv,istio-proxy,450,85
default,checkoutservice-us-central-1-94f9dd7dc-2b6gj,server,58,10
default,checkoutservice-us-central-1-94f9dd7dc-2b6gj,istio-proxy,88,85
default,checkoutservice-us-central-1-94f9dd7dc-b87v8,server,101,11
default,checkoutservice-us-central-1-94f9dd7dc-b87v8,istio-proxy,258,84
default,checkoutservice-us-central-1-94f9dd7dc-ckp5q,server,76,11
default,checkoutservice-us-central-1-94f9dd7dc-ckp5q,istio-proxy,262,83
default,checkoutservice-us-east-1-5f6767f7c7-g4t55,server,145,11
default,checkoutservice-us-east-1-5f6767f7c7-g4t55,istio-proxy,263,84
default,checkoutservice-us-east-1-5f6767f7c7-mxvtt,server,140,11
default,checkoutservice-us-east-1-5f6767f7c7-mxvtt,istio-proxy,259,85
default,checkoutservice-us-east-1-5f6767f7c7-v9h89,server,145,10
default,checkoutservice-us-east-1-5f6767f7c7-v9h89,istio-proxy,217,86
default,checkoutservice-us-south-1-7594f44c79-cxktg,server,131,11
default,checkoutservice-us-south-1-7594f44c79-cxktg,istio-proxy,362,85
default,checkoutservice-us-south-1-7594f44c79-wdwlq,server,214,11
default,checkoutservice-us-south-1-7594f44c79-wdwlq,istio-proxy,236,84
default,checkoutservice-us-south-1-7594f44c79-wrwmv,server,205,11
default,checkoutservice-us-south-1-7594f44c79-wrwmv,istio-proxy,179,85
default,checkoutservice-us-west-1-58ff7bb985-klql8,server,314,12
default,checkoutservice-us-west-1-58ff7bb985-klql8,istio-proxy,421,84
default,checkoutservice-us-west-1-58ff7bb985-n9zf7,server,308,11
default,checkoutservice-us-west-1-58ff7bb985-n9zf7,istio-proxy,631,85
default,checkoutservice-us-west-1-58ff7bb985-rptsl,server,299,11
default,checkoutservice-us-west-1-58ff7bb985-rptsl,istio-proxy,696,84
default,currencyservice-us-central-1-db8b4cf85-6nllx,server,91,23
default,currencyservice-us-central-1-db8b4cf85-6nllx,istio-proxy,55,84
default,currencyservice-us-central-1-db8b4cf85-r9sd6,server,31,18
default,currencyservice-us-central-1-db8b4cf85-r9sd6,istio-proxy,54,84
default,currencyservice-us-central-1-db8b4cf85-x964x,server,90,24
default,currencyservice-us-central-1-db8b4cf85-x964x,istio-proxy,24,84
