Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-7cdbc97cf-2blng,server,2,130
default,adservice-us-central-1-7cdbc97cf-2blng,istio-proxy,6,83
default,adservice-us-central-1-7cdbc97cf-7h8gd,server,2,129
default,adservice-us-central-1-7cdbc97cf-7h8gd,istio-proxy,3,82
default,adservice-us-central-1-7cdbc97cf-spdk4,server,2,133
default,adservice-us-central-1-7cdbc97cf-spdk4,istio-proxy,2,85
default,adservice-us-east-1-5f68599f6c-jmlgj,server,2,136
default,adservice-us-east-1-5f68599f6c-jmlgj,istio-proxy,4,84
default,adservice-us-east-1-5f68599f6c-stfdm,server,0,133
default,adservice-us-east-1-5f68599f6c-stfdm,istio-proxy,3,84
default,adservice-us-east-1-5f68599f6c-xs9jr,server,4,139
default,adservice-us-east-1-5f68599f6c-xs9jr,istio-proxy,3,87
default,adservice-us-south-1-74d4dbc759-djlch,server,0,132
default,adservice-us-south-1-74d4dbc759-djlch,istio-proxy,4,83
default,adservice-us-south-1-74d4dbc759-kcdz9,server,2,133
default,adservice-us-south-1-74d4dbc759-kcdz9,istio-proxy,5,83
default,adservice-us-south-1-74d4dbc759-kr42c,server,2,135
default,adservice-us-south-1-74d4dbc759-kr42c,istio-proxy,3,84
default,adservice-us-west-1-6795c466c-2m4nb,server,2,133
default,adservice-us-west-1-6795c466c-2m4nb,istio-proxy,3,84
default,adservice-us-west-1-6795c466c-4p224,server,3,138
default,adservice-us-west-1-6795c466c-4p224,istio-proxy,3,84
default,adservice-us-west-1-6795c466c-g5427,server,3,138
default,adservice-us-west-1-6795c466c-g5427,istio-proxy,3,83
default,cartservice-us-central-1-549c47cdd6-fdn8j,server,174,37
default,cartservice-us-central-1-549c47cdd6-fdn8j,istio-proxy,35,85
default,cartservice-us-central-1-549c47cdd6-kwjzv,server,1,28
default,cartservice-us-central-1-549c47cdd6-kwjzv,istio-proxy,19,84
default,cartservice-us-central-1-549c47cdd6-swm48,server,103,39
default,cartservice-us-central-1-549c47cdd6-swm48,istio-proxy,25,84
default,cartservice-us-east-1-6846d95d94-j74nz,server,98,36
default,cartservice-us-east-1-6846d95d94-j74nz,istio-proxy,3,84
default,cartservice-us-east-1-6846d95d94-ljdrj,server,253,45
default,cartservice-us-east-1-6846d95d94-ljdrj,istio-proxy,33,83
default,cartservice-us-east-1-6846d95d94-zbvm7,server,113,37
default,cartservice-us-east-1-6846d95d94-zbvm7,istio-proxy,67,84
default,cartservice-us-south-1-6db58469d-mzcph,server,239,43
default,cartservice-us-south-1-6db58469d-mzcph,istio-proxy,4,85
default,cartservice-us-south-1-6db58469d-vnlkb,server,138,41
default,cartservice-us-south-1-6db58469d-vnlkb,istio-proxy,45,84
default,cartservice-us-south-1-6db58469d-zf67c,server,282,47
default,cartservice-us-south-1-6db58469d-zf67c,istio-proxy,32,83
default,cartservice-us-west-1-6946b5b55d-jj5nw,server,444,61
default,cartservice-us-west-1-6946b5b55d-jj5nw,istio-proxy,184,85
default,cartservice-us-west-1-6946b5b55d-mdl42,server,2,28
default,cartservice-us-west-1-6946b5b55d-mdl42,istio-proxy,134,83
default,cartservice-us-west-1-6946b5b55d-twrjv,server,53,35
default,cartservice-us-west-1-6946b5b55d-twrjv,istio-proxy,104,85
default,checkoutservice-us-central-1-94f9dd7dc-2b6gj,server,58,10
default,checkoutservice-us-central-1-94f9dd7dc-2b6gj,istio-proxy,88,85
default,checkoutservice-us-central-1-94f9dd7dc-b87v8,server,0,8
default,checkoutservice-us-central-1-94f9dd7dc-b87v8,istio-proxy,3,83
default,checkoutservice-us-central-1-94f9dd7dc-ckp5q,server,0,8
default,checkoutservice-us-central-1-94f9dd7dc-ckp5q,istio-proxy,13,83
default,checkoutservice-us-east-1-5f6767f7c7-g4t55,server,7,9
default,checkoutservice-us-east-1-5f6767f7c7-g4t55,istio-proxy,6,83
default,checkoutservice-us-east-1-5f6767f7c7-mxvtt,server,60,10
default,checkoutservice-us-east-1-5f6767f7c7-mxvtt,istio-proxy,141,85
default,checkoutservice-us-east-1-5f6767f7c7-v9h89,server,84,11
default,checkoutservice-us-east-1-5f6767f7c7-v9h89,istio-proxy,5,84
default,checkoutservice-us-south-1-7594f44c79-cxktg,server,0,8
default,checkoutservice-us-south-1-7594f44c79-cxktg,istio-proxy,62,85
default,checkoutservice-us-south-1-7594f44c79-wdwlq,server,113,10
default,checkoutservice-us-south-1-7594f44c79-wdwlq,istio-proxy,5,83
default,checkoutservice-us-south-1-7594f44c79-wrwmv,server,92,11
default,checkoutservice-us-south-1-7594f44c79-wrwmv,istio-proxy,6,84
default,checkoutservice-us-west-1-58ff7bb985-klql8,server,201,11
default,checkoutservice-us-west-1-58ff7bb985-klql8,istio-proxy,421,84
default,checkoutservice-us-west-1-58ff7bb985-n9zf7,server,155,11
default,checkoutservice-us-west-1-58ff7bb985-n9zf7,istio-proxy,511,85
default,checkoutservice-us-west-1-58ff7bb985-rptsl,server,162,10
default,checkoutservice-us-west-1-58ff7bb985-rptsl,istio-proxy,106,83
default,currencyservice-us-central-1-db8b4cf85-6nllx,server,10,17
default,currencyservice-us-central-1-db8b4cf85-6nllx,istio-proxy,15,84
default,currencyservice-us-central-1-db8b4cf85-r9sd6,server,31,18
default,currencyservice-us-central-1-db8b4cf85-r9sd6,istio-proxy,14,84
default,currencyservice-us-central-1-db8b4cf85-x964x,server,0,18
default,currencyservice-us-central-1-db8b4cf85-x964x,istio-proxy,24,84
default,currencyservice-us-east-1-57574fdff7-6ql4h,server,57,20
default,currencyservice-us-east-1-57574fdff7-6ql4h,istio-proxy,26,87
default,currencyservice-us-east-1-57574fdff7-gv5xl,server,26,18
default,currencyservice-us-east-1-57574fdff7-gv5xl,istio-proxy,16,83
default,currencyservice-us-east-1-57574fdff7-t2pjn,server,12,18
default,currencyservice-us-east-1-57574fdff7-t2pjn,istio-proxy,19,83
default,currencyservice-us-south-1-794b44fcd5-8z9dw,server,76,21
default,currencyservice-us-south-1-794b44fcd5-8z9dw,istio-proxy,25,85
default,currencyservice-us-south-1-794b44fcd5-c5g2d,server,11,17
default,currencyservice-us-south-1-794b44fcd5-c5g2d,istio-proxy,4,84
default,currencyservice-us-south-1-794b44fcd5-vgfr4,server,10,18
default,currencyservice-us-south-1-794b44fcd5-vgfr4,istio-proxy,3,83
default,currencyservice-us-west-1-77c4bf446f-7tvtx,server,0,18
default,currencyservice-us-west-1-77c4bf446f-7tvtx,istio-proxy,77,84
default,currencyservice-us-west-1-77c4bf446f-956wt,server,0,18
default,currencyservice-us-west-1-77c4bf446f-956wt,istio-proxy,56,86
default,currencyservice-us-west-1-77c4bf446f-wz86f,server,0,18
default,currencyservice-us-west-1-77c4bf446f-wz86f,istio-proxy,28,87
default,emailservice-us-central-1-6485f88dbc-5k58t,server,1,40
default,emailservice-us-central-1-6485f88dbc-5k58t,istio-proxy,14,83
default,emailservice-us-central-1-6485f88dbc-d2p9c,server,21,41
default,emailservice-us-central-1-6485f88dbc-d2p9c,istio-proxy,5,88
default,emailservice-us-central-1-6485f88dbc-pwjc4,server,8,40
default,emailservice-us-central-1-6485f88dbc-pwjc4,istio-proxy,4,83
default,emailservice-us-east-1-58b6bd959c-dv7sd,server,1,40
default,emailservice-us-east-1-58b6bd959c-dv7sd,istio-proxy,5,82
default,emailservice-us-east-1-58b6bd959c-fqwpb,server,12,40
default,emailservice-us-east-1-58b6bd959c-fqwpb,istio-proxy,19,83
default,emailservice-us-east-1-58b6bd959c-qzkqx,server,1,40
default,emailservice-us-east-1-58b6bd959c-qzkqx,istio-proxy,27,84
default,emailservice-us-south-1-7c9b4f7f5f-722t8,server,1,40
default,emailservice-us-south-1-7c9b4f7f5f-722t8,istio-proxy,18,85
default,emailservice-us-south-1-7c9b4f7f5f-875xm,server,1,40
default,emailservice-us-south-1-7c9b4f7f5f-875xm,istio-proxy,38,83
default,emailservice-us-south-1-7c9b4f7f5f-p6g6r,server,1,40
default,emailservice-us-south-1-7c9b4f7f5f-p6g6r,istio-proxy,10,83
default,emailservice-us-west-1-58d4c598bf-g2x99,server,46,41
default,emailservice-us-west-1-58d4c598bf-g2x99,istio-proxy,85,84
default,emailservice-us-west-1-58d4c598bf-m9zv8,server,42,41
default,emailservice-us-west-1-58d4c598bf-m9zv8,istio-proxy,98,84
default,emailservice-us-west-1-58d4c598bf-xcxbv,server,1,40
default,emailservice-us-west-1-58d4c598bf-xcxbv,istio-proxy,14,82
default,frontend-us-central-1-867ffc6d8b-gp8lk,server,56,17
default,frontend-us-central-1-867ffc6d8b-gp8lk,istio-proxy,82,85
default,frontend-us-central-1-867ffc6d8b-trrwc,server,0,10
default,frontend-us-central-1-867ffc6d8b-trrwc,istio-proxy,122,85
default,frontend-us-central-1-867ffc6d8b-v4878,server,22,16
default,frontend-us-central-1-867ffc6d8b-v4878,istio-proxy,57,85
default,frontend-us-east-1-5cf8d9ff64-5bflx,server,0,11
default,frontend-us-east-1-5cf8d9ff64-5bflx,istio-proxy,136,84
default,frontend-us-east-1-5cf8d9ff64-f4xzq,server,30,16
default,frontend-us-east-1-5cf8d9ff64-f4xzq,istio-proxy,5,84
default,frontend-us-east-1-5cf8d9ff64-xz5fr,server,113,16
