Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-76866f4c7c-869pd,server,2,152
default,adservice-us-central-1-76866f4c7c-869pd,istio-proxy,3,83
default,adservice-us-central-1-76866f4c7c-dm7sg,server,3,153
default,adservice-us-central-1-76866f4c7c-dm7sg,istio-proxy,3,84
default,adservice-us-central-1-76866f4c7c-qfkc9,server,3,153
default,adservice-us-central-1-76866f4c7c-qfkc9,istio-proxy,4,83
default,adservice-us-east-1-65df454fbb-2sh4f,server,2,153
default,adservice-us-east-1-65df454fbb-2sh4f,istio-proxy,3,84
default,adservice-us-east-1-65df454fbb-bz5dm,server,3,155
default,adservice-us-east-1-65df454fbb-bz5dm,istio-proxy,3,82
default,adservice-us-east-1-65df454fbb-qf97w,server,2,153
default,adservice-us-east-1-65df454fbb-qf97w,istio-proxy,4,82
default,adservice-us-south-1-7974f7b76-k577z,server,2,146
default,adservice-us-south-1-7974f7b76-k577z,istio-proxy,5,84
default,adservice-us-south-1-7974f7b76-lvjch,server,4,152
default,adservice-us-south-1-7974f7b76-lvjch,istio-proxy,3,83
default,adservice-us-south-1-7974f7b76-rb8nr,server,0,148
default,adservice-us-south-1-7974f7b76-rb8nr,istio-proxy,4,85
default,adservice-us-west-1-8cd5b7bcd-gccrc,server,4,153
default,adservice-us-west-1-8cd5b7bcd-gccrc,istio-proxy,3,84
default,adservice-us-west-1-8cd5b7bcd-hzd7p,server,4,155
default,adservice-us-west-1-8cd5b7bcd-hzd7p,istio-proxy,3,86
default,adservice-us-west-1-8cd5b7bcd-m245x,server,2,153
default,adservice-us-west-1-8cd5b7bcd-m245x,istio-proxy,3,81
default,cartservice-us-central-1-864fc77c6c-9j2xq,server,97,54
default,cartservice-us-central-1-864fc77c6c-9j2xq,istio-proxy,67,89
default,cartservice-us-central-1-864fc77c6c-jlv5l,server,102,50
default,cartservice-us-central-1-864fc77c6c-jlv5l,istio-proxy,71,83
default,cartservice-us-central-1-864fc77c6c-rmdbx,server,98,53
default,cartservice-us-central-1-864fc77c6c-rmdbx,istio-proxy,73,84
default,cartservice-us-east-1-55b4d9977-4jpfn,server,270,95
default,cartservice-us-east-1-55b4d9977-4jpfn,istio-proxy,196,84
default,cartservice-us-east-1-55b4d9977-7cwmn,server,278,88
default,cartservice-us-east-1-55b4d9977-7cwmn,istio-proxy,200,84
default,cartservice-us-east-1-55b4d9977-xxtbk,server,287,86
default,cartservice-us-east-1-55b4d9977-xxtbk,istio-proxy,203,84
default,cartservice-us-south-1-7bd654b5c9-cnknl,server,463,124
default,cartservice-us-south-1-7bd654b5c9-cnknl,istio-proxy,338,88
default,cartservice-us-south-1-7bd654b5c9-flwv7,server,469,144
default,cartservice-us-south-1-7bd654b5c9-flwv7,istio-proxy,343,86
default,cartservice-us-south-1-7bd654b5c9-v5vsf,server,477,135
default,cartservice-us-south-1-7bd654b5c9-v5vsf,istio-proxy,357,87
default,cartservice-us-west-1-dcb7f58d9-52g5q,server,301,93
default,cartservice-us-west-1-dcb7f58d9-52g5q,istio-proxy,230,86
default,cartservice-us-west-1-dcb7f58d9-dcdn5,server,302,100
default,cartservice-us-west-1-dcb7f58d9-dcdn5,istio-proxy,214,84
default,cartservice-us-west-1-dcb7f58d9-hmpgg,server,317,101
default,cartservice-us-west-1-dcb7f58d9-hmpgg,istio-proxy,232,88
default,checkoutservice-us-central-1-696966fcc4-4ghnm,server,173,11
default,checkoutservice-us-central-1-696966fcc4-4ghnm,istio-proxy,321,85
default,checkoutservice-us-central-1-696966fcc4-8bd6t,server,178,12
default,checkoutservice-us-central-1-696966fcc4-8bd6t,istio-proxy,319,84
default,checkoutservice-us-central-1-696966fcc4-mcnvl,server,183,11
default,checkoutservice-us-central-1-696966fcc4-mcnvl,istio-proxy,330,84
default,checkoutservice-us-east-1-767468c466-dchsb,server,210,12
default,checkoutservice-us-east-1-767468c466-dchsb,istio-proxy,378,85
default,checkoutservice-us-east-1-767468c466-drqch,server,204,11
default,checkoutservice-us-east-1-767468c466-drqch,istio-proxy,368,87
default,checkoutservice-us-east-1-767468c466-rhjnt,server,202,12
default,checkoutservice-us-east-1-767468c466-rhjnt,istio-proxy,368,84
default,checkoutservice-us-south-1-7cc74d7bf-9ptqg,server,210,13
default,checkoutservice-us-south-1-7cc74d7bf-9ptqg,istio-proxy,392,89
default,checkoutservice-us-south-1-7cc74d7bf-lflnl,server,213,12
default,checkoutservice-us-south-1-7cc74d7bf-lflnl,istio-proxy,388,87
default,checkoutservice-us-south-1-7cc74d7bf-qp8rl,server,216,12
default,checkoutservice-us-south-1-7cc74d7bf-qp8rl,istio-proxy,416,85
default,checkoutservice-us-west-1-77c969d68c-6mtnn,server,223,12
default,checkoutservice-us-west-1-77c969d68c-6mtnn,istio-proxy,398,84
default,checkoutservice-us-west-1-77c969d68c-dps6f,server,228,12
default,checkoutservice-us-west-1-77c969d68c-dps6f,istio-proxy,418,82
default,checkoutservice-us-west-1-77c969d68c-gzxcb,server,224,12
default,checkoutservice-us-west-1-77c969d68c-gzxcb,istio-proxy,406,85
default,currencyservice-us-central-1-6678d887cf-kgd8v,server,80,31
default,currencyservice-us-central-1-6678d887cf-kgd8v,istio-proxy,64,87
default,currencyservice-us-central-1-6678d887cf-nbzwd,server,70,32
default,currencyservice-us-central-1-6678d887cf-nbzwd,istio-proxy,66,83
default,currencyservice-us-central-1-6678d887cf-v4jr5,server,73,31
default,currencyservice-us-central-1-6678d887cf-v4jr5,istio-proxy,69,84
default,currencyservice-us-east-1-756c8566c5-67cl5,server,96,34
default,currencyservice-us-east-1-756c8566c5-67cl5,istio-proxy,92,84
default,currencyservice-us-east-1-756c8566c5-kl4tw,server,97,35
default,currencyservice-us-east-1-756c8566c5-kl4tw,istio-proxy,94,84
default,currencyservice-us-east-1-756c8566c5-xlrh8,server,96,35
default,currencyservice-us-east-1-756c8566c5-xlrh8,istio-proxy,97,83
default,currencyservice-us-south-1-78cf658d84-5vn84,server,93,33
default,currencyservice-us-south-1-78cf658d84-5vn84,istio-proxy,100,83
default,currencyservice-us-south-1-78cf658d84-dn5mr,server,102,33
default,currencyservice-us-south-1-78cf658d84-dn5mr,istio-proxy,102,84
default,currencyservice-us-south-1-78cf658d84-xd9rz,server,114,31
default,currencyservice-us-south-1-78cf658d84-xd9rz,istio-proxy,111,85
default,currencyservice-us-west-1-77d9574558-7sw6d,server,118,34
default,currencyservice-us-west-1-77d9574558-7sw6d,istio-proxy,108,86
default,currencyservice-us-west-1-77d9574558-l58vw,server,109,31
default,currencyservice-us-west-1-77d9574558-l58vw,istio-proxy,106,85
default,currencyservice-us-west-1-77d9574558-vdksc,server,106,35
default,currencyservice-us-west-1-77d9574558-vdksc,istio-proxy,116,83
default,emailservice-us-central-1-974dfcd48-5s4xw,server,69,41
default,emailservice-us-central-1-974dfcd48-5s4xw,istio-proxy,65,83
default,emailservice-us-central-1-974dfcd48-8kstv,server,69,41
default,emailservice-us-central-1-974dfcd48-8kstv,istio-proxy,64,83
default,emailservice-us-central-1-974dfcd48-rjq5v,server,68,41
default,emailservice-us-central-1-974dfcd48-rjq5v,istio-proxy,66,84
default,emailservice-us-east-1-cf795bcd4-6bpdh,server,68,41
default,emailservice-us-east-1-cf795bcd4-6bpdh,istio-proxy,64,85
default,emailservice-us-east-1-cf795bcd4-h7z4h,server,73,41
default,emailservice-us-east-1-cf795bcd4-h7z4h,istio-proxy,65,85
default,emailservice-us-east-1-cf795bcd4-jd9sh,server,74,41
default,emailservice-us-east-1-cf795bcd4-jd9sh,istio-proxy,64,86
default,emailservice-us-south-1-767457bb67-7ldr5,server,78,41
default,emailservice-us-south-1-767457bb67-7ldr5,istio-proxy,72,84
default,emailservice-us-south-1-767457bb67-krsds,server,79,41
default,emailservice-us-south-1-767457bb67-krsds,istio-proxy,73,87
default,emailservice-us-south-1-767457bb67-xkmfk,server,75,41
