Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-76866f4c7c-869pd,server,3,138
default,adservice-us-central-1-76866f4c7c-869pd,istio-proxy,3,83
default,adservice-us-central-1-76866f4c7c-dm7sg,server,4,138
default,adservice-us-central-1-76866f4c7c-dm7sg,istio-proxy,3,84
default,adservice-us-central-1-76866f4c7c-qfkc9,server,2,139
default,adservice-us-central-1-76866f4c7c-qfkc9,istio-proxy,5,83
default,adservice-us-east-1-65df454fbb-2sh4f,server,2,139
default,adservice-us-east-1-65df454fbb-2sh4f,istio-proxy,3,84
default,adservice-us-east-1-65df454fbb-bz5dm,server,4,141
default,adservice-us-east-1-65df454fbb-bz5dm,istio-proxy,3,82
default,adservice-us-east-1-65df454fbb-qf97w,server,3,138
default,adservice-us-east-1-65df454fbb-qf97w,istio-proxy,4,82
default,adservice-us-south-1-7974f7b76-k577z,server,3,137
default,adservice-us-south-1-7974f7b76-k577z,istio-proxy,3,84
default,adservice-us-south-1-7974f7b76-lvjch,server,2,138
default,adservice-us-south-1-7974f7b76-lvjch,istio-proxy,4,83
default,adservice-us-south-1-7974f7b76-rb8nr,server,4,138
default,adservice-us-south-1-7974f7b76-rb8nr,istio-proxy,3,85
default,adservice-us-west-1-8cd5b7bcd-gccrc,server,3,139
default,adservice-us-west-1-8cd5b7bcd-gccrc,istio-proxy,2,84
default,adservice-us-west-1-8cd5b7bcd-hzd7p,server,2,136
default,adservice-us-west-1-8cd5b7bcd-hzd7p,istio-proxy,3,86
default,adservice-us-west-1-8cd5b7bcd-m245x,server,4,139
default,adservice-us-west-1-8cd5b7bcd-m245x,istio-proxy,4,82
default,cartservice-us-central-1-864fc77c6c-9j2xq,server,170,40
default,cartservice-us-central-1-864fc77c6c-9j2xq,istio-proxy,25,88
default,cartservice-us-central-1-864fc77c6c-jlv5l,server,257,39
default,cartservice-us-central-1-864fc77c6c-jlv5l,istio-proxy,28,82
default,cartservice-us-central-1-864fc77c6c-rmdbx,server,226,39
default,cartservice-us-central-1-864fc77c6c-rmdbx,istio-proxy,44,83
default,cartservice-us-east-1-55b4d9977-4jpfn,server,1,28
default,cartservice-us-east-1-55b4d9977-4jpfn,istio-proxy,29,84
default,cartservice-us-east-1-55b4d9977-7cwmn,server,233,45
default,cartservice-us-east-1-55b4d9977-7cwmn,istio-proxy,129,83
default,cartservice-us-east-1-55b4d9977-xxtbk,server,95,37
default,cartservice-us-east-1-55b4d9977-xxtbk,istio-proxy,110,84
default,cartservice-us-south-1-7bd654b5c9-cnknl,server,592,61
default,cartservice-us-south-1-7bd654b5c9-cnknl,istio-proxy,160,88
default,cartservice-us-south-1-7bd654b5c9-flwv7,server,632,55
default,cartservice-us-south-1-7bd654b5c9-flwv7,istio-proxy,45,85
default,cartservice-us-south-1-7bd654b5c9-v5vsf,server,444,51
default,cartservice-us-south-1-7bd654b5c9-v5vsf,istio-proxy,238,84
default,cartservice-us-west-1-dcb7f58d9-52g5q,server,442,51
default,cartservice-us-west-1-dcb7f58d9-52g5q,istio-proxy,198,86
default,cartservice-us-west-1-dcb7f58d9-dcdn5,server,301,57
default,cartservice-us-west-1-dcb7f58d9-dcdn5,istio-proxy,121,84
default,cartservice-us-west-1-dcb7f58d9-hmpgg,server,473,57
default,cartservice-us-west-1-dcb7f58d9-hmpgg,istio-proxy,117,87
default,checkoutservice-us-central-1-696966fcc4-4ghnm,server,83,10
default,checkoutservice-us-central-1-696966fcc4-4ghnm,istio-proxy,247,85
default,checkoutservice-us-central-1-696966fcc4-8bd6t,server,83,11
default,checkoutservice-us-central-1-696966fcc4-8bd6t,istio-proxy,4,82
default,checkoutservice-us-central-1-696966fcc4-mcnvl,server,76,11
default,checkoutservice-us-central-1-696966fcc4-mcnvl,istio-proxy,95,84
default,checkoutservice-us-east-1-767468c466-dchsb,server,84,10
default,checkoutservice-us-east-1-767468c466-dchsb,istio-proxy,123,84
default,checkoutservice-us-east-1-767468c466-drqch,server,123,11
default,checkoutservice-us-east-1-767468c466-drqch,istio-proxy,61,86
default,checkoutservice-us-east-1-767468c466-rhjnt,server,178,11
default,checkoutservice-us-east-1-767468c466-rhjnt,istio-proxy,194,84
default,checkoutservice-us-south-1-7cc74d7bf-9ptqg,server,125,12
default,checkoutservice-us-south-1-7cc74d7bf-9ptqg,istio-proxy,191,88
default,checkoutservice-us-south-1-7cc74d7bf-lflnl,server,97,11
default,checkoutservice-us-south-1-7cc74d7bf-lflnl,istio-proxy,53,86
default,checkoutservice-us-south-1-7cc74d7bf-qp8rl,server,0,11
default,checkoutservice-us-south-1-7cc74d7bf-qp8rl,istio-proxy,137,85
default,checkoutservice-us-west-1-77c969d68c-6mtnn,server,133,11
default,checkoutservice-us-west-1-77c969d68c-6mtnn,istio-proxy,4,82
default,checkoutservice-us-west-1-77c969d68c-dps6f,server,33,10
default,checkoutservice-us-west-1-77c969d68c-dps6f,istio-proxy,340,82
default,checkoutservice-us-west-1-77c969d68c-gzxcb,server,51,10
default,checkoutservice-us-west-1-77c969d68c-gzxcb,istio-proxy,433,85
default,currencyservice-us-central-1-6678d887cf-kgd8v,server,110,21
default,currencyservice-us-central-1-6678d887cf-kgd8v,istio-proxy,14,87
default,currencyservice-us-central-1-6678d887cf-nbzwd,server,100,24
default,currencyservice-us-central-1-6678d887cf-nbzwd,istio-proxy,3,82
default,currencyservice-us-central-1-6678d887cf-v4jr5,server,0,16
default,currencyservice-us-central-1-6678d887cf-v4jr5,istio-proxy,54,84
default,currencyservice-us-east-1-756c8566c5-67cl5,server,70,21
default,currencyservice-us-east-1-756c8566c5-67cl5,istio-proxy,43,83
default,currencyservice-us-east-1-756c8566c5-kl4tw,server,21,18
default,currencyservice-us-east-1-756c8566c5-kl4tw,istio-proxy,13,84
default,currencyservice-us-east-1-756c8566c5-xlrh8,server,119,24
default,currencyservice-us-east-1-756c8566c5-xlrh8,istio-proxy,82,83
default,currencyservice-us-south-1-78cf658d84-5vn84,server,27,16
default,currencyservice-us-south-1-78cf658d84-5vn84,istio-proxy,42,82
default,currencyservice-us-south-1-78cf658d84-dn5mr,server,51,21
default,currencyservice-us-south-1-78cf658d84-dn5mr,istio-proxy,41,83
default,currencyservice-us-south-1-78cf658d84-xd9rz,server,107,23
default,currencyservice-us-south-1-78cf658d84-xd9rz,istio-proxy,5,83
default,currencyservice-us-west-1-77d9574558-7sw6d,server,177,25
default,currencyservice-us-west-1-77d9574558-7sw6d,istio-proxy,109,86
default,currencyservice-us-west-1-77d9574558-l58vw,server,115,24
default,currencyservice-us-west-1-77d9574558-l58vw,istio-proxy,3,83
default,currencyservice-us-west-1-77d9574558-vdksc,server,206,26
default,currencyservice-us-west-1-77d9574558-vdksc,istio-proxy,74,83
default,emailservice-us-central-1-974dfcd48-5s4xw,server,8,41
default,emailservice-us-central-1-974dfcd48-5s4xw,istio-proxy,46,83
default,emailservice-us-central-1-974dfcd48-8kstv,server,6,41
default,emailservice-us-central-1-974dfcd48-8kstv,istio-proxy,53,83
default,emailservice-us-central-1-974dfcd48-rjq5v,server,15,40
default,emailservice-us-central-1-974dfcd48-rjq5v,istio-proxy,35,84
default,emailservice-us-east-1-cf795bcd4-6bpdh,server,1,40
