Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-76866f4c7c-869pd,server,3,143
default,adservice-us-central-1-76866f4c7c-869pd,istio-proxy,3,83
default,adservice-us-central-1-76866f4c7c-dm7sg,server,3,143
default,adservice-us-central-1-76866f4c7c-dm7sg,istio-proxy,3,84
default,adservice-us-central-1-76866f4c7c-qfkc9,server,3,144
default,adservice-us-central-1-76866f4c7c-qfkc9,istio-proxy,5,83
default,adservice-us-east-1-65df454fbb-2sh4f,server,3,144
default,adservice-us-east-1-65df454fbb-2sh4f,istio-proxy,6,84
default,adservice-us-east-1-65df454fbb-bz5dm,server,3,146
default,adservice-us-east-1-65df454fbb-bz5dm,istio-proxy,5,82
default,adservice-us-east-1-65df454fbb-qf97w,server,3,143
default,adservice-us-east-1-65df454fbb-qf97w,istio-proxy,3,82
default,adservice-us-south-1-7974f7b76-k577z,server,3,142
default,adservice-us-south-1-7974f7b76-k577z,istio-proxy,3,84
default,adservice-us-south-1-7974f7b76-lvjch,server,3,142
default,adservice-us-south-1-7974f7b76-lvjch,istio-proxy,3,83
default,adservice-us-south-1-7974f7b76-rb8nr,server,0,138
default,adservice-us-south-1-7974f7b76-rb8nr,istio-proxy,5,85
default,adservice-us-west-1-8cd5b7bcd-gccrc,server,3,143
default,adservice-us-west-1-8cd5b7bcd-gccrc,istio-proxy,3,84
default,adservice-us-west-1-8cd5b7bcd-hzd7p,server,3,141
default,adservice-us-west-1-8cd5b7bcd-hzd7p,istio-proxy,3,86
default,adservice-us-west-1-8cd5b7bcd-m245x,server,0,139
default,adservice-us-west-1-8cd5b7bcd-m245x,istio-proxy,6,81
default,cartservice-us-central-1-864fc77c6c-9j2xq,server,98,44
default,cartservice-us-central-1-864fc77c6c-9j2xq,istio-proxy,69,89
default,cartservice-us-central-1-864fc77c6c-jlv5l,server,107,43
default,cartservice-us-central-1-864fc77c6c-jlv5l,istio-proxy,72,83
default,cartservice-us-central-1-864fc77c6c-rmdbx,server,111,42
default,cartservice-us-central-1-864fc77c6c-rmdbx,istio-proxy,72,83
default,cartservice-us-east-1-55b4d9977-4jpfn,server,411,55
default,cartservice-us-east-1-55b4d9977-4jpfn,istio-proxy,195,84
default,cartservice-us-east-1-55b4d9977-7cwmn,server,288,62
default,cartservice-us-east-1-55b4d9977-7cwmn,istio-proxy,129,83
default,cartservice-us-east-1-55b4d9977-xxtbk,server,367,65
default,cartservice-us-east-1-55b4d9977-xxtbk,istio-proxy,195,84
default,cartservice-us-south-1-7bd654b5c9-cnknl,server,592,61
default,cartservice-us-south-1-7bd654b5c9-cnknl,istio-proxy,335,88
default,cartservice-us-south-1-7bd654b5c9-flwv7,server,487,83
default,cartservice-us-south-1-7bd654b5c9-flwv7,istio-proxy,345,85
default,cartservice-us-south-1-7bd654b5c9-v5vsf,server,459,80
default,cartservice-us-south-1-7bd654b5c9-v5vsf,istio-proxy,332,84
default,cartservice-us-west-1-dcb7f58d9-52g5q,server,326,65
default,cartservice-us-west-1-dcb7f58d9-52g5q,istio-proxy,226,86
default,cartservice-us-west-1-dcb7f58d9-dcdn5,server,318,70
default,cartservice-us-west-1-dcb7f58d9-dcdn5,istio-proxy,220,84
