counter,region,service,endpoint,rps
1,us-west-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,245
1,us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,226
1,us-west-1,frontend,frontend@POST@/setCurrency,163
1,us-west-1,frontend,frontend@POST@/cart/checkout,225
1,us-west-1,frontend,frontend@POST@/cart,202
1,us-west-1,frontend,frontend@POST@/cart/empty,183
1,us-west-1,sslateingress,sslateingress@POST@/cart,280
1,us-west-1,sslateingress,sslateingress@POST@/cart/checkout,289
1,us-west-1,sslateingress,sslateingress@POST@/cart/empty,234
1,us-west-1,sslateingress,sslateingress@POST@/setCurrency,208
1,us-west-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,240
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,269
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,240
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,216
1,us-west-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,193
1,us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,159
1,us-west-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,206
1,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,36
1,us-central-1,frontend,frontend@POST@/cart/checkout,47
1,us-central-1,frontend,frontend@POST@/setCurrency,20
1,us-central-1,frontend,frontend@POST@/cart/empty,42
1,us-central-1,frontend,frontend@POST@/cart,50
1,us-central-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,30
1,us-central-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,32
1,us-central-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,17
1,us-central-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,54
