Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-6478fd49fb-d77vv,server,2,143
default,adservice-us-central-1-6478fd49fb-d77vv,istio-proxy,3,83
default,adservice-us-central-1-6478fd49fb-l7g24,server,2,148
default,adservice-us-central-1-6478fd49fb-l7g24,istio-proxy,3,83
default,adservice-us-central-1-6478fd49fb-q7lz2,server,2,142
default,adservice-us-central-1-6478fd49fb-q7lz2,istio-proxy,3,86
default,adservice-us-east-1-79cfd9cb86-97479,server,2,151
default,adservice-us-east-1-79cfd9cb86-97479,istio-proxy,3,84
default,adservice-us-east-1-79cfd9cb86-9bfn5,server,2,144
default,adservice-us-east-1-79cfd9cb86-9bfn5,istio-proxy,3,85
default,adservice-us-east-1-79cfd9cb86-zrfvs,server,2,148
default,adservice-us-east-1-79cfd9cb86-zrfvs,istio-proxy,3,83
default,adservice-us-south-1-578b8fdcc7-4h6xk,server,3,147
default,adservice-us-south-1-578b8fdcc7-4h6xk,istio-proxy,3,83
default,adservice-us-south-1-578b8fdcc7-9n295,server,3,148
default,adservice-us-south-1-578b8fdcc7-9n295,istio-proxy,3,84
default,adservice-us-south-1-578b8fdcc7-pl4h8,server,2,145
default,adservice-us-south-1-578b8fdcc7-pl4h8,istio-proxy,3,84
default,adservice-us-west-1-895fc8869-lwzwr,server,4,147
default,adservice-us-west-1-895fc8869-lwzwr,istio-proxy,4,84
default,adservice-us-west-1-895fc8869-nmwx8,server,3,143
default,adservice-us-west-1-895fc8869-nmwx8,istio-proxy,4,84
default,adservice-us-west-1-895fc8869-xvbgn,server,3,143
default,adservice-us-west-1-895fc8869-xvbgn,istio-proxy,4,84
default,cartservice-us-central-1-8548846596-647x9,server,76,42
default,cartservice-us-central-1-8548846596-647x9,istio-proxy,42,85
default,cartservice-us-central-1-8548846596-lfv8j,server,63,45
default,cartservice-us-central-1-8548846596-lfv8j,istio-proxy,43,84
default,cartservice-us-central-1-8548846596-rnf5j,server,74,39
default,cartservice-us-central-1-8548846596-rnf5j,istio-proxy,46,84
default,cartservice-us-east-1-6bfb6ddc84-k7snc,server,167,53
default,cartservice-us-east-1-6bfb6ddc84-k7snc,istio-proxy,116,85
default,cartservice-us-east-1-6bfb6ddc84-rbrvn,server,172,52
