Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-6478fd49fb-d77vv,server,2,143
default,adservice-us-central-1-6478fd49fb-d77vv,istio-proxy,3,83
default,adservice-us-central-1-6478fd49fb-l7g24,server,3,143
default,adservice-us-central-1-6478fd49fb-l7g24,istio-proxy,4,83
default,adservice-us-central-1-6478fd49fb-q7lz2,server,2,142
default,adservice-us-central-1-6478fd49fb-q7lz2,istio-proxy,3,86
default,adservice-us-east-1-79cfd9cb86-97479,server,2,146
default,adservice-us-east-1-79cfd9cb86-97479,istio-proxy,3,84
default,adservice-us-east-1-79cfd9cb86-9bfn5,server,2,144
default,adservice-us-east-1-79cfd9cb86-9bfn5,istio-proxy,3,85
default,adservice-us-east-1-79cfd9cb86-zrfvs,server,3,143
default,adservice-us-east-1-79cfd9cb86-zrfvs,istio-proxy,3,83
default,adservice-us-south-1-578b8fdcc7-4h6xk,server,2,142
default,adservice-us-south-1-578b8fdcc7-4h6xk,istio-proxy,4,83
default,adservice-us-south-1-578b8fdcc7-9n295,server,0,139
default,adservice-us-south-1-578b8fdcc7-9n295,istio-proxy,3,84
default,adservice-us-south-1-578b8fdcc7-pl4h8,server,2,141
default,adservice-us-south-1-578b8fdcc7-pl4h8,istio-proxy,3,84
default,adservice-us-west-1-895fc8869-lwzwr,server,3,143
default,adservice-us-west-1-895fc8869-lwzwr,istio-proxy,4,84
default,adservice-us-west-1-895fc8869-nmwx8,server,3,143
default,adservice-us-west-1-895fc8869-nmwx8,istio-proxy,4,84
default,adservice-us-west-1-895fc8869-xvbgn,server,3,143
default,adservice-us-west-1-895fc8869-xvbgn,istio-proxy,4,83
default,cartservice-us-central-1-8548846596-647x9,server,76,42
default,cartservice-us-central-1-8548846596-647x9,istio-proxy,33,85
default,cartservice-us-central-1-8548846596-lfv8j,server,66,41
default,cartservice-us-central-1-8548846596-lfv8j,istio-proxy,44,84
default,cartservice-us-central-1-8548846596-rnf5j,server,145,38
default,cartservice-us-central-1-8548846596-rnf5j,istio-proxy,37,84
default,cartservice-us-east-1-6bfb6ddc84-k7snc,server,342,45
default,cartservice-us-east-1-6bfb6ddc84-k7snc,istio-proxy,74,85
default,cartservice-us-east-1-6bfb6ddc84-rbrvn,server,339,45
