Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-84898b74f6-8cb46,server,2,196
default,adservice-us-central-1-84898b74f6-8cb46,istio-proxy,3,82
default,adservice-us-central-1-84898b74f6-hghcw,server,1,195
default,adservice-us-central-1-84898b74f6-hghcw,istio-proxy,4,80
default,adservice-us-central-1-84898b74f6-hwwmh,server,1,197
default,adservice-us-central-1-84898b74f6-hwwmh,istio-proxy,4,80
default,adservice-us-east-1-5b77f9c6b-cmrnt,server,2,200
default,adservice-us-east-1-5b77f9c6b-cmrnt,istio-proxy,3,83
default,adservice-us-east-1-5b77f9c6b-p6nqx,server,1,196
default,adservice-us-east-1-5b77f9c6b-p6nqx,istio-proxy,4,81
default,adservice-us-east-1-5b77f9c6b-rdktr,server,2,199
default,adservice-us-east-1-5b77f9c6b-rdktr,istio-proxy,4,80
default,adservice-us-south-1-59b7b8c988-48hx9,server,2,199
default,adservice-us-south-1-59b7b8c988-48hx9,istio-proxy,4,79
default,adservice-us-south-1-59b7b8c988-cxfwn,server,2,199
default,adservice-us-south-1-59b7b8c988-cxfwn,istio-proxy,4,79
default,adservice-us-south-1-59b7b8c988-sqzst,server,2,201
default,adservice-us-south-1-59b7b8c988-sqzst,istio-proxy,3,81
default,adservice-us-west-1-6846d6d7f4-2jbb4,server,3,195
default,adservice-us-west-1-6846d6d7f4-2jbb4,istio-proxy,4,80
default,adservice-us-west-1-6846d6d7f4-gczg9,server,3,196
default,adservice-us-west-1-6846d6d7f4-gczg9,istio-proxy,5,80
default,adservice-us-west-1-6846d6d7f4-gztc4,server,0,195
default,adservice-us-west-1-6846d6d7f4-gztc4,istio-proxy,4,79
default,cartservice-us-central-1-84b598dc8d-98tqq,server,90,56
default,cartservice-us-central-1-84b598dc8d-98tqq,istio-proxy,67,83
default,cartservice-us-central-1-84b598dc8d-mmpq9,server,96,55
default,cartservice-us-central-1-84b598dc8d-mmpq9,istio-proxy,69,82
default,cartservice-us-central-1-84b598dc8d-tqs7b,server,93,52
default,cartservice-us-central-1-84b598dc8d-tqs7b,istio-proxy,70,81
default,cartservice-us-east-1-64946c849b-b6hp5,server,187,65
default,cartservice-us-east-1-64946c849b-b6hp5,istio-proxy,125,82
default,cartservice-us-east-1-64946c849b-mdsbs,server,186,71
default,cartservice-us-east-1-64946c849b-mdsbs,istio-proxy,127,82
default,cartservice-us-east-1-64946c849b-xz8v2,server,218,63
default,cartservice-us-east-1-64946c849b-xz8v2,istio-proxy,121,81
default,cartservice-us-south-1-6f676df548-7sbct,server,287,87
default,cartservice-us-south-1-6f676df548-7sbct,istio-proxy,204,83
default,cartservice-us-south-1-6f676df548-pzz4p,server,317,80
default,cartservice-us-south-1-6f676df548-pzz4p,istio-proxy,221,82
default,cartservice-us-south-1-6f676df548-q98rd,server,306,92
default,cartservice-us-south-1-6f676df548-q98rd,istio-proxy,179,84
default,cartservice-us-west-1-66bdf4dbc6-c9s22,server,590,150
default,cartservice-us-west-1-66bdf4dbc6-c9s22,istio-proxy,489,86
default,cartservice-us-west-1-66bdf4dbc6-n2nb5,server,584,136
default,cartservice-us-west-1-66bdf4dbc6-n2nb5,istio-proxy,483,86
default,cartservice-us-west-1-66bdf4dbc6-z4cl5,server,586,139
default,cartservice-us-west-1-66bdf4dbc6-z4cl5,istio-proxy,479,86
default,checkoutservice-us-central-1-79c5548b84-9ft86,server,160,11
default,checkoutservice-us-central-1-79c5548b84-9ft86,istio-proxy,284,81
default,checkoutservice-us-central-1-79c5548b84-nnsqh,server,172,11
default,checkoutservice-us-central-1-79c5548b84-nnsqh,istio-proxy,306,85
default,checkoutservice-us-central-1-79c5548b84-q5bf2,server,165,11
default,checkoutservice-us-central-1-79c5548b84-q5bf2,istio-proxy,304,82
default,checkoutservice-us-east-1-86b774b68-b6wgp,server,146,11
default,checkoutservice-us-east-1-86b774b68-b6wgp,istio-proxy,265,82
default,checkoutservice-us-east-1-86b774b68-kxtrn,server,141,12
default,checkoutservice-us-east-1-86b774b68-kxtrn,istio-proxy,267,82
default,checkoutservice-us-east-1-86b774b68-tfvk7,server,142,11
default,checkoutservice-us-east-1-86b774b68-tfvk7,istio-proxy,247,81
default,checkoutservice-us-south-1-f575f8468-dnsxh,server,218,12
default,checkoutservice-us-south-1-f575f8468-dnsxh,istio-proxy,408,82
default,checkoutservice-us-south-1-f575f8468-fvzhs,server,220,12
default,checkoutservice-us-south-1-f575f8468-fvzhs,istio-proxy,413,81
default,checkoutservice-us-south-1-f575f8468-wdxv8,server,225,12
default,checkoutservice-us-south-1-f575f8468-wdxv8,istio-proxy,412,83
default,checkoutservice-us-west-1-7dfb77f4c6-dh8n6,server,306,12
default,checkoutservice-us-west-1-7dfb77f4c6-dh8n6,istio-proxy,635,85
