Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-84898b74f6-8cb46,server,1,196
default,adservice-us-central-1-84898b74f6-8cb46,istio-proxy,5,82
default,adservice-us-central-1-84898b74f6-hghcw,server,2,195
default,adservice-us-central-1-84898b74f6-hghcw,istio-proxy,6,80
default,adservice-us-central-1-84898b74f6-hwwmh,server,2,197
default,adservice-us-central-1-84898b74f6-hwwmh,istio-proxy,7,80
default,adservice-us-east-1-5b77f9c6b-cmrnt,server,1,201
default,adservice-us-east-1-5b77f9c6b-cmrnt,istio-proxy,7,83
default,adservice-us-east-1-5b77f9c6b-p6nqx,server,2,196
default,adservice-us-east-1-5b77f9c6b-p6nqx,istio-proxy,6,81
default,adservice-us-east-1-5b77f9c6b-rdktr,server,1,199
default,adservice-us-east-1-5b77f9c6b-rdktr,istio-proxy,6,80
default,adservice-us-south-1-59b7b8c988-48hx9,server,0,198
default,adservice-us-south-1-59b7b8c988-48hx9,istio-proxy,6,79
default,adservice-us-south-1-59b7b8c988-cxfwn,server,1,199
default,adservice-us-south-1-59b7b8c988-cxfwn,istio-proxy,6,80
default,adservice-us-south-1-59b7b8c988-sqzst,server,1,203
default,adservice-us-south-1-59b7b8c988-sqzst,istio-proxy,5,81
default,adservice-us-west-1-6846d6d7f4-2jbb4,server,2,195
default,adservice-us-west-1-6846d6d7f4-2jbb4,istio-proxy,8,80
default,adservice-us-west-1-6846d6d7f4-gczg9,server,2,196
default,adservice-us-west-1-6846d6d7f4-gczg9,istio-proxy,5,80
default,adservice-us-west-1-6846d6d7f4-gztc4,server,1,195
default,adservice-us-west-1-6846d6d7f4-gztc4,istio-proxy,6,79
default,cartservice-us-central-1-84b598dc8d-98tqq,server,85,61
default,cartservice-us-central-1-84b598dc8d-98tqq,istio-proxy,66,83
default,cartservice-us-central-1-84b598dc8d-mmpq9,server,79,63
default,cartservice-us-central-1-84b598dc8d-mmpq9,istio-proxy,50,82
default,cartservice-us-central-1-84b598dc8d-tqs7b,server,89,61
default,cartservice-us-central-1-84b598dc8d-tqs7b,istio-proxy,43,81
default,cartservice-us-east-1-64946c849b-b6hp5,server,157,86
default,cartservice-us-east-1-64946c849b-b6hp5,istio-proxy,126,82
default,cartservice-us-east-1-64946c849b-mdsbs,server,177,88
default,cartservice-us-east-1-64946c849b-mdsbs,istio-proxy,121,82
default,cartservice-us-east-1-64946c849b-xz8v2,server,77,87
default,cartservice-us-east-1-64946c849b-xz8v2,istio-proxy,85,81
default,cartservice-us-south-1-6f676df548-7sbct,server,162,111
default,cartservice-us-south-1-6f676df548-7sbct,istio-proxy,186,85
default,cartservice-us-south-1-6f676df548-pzz4p,server,257,113
default,cartservice-us-south-1-6f676df548-pzz4p,istio-proxy,192,82
default,cartservice-us-south-1-6f676df548-q98rd,server,272,111
default,cartservice-us-south-1-6f676df548-q98rd,istio-proxy,150,84
default,cartservice-us-west-1-66bdf4dbc6-c9s22,server,423,200
default,cartservice-us-west-1-66bdf4dbc6-c9s22,istio-proxy,296,90
default,cartservice-us-west-1-66bdf4dbc6-n2nb5,server,389,198
default,cartservice-us-west-1-66bdf4dbc6-n2nb5,istio-proxy,483,91
default,cartservice-us-west-1-66bdf4dbc6-z4cl5,server,381,197
default,cartservice-us-west-1-66bdf4dbc6-z4cl5,istio-proxy,294,90
default,checkoutservice-us-central-1-79c5548b84-9ft86,server,152,11
default,checkoutservice-us-central-1-79c5548b84-9ft86,istio-proxy,140,81
default,checkoutservice-us-central-1-79c5548b84-nnsqh,server,149,12
default,checkoutservice-us-central-1-79c5548b84-nnsqh,istio-proxy,120,85
default,checkoutservice-us-central-1-79c5548b84-q5bf2,server,114,11
default,checkoutservice-us-central-1-79c5548b84-q5bf2,istio-proxy,254,82
default,checkoutservice-us-east-1-86b774b68-b6wgp,server,117,12
default,checkoutservice-us-east-1-86b774b68-b6wgp,istio-proxy,260,82
default,checkoutservice-us-east-1-86b774b68-kxtrn,server,85,11
default,checkoutservice-us-east-1-86b774b68-kxtrn,istio-proxy,117,83
default,checkoutservice-us-east-1-86b774b68-tfvk7,server,60,12
default,checkoutservice-us-east-1-86b774b68-tfvk7,istio-proxy,170,81
default,checkoutservice-us-south-1-f575f8468-dnsxh,server,161,12
default,checkoutservice-us-south-1-f575f8468-dnsxh,istio-proxy,353,82
default,checkoutservice-us-south-1-f575f8468-fvzhs,server,147,12
default,checkoutservice-us-south-1-f575f8468-fvzhs,istio-proxy,377,81
default,checkoutservice-us-south-1-f575f8468-wdxv8,server,161,12
default,checkoutservice-us-south-1-f575f8468-wdxv8,istio-proxy,263,83
default,checkoutservice-us-west-1-7dfb77f4c6-dh8n6,server,181,14
default,checkoutservice-us-west-1-7dfb77f4c6-dh8n6,istio-proxy,590,86
default,checkoutservice-us-west-1-7dfb77f4c6-l4mt8,server,261,15
default,checkoutservice-us-west-1-7dfb77f4c6-l4mt8,istio-proxy,622,86
default,checkoutservice-us-west-1-7dfb77f4c6-stbrj,server,253,12
default,checkoutservice-us-west-1-7dfb77f4c6-stbrj,istio-proxy,474,83
default,currencyservice-us-central-1-69fd8b964d-62kjs,server,50,33
default,currencyservice-us-central-1-69fd8b964d-62kjs,istio-proxy,60,84
default,currencyservice-us-central-1-69fd8b964d-7gfzq,server,38,33
default,currencyservice-us-central-1-69fd8b964d-7gfzq,istio-proxy,40,83
default,currencyservice-us-central-1-69fd8b964d-s9vgh,server,56,33
default,currencyservice-us-central-1-69fd8b964d-s9vgh,istio-proxy,43,82
default,currencyservice-us-east-1-76659b658f-65wh9,server,36,31
default,currencyservice-us-east-1-76659b658f-65wh9,istio-proxy,49,84
default,currencyservice-us-east-1-76659b658f-dhrmx,server,64,34
default,currencyservice-us-east-1-76659b658f-dhrmx,istio-proxy,42,83
default,currencyservice-us-east-1-76659b658f-xzwq5,server,68,31
default,currencyservice-us-east-1-76659b658f-xzwq5,istio-proxy,66,82
default,currencyservice-us-south-1-5fc9bc4f77-7vx4s,server,43,31
default,currencyservice-us-south-1-5fc9bc4f77-7vx4s,istio-proxy,95,82
default,currencyservice-us-south-1-5fc9bc4f77-bw42n,server,47,31
default,currencyservice-us-south-1-5fc9bc4f77-bw42n,istio-proxy,67,83
default,currencyservice-us-south-1-5fc9bc4f77-c9djs,server,91,32
default,currencyservice-us-south-1-5fc9bc4f77-c9djs,istio-proxy,95,82
default,currencyservice-us-west-1-6c778dffc7-bzjvb,server,147,38
default,currencyservice-us-west-1-6c778dffc7-bzjvb,istio-proxy,148,82
default,currencyservice-us-west-1-6c778dffc7-hz94m,server,99,38
default,currencyservice-us-west-1-6c778dffc7-hz94m,istio-proxy,115,81
default,currencyservice-us-west-1-6c778dffc7-qbbs6,server,110,40
default,currencyservice-us-west-1-6c778dffc7-qbbs6,istio-proxy,150,83
default,emailservice-us-central-1-d96cbd547-8tntc,server,64,41
default,emailservice-us-central-1-d96cbd547-8tntc,istio-proxy,30,85
default,emailservice-us-central-1-d96cbd547-jn2qq,server,62,41
default,emailservice-us-central-1-d96cbd547-jn2qq,istio-proxy,60,85
default,emailservice-us-central-1-d96cbd547-wpzcl,server,54,41
default,emailservice-us-central-1-d96cbd547-wpzcl,istio-proxy,41,84
default,emailservice-us-east-1-5c7948d8cd-f2mws,server,43,41
default,emailservice-us-east-1-5c7948d8cd-f2mws,istio-proxy,42,83
default,emailservice-us-east-1-5c7948d8cd-kxgjh,server,23,41
default,emailservice-us-east-1-5c7948d8cd-kxgjh,istio-proxy,45,84
default,emailservice-us-east-1-5c7948d8cd-zs8fn,server,34,41
default,emailservice-us-east-1-5c7948d8cd-zs8fn,istio-proxy,42,84
default,emailservice-us-south-1-6c5b9f548b-bjmgr,server,78,41
default,emailservice-us-south-1-6c5b9f548b-bjmgr,istio-proxy,70,83
default,emailservice-us-south-1-6c5b9f548b-v5gcs,server,70,41
default,emailservice-us-south-1-6c5b9f548b-v5gcs,istio-proxy,52,83
default,emailservice-us-south-1-6c5b9f548b-xfcjh,server,70,41
default,emailservice-us-south-1-6c5b9f548b-xfcjh,istio-proxy,40,85
default,emailservice-us-west-1-687bcdbc46-9tj45,server,60,41
default,emailservice-us-west-1-687bcdbc46-9tj45,istio-proxy,108,84
default,emailservice-us-west-1-687bcdbc46-b89z5,server,78,41
default,emailservice-us-west-1-687bcdbc46-b89z5,istio-proxy,59,84
default,emailservice-us-west-1-687bcdbc46-gpdnj,server,111,41
default,emailservice-us-west-1-687bcdbc46-gpdnj,istio-proxy,103,86
default,frontend-us-central-1-d58d8895f-2zgkq,server,202,18
default,frontend-us-central-1-d58d8895f-2zgkq,istio-proxy,331,85
default,frontend-us-central-1-d58d8895f-mhvpb,server,144,18
default,frontend-us-central-1-d58d8895f-mhvpb,istio-proxy,272,85
default,frontend-us-central-1-d58d8895f-w8f2g,server,78,21
default,frontend-us-central-1-d58d8895f-w8f2g,istio-proxy,127,87
default,frontend-us-east-1-754c69dddc-dh9jf,server,209,18
default,frontend-us-east-1-754c69dddc-dh9jf,istio-proxy,279,85
default,frontend-us-east-1-754c69dddc-tlrr5,server,30,21
default,frontend-us-east-1-754c69dddc-tlrr5,istio-proxy,102,88
default,frontend-us-east-1-754c69dddc-vb6xb,server,216,18
default,frontend-us-east-1-754c69dddc-vb6xb,istio-proxy,153,84
default,frontend-us-south-1-56f754d6c6-9dslx,server,172,17
default,frontend-us-south-1-56f754d6c6-9dslx,istio-proxy,352,83
default,frontend-us-south-1-56f754d6c6-hn7zp,server,100,21
default,frontend-us-south-1-56f754d6c6-hn7zp,istio-proxy,165,88
default,frontend-us-south-1-56f754d6c6-xf2pz,server,131,17
default,frontend-us-south-1-56f754d6c6-xf2pz,istio-proxy,244,83
default,frontend-us-west-1-65cdcc8c88-drs62,server,325,26
default,frontend-us-west-1-65cdcc8c88-drs62,istio-proxy,825,110
default,frontend-us-west-1-65cdcc8c88-q8j4t,server,549,22
default,frontend-us-west-1-65cdcc8c88-q8j4t,istio-proxy,809,101
default,frontend-us-west-1-65cdcc8c88-xj79g,server,557,22
default,frontend-us-west-1-65cdcc8c88-xj79g,istio-proxy,549,101
default,paymentservice-us-central-1-99b5b99fc-c8zf4,server,27,29
default,paymentservice-us-central-1-99b5b99fc-c8zf4,istio-proxy,57,84
default,paymentservice-us-central-1-99b5b99fc-hhbgk,server,69,28
default,paymentservice-us-central-1-99b5b99fc-hhbgk,istio-proxy,65,82
default,paymentservice-us-central-1-99b5b99fc-nvz6h,server,44,27
default,paymentservice-us-central-1-99b5b99fc-nvz6h,istio-proxy,27,82
default,paymentservice-us-east-1-776b95b5f5-bxmx9,server,23,31
default,paymentservice-us-east-1-776b95b5f5-bxmx9,istio-proxy,26,81
default,paymentservice-us-east-1-776b95b5f5-rmngg,server,47,28
default,paymentservice-us-east-1-776b95b5f5-rmngg,istio-proxy,36,83
default,paymentservice-us-east-1-776b95b5f5-tr48z,server,24,31
default,paymentservice-us-east-1-776b95b5f5-tr48z,istio-proxy,46,81
default,paymentservice-us-south-1-55f9b8b8d7-288br,server,80,29
default,paymentservice-us-south-1-55f9b8b8d7-288br,istio-proxy,72,82
default,paymentservice-us-south-1-55f9b8b8d7-47wm6,server,55,28
default,paymentservice-us-south-1-55f9b8b8d7-47wm6,istio-proxy,71,82
default,paymentservice-us-south-1-55f9b8b8d7-8w5bk,server,70,27
default,paymentservice-us-south-1-55f9b8b8d7-8w5bk,istio-proxy,54,81
default,paymentservice-us-west-1-55494f5957-5hn7c,server,97,31
default,paymentservice-us-west-1-55494f5957-5hn7c,istio-proxy,105,82
default,paymentservice-us-west-1-55494f5957-98c7c,server,80,31
default,paymentservice-us-west-1-55494f5957-98c7c,istio-proxy,75,83
default,paymentservice-us-west-1-55494f5957-kt7ds,server,111,31
default,paymentservice-us-west-1-55494f5957-kt7ds,istio-proxy,59,82
default,productcatalogservice-us-central-1-767799dc45-4nv2f,server,24,9
default,productcatalogservice-us-central-1-767799dc45-4nv2f,istio-proxy,49,82
default,productcatalogservice-us-central-1-767799dc45-lpwgf,server,19,10
default,productcatalogservice-us-central-1-767799dc45-lpwgf,istio-proxy,81,82
default,productcatalogservice-us-central-1-767799dc45-pls9s,server,40,10
default,productcatalogservice-us-central-1-767799dc45-pls9s,istio-proxy,83,82
default,productcatalogservice-us-east-1-59c8757699-2gdsx,server,49,10
default,productcatalogservice-us-east-1-59c8757699-2gdsx,istio-proxy,83,83
default,productcatalogservice-us-east-1-59c8757699-qmbwz,server,47,10
default,productcatalogservice-us-east-1-59c8757699-qmbwz,istio-proxy,71,82
default,productcatalogservice-us-east-1-59c8757699-x97wd,server,24,10
default,productcatalogservice-us-east-1-59c8757699-x97wd,istio-proxy,100,83
default,productcatalogservice-us-south-1-6597766596-d9xd4,server,53,10
default,productcatalogservice-us-south-1-6597766596-d9xd4,istio-proxy,78,82
default,productcatalogservice-us-south-1-6597766596-rr5ds,server,63,9
default,productcatalogservice-us-south-1-6597766596-rr5ds,istio-proxy,104,81
default,productcatalogservice-us-south-1-6597766596-st4q6,server,43,10
default,productcatalogservice-us-south-1-6597766596-st4q6,istio-proxy,94,83
default,productcatalogservice-us-west-1-649dcfd5fb-ft2w4,server,148,10
default,productcatalogservice-us-west-1-649dcfd5fb-ft2w4,istio-proxy,272,87
default,productcatalogservice-us-west-1-649dcfd5fb-psd4m,server,141,10
default,productcatalogservice-us-west-1-649dcfd5fb-psd4m,istio-proxy,294,86
default,productcatalogservice-us-west-1-649dcfd5fb-schbb,server,105,10
default,productcatalogservice-us-west-1-649dcfd5fb-schbb,istio-proxy,323,86
default,recommendationservice-us-central-1-57c7b59c84-gljzr,server,98,41
default,recommendationservice-us-central-1-57c7b59c84-gljzr,istio-proxy,96,85
default,recommendationservice-us-central-1-57c7b59c84-r5qzg,server,109,41
default,recommendationservice-us-central-1-57c7b59c84-r5qzg,istio-proxy,79,84
default,recommendationservice-us-central-1-57c7b59c84-rjgdg,server,103,41
default,recommendationservice-us-central-1-57c7b59c84-rjgdg,istio-proxy,93,84
default,recommendationservice-us-east-1-f9ddcfdc4-58d2g,server,63,41
default,recommendationservice-us-east-1-f9ddcfdc4-58d2g,istio-proxy,67,87
default,recommendationservice-us-east-1-f9ddcfdc4-smz9t,server,82,41
default,recommendationservice-us-east-1-f9ddcfdc4-smz9t,istio-proxy,78,85
default,recommendationservice-us-east-1-f9ddcfdc4-svlq2,server,77,41
default,recommendationservice-us-east-1-f9ddcfdc4-svlq2,istio-proxy,71,84
default,recommendationservice-us-south-1-58f94847b8-bvjfw,server,125,41
default,recommendationservice-us-south-1-58f94847b8-bvjfw,istio-proxy,113,83
default,recommendationservice-us-south-1-58f94847b8-nh42v,server,107,41
default,recommendationservice-us-south-1-58f94847b8-nh42v,istio-proxy,70,84
default,recommendationservice-us-south-1-58f94847b8-ts2qq,server,117,41
default,recommendationservice-us-south-1-58f94847b8-ts2qq,istio-proxy,100,85
default,recommendationservice-us-west-1-b4f856d57-4ctsv,server,213,41
default,recommendationservice-us-west-1-b4f856d57-4ctsv,istio-proxy,183,85
default,recommendationservice-us-west-1-b4f856d57-5gkpg,server,202,41
default,recommendationservice-us-west-1-b4f856d57-5gkpg,istio-proxy,86,85
default,recommendationservice-us-west-1-b4f856d57-rt8ck,server,209,41
default,recommendationservice-us-west-1-b4f856d57-rt8ck,istio-proxy,128,82
default,redis-cart-us-central-1-76b95b5cb7-bhrk6,redis,8,3
default,redis-cart-us-central-1-76b95b5cb7-bhrk6,istio-proxy,16,78
default,redis-cart-us-central-1-76b95b5cb7-j6nlt,redis,1,3
default,redis-cart-us-central-1-76b95b5cb7-j6nlt,istio-proxy,5,77
default,redis-cart-us-central-1-76b95b5cb7-kxv6r,redis,5,3
default,redis-cart-us-central-1-76b95b5cb7-kxv6r,istio-proxy,15,79
default,redis-cart-us-east-1-7546d6fd7f-c8n6h,redis,21,3
default,redis-cart-us-east-1-7546d6fd7f-c8n6h,istio-proxy,50,79
default,redis-cart-us-east-1-7546d6fd7f-rv5tk,redis,1,3
default,redis-cart-us-east-1-7546d6fd7f-rv5tk,istio-proxy,7,79
default,redis-cart-us-east-1-7546d6fd7f-v4thr,redis,7,3
default,redis-cart-us-east-1-7546d6fd7f-v4thr,istio-proxy,19,79
default,redis-cart-us-south-1-8655df4787-cgf45,redis,2,3
default,redis-cart-us-south-1-8655df4787-cgf45,istio-proxy,6,77
default,redis-cart-us-south-1-8655df4787-nznz8,redis,1,3
default,redis-cart-us-south-1-8655df4787-nznz8,istio-proxy,6,77
default,redis-cart-us-south-1-8655df4787-qkcsx,redis,45,3
default,redis-cart-us-south-1-8655df4787-qkcsx,istio-proxy,96,77
default,redis-cart-us-west-1-5bb779b59b-27t9b,redis,80,3
default,redis-cart-us-west-1-5bb779b59b-27t9b,istio-proxy,121,78
default,redis-cart-us-west-1-5bb779b59b-g4n6t,redis,44,3
default,redis-cart-us-west-1-5bb779b59b-g4n6t,istio-proxy,58,80
default,redis-cart-us-west-1-5bb779b59b-krq9c,redis,2,3
default,redis-cart-us-west-1-5bb779b59b-krq9c,istio-proxy,7,78
default,shippingservice-us-central-1-f6ff55f7d-2kg99,server,30,9
default,shippingservice-us-central-1-f6ff55f7d-2kg99,istio-proxy,60,82
default,shippingservice-us-central-1-f6ff55f7d-ndnxn,server,32,9
default,shippingservice-us-central-1-f6ff55f7d-ndnxn,istio-proxy,25,84
default,shippingservice-us-central-1-f6ff55f7d-t8fww,server,21,8
default,shippingservice-us-central-1-f6ff55f7d-t8fww,istio-proxy,40,82
default,shippingservice-us-east-1-5474b78b5d-hxs9q,server,14,9
default,shippingservice-us-east-1-5474b78b5d-hxs9q,istio-proxy,42,84
default,shippingservice-us-east-1-5474b78b5d-v6mns,server,15,9
default,shippingservice-us-east-1-5474b78b5d-v6mns,istio-proxy,35,82
default,shippingservice-us-east-1-5474b78b5d-vkffr,server,21,8
default,shippingservice-us-east-1-5474b78b5d-vkffr,istio-proxy,40,83
default,shippingservice-us-south-1-7599875686-jpj4j,server,36,8
default,shippingservice-us-south-1-7599875686-jpj4j,istio-proxy,69,81
default,shippingservice-us-south-1-7599875686-mc9rw,server,25,8
default,shippingservice-us-south-1-7599875686-mc9rw,istio-proxy,41,82
default,shippingservice-us-south-1-7599875686-tdllt,server,34,8
default,shippingservice-us-south-1-7599875686-tdllt,istio-proxy,49,82
default,shippingservice-us-west-1-77d9769d7c-m4jnv,server,36,8
default,shippingservice-us-west-1-77d9769d7c-m4jnv,istio-proxy,93,83
default,shippingservice-us-west-1-77d9769d7c-mh2f8,server,57,9
default,shippingservice-us-west-1-77d9769d7c-mh2f8,istio-proxy,64,87
default,shippingservice-us-west-1-77d9769d7c-tjq8v,server,57,8
default,shippingservice-us-west-1-77d9769d7c-tjq8v,istio-proxy,76,83
default,slate-controller-5755bd546c-9np2h,slate-controller,8814,242
default,slate-controller-5755bd546c-9np2h,istio-proxy,114,98
default,sslateingress-us-central-1-7dbc8b9857-7bv4z,sslateingress,67,14
default,sslateingress-us-central-1-7dbc8b9857-7bv4z,istio-proxy,149,84
default,sslateingress-us-central-1-7dbc8b9857-hrw2r,sslateingress,109,14
default,sslateingress-us-central-1-7dbc8b9857-hrw2r,istio-proxy,110,85
default,sslateingress-us-central-1-7dbc8b9857-jq69f,sslateingress,99,15
default,sslateingress-us-central-1-7dbc8b9857-jq69f,istio-proxy,138,84
default,sslateingress-us-east-1-66cd7f7d8b-4lmjl,sslateingress,49,13
default,sslateingress-us-east-1-66cd7f7d8b-4lmjl,istio-proxy,182,82
default,sslateingress-us-east-1-66cd7f7d8b-snxnf,sslateingress,95,13
default,sslateingress-us-east-1-66cd7f7d8b-snxnf,istio-proxy,198,81
default,sslateingress-us-east-1-66cd7f7d8b-xzcg6,sslateingress,89,13
default,sslateingress-us-east-1-66cd7f7d8b-xzcg6,istio-proxy,98,82
default,sslateingress-us-south-1-77f4b6f7fb-45nmr,sslateingress,53,14
default,sslateingress-us-south-1-77f4b6f7fb-45nmr,istio-proxy,130,83
default,sslateingress-us-south-1-77f4b6f7fb-nvqvg,sslateingress,85,14
default,sslateingress-us-south-1-77f4b6f7fb-nvqvg,istio-proxy,158,82
default,sslateingress-us-south-1-77f4b6f7fb-s4qxx,sslateingress,117,14
default,sslateingress-us-south-1-77f4b6f7fb-s4qxx,istio-proxy,115,82
default,sslateingress-us-west-1-6fcc4597c8-4brh2,sslateingress,456,31
default,sslateingress-us-west-1-6fcc4597c8-4brh2,istio-proxy,1042,135
default,sslateingress-us-west-1-6fcc4597c8-6rs8w,sslateingress,507,33
default,sslateingress-us-west-1-6fcc4597c8-6rs8w,istio-proxy,641,133
default,sslateingress-us-west-1-6fcc4597c8-98hx7,sslateingress,490,33
default,sslateingress-us-west-1-6fcc4597c8-98hx7,istio-proxy,573,133
istio-system,istio-ingressgateway-8647b54b65-2b97v,istio-proxy,245,153
istio-system,istio-ingressgateway-8647b54b65-2brzr,istio-proxy,N/A,N/A
istio-system,istio-ingressgateway-8647b54b65-2ctt6,istio-proxy,34,59
istio-system,istio-ingressgateway-8647b54b65-2d49d,istio-proxy,36,59
istio-system,istio-ingressgateway-8647b54b65-4tnww,istio-proxy,N/A,N/A
istio-system,istio-ingressgateway-8647b54b65-5hr44,istio-proxy,206,57
istio-system,istio-ingressgateway-8647b54b65-66n5s,istio-proxy,213,58
istio-system,istio-ingressgateway-8647b54b65-84fkq,istio-proxy,264,153
istio-system,istio-ingressgateway-8647b54b65-9l66m,istio-proxy,254,153
istio-system,istio-ingressgateway-8647b54b65-9mrx6,istio-proxy,N/A,N/A
istio-system,istio-ingressgateway-8647b54b65-9wvcn,istio-proxy,259,153
istio-system,istio-ingressgateway-8647b54b65-bnxzx,istio-proxy,195,57
istio-system,istio-ingressgateway-8647b54b65-c9mql,istio-proxy,252,154
istio-system,istio-ingressgateway-8647b54b65-d92tj,istio-proxy,46,58
istio-system,istio-ingressgateway-8647b54b65-dct4l,istio-proxy,319,154
istio-system,istio-ingressgateway-8647b54b65-gwmtf,istio-proxy,269,151
istio-system,istio-ingressgateway-8647b54b65-gxj6v,istio-proxy,41,58
istio-system,istio-ingressgateway-8647b54b65-hf4rr,istio-proxy,216,59
istio-system,istio-ingressgateway-8647b54b65-hlldk,istio-proxy,403,152
istio-system,istio-ingressgateway-8647b54b65-hlmsc,istio-proxy,39,58
istio-system,istio-ingressgateway-8647b54b65-hr5vn,istio-proxy,N/A,N/A
istio-system,istio-ingressgateway-8647b54b65-htnsc,istio-proxy,161,57
istio-system,istio-ingressgateway-8647b54b65-jbjsj,istio-proxy,177,57
istio-system,istio-ingressgateway-8647b54b65-k9n4k,istio-proxy,N/A,N/A
istio-system,istio-ingressgateway-8647b54b65-khwvt,istio-proxy,N/A,N/A
