Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-84898b74f6-8cb46,server,2,195
default,adservice-us-central-1-84898b74f6-8cb46,istio-proxy,3,82
default,adservice-us-central-1-84898b74f6-hghcw,server,2,195
default,adservice-us-central-1-84898b74f6-hghcw,istio-proxy,3,80
default,adservice-us-central-1-84898b74f6-hwwmh,server,1,197
default,adservice-us-central-1-84898b74f6-hwwmh,istio-proxy,3,80
default,adservice-us-east-1-5b77f9c6b-cmrnt,server,2,200
default,adservice-us-east-1-5b77f9c6b-cmrnt,istio-proxy,3,83
default,adservice-us-east-1-5b77f9c6b-p6nqx,server,1,195
default,adservice-us-east-1-5b77f9c6b-p6nqx,istio-proxy,3,81
default,adservice-us-east-1-5b77f9c6b-rdktr,server,1,199
default,adservice-us-east-1-5b77f9c6b-rdktr,istio-proxy,3,80
default,adservice-us-south-1-59b7b8c988-48hx9,server,2,198
default,adservice-us-south-1-59b7b8c988-48hx9,istio-proxy,3,79
default,adservice-us-south-1-59b7b8c988-cxfwn,server,0,199
default,adservice-us-south-1-59b7b8c988-cxfwn,istio-proxy,3,80
default,adservice-us-south-1-59b7b8c988-sqzst,server,1,201
default,adservice-us-south-1-59b7b8c988-sqzst,istio-proxy,3,81
default,adservice-us-west-1-6846d6d7f4-2jbb4,server,2,195
default,adservice-us-west-1-6846d6d7f4-2jbb4,istio-proxy,3,80
default,adservice-us-west-1-6846d6d7f4-gczg9,server,2,196
default,adservice-us-west-1-6846d6d7f4-gczg9,istio-proxy,3,80
default,adservice-us-west-1-6846d6d7f4-gztc4,server,3,195
default,adservice-us-west-1-6846d6d7f4-gztc4,istio-proxy,3,79
default,cartservice-us-central-1-84b598dc8d-98tqq,server,78,48
default,cartservice-us-central-1-84b598dc8d-98tqq,istio-proxy,3,82
default,cartservice-us-central-1-84b598dc8d-mmpq9,server,99,49
default,cartservice-us-central-1-84b598dc8d-mmpq9,istio-proxy,3,81
default,cartservice-us-central-1-84b598dc8d-tqs7b,server,72,48
default,cartservice-us-central-1-84b598dc8d-tqs7b,istio-proxy,3,81
default,cartservice-us-east-1-64946c849b-b6hp5,server,0,38
default,cartservice-us-east-1-64946c849b-b6hp5,istio-proxy,3,81
default,cartservice-us-east-1-64946c849b-mdsbs,server,199,53
default,cartservice-us-east-1-64946c849b-mdsbs,istio-proxy,3,81
default,cartservice-us-east-1-64946c849b-xz8v2,server,0,38
default,cartservice-us-east-1-64946c849b-xz8v2,istio-proxy,3,80
default,cartservice-us-south-1-6f676df548-7sbct,server,145,56
default,cartservice-us-south-1-6f676df548-7sbct,istio-proxy,78,81
default,cartservice-us-south-1-6f676df548-pzz4p,server,295,54
default,cartservice-us-south-1-6f676df548-pzz4p,istio-proxy,3,80
default,cartservice-us-south-1-6f676df548-q98rd,server,177,57
default,cartservice-us-south-1-6f676df548-q98rd,istio-proxy,3,82
default,cartservice-us-west-1-66bdf4dbc6-c9s22,server,128,59
default,cartservice-us-west-1-66bdf4dbc6-c9s22,istio-proxy,279,85
default,cartservice-us-west-1-66bdf4dbc6-n2nb5,server,9,50
default,cartservice-us-west-1-66bdf4dbc6-n2nb5,istio-proxy,79,82
default,cartservice-us-west-1-66bdf4dbc6-z4cl5,server,16,50
default,cartservice-us-west-1-66bdf4dbc6-z4cl5,istio-proxy,281,83
default,checkoutservice-us-central-1-79c5548b84-9ft86,server,0,9
default,checkoutservice-us-central-1-79c5548b84-9ft86,istio-proxy,3,80
default,checkoutservice-us-central-1-79c5548b84-nnsqh,server,0,9
default,checkoutservice-us-central-1-79c5548b84-nnsqh,istio-proxy,30,85
default,checkoutservice-us-central-1-79c5548b84-q5bf2,server,0,9
default,checkoutservice-us-central-1-79c5548b84-q5bf2,istio-proxy,3,80
default,checkoutservice-us-east-1-86b774b68-b6wgp,server,57,11
default,checkoutservice-us-east-1-86b774b68-b6wgp,istio-proxy,3,81
default,checkoutservice-us-east-1-86b774b68-kxtrn,server,57,11
default,checkoutservice-us-east-1-86b774b68-kxtrn,istio-proxy,30,82
default,checkoutservice-us-east-1-86b774b68-tfvk7,server,62,11
default,checkoutservice-us-east-1-86b774b68-tfvk7,istio-proxy,127,81
default,checkoutservice-us-south-1-f575f8468-dnsxh,server,0,9
default,checkoutservice-us-south-1-f575f8468-dnsxh,istio-proxy,69,81
default,checkoutservice-us-south-1-f575f8468-fvzhs,server,0,9
default,checkoutservice-us-south-1-f575f8468-fvzhs,istio-proxy,109,81
default,checkoutservice-us-south-1-f575f8468-wdxv8,server,5,9
default,checkoutservice-us-south-1-f575f8468-wdxv8,istio-proxy,168,82
default,checkoutservice-us-west-1-7dfb77f4c6-dh8n6,server,0,11
default,checkoutservice-us-west-1-7dfb77f4c6-dh8n6,istio-proxy,3,85
default,checkoutservice-us-west-1-7dfb77f4c6-l4mt8,server,183,13
default,checkoutservice-us-west-1-7dfb77f4c6-l4mt8,istio-proxy,237,84
default,checkoutservice-us-west-1-7dfb77f4c6-stbrj,server,221,11
default,checkoutservice-us-west-1-7dfb77f4c6-stbrj,istio-proxy,110,83
default,currencyservice-us-central-1-69fd8b964d-62kjs,server,51,21
default,currencyservice-us-central-1-69fd8b964d-62kjs,istio-proxy,9,83
default,currencyservice-us-central-1-69fd8b964d-7gfzq,server,44,21
default,currencyservice-us-central-1-69fd8b964d-7gfzq,istio-proxy,20,83
default,currencyservice-us-central-1-69fd8b964d-s9vgh,server,36,19
default,currencyservice-us-central-1-69fd8b964d-s9vgh,istio-proxy,28,82
default,currencyservice-us-east-1-76659b658f-65wh9,server,51,21
default,currencyservice-us-east-1-76659b658f-65wh9,istio-proxy,3,83
default,currencyservice-us-east-1-76659b658f-dhrmx,server,0,19
default,currencyservice-us-east-1-76659b658f-dhrmx,istio-proxy,3,82
default,currencyservice-us-east-1-76659b658f-xzwq5,server,0,19
default,currencyservice-us-east-1-76659b658f-xzwq5,istio-proxy,28,82
default,currencyservice-us-south-1-5fc9bc4f77-7vx4s,server,0,19
default,currencyservice-us-south-1-5fc9bc4f77-7vx4s,istio-proxy,42,82
default,currencyservice-us-south-1-5fc9bc4f77-bw42n,server,0,19
default,currencyservice-us-south-1-5fc9bc4f77-bw42n,istio-proxy,29,83
default,currencyservice-us-south-1-5fc9bc4f77-c9djs,server,19,19
default,currencyservice-us-south-1-5fc9bc4f77-c9djs,istio-proxy,3,81
default,currencyservice-us-west-1-6c778dffc7-bzjvb,server,77,20
default,currencyservice-us-west-1-6c778dffc7-bzjvb,istio-proxy,69,82
default,currencyservice-us-west-1-6c778dffc7-hz94m,server,56,21
default,currencyservice-us-west-1-6c778dffc7-hz94m,istio-proxy,3,81
default,currencyservice-us-west-1-6c778dffc7-qbbs6,server,1,19
default,currencyservice-us-west-1-6c778dffc7-qbbs6,istio-proxy,19,83
default,emailservice-us-central-1-d96cbd547-8tntc,server,41,41
default,emailservice-us-central-1-d96cbd547-8tntc,istio-proxy,3,83
default,emailservice-us-central-1-d96cbd547-jn2qq,server,5,41
default,emailservice-us-central-1-d96cbd547-jn2qq,istio-proxy,3,84
