counter,region,service,endpoint,rps
1,us-central-1,sslateingress,sslateingress@POST@/cart,4
1,us-central-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,11
1,us-central-1,frontend,frontend@POST@/cart,23
1,us-central-1,frontend,frontend@POST@/setCurrency,11
1,us-central-1,frontend,frontend@POST@/cart/empty,10
1,us-central-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,33
1,us-east-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,76
1,us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,91
1,us-east-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,85
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,105
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,91
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,79
1,us-east-1,sslateingress,sslateingress@POST@/cart,45
1,us-east-1,sslateingress,sslateingress@POST@/cart/checkout,58
1,us-east-1,sslateingress,sslateingress@POST@/cart/empty,33
1,us-east-1,sslateingress,sslateingress@POST@/setCurrency,16
1,us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,70
1,us-east-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,69
1,us-east-1,frontend,frontend@POST@/cart,41
1,us-east-1,frontend,frontend@POST@/cart/checkout,52
1,us-east-1,frontend,frontend@POST@/cart/empty,30
1,us-east-1,frontend,frontend@POST@/setCurrency,21
1,us-east-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,77
1,us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,157
1,us-west-1,sslateingress,sslateingress@POST@/cart/checkout,183
1,us-west-1,sslateingress,sslateingress@POST@/cart,191
1,us-west-1,sslateingress,sslateingress@POST@/cart/empty,141
1,us-west-1,sslateingress,sslateingress@POST@/setCurrency,94
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,115
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,78
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,119
1,us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,166
1,us-west-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,162
1,us-west-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,219
1,us-west-1,frontend,frontend@POST@/cart,125
1,us-west-1,frontend,frontend@POST@/setCurrency,39
1,us-west-1,frontend,frontend@POST@/cart/checkout,117
1,us-west-1,frontend,frontend@POST@/cart/empty,75
1,us-west-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,215
1,us-west-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,160
2,us-central-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,110
2,us-central-1,sslateingress,sslateingress@POST@/cart,97
2,us-central-1,sslateingress,sslateingress@POST@/cart/empty,94
2,us-central-1,sslateingress,sslateingress@POST@/cart/checkout,100
2,us-central-1,sslateingress,sslateingress@POST@/setCurrency,77
2,us-central-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,129
2,us-central-1,frontend,frontend@POST@/cart,80
2,us-central-1,frontend,frontend@POST@/setCurrency,77
2,us-central-1,frontend,frontend@POST@/cart/empty,88
2,us-central-1,frontend,frontend@POST@/cart/checkout,99
2,us-central-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,104
2,us-central-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,115
2,us-central-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,100
2,us-central-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,88
2,us-south-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,67
2,us-south-1,frontend,frontend@POST@/cart/empty,67
2,us-south-1,frontend,frontend@POST@/setCurrency,60
2,us-south-1,frontend,frontend@POST@/cart,79
2,us-south-1,frontend,frontend@POST@/cart/checkout,86
2,us-south-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,91
2,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,143
2,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,63
2,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,160
2,us-south-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,108
2,us-south-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,59
2,us-south-1,sslateingress,sslateingress@POST@/cart/checkout,67
2,us-south-1,sslateingress,sslateingress@POST@/cart/empty,46
2,us-south-1,sslateingress,sslateingress@POST@/cart,56
2,us-south-1,sslateingress,sslateingress@POST@/setCurrency,38
2,us-south-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,81
2,us-south-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,73
2,us-east-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,110
2,us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,99
2,us-east-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,173
2,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,108
2,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,106
2,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,103
2,us-east-1,sslateingress,sslateingress@POST@/cart,110
2,us-east-1,sslateingress,sslateingress@POST@/cart/checkout,114
2,us-east-1,sslateingress,sslateingress@POST@/cart/empty,108
2,us-east-1,sslateingress,sslateingress@POST@/setCurrency,111
2,us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,105
2,us-east-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,111
2,us-east-1,frontend,frontend@POST@/cart,120
2,us-east-1,frontend,frontend@POST@/cart/checkout,111
2,us-east-1,frontend,frontend@POST@/cart/empty,115
2,us-east-1,frontend,frontend@POST@/setCurrency,101
2,us-east-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,112
2,us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,300
2,us-west-1,sslateingress,sslateingress@POST@/cart/checkout,369
2,us-west-1,sslateingress,sslateingress@POST@/cart,357
2,us-west-1,sslateingress,sslateingress@POST@/cart/empty,357
2,us-west-1,sslateingress,sslateingress@POST@/setCurrency,356
2,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,286
2,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,265
2,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,298
2,us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,320
