Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-565fc6799c-2hjw9,server,4,146
default,adservice-us-central-1-565fc6799c-2hjw9,istio-proxy,3,83
default,adservice-us-central-1-565fc6799c-jwhhj,server,2,144
default,adservice-us-central-1-565fc6799c-jwhhj,istio-proxy,3,83
default,adservice-us-central-1-565fc6799c-qntjb,server,3,150
default,adservice-us-central-1-565fc6799c-qntjb,istio-proxy,3,83
default,adservice-us-east-1-7dbf74dd8f-7b7sv,server,2,145
default,adservice-us-east-1-7dbf74dd8f-7b7sv,istio-proxy,4,82
default,adservice-us-east-1-7dbf74dd8f-fxfmd,server,2,151
default,adservice-us-east-1-7dbf74dd8f-fxfmd,istio-proxy,3,83
default,adservice-us-east-1-7dbf74dd8f-zh8vl,server,2,148
default,adservice-us-east-1-7dbf74dd8f-zh8vl,istio-proxy,3,82
default,adservice-us-south-1-67d54d8d45-5s7mf,server,2,148
default,adservice-us-south-1-67d54d8d45-5s7mf,istio-proxy,3,82
default,adservice-us-south-1-67d54d8d45-bdvm4,server,2,148
default,adservice-us-south-1-67d54d8d45-bdvm4,istio-proxy,3,82
default,adservice-us-south-1-67d54d8d45-bm472,server,2,147
default,adservice-us-south-1-67d54d8d45-bm472,istio-proxy,4,85
default,adservice-us-west-1-74876577b6-7c59d,server,3,148
default,adservice-us-west-1-74876577b6-7c59d,istio-proxy,4,83
default,adservice-us-west-1-74876577b6-dl9xr,server,5,148
default,adservice-us-west-1-74876577b6-dl9xr,istio-proxy,4,83
default,adservice-us-west-1-74876577b6-nt6hc,server,2,148
default,adservice-us-west-1-74876577b6-nt6hc,istio-proxy,4,84
default,cartservice-us-central-1-6df68f8955-nz97m,server,97,46
default,cartservice-us-central-1-6df68f8955-nz97m,istio-proxy,73,83
default,cartservice-us-central-1-6df68f8955-pgmq8,server,112,43
default,cartservice-us-central-1-6df68f8955-pgmq8,istio-proxy,66,86
default,cartservice-us-central-1-6df68f8955-r56fh,server,114,43
default,cartservice-us-central-1-6df68f8955-r56fh,istio-proxy,71,86
default,cartservice-us-east-1-9cfc5785-5p67m,server,327,57
default,cartservice-us-east-1-9cfc5785-5p67m,istio-proxy,219,83
default,cartservice-us-east-1-9cfc5785-9mzv7,server,304,68
default,cartservice-us-east-1-9cfc5785-9mzv7,istio-proxy,216,85
default,cartservice-us-east-1-9cfc5785-klxfq,server,316,67
default,cartservice-us-east-1-9cfc5785-klxfq,istio-proxy,227,86
