Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-565fc6799c-2hjw9,server,6,156
default,adservice-us-central-1-565fc6799c-2hjw9,istio-proxy,3,83
default,adservice-us-central-1-565fc6799c-jwhhj,server,5,158
default,adservice-us-central-1-565fc6799c-jwhhj,istio-proxy,3,83
default,adservice-us-central-1-565fc6799c-qntjb,server,11,159
default,adservice-us-central-1-565fc6799c-qntjb,istio-proxy,3,83
default,adservice-us-east-1-7dbf74dd8f-7b7sv,server,5,159
default,adservice-us-east-1-7dbf74dd8f-7b7sv,istio-proxy,3,82
default,adservice-us-east-1-7dbf74dd8f-fxfmd,server,3,155
default,adservice-us-east-1-7dbf74dd8f-fxfmd,istio-proxy,3,83
default,adservice-us-east-1-7dbf74dd8f-zh8vl,server,9,158
default,adservice-us-east-1-7dbf74dd8f-zh8vl,istio-proxy,4,82
default,adservice-us-south-1-67d54d8d45-5s7mf,server,3,153
default,adservice-us-south-1-67d54d8d45-5s7mf,istio-proxy,3,82
default,adservice-us-south-1-67d54d8d45-bdvm4,server,8,158
default,adservice-us-south-1-67d54d8d45-bdvm4,istio-proxy,3,82
default,adservice-us-south-1-67d54d8d45-bm472,server,10,156
default,adservice-us-south-1-67d54d8d45-bm472,istio-proxy,3,85
default,adservice-us-west-1-74876577b6-7c59d,server,8,158
default,adservice-us-west-1-74876577b6-7c59d,istio-proxy,3,84
default,adservice-us-west-1-74876577b6-dl9xr,server,7,158
default,adservice-us-west-1-74876577b6-dl9xr,istio-proxy,3,83
default,adservice-us-west-1-74876577b6-nt6hc,server,2,153
default,adservice-us-west-1-74876577b6-nt6hc,istio-proxy,3,84
default,cartservice-us-central-1-6df68f8955-nz97m,server,51,47
default,cartservice-us-central-1-6df68f8955-nz97m,istio-proxy,29,83
default,cartservice-us-central-1-6df68f8955-pgmq8,server,39,48
default,cartservice-us-central-1-6df68f8955-pgmq8,istio-proxy,29,86
default,cartservice-us-central-1-6df68f8955-r56fh,server,26,49
default,cartservice-us-central-1-6df68f8955-r56fh,istio-proxy,37,86
default,cartservice-us-east-1-9cfc5785-5p67m,server,247,92
default,cartservice-us-east-1-9cfc5785-5p67m,istio-proxy,163,84
default,cartservice-us-east-1-9cfc5785-9mzv7,server,233,92
default,cartservice-us-east-1-9cfc5785-9mzv7,istio-proxy,161,85
default,cartservice-us-east-1-9cfc5785-klxfq,server,242,91
default,cartservice-us-east-1-9cfc5785-klxfq,istio-proxy,126,86
default,cartservice-us-south-1-6f85f465c9-jwlrj,server,450,144
default,cartservice-us-south-1-6f85f465c9-jwlrj,istio-proxy,337,88
default,cartservice-us-south-1-6f85f465c9-pb74j,server,397,153
default,cartservice-us-south-1-6f85f465c9-pb74j,istio-proxy,348,89
default,cartservice-us-south-1-6f85f465c9-sqm92,server,484,125
default,cartservice-us-south-1-6f85f465c9-sqm92,istio-proxy,358,87
default,cartservice-us-west-1-85c9b88849-2hbd8,server,262,107
default,cartservice-us-west-1-85c9b88849-2hbd8,istio-proxy,203,85
default,cartservice-us-west-1-85c9b88849-l7482,server,241,107
default,cartservice-us-west-1-85c9b88849-l7482,istio-proxy,199,85
default,cartservice-us-west-1-85c9b88849-nn2qn,server,293,95
default,cartservice-us-west-1-85c9b88849-nn2qn,istio-proxy,199,86
default,checkoutservice-us-central-1-5c7477696c-7htl2,server,63,11
default,checkoutservice-us-central-1-5c7477696c-7htl2,istio-proxy,160,85
default,checkoutservice-us-central-1-5c7477696c-m89n9,server,81,12
default,checkoutservice-us-central-1-5c7477696c-m89n9,istio-proxy,114,84
default,checkoutservice-us-central-1-5c7477696c-rvgqh,server,71,11
default,checkoutservice-us-central-1-5c7477696c-rvgqh,istio-proxy,92,84
default,checkoutservice-us-east-1-6bc777cf7-4l5j9,server,124,12
default,checkoutservice-us-east-1-6bc777cf7-4l5j9,istio-proxy,294,84
default,checkoutservice-us-east-1-6bc777cf7-jxr7d,server,147,12
