Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-565fc6799c-2hjw9,server,2,137
default,adservice-us-central-1-565fc6799c-2hjw9,istio-proxy,3,83
default,adservice-us-central-1-565fc6799c-jwhhj,server,2,139
default,adservice-us-central-1-565fc6799c-jwhhj,istio-proxy,3,83
default,adservice-us-central-1-565fc6799c-qntjb,server,2,145
default,adservice-us-central-1-565fc6799c-qntjb,istio-proxy,3,83
default,adservice-us-east-1-7dbf74dd8f-7b7sv,server,2,145
default,adservice-us-east-1-7dbf74dd8f-7b7sv,istio-proxy,3,82
default,adservice-us-east-1-7dbf74dd8f-fxfmd,server,3,146
default,adservice-us-east-1-7dbf74dd8f-fxfmd,istio-proxy,3,83
default,adservice-us-east-1-7dbf74dd8f-zh8vl,server,3,143
default,adservice-us-east-1-7dbf74dd8f-zh8vl,istio-proxy,3,82
default,adservice-us-south-1-67d54d8d45-5s7mf,server,2,139
default,adservice-us-south-1-67d54d8d45-5s7mf,istio-proxy,3,82
default,adservice-us-south-1-67d54d8d45-bdvm4,server,3,143
default,adservice-us-south-1-67d54d8d45-bdvm4,istio-proxy,3,82
default,adservice-us-south-1-67d54d8d45-bm472,server,3,142
default,adservice-us-south-1-67d54d8d45-bm472,istio-proxy,3,85
default,adservice-us-west-1-74876577b6-7c59d,server,4,143
default,adservice-us-west-1-74876577b6-7c59d,istio-proxy,4,83
default,adservice-us-west-1-74876577b6-dl9xr,server,2,139
default,adservice-us-west-1-74876577b6-dl9xr,istio-proxy,3,83
default,adservice-us-west-1-74876577b6-nt6hc,server,4,144
default,adservice-us-west-1-74876577b6-nt6hc,istio-proxy,4,84
default,cartservice-us-central-1-6df68f8955-nz97m,server,258,40
default,cartservice-us-central-1-6df68f8955-nz97m,istio-proxy,63,83
default,cartservice-us-central-1-6df68f8955-pgmq8,server,228,41
default,cartservice-us-central-1-6df68f8955-pgmq8,istio-proxy,46,85
default,cartservice-us-central-1-6df68f8955-r56fh,server,193,41
default,cartservice-us-central-1-6df68f8955-r56fh,istio-proxy,30,86
default,cartservice-us-east-1-9cfc5785-5p67m,server,327,57
default,cartservice-us-east-1-9cfc5785-5p67m,istio-proxy,187,83
default,cartservice-us-east-1-9cfc5785-9mzv7,server,227,47
default,cartservice-us-east-1-9cfc5785-9mzv7,istio-proxy,224,85
default,cartservice-us-east-1-9cfc5785-klxfq,server,233,48
default,cartservice-us-east-1-9cfc5785-klxfq,istio-proxy,23,86
default,cartservice-us-south-1-6f85f465c9-jwlrj,server,258,47
default,cartservice-us-south-1-6f85f465c9-jwlrj,istio-proxy,72,83
default,cartservice-us-south-1-6f85f465c9-pb74j,server,600,69
default,cartservice-us-south-1-6f85f465c9-pb74j,istio-proxy,34,86
default,cartservice-us-south-1-6f85f465c9-sqm92,server,645,73
default,cartservice-us-south-1-6f85f465c9-sqm92,istio-proxy,371,85
default,cartservice-us-west-1-85c9b88849-2hbd8,server,546,58
default,cartservice-us-west-1-85c9b88849-2hbd8,istio-proxy,225,85
default,cartservice-us-west-1-85c9b88849-l7482,server,662,57
default,cartservice-us-west-1-85c9b88849-l7482,istio-proxy,224,83
default,cartservice-us-west-1-85c9b88849-nn2qn,server,534,55
default,cartservice-us-west-1-85c9b88849-nn2qn,istio-proxy,276,84
default,checkoutservice-us-central-1-5c7477696c-7htl2,server,54,10
default,checkoutservice-us-central-1-5c7477696c-7htl2,istio-proxy,349,85
default,checkoutservice-us-central-1-5c7477696c-m89n9,server,110,11
default,checkoutservice-us-central-1-5c7477696c-m89n9,istio-proxy,188,84
default,checkoutservice-us-central-1-5c7477696c-rvgqh,server,88,11
default,checkoutservice-us-central-1-5c7477696c-rvgqh,istio-proxy,160,84
default,checkoutservice-us-east-1-6bc777cf7-4l5j9,server,65,10
default,checkoutservice-us-east-1-6bc777cf7-4l5j9,istio-proxy,327,84
