Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-dffd6bbd4-sg2ng,server,4,152
default,adservice-us-central-1-dffd6bbd4-sg2ng,istio-proxy,3,82
default,adservice-us-central-1-dffd6bbd4-tptdz,server,2,148
default,adservice-us-central-1-dffd6bbd4-tptdz,istio-proxy,3,83
default,adservice-us-central-1-dffd6bbd4-wlwz9,server,2,152
default,adservice-us-central-1-dffd6bbd4-wlwz9,istio-proxy,3,83
default,adservice-us-east-1-7c64c77778-98bff,server,2,148
default,adservice-us-east-1-7c64c77778-98bff,istio-proxy,3,85
default,adservice-us-east-1-7c64c77778-cvdbl,server,2,147
default,adservice-us-east-1-7c64c77778-cvdbl,istio-proxy,3,84
default,adservice-us-east-1-7c64c77778-nt27m,server,3,148
default,adservice-us-east-1-7c64c77778-nt27m,istio-proxy,4,82
default,adservice-us-south-1-85b4c7f4d-2ntjt,server,3,142
default,adservice-us-south-1-85b4c7f4d-2ntjt,istio-proxy,3,82
default,adservice-us-south-1-85b4c7f4d-nnxzf,server,3,147
default,adservice-us-south-1-85b4c7f4d-nnxzf,istio-proxy,4,84
default,adservice-us-south-1-85b4c7f4d-tkcrs,server,2,143
default,adservice-us-south-1-85b4c7f4d-tkcrs,istio-proxy,3,83
default,adservice-us-west-1-f45d5d57d-d8qtb,server,4,149
default,adservice-us-west-1-f45d5d57d-d8qtb,istio-proxy,4,83
default,adservice-us-west-1-f45d5d57d-g27lb,server,2,143
default,adservice-us-west-1-f45d5d57d-g27lb,istio-proxy,4,83
default,adservice-us-west-1-f45d5d57d-qzqcd,server,4,146
default,adservice-us-west-1-f45d5d57d-qzqcd,istio-proxy,4,84
default,cartservice-us-central-1-754d48d8d8-dn2dl,server,105,43
default,cartservice-us-central-1-754d48d8d8-dn2dl,istio-proxy,77,84
default,cartservice-us-central-1-754d48d8d8-g6k59,server,96,47
default,cartservice-us-central-1-754d48d8d8-g6k59,istio-proxy,73,82
default,cartservice-us-central-1-754d48d8d8-thmd9,server,98,48
default,cartservice-us-central-1-754d48d8d8-thmd9,istio-proxy,77,86
default,cartservice-us-east-1-5d7b8575d8-ddxxj,server,197,61
default,cartservice-us-east-1-5d7b8575d8-ddxxj,istio-proxy,142,85
default,cartservice-us-east-1-5d7b8575d8-kxwtz,server,201,65
default,cartservice-us-east-1-5d7b8575d8-kxwtz,istio-proxy,139,85
default,cartservice-us-east-1-5d7b8575d8-rmrct,server,197,64
default,cartservice-us-east-1-5d7b8575d8-rmrct,istio-proxy,141,84
default,cartservice-us-south-1-8dd68fb4d-5lttw,server,323,90
default,cartservice-us-south-1-8dd68fb4d-5lttw,istio-proxy,237,86
default,cartservice-us-south-1-8dd68fb4d-w745h,server,327,91
default,cartservice-us-south-1-8dd68fb4d-w745h,istio-proxy,240,86
default,cartservice-us-south-1-8dd68fb4d-wj585,server,326,89
default,cartservice-us-south-1-8dd68fb4d-wj585,istio-proxy,237,84
