Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-dffd6bbd4-sg2ng,server,3,142
default,adservice-us-central-1-dffd6bbd4-sg2ng,istio-proxy,4,82
default,adservice-us-central-1-dffd6bbd4-tptdz,server,2,148
default,adservice-us-central-1-dffd6bbd4-tptdz,istio-proxy,3,83
default,adservice-us-central-1-dffd6bbd4-wlwz9,server,1,147
default,adservice-us-central-1-dffd6bbd4-wlwz9,istio-proxy,5,83
default,adservice-us-east-1-7c64c77778-98bff,server,3,143
default,adservice-us-east-1-7c64c77778-98bff,istio-proxy,3,85
default,adservice-us-east-1-7c64c77778-cvdbl,server,3,142
default,adservice-us-east-1-7c64c77778-cvdbl,istio-proxy,3,84
default,adservice-us-east-1-7c64c77778-nt27m,server,3,143
default,adservice-us-east-1-7c64c77778-nt27m,istio-proxy,3,82
default,adservice-us-south-1-85b4c7f4d-2ntjt,server,3,142
default,adservice-us-south-1-85b4c7f4d-2ntjt,istio-proxy,3,82
default,adservice-us-south-1-85b4c7f4d-nnxzf,server,2,142
default,adservice-us-south-1-85b4c7f4d-nnxzf,istio-proxy,4,84
default,adservice-us-south-1-85b4c7f4d-tkcrs,server,2,143
default,adservice-us-south-1-85b4c7f4d-tkcrs,istio-proxy,3,83
default,adservice-us-west-1-f45d5d57d-d8qtb,server,2,140
default,adservice-us-west-1-f45d5d57d-d8qtb,istio-proxy,4,83
default,adservice-us-west-1-f45d5d57d-g27lb,server,2,143
default,adservice-us-west-1-f45d5d57d-g27lb,istio-proxy,4,83
default,adservice-us-west-1-f45d5d57d-qzqcd,server,2,142
default,adservice-us-west-1-f45d5d57d-qzqcd,istio-proxy,4,84
default,cartservice-us-central-1-754d48d8d8-dn2dl,server,105,43
default,cartservice-us-central-1-754d48d8d8-dn2dl,istio-proxy,73,84
default,cartservice-us-central-1-754d48d8d8-g6k59,server,125,43
default,cartservice-us-central-1-754d48d8d8-g6k59,istio-proxy,67,82
default,cartservice-us-central-1-754d48d8d8-thmd9,server,165,44
default,cartservice-us-central-1-754d48d8d8-thmd9,istio-proxy,67,86
default,cartservice-us-east-1-5d7b8575d8-ddxxj,server,214,54
default,cartservice-us-east-1-5d7b8575d8-ddxxj,istio-proxy,127,85
default,cartservice-us-east-1-5d7b8575d8-kxwtz,server,198,49
default,cartservice-us-east-1-5d7b8575d8-kxwtz,istio-proxy,134,85
default,cartservice-us-east-1-5d7b8575d8-rmrct,server,211,54
default,cartservice-us-east-1-5d7b8575d8-rmrct,istio-proxy,135,84
default,cartservice-us-south-1-8dd68fb4d-5lttw,server,348,73
default,cartservice-us-south-1-8dd68fb4d-5lttw,istio-proxy,259,86
default,cartservice-us-south-1-8dd68fb4d-w745h,server,625,61
default,cartservice-us-south-1-8dd68fb4d-w745h,istio-proxy,253,86
default,cartservice-us-south-1-8dd68fb4d-wj585,server,536,65
default,cartservice-us-south-1-8dd68fb4d-wj585,istio-proxy,243,84
default,cartservice-us-west-1-5f66b98cc6-4sfzt,server,599,94
default,cartservice-us-west-1-5f66b98cc6-4sfzt,istio-proxy,423,87
default,cartservice-us-west-1-5f66b98cc6-nrbcz,server,702,84
default,cartservice-us-west-1-5f66b98cc6-nrbcz,istio-proxy,568,83
default,cartservice-us-west-1-5f66b98cc6-rfm8h,server,605,90
default,cartservice-us-west-1-5f66b98cc6-rfm8h,istio-proxy,507,85
default,checkoutservice-us-central-1-7db84985c6-c5v4t,server,147,11
default,checkoutservice-us-central-1-7db84985c6-c5v4t,istio-proxy,213,85
default,checkoutservice-us-central-1-7db84985c6-dl7q8,server,120,11
default,checkoutservice-us-central-1-7db84985c6-dl7q8,istio-proxy,342,83
default,checkoutservice-us-central-1-7db84985c6-vmn49,server,180,11
default,checkoutservice-us-central-1-7db84985c6-vmn49,istio-proxy,338,87
default,checkoutservice-us-east-1-78fd7cb544-65mrg,server,157,11
default,checkoutservice-us-east-1-78fd7cb544-65mrg,istio-proxy,290,86
default,checkoutservice-us-east-1-78fd7cb544-nql47,server,180,11
default,checkoutservice-us-east-1-78fd7cb544-nql47,istio-proxy,338,84
default,checkoutservice-us-east-1-78fd7cb544-s69kt,server,184,11
default,checkoutservice-us-east-1-78fd7cb544-s69kt,istio-proxy,297,86
default,checkoutservice-us-south-1-596f7bff76-97hqn,server,242,12
default,checkoutservice-us-south-1-596f7bff76-97hqn,istio-proxy,462,87
default,checkoutservice-us-south-1-596f7bff76-fzlxd,server,243,12
default,checkoutservice-us-south-1-596f7bff76-fzlxd,istio-proxy,510,85
default,checkoutservice-us-south-1-596f7bff76-rjlw9,server,286,11
default,checkoutservice-us-south-1-596f7bff76-rjlw9,istio-proxy,512,85
default,checkoutservice-us-west-1-dbb8dbc6d-2bv52,server,316,11
default,checkoutservice-us-west-1-dbb8dbc6d-2bv52,istio-proxy,429,85
default,checkoutservice-us-west-1-dbb8dbc6d-6lzxb,server,299,11
default,checkoutservice-us-west-1-dbb8dbc6d-6lzxb,istio-proxy,718,84
default,checkoutservice-us-west-1-dbb8dbc6d-c2879,server,356,11
default,checkoutservice-us-west-1-dbb8dbc6d-c2879,istio-proxy,740,87
default,currencyservice-us-central-1-f5bdb59d5-bhq2q,server,103,21
default,currencyservice-us-central-1-f5bdb59d5-bhq2q,istio-proxy,70,85
default,currencyservice-us-central-1-f5bdb59d5-gh49l,server,113,25
default,currencyservice-us-central-1-f5bdb59d5-gh49l,istio-proxy,68,85
default,currencyservice-us-central-1-f5bdb59d5-mbzst,server,42,20
default,currencyservice-us-central-1-f5bdb59d5-mbzst,istio-proxy,47,85
default,currencyservice-us-east-1-66b7bd4565-h7sc6,server,70,21
default,currencyservice-us-east-1-66b7bd4565-h7sc6,istio-proxy,86,84
default,currencyservice-us-east-1-66b7bd4565-xq5wj,server,144,25
default,currencyservice-us-east-1-66b7bd4565-xq5wj,istio-proxy,76,85
default,currencyservice-us-east-1-66b7bd4565-xxwhn,server,133,27
default,currencyservice-us-east-1-66b7bd4565-xxwhn,istio-proxy,71,84
default,currencyservice-us-south-1-55d8667cc7-dv6s5,server,217,28
default,currencyservice-us-south-1-55d8667cc7-dv6s5,istio-proxy,109,84
default,currencyservice-us-south-1-55d8667cc7-hlnl8,server,242,26
default,currencyservice-us-south-1-55d8667cc7-hlnl8,istio-proxy,125,84
default,currencyservice-us-south-1-55d8667cc7-s8grg,server,154,29
default,currencyservice-us-south-1-55d8667cc7-s8grg,istio-proxy,123,88
default,currencyservice-us-west-1-6c447b4c77-72fb5,server,235,27
default,currencyservice-us-west-1-6c447b4c77-72fb5,istio-proxy,200,87
default,currencyservice-us-west-1-6c447b4c77-l25fh,server,262,33
default,currencyservice-us-west-1-6c447b4c77-l25fh,istio-proxy,185,85
default,currencyservice-us-west-1-6c447b4c77-wqj6z,server,328,30
default,currencyservice-us-west-1-6c447b4c77-wqj6z,istio-proxy,187,85
default,emailservice-us-central-1-5b5869f967-mgrcn,server,73,41
default,emailservice-us-central-1-5b5869f967-mgrcn,istio-proxy,64,85
default,emailservice-us-central-1-5b5869f967-nrz7q,server,31,41
default,emailservice-us-central-1-5b5869f967-nrz7q,istio-proxy,29,84
default,emailservice-us-central-1-5b5869f967-w2jhr,server,66,41
default,emailservice-us-central-1-5b5869f967-w2jhr,istio-proxy,68,85
default,emailservice-us-east-1-7864788d6b-829tx,server,61,41
default,emailservice-us-east-1-7864788d6b-829tx,istio-proxy,57,85
default,emailservice-us-east-1-7864788d6b-p5bdg,server,63,41
default,emailservice-us-east-1-7864788d6b-p5bdg,istio-proxy,57,83
default,emailservice-us-east-1-7864788d6b-twf99,server,64,41
default,emailservice-us-east-1-7864788d6b-twf99,istio-proxy,53,87
default,emailservice-us-south-1-58b4cf9db-b69nl,server,86,41
default,emailservice-us-south-1-58b4cf9db-b69nl,istio-proxy,77,84
default,emailservice-us-south-1-58b4cf9db-bv4x5,server,93,41
default,emailservice-us-south-1-58b4cf9db-bv4x5,istio-proxy,96,86
default,emailservice-us-south-1-58b4cf9db-kf95r,server,88,41
default,emailservice-us-south-1-58b4cf9db-kf95r,istio-proxy,70,84
default,emailservice-us-west-1-7567797b98-95j5h,server,138,42
default,emailservice-us-west-1-7567797b98-95j5h,istio-proxy,118,84
default,emailservice-us-west-1-7567797b98-vmpx2,server,128,41
default,emailservice-us-west-1-7567797b98-vmpx2,istio-proxy,139,85
default,emailservice-us-west-1-7567797b98-z87br,server,131,41
default,emailservice-us-west-1-7567797b98-z87br,istio-proxy,121,84
default,frontend-us-central-1-745b554dbc-6jfs4,server,187,18
default,frontend-us-central-1-745b554dbc-6jfs4,istio-proxy,342,88
default,frontend-us-central-1-745b554dbc-q4tbr,server,202,18
default,frontend-us-central-1-745b554dbc-q4tbr,istio-proxy,329,87
default,frontend-us-central-1-745b554dbc-qrxn8,server,149,17
default,frontend-us-central-1-745b554dbc-qrxn8,istio-proxy,310,88
default,frontend-us-east-1-65bcf656c4-242nw,server,178,17
default,frontend-us-east-1-65bcf656c4-242nw,istio-proxy,292,85
default,frontend-us-east-1-65bcf656c4-bs29z,server,186,17
default,frontend-us-east-1-65bcf656c4-bs29z,istio-proxy,308,85
default,frontend-us-east-1-65bcf656c4-lktns,server,182,17
default,frontend-us-east-1-65bcf656c4-lktns,istio-proxy,294,85
default,frontend-us-south-1-6dc4bdb5fb-2pdg4,server,260,22
default,frontend-us-south-1-6dc4bdb5fb-2pdg4,istio-proxy,393,101
default,frontend-us-south-1-6dc4bdb5fb-lhspl,server,220,22
default,frontend-us-south-1-6dc4bdb5fb-lhspl,istio-proxy,514,98
default,frontend-us-south-1-6dc4bdb5fb-n5dp8,server,236,22
default,frontend-us-south-1-6dc4bdb5fb-n5dp8,istio-proxy,427,98
default,frontend-us-west-1-b6bbdfbbd-4hwxp,server,521,22
default,frontend-us-west-1-b6bbdfbbd-4hwxp,istio-proxy,1177,97
default,frontend-us-west-1-b6bbdfbbd-t59l9,server,587,23
default,frontend-us-west-1-b6bbdfbbd-t59l9,istio-proxy,910,101
default,frontend-us-west-1-b6bbdfbbd-wdvn5,server,592,23
default,frontend-us-west-1-b6bbdfbbd-wdvn5,istio-proxy,1180,100
default,paymentservice-us-central-1-7b545b7969-lbtcr,server,89,20
default,paymentservice-us-central-1-7b545b7969-lbtcr,istio-proxy,68,84
default,paymentservice-us-central-1-7b545b7969-ldhgl,server,116,23
default,paymentservice-us-central-1-7b545b7969-ldhgl,istio-proxy,68,85
default,paymentservice-us-central-1-7b545b7969-zcg6d,server,116,23
default,paymentservice-us-central-1-7b545b7969-zcg6d,istio-proxy,64,83
default,paymentservice-us-east-1-7b567c7bc5-2wndf,server,87,20
default,paymentservice-us-east-1-7b567c7bc5-2wndf,istio-proxy,53,84
