Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-dffd6bbd4-sg2ng,server,0,152
default,adservice-us-central-1-dffd6bbd4-sg2ng,istio-proxy,3,82
default,adservice-us-central-1-dffd6bbd4-tptdz,server,5,157
default,adservice-us-central-1-dffd6bbd4-tptdz,istio-proxy,3,83
default,adservice-us-central-1-dffd6bbd4-wlwz9,server,9,161
default,adservice-us-central-1-dffd6bbd4-wlwz9,istio-proxy,3,83
default,adservice-us-east-1-7c64c77778-98bff,server,3,153
default,adservice-us-east-1-7c64c77778-98bff,istio-proxy,3,85
default,adservice-us-east-1-7c64c77778-cvdbl,server,3,152
default,adservice-us-east-1-7c64c77778-cvdbl,istio-proxy,3,84
default,adservice-us-east-1-7c64c77778-nt27m,server,3,153
default,adservice-us-east-1-7c64c77778-nt27m,istio-proxy,3,82
default,adservice-us-south-1-85b4c7f4d-2ntjt,server,3,152
default,adservice-us-south-1-85b4c7f4d-2ntjt,istio-proxy,3,82
default,adservice-us-south-1-85b4c7f4d-nnxzf,server,3,147
default,adservice-us-south-1-85b4c7f4d-nnxzf,istio-proxy,3,84
default,adservice-us-south-1-85b4c7f4d-tkcrs,server,4,153
default,adservice-us-south-1-85b4c7f4d-tkcrs,istio-proxy,3,83
default,adservice-us-west-1-f45d5d57d-d8qtb,server,2,154
default,adservice-us-west-1-f45d5d57d-d8qtb,istio-proxy,3,83
default,adservice-us-west-1-f45d5d57d-g27lb,server,3,153
default,adservice-us-west-1-f45d5d57d-g27lb,istio-proxy,3,83
default,adservice-us-west-1-f45d5d57d-qzqcd,server,3,151
default,adservice-us-west-1-f45d5d57d-qzqcd,istio-proxy,3,84
default,cartservice-us-central-1-754d48d8d8-dn2dl,server,99,49
default,cartservice-us-central-1-754d48d8d8-dn2dl,istio-proxy,71,84
default,cartservice-us-central-1-754d48d8d8-g6k59,server,87,52
default,cartservice-us-central-1-754d48d8d8-g6k59,istio-proxy,67,82
default,cartservice-us-central-1-754d48d8d8-thmd9,server,87,51
default,cartservice-us-central-1-754d48d8d8-thmd9,istio-proxy,69,86
default,cartservice-us-east-1-5d7b8575d8-ddxxj,server,177,71
default,cartservice-us-east-1-5d7b8575d8-ddxxj,istio-proxy,124,85
default,cartservice-us-east-1-5d7b8575d8-kxwtz,server,184,73
default,cartservice-us-east-1-5d7b8575d8-kxwtz,istio-proxy,139,85
default,cartservice-us-east-1-5d7b8575d8-rmrct,server,187,71
default,cartservice-us-east-1-5d7b8575d8-rmrct,istio-proxy,135,84
default,cartservice-us-south-1-8dd68fb4d-5lttw,server,335,108
default,cartservice-us-south-1-8dd68fb4d-5lttw,istio-proxy,240,86
default,cartservice-us-south-1-8dd68fb4d-w745h,server,327,91
default,cartservice-us-south-1-8dd68fb4d-w745h,istio-proxy,231,87
default,cartservice-us-south-1-8dd68fb4d-wj585,server,320,110
default,cartservice-us-south-1-8dd68fb4d-wj585,istio-proxy,229,86
default,cartservice-us-west-1-5f66b98cc6-4sfzt,server,509,151
default,cartservice-us-west-1-5f66b98cc6-4sfzt,istio-proxy,404,96
default,cartservice-us-west-1-5f66b98cc6-nrbcz,server,533,163
default,cartservice-us-west-1-5f66b98cc6-nrbcz,istio-proxy,445,87
default,cartservice-us-west-1-5f66b98cc6-rfm8h,server,535,159
default,cartservice-us-west-1-5f66b98cc6-rfm8h,istio-proxy,412,89
default,checkoutservice-us-central-1-7db84985c6-c5v4t,server,172,12
default,checkoutservice-us-central-1-7db84985c6-c5v4t,istio-proxy,293,85
default,checkoutservice-us-central-1-7db84985c6-dl7q8,server,176,11
