Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-585d84ff97-52gtq,server,3,153
default,adservice-us-central-1-585d84ff97-52gtq,istio-proxy,3,84
default,adservice-us-central-1-585d84ff97-dw8cd,server,2,148
default,adservice-us-central-1-585d84ff97-dw8cd,istio-proxy,3,85
default,adservice-us-central-1-585d84ff97-m5qwk,server,5,157
default,adservice-us-central-1-585d84ff97-m5qwk,istio-proxy,3,83
default,adservice-us-east-1-75746bc64f-5vp82,server,4,152
default,adservice-us-east-1-75746bc64f-5vp82,istio-proxy,3,83
default,adservice-us-east-1-75746bc64f-krd9p,server,4,155
default,adservice-us-east-1-75746bc64f-krd9p,istio-proxy,3,82
default,adservice-us-east-1-75746bc64f-xkw5p,server,2,149
default,adservice-us-east-1-75746bc64f-xkw5p,istio-proxy,3,83
default,adservice-us-south-1-5984564474-tj8c8,server,3,153
default,adservice-us-south-1-5984564474-tj8c8,istio-proxy,3,81
default,adservice-us-south-1-5984564474-vw6nq,server,3,154
default,adservice-us-south-1-5984564474-vw6nq,istio-proxy,3,86
default,adservice-us-south-1-5984564474-znk7k,server,2,148
default,adservice-us-south-1-5984564474-znk7k,istio-proxy,4,84
default,adservice-us-west-1-67d5cd4b44-4qrrl,server,4,147
default,adservice-us-west-1-67d5cd4b44-4qrrl,istio-proxy,4,83
default,adservice-us-west-1-67d5cd4b44-ld968,server,3,154
default,adservice-us-west-1-67d5cd4b44-ld968,istio-proxy,3,83
default,adservice-us-west-1-67d5cd4b44-xjzlw,server,3,147
default,adservice-us-west-1-67d5cd4b44-xjzlw,istio-proxy,3,82
default,cartservice-us-central-1-78597595fc-p4xsx,server,124,50
default,cartservice-us-central-1-78597595fc-p4xsx,istio-proxy,79,85
default,cartservice-us-central-1-78597595fc-tcnvz,server,106,51
default,cartservice-us-central-1-78597595fc-tcnvz,istio-proxy,76,84
default,cartservice-us-central-1-78597595fc-ww2jj,server,112,50
default,cartservice-us-central-1-78597595fc-ww2jj,istio-proxy,76,85
default,cartservice-us-east-1-947b46755-26h2b,server,310,86
default,cartservice-us-east-1-947b46755-26h2b,istio-proxy,224,83
default,cartservice-us-east-1-947b46755-8wq2x,server,310,84
default,cartservice-us-east-1-947b46755-8wq2x,istio-proxy,167,84
default,cartservice-us-east-1-947b46755-gv7tv,server,334,86
default,cartservice-us-east-1-947b46755-gv7tv,istio-proxy,182,85
default,cartservice-us-south-1-d6b7f5b6b-gdlrx,server,482,123
default,cartservice-us-south-1-d6b7f5b6b-gdlrx,istio-proxy,318,86
default,cartservice-us-south-1-d6b7f5b6b-hpwgl,server,483,123
default,cartservice-us-south-1-d6b7f5b6b-hpwgl,istio-proxy,361,87
default,cartservice-us-south-1-d6b7f5b6b-l98nz,server,460,133
default,cartservice-us-south-1-d6b7f5b6b-l98nz,istio-proxy,322,87
default,cartservice-us-west-1-bfff57878-jr4sv,server,292,101
default,cartservice-us-west-1-bfff57878-jr4sv,istio-proxy,203,85
default,cartservice-us-west-1-bfff57878-mm975,server,286,98
default,cartservice-us-west-1-bfff57878-mm975,istio-proxy,232,86
default,cartservice-us-west-1-bfff57878-qp5hs,server,288,100
default,cartservice-us-west-1-bfff57878-qp5hs,istio-proxy,202,89
default,checkoutservice-us-central-1-8b8f88ff5-msnqh,server,185,11
default,checkoutservice-us-central-1-8b8f88ff5-msnqh,istio-proxy,355,83
default,checkoutservice-us-central-1-8b8f88ff5-tfqwz,server,181,12
default,checkoutservice-us-central-1-8b8f88ff5-tfqwz,istio-proxy,377,85
default,checkoutservice-us-central-1-8b8f88ff5-vvqzf,server,183,11
default,checkoutservice-us-central-1-8b8f88ff5-vvqzf,istio-proxy,354,86
default,checkoutservice-us-east-1-865db8cd9c-6p2pm,server,209,11
default,checkoutservice-us-east-1-865db8cd9c-6p2pm,istio-proxy,323,84
default,checkoutservice-us-east-1-865db8cd9c-fzbzt,server,179,12
default,checkoutservice-us-east-1-865db8cd9c-fzbzt,istio-proxy,307,89
default,checkoutservice-us-east-1-865db8cd9c-prfc7,server,196,11
default,checkoutservice-us-east-1-865db8cd9c-prfc7,istio-proxy,304,87
default,checkoutservice-us-south-1-67cc48cdd7-bvxbq,server,205,12
default,checkoutservice-us-south-1-67cc48cdd7-bvxbq,istio-proxy,363,85
default,checkoutservice-us-south-1-67cc48cdd7-ccb5j,server,220,12
default,checkoutservice-us-south-1-67cc48cdd7-ccb5j,istio-proxy,434,86
default,checkoutservice-us-south-1-67cc48cdd7-rxx5p,server,230,12
default,checkoutservice-us-south-1-67cc48cdd7-rxx5p,istio-proxy,389,85
default,checkoutservice-us-west-1-db657fc74-2rrdh,server,206,12
default,checkoutservice-us-west-1-db657fc74-2rrdh,istio-proxy,415,84
default,checkoutservice-us-west-1-db657fc74-42cvb,server,244,26
default,checkoutservice-us-west-1-db657fc74-42cvb,istio-proxy,383,91
default,checkoutservice-us-west-1-db657fc74-f2tj2,server,242,12
default,checkoutservice-us-west-1-db657fc74-f2tj2,istio-proxy,420,83
