Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-585d84ff97-52gtq,server,2,149
default,adservice-us-central-1-585d84ff97-52gtq,istio-proxy,3,84
default,adservice-us-central-1-585d84ff97-dw8cd,server,3,143
default,adservice-us-central-1-585d84ff97-dw8cd,istio-proxy,3,85
default,adservice-us-central-1-585d84ff97-m5qwk,server,3,147
default,adservice-us-central-1-585d84ff97-m5qwk,istio-proxy,3,83
default,adservice-us-east-1-75746bc64f-5vp82,server,0,142
default,adservice-us-east-1-75746bc64f-5vp82,istio-proxy,3,83
default,adservice-us-east-1-75746bc64f-krd9p,server,2,146
default,adservice-us-east-1-75746bc64f-krd9p,istio-proxy,3,82
default,adservice-us-east-1-75746bc64f-xkw5p,server,3,145
default,adservice-us-east-1-75746bc64f-xkw5p,istio-proxy,3,83
default,adservice-us-south-1-5984564474-tj8c8,server,3,144
default,adservice-us-south-1-5984564474-tj8c8,istio-proxy,3,81
default,adservice-us-south-1-5984564474-vw6nq,server,2,149
default,adservice-us-south-1-5984564474-vw6nq,istio-proxy,3,86
default,adservice-us-south-1-5984564474-znk7k,server,3,144
default,adservice-us-south-1-5984564474-znk7k,istio-proxy,3,84
default,adservice-us-west-1-67d5cd4b44-4qrrl,server,3,143
default,adservice-us-west-1-67d5cd4b44-4qrrl,istio-proxy,3,83
default,adservice-us-west-1-67d5cd4b44-ld968,server,3,150
default,adservice-us-west-1-67d5cd4b44-ld968,istio-proxy,4,83
default,adservice-us-west-1-67d5cd4b44-xjzlw,server,3,142
default,adservice-us-west-1-67d5cd4b44-xjzlw,istio-proxy,3,82
default,cartservice-us-central-1-78597595fc-p4xsx,server,124,45
default,cartservice-us-central-1-78597595fc-p4xsx,istio-proxy,84,85
default,cartservice-us-central-1-78597595fc-tcnvz,server,118,47
default,cartservice-us-central-1-78597595fc-tcnvz,istio-proxy,82,84
default,cartservice-us-central-1-78597595fc-ww2jj,server,119,44
default,cartservice-us-central-1-78597595fc-ww2jj,istio-proxy,86,85
default,cartservice-us-east-1-947b46755-26h2b,server,335,68
default,cartservice-us-east-1-947b46755-26h2b,istio-proxy,238,83
default,cartservice-us-east-1-947b46755-8wq2x,server,336,72
default,cartservice-us-east-1-947b46755-8wq2x,istio-proxy,233,84
default,cartservice-us-east-1-947b46755-gv7tv,server,408,63
default,cartservice-us-east-1-947b46755-gv7tv,istio-proxy,224,85
default,cartservice-us-south-1-d6b7f5b6b-gdlrx,server,527,93
default,cartservice-us-south-1-d6b7f5b6b-gdlrx,istio-proxy,397,84
default,cartservice-us-south-1-d6b7f5b6b-hpwgl,server,523,103
default,cartservice-us-south-1-d6b7f5b6b-hpwgl,istio-proxy,387,86
default,cartservice-us-south-1-d6b7f5b6b-l98nz,server,518,109
default,cartservice-us-south-1-d6b7f5b6b-l98nz,istio-proxy,385,85
default,cartservice-us-west-1-bfff57878-jr4sv,server,355,80
default,cartservice-us-west-1-bfff57878-jr4sv,istio-proxy,248,84
default,cartservice-us-west-1-bfff57878-mm975,server,367,85
default,cartservice-us-west-1-bfff57878-mm975,istio-proxy,262,86
default,cartservice-us-west-1-bfff57878-qp5hs,server,379,85
default,cartservice-us-west-1-bfff57878-qp5hs,istio-proxy,258,88
default,checkoutservice-us-central-1-8b8f88ff5-msnqh,server,157,11
default,checkoutservice-us-central-1-8b8f88ff5-msnqh,istio-proxy,355,83
default,checkoutservice-us-central-1-8b8f88ff5-tfqwz,server,217,11
default,checkoutservice-us-central-1-8b8f88ff5-tfqwz,istio-proxy,387,85
default,checkoutservice-us-central-1-8b8f88ff5-vvqzf,server,183,11
default,checkoutservice-us-central-1-8b8f88ff5-vvqzf,istio-proxy,343,86
default,checkoutservice-us-east-1-865db8cd9c-6p2pm,server,228,13
default,checkoutservice-us-east-1-865db8cd9c-6p2pm,istio-proxy,445,84
default,checkoutservice-us-east-1-865db8cd9c-fzbzt,server,238,12
default,checkoutservice-us-east-1-865db8cd9c-fzbzt,istio-proxy,430,89
default,checkoutservice-us-east-1-865db8cd9c-prfc7,server,244,12
default,checkoutservice-us-east-1-865db8cd9c-prfc7,istio-proxy,442,86
default,checkoutservice-us-south-1-67cc48cdd7-bvxbq,server,248,11
default,checkoutservice-us-south-1-67cc48cdd7-bvxbq,istio-proxy,464,84
default,checkoutservice-us-south-1-67cc48cdd7-ccb5j,server,250,12
default,checkoutservice-us-south-1-67cc48cdd7-ccb5j,istio-proxy,456,85
default,checkoutservice-us-south-1-67cc48cdd7-rxx5p,server,158,11
default,checkoutservice-us-south-1-67cc48cdd7-rxx5p,istio-proxy,434,85
default,checkoutservice-us-west-1-db657fc74-2rrdh,server,254,12
default,checkoutservice-us-west-1-db657fc74-2rrdh,istio-proxy,475,83
default,checkoutservice-us-west-1-db657fc74-42cvb,server,244,26
default,checkoutservice-us-west-1-db657fc74-42cvb,istio-proxy,474,91
default,checkoutservice-us-west-1-db657fc74-f2tj2,server,271,11
default,checkoutservice-us-west-1-db657fc74-f2tj2,istio-proxy,476,83
default,currencyservice-us-central-1-7f6cd5cd5d-7px2z,server,114,29
default,currencyservice-us-central-1-7f6cd5cd5d-7px2z,istio-proxy,78,85
default,currencyservice-us-central-1-7f6cd5cd5d-d245k,server,117,26
default,currencyservice-us-central-1-7f6cd5cd5d-d245k,istio-proxy,77,84
default,currencyservice-us-central-1-7f6cd5cd5d-hkq9c,server,117,29
default,currencyservice-us-central-1-7f6cd5cd5d-hkq9c,istio-proxy,75,85
default,currencyservice-us-east-1-7db88bdcd4-6cxg2,server,193,28
default,currencyservice-us-east-1-7db88bdcd4-6cxg2,istio-proxy,112,83
default,currencyservice-us-east-1-7db88bdcd4-8m5cd,server,155,31
default,currencyservice-us-east-1-7db88bdcd4-8m5cd,istio-proxy,111,84
default,currencyservice-us-east-1-7db88bdcd4-bnq9w,server,133,31
default,currencyservice-us-east-1-7db88bdcd4-bnq9w,istio-proxy,108,84
default,currencyservice-us-south-1-5d8656ff46-nktnk,server,167,29
default,currencyservice-us-south-1-5d8656ff46-nktnk,istio-proxy,118,85
default,currencyservice-us-south-1-5d8656ff46-r6sbz,server,141,32
default,currencyservice-us-south-1-5d8656ff46-r6sbz,istio-proxy,113,84
default,currencyservice-us-south-1-5d8656ff46-sbmql,server,158,30
