Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-585d84ff97-52gtq,server,7,159
default,adservice-us-central-1-585d84ff97-52gtq,istio-proxy,3,84
default,adservice-us-central-1-585d84ff97-dw8cd,server,3,153
default,adservice-us-central-1-585d84ff97-dw8cd,istio-proxy,3,85
default,adservice-us-central-1-585d84ff97-m5qwk,server,2,162
default,adservice-us-central-1-585d84ff97-m5qwk,istio-proxy,3,83
default,adservice-us-east-1-75746bc64f-5vp82,server,7,157
default,adservice-us-east-1-75746bc64f-5vp82,istio-proxy,3,83
default,adservice-us-east-1-75746bc64f-krd9p,server,0,155
default,adservice-us-east-1-75746bc64f-krd9p,istio-proxy,3,82
default,adservice-us-east-1-75746bc64f-xkw5p,server,3,154
default,adservice-us-east-1-75746bc64f-xkw5p,istio-proxy,3,83
default,adservice-us-south-1-5984564474-tj8c8,server,3,153
default,adservice-us-south-1-5984564474-tj8c8,istio-proxy,4,81
default,adservice-us-south-1-5984564474-vw6nq,server,7,159
default,adservice-us-south-1-5984564474-vw6nq,istio-proxy,5,86
default,adservice-us-south-1-5984564474-znk7k,server,7,158
default,adservice-us-south-1-5984564474-znk7k,istio-proxy,3,84
default,adservice-us-west-1-67d5cd4b44-4qrrl,server,3,152
default,adservice-us-west-1-67d5cd4b44-4qrrl,istio-proxy,3,83
default,adservice-us-west-1-67d5cd4b44-ld968,server,0,154
default,adservice-us-west-1-67d5cd4b44-ld968,istio-proxy,3,83
default,adservice-us-west-1-67d5cd4b44-xjzlw,server,3,152
default,adservice-us-west-1-67d5cd4b44-xjzlw,istio-proxy,3,82
default,cartservice-us-central-1-78597595fc-p4xsx,server,93,53
default,cartservice-us-central-1-78597595fc-p4xsx,istio-proxy,55,85
default,cartservice-us-central-1-78597595fc-tcnvz,server,67,56
default,cartservice-us-central-1-78597595fc-tcnvz,istio-proxy,63,84
default,cartservice-us-central-1-78597595fc-ww2jj,server,93,56
default,cartservice-us-central-1-78597595fc-ww2jj,istio-proxy,74,85
default,cartservice-us-east-1-947b46755-26h2b,server,188,94
default,cartservice-us-east-1-947b46755-26h2b,istio-proxy,137,83
default,cartservice-us-east-1-947b46755-8wq2x,server,184,95
default,cartservice-us-east-1-947b46755-8wq2x,istio-proxy,78,85
default,cartservice-us-east-1-947b46755-gv7tv,server,196,98
default,cartservice-us-east-1-947b46755-gv7tv,istio-proxy,91,85
default,cartservice-us-south-1-d6b7f5b6b-gdlrx,server,345,145
default,cartservice-us-south-1-d6b7f5b6b-gdlrx,istio-proxy,146,87
default,cartservice-us-south-1-d6b7f5b6b-hpwgl,server,378,142
default,cartservice-us-south-1-d6b7f5b6b-hpwgl,istio-proxy,259,88
default,cartservice-us-south-1-d6b7f5b6b-l98nz,server,460,133
default,cartservice-us-south-1-d6b7f5b6b-l98nz,istio-proxy,160,88
default,cartservice-us-west-1-bfff57878-jr4sv,server,219,110
default,cartservice-us-west-1-bfff57878-jr4sv,istio-proxy,191,85
default,cartservice-us-west-1-bfff57878-mm975,server,168,109
default,cartservice-us-west-1-bfff57878-mm975,istio-proxy,169,86
default,cartservice-us-west-1-bfff57878-qp5hs,server,176,111
default,cartservice-us-west-1-bfff57878-qp5hs,istio-proxy,192,89
default,checkoutservice-us-central-1-8b8f88ff5-msnqh,server,128,12
default,checkoutservice-us-central-1-8b8f88ff5-msnqh,istio-proxy,326,84
default,checkoutservice-us-central-1-8b8f88ff5-tfqwz,server,107,12
default,checkoutservice-us-central-1-8b8f88ff5-tfqwz,istio-proxy,304,85
default,checkoutservice-us-central-1-8b8f88ff5-vvqzf,server,173,12
default,checkoutservice-us-central-1-8b8f88ff5-vvqzf,istio-proxy,300,86
default,checkoutservice-us-east-1-865db8cd9c-6p2pm,server,88,12
default,checkoutservice-us-east-1-865db8cd9c-6p2pm,istio-proxy,152,84
default,checkoutservice-us-east-1-865db8cd9c-fzbzt,server,120,12
default,checkoutservice-us-east-1-865db8cd9c-fzbzt,istio-proxy,162,89
default,checkoutservice-us-east-1-865db8cd9c-prfc7,server,120,11
default,checkoutservice-us-east-1-865db8cd9c-prfc7,istio-proxy,131,86
default,checkoutservice-us-south-1-67cc48cdd7-bvxbq,server,122,12
default,checkoutservice-us-south-1-67cc48cdd7-bvxbq,istio-proxy,150,84
default,checkoutservice-us-south-1-67cc48cdd7-ccb5j,server,132,12
default,checkoutservice-us-south-1-67cc48cdd7-ccb5j,istio-proxy,219,86
default,checkoutservice-us-south-1-67cc48cdd7-rxx5p,server,181,12
default,checkoutservice-us-south-1-67cc48cdd7-rxx5p,istio-proxy,257,85
default,checkoutservice-us-west-1-db657fc74-2rrdh,server,202,12
default,checkoutservice-us-west-1-db657fc74-2rrdh,istio-proxy,314,84
default,checkoutservice-us-west-1-db657fc74-42cvb,server,194,27
default,checkoutservice-us-west-1-db657fc74-42cvb,istio-proxy,385,92
default,checkoutservice-us-west-1-db657fc74-f2tj2,server,206,12
default,checkoutservice-us-west-1-db657fc74-f2tj2,istio-proxy,374,83
default,currencyservice-us-central-1-7f6cd5cd5d-7px2z,server,49,33
default,currencyservice-us-central-1-7f6cd5cd5d-7px2z,istio-proxy,64,85
default,currencyservice-us-central-1-7f6cd5cd5d-d245k,server,39,34
default,currencyservice-us-central-1-7f6cd5cd5d-d245k,istio-proxy,62,84
default,currencyservice-us-central-1-7f6cd5cd5d-hkq9c,server,45,33
default,currencyservice-us-central-1-7f6cd5cd5d-hkq9c,istio-proxy,59,85
default,currencyservice-us-east-1-7db88bdcd4-6cxg2,server,77,31
default,currencyservice-us-east-1-7db88bdcd4-6cxg2,istio-proxy,79,83
default,currencyservice-us-east-1-7db88bdcd4-8m5cd,server,67,31
default,currencyservice-us-east-1-7db88bdcd4-8m5cd,istio-proxy,92,84
default,currencyservice-us-east-1-7db88bdcd4-bnq9w,server,55,31
default,currencyservice-us-east-1-7db88bdcd4-bnq9w,istio-proxy,51,84
default,currencyservice-us-south-1-5d8656ff46-nktnk,server,72,30
default,currencyservice-us-south-1-5d8656ff46-nktnk,istio-proxy,60,85
default,currencyservice-us-south-1-5d8656ff46-r6sbz,server,61,31
default,currencyservice-us-south-1-5d8656ff46-r6sbz,istio-proxy,71,85
