counter,region,service,endpoint,rps
1,us-south-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,32
1,us-south-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,30
1,us-south-1,sslateingress,sslateingress@POST@/cart/checkout,19
1,us-south-1,sslateingress,sslateingress@POST@/cart,20
1,us-south-1,sslateingress,sslateingress@POST@/cart/empty,12
1,us-south-1,sslateingress,sslateingress@POST@/setCurrency,4
1,us-south-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,110
1,us-south-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,84
1,us-south-1,frontend,frontend@POST@/cart/checkout,21
1,us-south-1,frontend,frontend@POST@/cart,5
1,us-south-1,frontend,frontend@POST@/cart/empty,2
1,us-south-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,32
1,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,53
1,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,15
1,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,12
1,us-south-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,7
1,us-east-1,sslateingress,sslateingress@POST@/cart/checkout,104
1,us-east-1,sslateingress,sslateingress@POST@/cart/empty,98
1,us-east-1,sslateingress,sslateingress@POST@/cart,106
1,us-east-1,sslateingress,sslateingress@POST@/setCurrency,77
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,99
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,95
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,99
1,us-east-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,96
1,us-east-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,71
1,us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,80
1,us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,78
1,us-east-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,84
1,us-east-1,frontend,frontend@POST@/cart/checkout,74
1,us-east-1,frontend,frontend@POST@/cart,60
1,us-east-1,frontend,frontend@POST@/cart/empty,50
1,us-east-1,frontend,frontend@POST@/setCurrency,56
1,us-west-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,283
1,us-west-1,frontend,frontend@POST@/cart,320
1,us-west-1,frontend,frontend@POST@/cart/checkout,312
1,us-west-1,frontend,frontend@POST@/cart/empty,287
1,us-west-1,frontend,frontend@POST@/setCurrency,279
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,279
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,282
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,265
1,us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,262
1,us-west-1,sslateingress,sslateingress@POST@/cart/checkout,258
1,us-west-1,sslateingress,sslateingress@POST@/cart/empty,199
1,us-west-1,sslateingress,sslateingress@POST@/cart,224
1,us-west-1,sslateingress,sslateingress@POST@/setCurrency,180
1,us-west-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,471
1,us-west-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,246
1,us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,273
1,us-west-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,266
1,us-central-1,sslateingress,sslateingress@POST@/cart/checkout,41
1,us-central-1,sslateingress,sslateingress@POST@/cart/empty,17
1,us-central-1,sslateingress,sslateingress@POST@/setCurrency,8
1,us-central-1,sslateingress,sslateingress@POST@/cart,24
1,us-central-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,42
1,us-central-1,frontend,frontend@POST@/cart/checkout,32
1,us-central-1,frontend,frontend@POST@/cart,13
1,us-central-1,frontend,frontend@POST@/cart/empty,12
1,us-central-1,frontend,frontend@POST@/setCurrency,12
1,us-central-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,65
1,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,19
1,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,26
2,us-south-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,210
2,us-south-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,200
2,us-south-1,sslateingress,sslateingress@POST@/cart/checkout,83
2,us-south-1,sslateingress,sslateingress@POST@/cart,61
2,us-south-1,sslateingress,sslateingress@POST@/cart/empty,56
2,us-south-1,sslateingress,sslateingress@POST@/setCurrency,43
2,us-south-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,242
2,us-south-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,206
2,us-south-1,frontend,frontend@POST@/cart/checkout,88
2,us-south-1,frontend,frontend@POST@/cart,94
2,us-south-1,frontend,frontend@POST@/cart/empty,86
2,us-south-1,frontend,frontend@POST@/setCurrency,82
2,us-south-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,69
2,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,172
2,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,52
2,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,39
2,us-south-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,192
2,us-east-1,sslateingress,sslateingress@POST@/cart/checkout,114
2,us-east-1,sslateingress,sslateingress@POST@/cart/empty,111
2,us-east-1,sslateingress,sslateingress@POST@/cart,109
2,us-east-1,sslateingress,sslateingress@POST@/setCurrency,110
2,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,113
2,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,104
2,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,117
2,us-east-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,105
2,us-east-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,108
2,us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,106
2,us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,106
2,us-east-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,104
2,us-east-1,frontend,frontend@POST@/cart/checkout,111
2,us-east-1,frontend,frontend@POST@/cart,112
2,us-east-1,frontend,frontend@POST@/cart/empty,114
2,us-east-1,frontend,frontend@POST@/setCurrency,105
2,us-west-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,325
2,us-west-1,frontend,frontend@POST@/cart,342
2,us-west-1,frontend,frontend@POST@/cart/checkout,316
2,us-west-1,frontend,frontend@POST@/cart/empty,316
2,us-west-1,frontend,frontend@POST@/setCurrency,314
2,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,319
2,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,331
2,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,338
2,us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,331
2,us-west-1,sslateingress,sslateingress@POST@/cart/checkout,329
2,us-west-1,sslateingress,sslateingress@POST@/cart/empty,324
2,us-west-1,sslateingress,sslateingress@POST@/cart,336
2,us-west-1,sslateingress,sslateingress@POST@/setCurrency,324
2,us-west-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,487
2,us-west-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,323
2,us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,328
2,us-west-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,320
2,us-central-1,sslateingress,sslateingress@POST@/cart/checkout,110
2,us-central-1,sslateingress,sslateingress@POST@/cart/empty,90
2,us-central-1,sslateingress,sslateingress@POST@/setCurrency,88
2,us-central-1,sslateingress,sslateingress@POST@/cart,103
2,us-central-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,100
2,us-central-1,frontend,frontend@POST@/cart/checkout,112
2,us-central-1,frontend,frontend@POST@/cart,107
2,us-central-1,frontend,frontend@POST@/cart/empty,102
2,us-central-1,frontend,frontend@POST@/setCurrency,93
2,us-central-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,104
2,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,88
2,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,71
3,us-south-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,205
3,us-south-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,206
3,us-south-1,sslateingress,sslateingress@POST@/cart/checkout,106
3,us-south-1,sslateingress,sslateingress@POST@/cart,110
3,us-south-1,sslateingress,sslateingress@POST@/cart/empty,103
3,us-south-1,sslateingress,sslateingress@POST@/setCurrency,106
3,us-south-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,327
3,us-south-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,211
3,us-south-1,frontend,frontend@POST@/cart/checkout,104
3,us-south-1,frontend,frontend@POST@/cart,110
3,us-south-1,frontend,frontend@POST@/cart/empty,119
3,us-south-1,frontend,frontend@POST@/setCurrency,120
3,us-south-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,110
3,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,208
3,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,113
3,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,110
3,us-south-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,209
3,us-east-1,sslateingress,sslateingress@POST@/cart/checkout,97
3,us-east-1,sslateingress,sslateingress@POST@/cart/empty,99
3,us-east-1,sslateingress,sslateingress@POST@/cart,106
3,us-east-1,sslateingress,sslateingress@POST@/setCurrency,104
3,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,102
3,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,109
3,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,114
3,us-east-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,110
3,us-east-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,100
3,us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,109
3,us-east-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,51
3,us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,103
3,us-east-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,108
3,us-east-1,frontend,frontend@POST@/cart/checkout,107
3,us-east-1,frontend,frontend@POST@/cart,108
3,us-east-1,frontend,frontend@POST@/cart/empty,105
3,us-east-1,frontend,frontend@POST@/setCurrency,111
3,us-west-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,314
3,us-west-1,frontend,frontend@POST@/cart,318
3,us-west-1,frontend,frontend@POST@/cart/checkout,320
3,us-west-1,frontend,frontend@POST@/cart/empty,305
3,us-west-1,frontend,frontend@POST@/setCurrency,301
3,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,312
3,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,312
3,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,301
3,us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,311
3,us-west-1,sslateingress,sslateingress@POST@/cart/checkout,314
3,us-west-1,sslateingress,sslateingress@POST@/cart/empty,310
3,us-west-1,sslateingress,sslateingress@POST@/cart,321
3,us-west-1,sslateingress,sslateingress@POST@/setCurrency,318
3,us-west-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,487
3,us-west-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,316
3,us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,318
3,us-west-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,308
3,us-central-1,sslateingress,sslateingress@POST@/cart/checkout,104
3,us-central-1,sslateingress,sslateingress@POST@/cart/empty,109
3,us-central-1,sslateingress,sslateingress@POST@/setCurrency,104
3,us-central-1,sslateingress,sslateingress@POST@/cart,107
3,us-central-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,114
3,us-central-1,frontend,frontend@POST@/cart/checkout,105
3,us-central-1,frontend,frontend@POST@/cart,111
3,us-central-1,frontend,frontend@POST@/cart/empty,108
3,us-central-1,frontend,frontend@POST@/setCurrency,111
3,us-central-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,109
3,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,100
3,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,111
4,us-south-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,240
4,us-south-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,240
4,us-south-1,sslateingress,sslateingress@POST@/cart/checkout,112
4,us-south-1,sslateingress,sslateingress@POST@/cart,115
4,us-south-1,sslateingress,sslateingress@POST@/cart/empty,96
4,us-south-1,sslateingress,sslateingress@POST@/setCurrency,105
4,us-south-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,320
4,us-south-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,238
4,us-south-1,frontend,frontend@POST@/cart/checkout,125
4,us-south-1,frontend,frontend@POST@/cart,118
4,us-south-1,frontend,frontend@POST@/cart/empty,108
4,us-south-1,frontend,frontend@POST@/setCurrency,97
4,us-south-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,117
4,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,222
4,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,122
4,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,108
4,us-south-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,234
4,us-east-1,sslateingress,sslateingress@POST@/cart/checkout,112
4,us-east-1,sslateingress,sslateingress@POST@/cart/empty,108
4,us-east-1,sslateingress,sslateingress@POST@/cart,99
4,us-east-1,sslateingress,sslateingress@POST@/setCurrency,110
4,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,102
4,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,102
4,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,91
4,us-east-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,105
4,us-east-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,107
4,us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,97
4,us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,110
4,us-east-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,105
4,us-east-1,frontend,frontend@POST@/cart/checkout,99
4,us-east-1,frontend,frontend@POST@/cart,88
4,us-east-1,frontend,frontend@POST@/cart/empty,104
4,us-east-1,frontend,frontend@POST@/setCurrency,111
4,us-west-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,240
4,us-west-1,frontend,frontend@POST@/cart,291
4,us-west-1,frontend,frontend@POST@/cart/checkout,247
4,us-west-1,frontend,frontend@POST@/cart/empty,297
4,us-west-1,frontend,frontend@POST@/setCurrency,303
4,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,264
4,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,286
4,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,307
4,us-west-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,258
4,us-west-1,sslateingress,sslateingress@POST@/cart/checkout,279
4,us-west-1,sslateingress,sslateingress@POST@/cart/empty,299
4,us-west-1,sslateingress,sslateingress@POST@/cart,281
4,us-west-1,sslateingress,sslateingress@POST@/setCurrency,288
4,us-west-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,413
4,us-west-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,277
4,us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,256
4,us-west-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,285
4,us-central-1,sslateingress,sslateingress@POST@/cart/checkout,105
4,us-central-1,sslateingress,sslateingress@POST@/cart/empty,105
4,us-central-1,sslateingress,sslateingress@POST@/setCurrency,105
4,us-central-1,sslateingress,sslateingress@POST@/cart,103
4,us-central-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,111
4,us-central-1,frontend,frontend@POST@/cart/checkout,105
4,us-central-1,frontend,frontend@POST@/cart,114
4,us-central-1,frontend,frontend@POST@/cart/empty,106
4,us-central-1,frontend,frontend@POST@/setCurrency,116
4,us-central-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,108
4,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,111
4,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,109
5,us-south-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,293
5,us-south-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,293
5,us-south-1,sslateingress,sslateingress@POST@/cart/checkout,101
5,us-south-1,sslateingress,sslateingress@POST@/cart,97
5,us-south-1,sslateingress,sslateingress@POST@/cart/empty,108
5,us-south-1,sslateingress,sslateingress@POST@/setCurrency,103
5,us-south-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,393
5,us-south-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,268
5,us-south-1,frontend,frontend@POST@/cart/checkout,186
5,us-south-1,frontend,frontend@POST@/cart,147
5,us-south-1,frontend,frontend@POST@/cart/empty,106
5,us-south-1,frontend,frontend@POST@/setCurrency,105
5,us-south-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,171
5,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,281
5,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,143
5,us-south-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,107
5,us-south-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,292
5,us-east-1,sslateingress,sslateingress@POST@/cart/checkout,123
5,us-east-1,sslateingress,sslateingress@POST@/cart/empty,109
5,us-east-1,sslateingress,sslateingress@POST@/cart,118
5,us-east-1,sslateingress,sslateingress@POST@/setCurrency,110
5,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,122
5,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,110
5,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,68
5,us-east-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,124
5,us-east-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,118
5,us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,136
5,us-east-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,56
5,us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,118
5,us-east-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,125
5,us-east-1,frontend,frontend@POST@/cart/checkout,118
5,us-east-1,frontend,frontend@POST@/cart,66
