index_col,counter,src_svc,dst_svc,src_endpoint,dst_endpoint,src_cid,dst_cid,flow,total,weight
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-west-1', 'cartservice@POST@/hipstershop.CartService/GetCart')",2,checkoutservice,cartservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,cartservice@POST@/hipstershop.CartService/GetCart,us-west-1,us-west-1,198,198,1.0
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-south-1', 'cartservice@POST@/hipstershop.CartService/GetCart')",2,checkoutservice,cartservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,cartservice@POST@/hipstershop.CartService/GetCart,us-south-1,us-south-1,121,121,1.0
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-east-1', 'cartservice@POST@/hipstershop.CartService/GetCart')",2,checkoutservice,cartservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,cartservice@POST@/hipstershop.CartService/GetCart,us-east-1,us-east-1,105,105,1.0
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-west-1', 'emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation')",2,checkoutservice,emailservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,us-west-1,us-west-1,198,198,1.0
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-south-1', 'emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation')",2,checkoutservice,emailservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,us-south-1,us-south-1,121,121,1.0
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-east-1', 'emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation')",2,checkoutservice,emailservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,us-east-1,us-east-1,105,105,1.0
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-west-1', 'paymentservice@POST@/hipstershop.PaymentService/Charge')",2,checkoutservice,paymentservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,paymentservice@POST@/hipstershop.PaymentService/Charge,us-west-1,us-west-1,198,198,1.0
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-south-1', 'paymentservice@POST@/hipstershop.PaymentService/Charge')",2,checkoutservice,paymentservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,paymentservice@POST@/hipstershop.PaymentService/Charge,us-south-1,us-south-1,121,121,1.0
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-east-1', 'paymentservice@POST@/hipstershop.PaymentService/Charge')",2,checkoutservice,paymentservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,paymentservice@POST@/hipstershop.PaymentService/Charge,us-east-1,us-east-1,105,105,1.0
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-west-1', 'shippingservice@POST@/hipstershop.ShippingService/ShipOrder')",2,checkoutservice,shippingservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,us-west-1,us-west-1,198,198,1.0
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-south-1', 'shippingservice@POST@/hipstershop.ShippingService/ShipOrder')",2,checkoutservice,shippingservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,us-south-1,us-south-1,121,121,1.0
"('checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder', 'us-east-1', 'shippingservice@POST@/hipstershop.ShippingService/ShipOrder')",2,checkoutservice,shippingservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,us-east-1,us-east-1,105,105,1.0
"('sslateingress@POST@/cart/checkout', 'us-west-1', 'frontend@POST@/cart/checkout')",2,sslateingress,frontend,sslateingress@POST@/cart/checkout,frontend@POST@/cart/checkout,us-west-1,us-west-1,198,259,0.7644787644787645
"('sslateingress@POST@/cart/checkout', 'us-west-1', 'frontend@POST@/cart/checkout')",2,sslateingress,frontend,sslateingress@POST@/cart/checkout,frontend@POST@/cart/checkout,us-west-1,us-south-1,61,259,0.23552123552123552
"('sslateingress@POST@/cart/checkout', 'us-south-1', 'frontend@POST@/cart/checkout')",2,sslateingress,frontend,sslateingress@POST@/cart/checkout,frontend@POST@/cart/checkout,us-south-1,us-south-1,19,19,1.0
"('sslateingress@POST@/cart/checkout', 'us-central-1', 'frontend@POST@/cart/checkout')",2,sslateingress,frontend,sslateingress@POST@/cart/checkout,frontend@POST@/cart/checkout,us-central-1,us-central-1,41,41,1.0
"('sslateingress@POST@/cart/checkout', 'us-east-1', 'frontend@POST@/cart/checkout')",2,sslateingress,frontend,sslateingress@POST@/cart/checkout,frontend@POST@/cart/checkout,us-east-1,us-east-1,104,104,1.0
"('frontend@POST@/cart/checkout', 'us-west-1', 'checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder')",2,frontend,checkoutservice,frontend@POST@/cart/checkout,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,us-west-1,us-west-1,198,198,1.0
