Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-69dc68d79d-44dj9,server,1,191
default,adservice-us-central-1-69dc68d79d-44dj9,istio-proxy,3,79
default,adservice-us-central-1-69dc68d79d-lhm5l,server,2,193
default,adservice-us-central-1-69dc68d79d-lhm5l,istio-proxy,3,81
default,adservice-us-central-1-69dc68d79d-r9mqd,server,1,190
default,adservice-us-central-1-69dc68d79d-r9mqd,istio-proxy,3,83
default,adservice-us-east-1-6fdc999588-rww6v,server,2,192
default,adservice-us-east-1-6fdc999588-rww6v,istio-proxy,3,81
default,adservice-us-east-1-6fdc999588-sspdk,server,1,189
default,adservice-us-east-1-6fdc999588-sspdk,istio-proxy,4,82
default,adservice-us-east-1-6fdc999588-vftxq,server,2,192
default,adservice-us-east-1-6fdc999588-vftxq,istio-proxy,3,81
default,adservice-us-south-1-7458697fbb-27zcp,server,2,191
default,adservice-us-south-1-7458697fbb-27zcp,istio-proxy,3,80
default,adservice-us-south-1-7458697fbb-k97dk,server,1,189
default,adservice-us-south-1-7458697fbb-k97dk,istio-proxy,4,81
default,adservice-us-south-1-7458697fbb-t2tcx,server,3,190
default,adservice-us-south-1-7458697fbb-t2tcx,istio-proxy,3,79
default,adservice-us-west-1-5b99565bdd-lx587,server,2,193
default,adservice-us-west-1-5b99565bdd-lx587,istio-proxy,3,81
default,adservice-us-west-1-5b99565bdd-sb5dw,server,1,191
default,adservice-us-west-1-5b99565bdd-sb5dw,istio-proxy,4,81
default,adservice-us-west-1-5b99565bdd-wlhnv,server,2,192
default,adservice-us-west-1-5b99565bdd-wlhnv,istio-proxy,3,81
default,cartservice-us-central-1-5998c74754-lnnc6,server,107,59
default,cartservice-us-central-1-5998c74754-lnnc6,istio-proxy,73,82
default,cartservice-us-central-1-5998c74754-w2fmd,server,111,59
default,cartservice-us-central-1-5998c74754-w2fmd,istio-proxy,76,85
default,cartservice-us-central-1-5998c74754-xn8qk,server,111,60
default,cartservice-us-central-1-5998c74754-xn8qk,istio-proxy,75,82
default,cartservice-us-east-1-77875fc866-jsv45,server,121,61
default,cartservice-us-east-1-77875fc866-jsv45,istio-proxy,127,83
default,cartservice-us-east-1-77875fc866-v6kvc,server,161,63
default,cartservice-us-east-1-77875fc866-v6kvc,istio-proxy,129,82
default,cartservice-us-east-1-77875fc866-wzrhh,server,94,60
default,cartservice-us-east-1-77875fc866-wzrhh,istio-proxy,125,84
default,cartservice-us-south-1-59f948bcf4-5pqwl,server,211,72
default,cartservice-us-south-1-59f948bcf4-5pqwl,istio-proxy,173,82
default,cartservice-us-south-1-59f948bcf4-k6r84,server,233,72
default,cartservice-us-south-1-59f948bcf4-k6r84,istio-proxy,166,83
default,cartservice-us-south-1-59f948bcf4-ltctt,server,222,77
default,cartservice-us-south-1-59f948bcf4-ltctt,istio-proxy,164,84
default,cartservice-us-west-1-647bf747f4-9t5fx,server,462,120
default,cartservice-us-west-1-647bf747f4-9t5fx,istio-proxy,340,85
default,cartservice-us-west-1-647bf747f4-lwdrl,server,453,125
default,cartservice-us-west-1-647bf747f4-lwdrl,istio-proxy,353,87
default,cartservice-us-west-1-647bf747f4-t8jq5,server,483,111
default,cartservice-us-west-1-647bf747f4-t8jq5,istio-proxy,337,84
default,checkoutservice-us-central-1-54fbb58c4c-s8mvn,server,0,9
default,checkoutservice-us-central-1-54fbb58c4c-s8mvn,istio-proxy,3,81
default,checkoutservice-us-central-1-54fbb58c4c-slktg,server,0,9
default,checkoutservice-us-central-1-54fbb58c4c-slktg,istio-proxy,3,84
default,checkoutservice-us-central-1-54fbb58c4c-w6xrp,server,0,9
default,checkoutservice-us-central-1-54fbb58c4c-w6xrp,istio-proxy,3,81
default,checkoutservice-us-east-1-689ffff8b6-kvhkk,server,149,12
default,checkoutservice-us-east-1-689ffff8b6-kvhkk,istio-proxy,221,84
default,checkoutservice-us-east-1-689ffff8b6-psh4j,server,143,11
default,checkoutservice-us-east-1-689ffff8b6-psh4j,istio-proxy,232,82
default,checkoutservice-us-east-1-689ffff8b6-vz4cf,server,143,11
default,checkoutservice-us-east-1-689ffff8b6-vz4cf,istio-proxy,271,85
default,checkoutservice-us-south-1-7655df7bf8-2nf6p,server,244,13
default,checkoutservice-us-south-1-7655df7bf8-2nf6p,istio-proxy,465,82
default,checkoutservice-us-south-1-7655df7bf8-mbpnm,server,251,13
default,checkoutservice-us-south-1-7655df7bf8-mbpnm,istio-proxy,431,83
default,checkoutservice-us-south-1-7655df7bf8-wrtsw,server,258,12
default,checkoutservice-us-south-1-7655df7bf8-wrtsw,istio-proxy,463,83
default,checkoutservice-us-west-1-657fd984db-5sj6f,server,307,11
default,checkoutservice-us-west-1-657fd984db-5sj6f,istio-proxy,410,86
default,checkoutservice-us-west-1-657fd984db-b2szx,server,298,12
default,checkoutservice-us-west-1-657fd984db-b2szx,istio-proxy,573,84
default,checkoutservice-us-west-1-657fd984db-nhq84,server,249,12
default,checkoutservice-us-west-1-657fd984db-nhq84,istio-proxy,608,84
default,currencyservice-us-central-1-78c57c785d-6pxgc,server,0,18
default,currencyservice-us-central-1-78c57c785d-6pxgc,istio-proxy,3,81
default,currencyservice-us-central-1-78c57c785d-fdddt,server,0,18
default,currencyservice-us-central-1-78c57c785d-fdddt,istio-proxy,3,83
default,currencyservice-us-central-1-78c57c785d-snq7z,server,0,18
default,currencyservice-us-central-1-78c57c785d-snq7z,istio-proxy,3,84
default,currencyservice-us-east-1-657d7995b8-9n2sv,server,83,31
default,currencyservice-us-east-1-657d7995b8-9n2sv,istio-proxy,61,81
default,currencyservice-us-east-1-657d7995b8-b4w9c,server,83,29
default,currencyservice-us-east-1-657d7995b8-b4w9c,istio-proxy,69,81
default,currencyservice-us-east-1-657d7995b8-kv59c,server,90,30
default,currencyservice-us-east-1-657d7995b8-kv59c,istio-proxy,68,84
default,currencyservice-us-south-1-5d46dfc6f8-qbcwz,server,135,32
default,currencyservice-us-south-1-5d46dfc6f8-qbcwz,istio-proxy,120,81
default,currencyservice-us-south-1-5d46dfc6f8-s5nbv,server,116,31
default,currencyservice-us-south-1-5d46dfc6f8-s5nbv,istio-proxy,112,83
default,currencyservice-us-south-1-5d46dfc6f8-zcd7v,server,118,34
default,currencyservice-us-south-1-5d46dfc6f8-zcd7v,istio-proxy,117,81
default,currencyservice-us-west-1-75cff57467-8f2m9,server,152,32
default,currencyservice-us-west-1-75cff57467-8f2m9,istio-proxy,149,84
default,currencyservice-us-west-1-75cff57467-skvkc,server,125,32
default,currencyservice-us-west-1-75cff57467-skvkc,istio-proxy,148,83
default,currencyservice-us-west-1-75cff57467-vfqdl,server,151,32
default,currencyservice-us-west-1-75cff57467-vfqdl,istio-proxy,158,82
default,emailservice-us-central-1-5cbb6fbd4f-6xhl6,server,1,40
default,emailservice-us-central-1-5cbb6fbd4f-6xhl6,istio-proxy,4,83
default,emailservice-us-central-1-5cbb6fbd4f-7jgjr,server,1,40
default,emailservice-us-central-1-5cbb6fbd4f-7jgjr,istio-proxy,4,87
default,emailservice-us-central-1-5cbb6fbd4f-qnx2k,server,1,40
default,emailservice-us-central-1-5cbb6fbd4f-qnx2k,istio-proxy,7,84
default,emailservice-us-east-1-7fdf458bcf-2sk7c,server,49,41
default,emailservice-us-east-1-7fdf458bcf-2sk7c,istio-proxy,47,86
default,emailservice-us-east-1-7fdf458bcf-bp5fn,server,50,41
default,emailservice-us-east-1-7fdf458bcf-bp5fn,istio-proxy,46,85
default,emailservice-us-east-1-7fdf458bcf-bxpm8,server,54,41
default,emailservice-us-east-1-7fdf458bcf-bxpm8,istio-proxy,49,84
default,emailservice-us-south-1-5b5fcdb445-9qjfx,server,91,41
default,emailservice-us-south-1-5b5fcdb445-9qjfx,istio-proxy,78,85
default,emailservice-us-south-1-5b5fcdb445-gx4tv,server,85,41
default,emailservice-us-south-1-5b5fcdb445-gx4tv,istio-proxy,64,84
default,emailservice-us-south-1-5b5fcdb445-znnw9,server,90,41
default,emailservice-us-south-1-5b5fcdb445-znnw9,istio-proxy,81,84
default,emailservice-us-west-1-597c8d45b-9sstz,server,112,41
default,emailservice-us-west-1-597c8d45b-9sstz,istio-proxy,104,85
default,emailservice-us-west-1-597c8d45b-nmxj9,server,103,41
default,emailservice-us-west-1-597c8d45b-nmxj9,istio-proxy,101,84
default,emailservice-us-west-1-597c8d45b-ppg8c,server,104,41
default,emailservice-us-west-1-597c8d45b-ppg8c,istio-proxy,101,85
default,frontend-us-central-1-6cf5cb86b9-r2l55,server,142,17
default,frontend-us-central-1-6cf5cb86b9-r2l55,istio-proxy,232,82
default,frontend-us-central-1-6cf5cb86b9-r7n77,server,141,17
default,frontend-us-central-1-6cf5cb86b9-r7n77,istio-proxy,230,86
default,frontend-us-central-1-6cf5cb86b9-rlcpm,server,143,17
default,frontend-us-central-1-6cf5cb86b9-rlcpm,istio-proxy,227,83
default,frontend-us-east-1-55d59dbff7-gh6xn,server,155,17
default,frontend-us-east-1-55d59dbff7-gh6xn,istio-proxy,255,83
default,frontend-us-east-1-55d59dbff7-lgstg,server,153,17
default,frontend-us-east-1-55d59dbff7-lgstg,istio-proxy,263,82
default,frontend-us-east-1-55d59dbff7-qkrh6,server,152,17
default,frontend-us-east-1-55d59dbff7-qkrh6,istio-proxy,268,85
default,frontend-us-south-1-5f8ff76cb5-4gnht,server,173,17
default,frontend-us-south-1-5f8ff76cb5-4gnht,istio-proxy,300,83
default,frontend-us-south-1-5f8ff76cb5-nxl8d,server,192,17
default,frontend-us-south-1-5f8ff76cb5-nxl8d,istio-proxy,320,85
default,frontend-us-south-1-5f8ff76cb5-tkfmk,server,178,17
default,frontend-us-south-1-5f8ff76cb5-tkfmk,istio-proxy,240,82
default,frontend-us-west-1-7fb855c5b5-pgp55,server,413,25
default,frontend-us-west-1-7fb855c5b5-pgp55,istio-proxy,751,94
default,frontend-us-west-1-7fb855c5b5-r7xlr,server,363,22
default,frontend-us-west-1-7fb855c5b5-r7xlr,istio-proxy,721,90
default,frontend-us-west-1-7fb855c5b5-sw7nw,server,448,19
default,frontend-us-west-1-7fb855c5b5-sw7nw,istio-proxy,765,94
default,paymentservice-us-central-1-547bb8d54c-2j7sn,server,0,14
default,paymentservice-us-central-1-547bb8d54c-2j7sn,istio-proxy,3,81
default,paymentservice-us-central-1-547bb8d54c-bj2ns,server,0,13
default,paymentservice-us-central-1-547bb8d54c-bj2ns,istio-proxy,4,82
default,paymentservice-us-central-1-547bb8d54c-s8szn,server,0,13
default,paymentservice-us-central-1-547bb8d54c-s8szn,istio-proxy,3,83
default,paymentservice-us-east-1-c5b5d6477-7cdsx,server,69,24
default,paymentservice-us-east-1-c5b5d6477-7cdsx,istio-proxy,34,83
default,paymentservice-us-east-1-c5b5d6477-b9rjp,server,83,25
default,paymentservice-us-east-1-c5b5d6477-b9rjp,istio-proxy,49,84
default,paymentservice-us-east-1-c5b5d6477-vp5bm,server,83,25
default,paymentservice-us-east-1-c5b5d6477-vp5bm,istio-proxy,47,82
default,paymentservice-us-south-1-b4f7bb45f-d8wzm,server,96,29
default,paymentservice-us-south-1-b4f7bb45f-d8wzm,istio-proxy,45,83
default,paymentservice-us-south-1-b4f7bb45f-kfll9,server,97,33
default,paymentservice-us-south-1-b4f7bb45f-kfll9,istio-proxy,88,83
default,paymentservice-us-south-1-b4f7bb45f-pkp66,server,87,30
default,paymentservice-us-south-1-b4f7bb45f-pkp66,istio-proxy,89,82
default,paymentservice-us-west-1-689c876b8b-nzftw,server,111,27
default,paymentservice-us-west-1-689c876b8b-nzftw,istio-proxy,80,82
default,paymentservice-us-west-1-689c876b8b-wqr2k,server,96,29
default,paymentservice-us-west-1-689c876b8b-wqr2k,istio-proxy,104,82
default,paymentservice-us-west-1-689c876b8b-xv6rc,server,84,26
default,paymentservice-us-west-1-689c876b8b-xv6rc,istio-proxy,110,83
default,productcatalogservice-us-central-1-684d8b7fdb-gcplk,server,34,10
default,productcatalogservice-us-central-1-684d8b7fdb-gcplk,istio-proxy,65,84
default,productcatalogservice-us-central-1-684d8b7fdb-jt6b7,server,32,10
default,productcatalogservice-us-central-1-684d8b7fdb-jt6b7,istio-proxy,63,83
default,productcatalogservice-us-central-1-684d8b7fdb-vfmbt,server,33,10
default,productcatalogservice-us-central-1-684d8b7fdb-vfmbt,istio-proxy,59,82
default,productcatalogservice-us-east-1-7bcb7b46b-jcktj,server,31,10
default,productcatalogservice-us-east-1-7bcb7b46b-jcktj,istio-proxy,62,83
default,productcatalogservice-us-east-1-7bcb7b46b-jr28z,server,31,9
default,productcatalogservice-us-east-1-7bcb7b46b-jr28z,istio-proxy,66,83
default,productcatalogservice-us-east-1-7bcb7b46b-lfjw7,server,18,10
default,productcatalogservice-us-east-1-7bcb7b46b-lfjw7,istio-proxy,64,82
default,productcatalogservice-us-south-1-7f4c495f7f-dlbsg,server,78,10
default,productcatalogservice-us-south-1-7f4c495f7f-dlbsg,istio-proxy,159,83
default,productcatalogservice-us-south-1-7f4c495f7f-s9rgb,server,80,10
default,productcatalogservice-us-south-1-7f4c495f7f-s9rgb,istio-proxy,162,84
default,productcatalogservice-us-south-1-7f4c495f7f-v6s8c,server,81,9
default,productcatalogservice-us-south-1-7f4c495f7f-v6s8c,istio-proxy,164,83
default,productcatalogservice-us-west-1-567f89cd8f-7tr7f,server,122,11
default,productcatalogservice-us-west-1-567f89cd8f-7tr7f,istio-proxy,220,84
default,productcatalogservice-us-west-1-567f89cd8f-czsnf,server,129,10
default,productcatalogservice-us-west-1-567f89cd8f-czsnf,istio-proxy,223,88
default,productcatalogservice-us-west-1-567f89cd8f-gb7v5,server,126,10
default,productcatalogservice-us-west-1-567f89cd8f-gb7v5,istio-proxy,226,84
default,recommendationservice-us-central-1-5c8c6bb4df-62pzx,server,68,40
default,recommendationservice-us-central-1-5c8c6bb4df-62pzx,istio-proxy,59,84
default,recommendationservice-us-central-1-5c8c6bb4df-fwccz,server,65,40
default,recommendationservice-us-central-1-5c8c6bb4df-fwccz,istio-proxy,59,84
default,recommendationservice-us-central-1-5c8c6bb4df-pst4g,server,65,40
default,recommendationservice-us-central-1-5c8c6bb4df-pst4g,istio-proxy,57,85
default,recommendationservice-us-east-1-69969d977c-q57xv,server,79,40
default,recommendationservice-us-east-1-69969d977c-q57xv,istio-proxy,70,84
default,recommendationservice-us-east-1-69969d977c-shr6r,server,77,40
default,recommendationservice-us-east-1-69969d977c-shr6r,istio-proxy,67,84
default,recommendationservice-us-east-1-69969d977c-vblpr,server,79,41
default,recommendationservice-us-east-1-69969d977c-vblpr,istio-proxy,66,86
default,recommendationservice-us-south-1-7d98cdb68f-54m99,server,104,40
default,recommendationservice-us-south-1-7d98cdb68f-54m99,istio-proxy,91,84
default,recommendationservice-us-south-1-7d98cdb68f-fq6gg,server,99,40
default,recommendationservice-us-south-1-7d98cdb68f-fq6gg,istio-proxy,90,84
default,recommendationservice-us-south-1-7d98cdb68f-thjcc,server,106,40
default,recommendationservice-us-south-1-7d98cdb68f-thjcc,istio-proxy,91,85
default,recommendationservice-us-west-1-75bf8f859d-9khln,server,162,43
default,recommendationservice-us-west-1-75bf8f859d-9khln,istio-proxy,161,84
default,recommendationservice-us-west-1-75bf8f859d-cq4hd,server,203,41
default,recommendationservice-us-west-1-75bf8f859d-cq4hd,istio-proxy,136,84
default,recommendationservice-us-west-1-75bf8f859d-xmx2r,server,154,43
default,recommendationservice-us-west-1-75bf8f859d-xmx2r,istio-proxy,178,86
default,redis-cart-us-central-1-676c849448-ftw7h,redis,10,3
default,redis-cart-us-central-1-676c849448-ftw7h,istio-proxy,18,79
default,redis-cart-us-central-1-676c849448-jpj6b,redis,17,3
default,redis-cart-us-central-1-676c849448-jpj6b,istio-proxy,34,79
default,redis-cart-us-central-1-676c849448-ngbk6,redis,1,3
default,redis-cart-us-central-1-676c849448-ngbk6,istio-proxy,3,81
default,redis-cart-us-east-1-554df8b474-6gpjp,redis,13,3
default,redis-cart-us-east-1-554df8b474-6gpjp,istio-proxy,26,80
default,redis-cart-us-east-1-554df8b474-9l6rc,redis,13,3
default,redis-cart-us-east-1-554df8b474-9l6rc,istio-proxy,25,79
default,redis-cart-us-east-1-554df8b474-r9mcd,redis,13,3
default,redis-cart-us-east-1-554df8b474-r9mcd,istio-proxy,23,78
default,redis-cart-us-south-1-74556b5c5b-kkn2x,redis,1,3
default,redis-cart-us-south-1-74556b5c5b-kkn2x,istio-proxy,3,80
default,redis-cart-us-south-1-74556b5c5b-q2286,redis,28,3
default,redis-cart-us-south-1-74556b5c5b-q2286,istio-proxy,58,79
default,redis-cart-us-south-1-74556b5c5b-wbxpx,redis,16,3
default,redis-cart-us-south-1-74556b5c5b-wbxpx,istio-proxy,31,77
default,redis-cart-us-west-1-66bc99954-67pgw,redis,32,3
