Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-69dc68d79d-44dj9,server,1,191
default,adservice-us-central-1-69dc68d79d-44dj9,istio-proxy,3,79
default,adservice-us-central-1-69dc68d79d-lhm5l,server,1,193
default,adservice-us-central-1-69dc68d79d-lhm5l,istio-proxy,3,81
default,adservice-us-central-1-69dc68d79d-r9mqd,server,1,190
default,adservice-us-central-1-69dc68d79d-r9mqd,istio-proxy,3,83
default,adservice-us-east-1-6fdc999588-rww6v,server,2,192
default,adservice-us-east-1-6fdc999588-rww6v,istio-proxy,3,81
default,adservice-us-east-1-6fdc999588-sspdk,server,2,190
default,adservice-us-east-1-6fdc999588-sspdk,istio-proxy,3,82
default,adservice-us-east-1-6fdc999588-vftxq,server,1,192
default,adservice-us-east-1-6fdc999588-vftxq,istio-proxy,3,81
default,adservice-us-south-1-7458697fbb-27zcp,server,1,191
default,adservice-us-south-1-7458697fbb-27zcp,istio-proxy,3,80
default,adservice-us-south-1-7458697fbb-k97dk,server,2,189
default,adservice-us-south-1-7458697fbb-k97dk,istio-proxy,3,81
default,adservice-us-south-1-7458697fbb-t2tcx,server,1,191
default,adservice-us-south-1-7458697fbb-t2tcx,istio-proxy,3,79
default,adservice-us-west-1-5b99565bdd-lx587,server,0,193
default,adservice-us-west-1-5b99565bdd-lx587,istio-proxy,4,81
default,adservice-us-west-1-5b99565bdd-sb5dw,server,2,191
default,adservice-us-west-1-5b99565bdd-sb5dw,istio-proxy,3,81
default,adservice-us-west-1-5b99565bdd-wlhnv,server,1,192
default,adservice-us-west-1-5b99565bdd-wlhnv,istio-proxy,3,81
default,cartservice-us-central-1-5998c74754-lnnc6,server,22,60
default,cartservice-us-central-1-5998c74754-lnnc6,istio-proxy,41,82
default,cartservice-us-central-1-5998c74754-w2fmd,server,41,61
default,cartservice-us-central-1-5998c74754-w2fmd,istio-proxy,40,85
default,cartservice-us-central-1-5998c74754-xn8qk,server,8,60
default,cartservice-us-central-1-5998c74754-xn8qk,istio-proxy,24,82
default,cartservice-us-east-1-77875fc866-jsv45,server,143,71
default,cartservice-us-east-1-77875fc866-jsv45,istio-proxy,89,82
default,cartservice-us-east-1-77875fc866-v6kvc,server,151,72
default,cartservice-us-east-1-77875fc866-v6kvc,istio-proxy,28,81
default,cartservice-us-east-1-77875fc866-wzrhh,server,160,71
default,cartservice-us-east-1-77875fc866-wzrhh,istio-proxy,72,84
default,cartservice-us-south-1-59f948bcf4-5pqwl,server,117,82
default,cartservice-us-south-1-59f948bcf4-5pqwl,istio-proxy,52,82
default,cartservice-us-south-1-59f948bcf4-k6r84,server,107,81
default,cartservice-us-south-1-59f948bcf4-k6r84,istio-proxy,85,83
default,cartservice-us-south-1-59f948bcf4-ltctt,server,79,82
default,cartservice-us-south-1-59f948bcf4-ltctt,istio-proxy,30,84
default,cartservice-us-west-1-647bf747f4-9t5fx,server,108,128
default,cartservice-us-west-1-647bf747f4-9t5fx,istio-proxy,242,85
default,cartservice-us-west-1-647bf747f4-lwdrl,server,453,125
default,cartservice-us-west-1-647bf747f4-lwdrl,istio-proxy,220,87
default,cartservice-us-west-1-647bf747f4-t8jq5,server,291,128
default,cartservice-us-west-1-647bf747f4-t8jq5,istio-proxy,68,85
default,checkoutservice-us-central-1-54fbb58c4c-s8mvn,server,0,9
default,checkoutservice-us-central-1-54fbb58c4c-s8mvn,istio-proxy,4,82
default,checkoutservice-us-central-1-54fbb58c4c-slktg,server,0,9
default,checkoutservice-us-central-1-54fbb58c4c-slktg,istio-proxy,3,84
default,checkoutservice-us-central-1-54fbb58c4c-w6xrp,server,0,9
default,checkoutservice-us-central-1-54fbb58c4c-w6xrp,istio-proxy,3,82
default,checkoutservice-us-east-1-689ffff8b6-kvhkk,server,82,12
default,checkoutservice-us-east-1-689ffff8b6-kvhkk,istio-proxy,198,84
default,checkoutservice-us-east-1-689ffff8b6-psh4j,server,29,12
default,checkoutservice-us-east-1-689ffff8b6-psh4j,istio-proxy,230,82
default,checkoutservice-us-east-1-689ffff8b6-vz4cf,server,0,11
default,checkoutservice-us-east-1-689ffff8b6-vz4cf,istio-proxy,53,85
default,checkoutservice-us-south-1-7655df7bf8-2nf6p,server,8,12
default,checkoutservice-us-south-1-7655df7bf8-2nf6p,istio-proxy,372,82
default,checkoutservice-us-south-1-7655df7bf8-mbpnm,server,26,12
default,checkoutservice-us-south-1-7655df7bf8-mbpnm,istio-proxy,280,83
default,checkoutservice-us-south-1-7655df7bf8-wrtsw,server,51,11
default,checkoutservice-us-south-1-7655df7bf8-wrtsw,istio-proxy,198,82
default,checkoutservice-us-west-1-657fd984db-5sj6f,server,148,11
default,checkoutservice-us-west-1-657fd984db-5sj6f,istio-proxy,5,86
default,checkoutservice-us-west-1-657fd984db-b2szx,server,44,12
default,checkoutservice-us-west-1-657fd984db-b2szx,istio-proxy,55,84
default,checkoutservice-us-west-1-657fd984db-nhq84,server,2,12
default,checkoutservice-us-west-1-657fd984db-nhq84,istio-proxy,318,84
default,currencyservice-us-central-1-78c57c785d-6pxgc,server,0,18
default,currencyservice-us-central-1-78c57c785d-6pxgc,istio-proxy,4,81
default,currencyservice-us-central-1-78c57c785d-fdddt,server,0,18
default,currencyservice-us-central-1-78c57c785d-fdddt,istio-proxy,3,83
default,currencyservice-us-central-1-78c57c785d-snq7z,server,0,17
default,currencyservice-us-central-1-78c57c785d-snq7z,istio-proxy,4,84
default,currencyservice-us-east-1-657d7995b8-9n2sv,server,83,31
default,currencyservice-us-east-1-657d7995b8-9n2sv,istio-proxy,52,81
default,currencyservice-us-east-1-657d7995b8-b4w9c,server,4,29
default,currencyservice-us-east-1-657d7995b8-b4w9c,istio-proxy,35,82
default,currencyservice-us-east-1-657d7995b8-kv59c,server,34,31
default,currencyservice-us-east-1-657d7995b8-kv59c,istio-proxy,14,84
default,currencyservice-us-south-1-5d46dfc6f8-qbcwz,server,83,31
default,currencyservice-us-south-1-5d46dfc6f8-qbcwz,istio-proxy,47,81
default,currencyservice-us-south-1-5d46dfc6f8-s5nbv,server,33,31
default,currencyservice-us-south-1-5d46dfc6f8-s5nbv,istio-proxy,15,83
default,currencyservice-us-south-1-5d46dfc6f8-zcd7v,server,54,31
default,currencyservice-us-south-1-5d46dfc6f8-zcd7v,istio-proxy,111,81
default,currencyservice-us-west-1-75cff57467-8f2m9,server,11,32
default,currencyservice-us-west-1-75cff57467-8f2m9,istio-proxy,49,84
default,currencyservice-us-west-1-75cff57467-skvkc,server,7,32
default,currencyservice-us-west-1-75cff57467-skvkc,istio-proxy,22,83
default,currencyservice-us-west-1-75cff57467-vfqdl,server,74,32
default,currencyservice-us-west-1-75cff57467-vfqdl,istio-proxy,75,82
default,emailservice-us-central-1-5cbb6fbd4f-6xhl6,server,1,40
default,emailservice-us-central-1-5cbb6fbd4f-6xhl6,istio-proxy,4,83
default,emailservice-us-central-1-5cbb6fbd4f-7jgjr,server,1,40
default,emailservice-us-central-1-5cbb6fbd4f-7jgjr,istio-proxy,4,87
default,emailservice-us-central-1-5cbb6fbd4f-qnx2k,server,1,40
default,emailservice-us-central-1-5cbb6fbd4f-qnx2k,istio-proxy,3,84
default,emailservice-us-east-1-7fdf458bcf-2sk7c,server,30,41
default,emailservice-us-east-1-7fdf458bcf-2sk7c,istio-proxy,47,86
default,emailservice-us-east-1-7fdf458bcf-bp5fn,server,13,41
default,emailservice-us-east-1-7fdf458bcf-bp5fn,istio-proxy,4,85
default,emailservice-us-east-1-7fdf458bcf-bxpm8,server,32,41
default,emailservice-us-east-1-7fdf458bcf-bxpm8,istio-proxy,9,85
default,emailservice-us-south-1-5b5fcdb445-9qjfx,server,23,41
default,emailservice-us-south-1-5b5fcdb445-9qjfx,istio-proxy,78,85
default,emailservice-us-south-1-5b5fcdb445-gx4tv,server,68,41
default,emailservice-us-south-1-5b5fcdb445-gx4tv,istio-proxy,40,84
default,emailservice-us-south-1-5b5fcdb445-znnw9,server,22,41
default,emailservice-us-south-1-5b5fcdb445-znnw9,istio-proxy,18,84
default,emailservice-us-west-1-597c8d45b-9sstz,server,38,41
default,emailservice-us-west-1-597c8d45b-9sstz,istio-proxy,14,85
default,emailservice-us-west-1-597c8d45b-nmxj9,server,34,41
default,emailservice-us-west-1-597c8d45b-nmxj9,istio-proxy,36,85
default,emailservice-us-west-1-597c8d45b-ppg8c,server,8,41
default,emailservice-us-west-1-597c8d45b-ppg8c,istio-proxy,48,85
default,frontend-us-central-1-6cf5cb86b9-r2l55,server,85,18
default,frontend-us-central-1-6cf5cb86b9-r2l55,istio-proxy,110,82
default,frontend-us-central-1-6cf5cb86b9-r7n77,server,112,17
default,frontend-us-central-1-6cf5cb86b9-r7n77,istio-proxy,27,86
default,frontend-us-central-1-6cf5cb86b9-rlcpm,server,28,18
default,frontend-us-central-1-6cf5cb86b9-rlcpm,istio-proxy,227,83
default,frontend-us-east-1-55d59dbff7-gh6xn,server,42,17
default,frontend-us-east-1-55d59dbff7-gh6xn,istio-proxy,212,83
default,frontend-us-east-1-55d59dbff7-lgstg,server,106,17
default,frontend-us-east-1-55d59dbff7-lgstg,istio-proxy,127,82
default,frontend-us-east-1-55d59dbff7-qkrh6,server,104,17
default,frontend-us-east-1-55d59dbff7-qkrh6,istio-proxy,268,85
default,frontend-us-south-1-5f8ff76cb5-4gnht,server,173,17
default,frontend-us-south-1-5f8ff76cb5-4gnht,istio-proxy,78,83
default,frontend-us-south-1-5f8ff76cb5-nxl8d,server,132,17
default,frontend-us-south-1-5f8ff76cb5-nxl8d,istio-proxy,136,85
default,frontend-us-south-1-5f8ff76cb5-tkfmk,server,117,17
default,frontend-us-south-1-5f8ff76cb5-tkfmk,istio-proxy,154,83
default,frontend-us-west-1-7fb855c5b5-pgp55,server,14,25
default,frontend-us-west-1-7fb855c5b5-pgp55,istio-proxy,113,96
default,frontend-us-west-1-7fb855c5b5-r7xlr,server,28,24
default,frontend-us-west-1-7fb855c5b5-r7xlr,istio-proxy,133,101
default,frontend-us-west-1-7fb855c5b5-sw7nw,server,223,25
default,frontend-us-west-1-7fb855c5b5-sw7nw,istio-proxy,765,94
default,paymentservice-us-central-1-547bb8d54c-2j7sn,server,0,14
default,paymentservice-us-central-1-547bb8d54c-2j7sn,istio-proxy,3,81
default,paymentservice-us-central-1-547bb8d54c-bj2ns,server,0,13
default,paymentservice-us-central-1-547bb8d54c-bj2ns,istio-proxy,4,82
default,paymentservice-us-central-1-547bb8d54c-s8szn,server,0,13
default,paymentservice-us-central-1-547bb8d54c-s8szn,istio-proxy,3,83
default,paymentservice-us-east-1-c5b5d6477-7cdsx,server,0,24
default,paymentservice-us-east-1-c5b5d6477-7cdsx,istio-proxy,29,83
default,paymentservice-us-east-1-c5b5d6477-b9rjp,server,30,26
default,paymentservice-us-east-1-c5b5d6477-b9rjp,istio-proxy,33,84
default,paymentservice-us-east-1-c5b5d6477-vp5bm,server,43,26
default,paymentservice-us-east-1-c5b5d6477-vp5bm,istio-proxy,41,82
default,paymentservice-us-south-1-b4f7bb45f-d8wzm,server,96,29
default,paymentservice-us-south-1-b4f7bb45f-d8wzm,istio-proxy,65,83
default,paymentservice-us-south-1-b4f7bb45f-kfll9,server,56,29
default,paymentservice-us-south-1-b4f7bb45f-kfll9,istio-proxy,30,83
default,paymentservice-us-south-1-b4f7bb45f-pkp66,server,78,29
default,paymentservice-us-south-1-b4f7bb45f-pkp66,istio-proxy,70,82
default,paymentservice-us-west-1-689c876b8b-nzftw,server,28,27
default,paymentservice-us-west-1-689c876b8b-nzftw,istio-proxy,4,82
default,paymentservice-us-west-1-689c876b8b-wqr2k,server,1,29
default,paymentservice-us-west-1-689c876b8b-wqr2k,istio-proxy,20,82
default,paymentservice-us-west-1-689c876b8b-xv6rc,server,84,26
default,paymentservice-us-west-1-689c876b8b-xv6rc,istio-proxy,43,83
default,productcatalogservice-us-central-1-684d8b7fdb-gcplk,server,18,10
default,productcatalogservice-us-central-1-684d8b7fdb-gcplk,istio-proxy,65,84
default,productcatalogservice-us-central-1-684d8b7fdb-jt6b7,server,1,9
default,productcatalogservice-us-central-1-684d8b7fdb-jt6b7,istio-proxy,55,84
default,productcatalogservice-us-central-1-684d8b7fdb-vfmbt,server,15,9
default,productcatalogservice-us-central-1-684d8b7fdb-vfmbt,istio-proxy,13,82
default,productcatalogservice-us-east-1-7bcb7b46b-jcktj,server,21,9
default,productcatalogservice-us-east-1-7bcb7b46b-jcktj,istio-proxy,14,83
default,productcatalogservice-us-east-1-7bcb7b46b-jr28z,server,19,10
default,productcatalogservice-us-east-1-7bcb7b46b-jr28z,istio-proxy,41,83
default,productcatalogservice-us-east-1-7bcb7b46b-lfjw7,server,17,10
default,productcatalogservice-us-east-1-7bcb7b46b-lfjw7,istio-proxy,40,82
default,productcatalogservice-us-south-1-7f4c495f7f-dlbsg,server,22,10
default,productcatalogservice-us-south-1-7f4c495f7f-dlbsg,istio-proxy,50,83
default,productcatalogservice-us-south-1-7f4c495f7f-s9rgb,server,33,10
default,productcatalogservice-us-south-1-7f4c495f7f-s9rgb,istio-proxy,113,84
default,productcatalogservice-us-south-1-7f4c495f7f-v6s8c,server,40,10
default,productcatalogservice-us-south-1-7f4c495f7f-v6s8c,istio-proxy,47,83
default,productcatalogservice-us-west-1-567f89cd8f-7tr7f,server,15,10
default,productcatalogservice-us-west-1-567f89cd8f-7tr7f,istio-proxy,220,84
default,productcatalogservice-us-west-1-567f89cd8f-czsnf,server,70,10
default,productcatalogservice-us-west-1-567f89cd8f-czsnf,istio-proxy,223,88
default,productcatalogservice-us-west-1-567f89cd8f-gb7v5,server,59,10
default,productcatalogservice-us-west-1-567f89cd8f-gb7v5,istio-proxy,26,84
default,recommendationservice-us-central-1-5c8c6bb4df-62pzx,server,12,40
default,recommendationservice-us-central-1-5c8c6bb4df-62pzx,istio-proxy,49,85
default,recommendationservice-us-central-1-5c8c6bb4df-fwccz,server,23,40
default,recommendationservice-us-central-1-5c8c6bb4df-fwccz,istio-proxy,7,84
default,recommendationservice-us-central-1-5c8c6bb4df-pst4g,server,10,40
default,recommendationservice-us-central-1-5c8c6bb4df-pst4g,istio-proxy,45,85
default,recommendationservice-us-east-1-69969d977c-q57xv,server,79,40
default,recommendationservice-us-east-1-69969d977c-q57xv,istio-proxy,29,84
default,recommendationservice-us-east-1-69969d977c-shr6r,server,1,40
default,recommendationservice-us-east-1-69969d977c-shr6r,istio-proxy,37,84
default,recommendationservice-us-east-1-69969d977c-vblpr,server,79,41
default,recommendationservice-us-east-1-69969d977c-vblpr,istio-proxy,66,86
default,recommendationservice-us-south-1-7d98cdb68f-54m99,server,54,40
default,recommendationservice-us-south-1-7d98cdb68f-54m99,istio-proxy,76,84
default,recommendationservice-us-south-1-7d98cdb68f-fq6gg,server,42,40
default,recommendationservice-us-south-1-7d98cdb68f-fq6gg,istio-proxy,41,84
default,recommendationservice-us-south-1-7d98cdb68f-thjcc,server,13,40
default,recommendationservice-us-south-1-7d98cdb68f-thjcc,istio-proxy,50,86
default,recommendationservice-us-west-1-75bf8f859d-9khln,server,N/A,N/A
default,recommendationservice-us-west-1-75bf8f859d-9khln,istio-proxy,N/A,N/A
default,recommendationservice-us-west-1-75bf8f859d-cq4hd,server,63,41
default,recommendationservice-us-west-1-75bf8f859d-cq4hd,istio-proxy,85,85
default,recommendationservice-us-west-1-75bf8f859d-xmx2r,server,N/A,N/A
default,recommendationservice-us-west-1-75bf8f859d-xmx2r,istio-proxy,N/A,N/A
default,redis-cart-us-central-1-676c849448-ftw7h,redis,3,3
default,redis-cart-us-central-1-676c849448-ftw7h,istio-proxy,12,79
default,redis-cart-us-central-1-676c849448-jpj6b,redis,7,3
default,redis-cart-us-central-1-676c849448-jpj6b,istio-proxy,28,79
default,redis-cart-us-central-1-676c849448-ngbk6,redis,1,3
default,redis-cart-us-central-1-676c849448-ngbk6,istio-proxy,3,81
default,redis-cart-us-east-1-554df8b474-6gpjp,redis,9,3
default,redis-cart-us-east-1-554df8b474-6gpjp,istio-proxy,22,80
default,redis-cart-us-east-1-554df8b474-9l6rc,redis,4,3
default,redis-cart-us-east-1-554df8b474-9l6rc,istio-proxy,15,79
default,redis-cart-us-east-1-554df8b474-r9mcd,redis,8,3
default,redis-cart-us-east-1-554df8b474-r9mcd,istio-proxy,21,78
default,redis-cart-us-south-1-74556b5c5b-kkn2x,redis,1,3
default,redis-cart-us-south-1-74556b5c5b-kkn2x,istio-proxy,4,80
default,redis-cart-us-south-1-74556b5c5b-q2286,redis,3,3
default,redis-cart-us-south-1-74556b5c5b-q2286,istio-proxy,58,79
default,redis-cart-us-south-1-74556b5c5b-wbxpx,redis,11,3
default,redis-cart-us-south-1-74556b5c5b-wbxpx,istio-proxy,10,77
default,redis-cart-us-west-1-66bc99954-67pgw,redis,5,3
