Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-69dc68d79d-44dj9,server,1,191
default,adservice-us-central-1-69dc68d79d-44dj9,istio-proxy,3,79
default,adservice-us-central-1-69dc68d79d-lhm5l,server,1,192
default,adservice-us-central-1-69dc68d79d-lhm5l,istio-proxy,3,81
default,adservice-us-central-1-69dc68d79d-r9mqd,server,1,189
default,adservice-us-central-1-69dc68d79d-r9mqd,istio-proxy,6,83
default,adservice-us-east-1-6fdc999588-rww6v,server,2,192
default,adservice-us-east-1-6fdc999588-rww6v,istio-proxy,3,81
default,adservice-us-east-1-6fdc999588-sspdk,server,2,189
default,adservice-us-east-1-6fdc999588-sspdk,istio-proxy,8,82
default,adservice-us-east-1-6fdc999588-vftxq,server,1,191
default,adservice-us-east-1-6fdc999588-vftxq,istio-proxy,8,81
default,adservice-us-south-1-7458697fbb-27zcp,server,2,191
default,adservice-us-south-1-7458697fbb-27zcp,istio-proxy,8,79
default,adservice-us-south-1-7458697fbb-k97dk,server,3,189
default,adservice-us-south-1-7458697fbb-k97dk,istio-proxy,8,81
default,adservice-us-south-1-7458697fbb-t2tcx,server,1,190
default,adservice-us-south-1-7458697fbb-t2tcx,istio-proxy,8,79
default,adservice-us-west-1-5b99565bdd-lx587,server,3,193
default,adservice-us-west-1-5b99565bdd-lx587,istio-proxy,3,81
default,adservice-us-west-1-5b99565bdd-sb5dw,server,2,191
default,adservice-us-west-1-5b99565bdd-sb5dw,istio-proxy,3,81
default,adservice-us-west-1-5b99565bdd-wlhnv,server,1,191
default,adservice-us-west-1-5b99565bdd-wlhnv,istio-proxy,12,81
default,cartservice-us-central-1-5998c74754-lnnc6,server,98,53
default,cartservice-us-central-1-5998c74754-lnnc6,istio-proxy,30,82
default,cartservice-us-central-1-5998c74754-w2fmd,server,54,51
default,cartservice-us-central-1-5998c74754-w2fmd,istio-proxy,33,85
default,cartservice-us-central-1-5998c74754-xn8qk,server,76,52
default,cartservice-us-central-1-5998c74754-xn8qk,istio-proxy,58,82
default,cartservice-us-east-1-77875fc866-jsv45,server,121,61
default,cartservice-us-east-1-77875fc866-jsv45,istio-proxy,79,83
default,cartservice-us-east-1-77875fc866-v6kvc,server,161,63
default,cartservice-us-east-1-77875fc866-v6kvc,istio-proxy,69,82
default,cartservice-us-east-1-77875fc866-wzrhh,server,94,60
default,cartservice-us-east-1-77875fc866-wzrhh,istio-proxy,64,84
default,cartservice-us-south-1-59f948bcf4-5pqwl,server,1,55
default,cartservice-us-south-1-59f948bcf4-5pqwl,istio-proxy,134,82
default,cartservice-us-south-1-59f948bcf4-k6r84,server,34,57
default,cartservice-us-south-1-59f948bcf4-k6r84,istio-proxy,38,83
default,cartservice-us-south-1-59f948bcf4-ltctt,server,146,67
default,cartservice-us-south-1-59f948bcf4-ltctt,istio-proxy,129,83
default,cartservice-us-west-1-647bf747f4-9t5fx,server,464,97
default,cartservice-us-west-1-647bf747f4-9t5fx,istio-proxy,340,85
default,cartservice-us-west-1-647bf747f4-lwdrl,server,224,91
default,cartservice-us-west-1-647bf747f4-lwdrl,istio-proxy,56,87
default,cartservice-us-west-1-647bf747f4-t8jq5,server,250,91
default,cartservice-us-west-1-647bf747f4-t8jq5,istio-proxy,330,83
default,checkoutservice-us-central-1-54fbb58c4c-s8mvn,server,0,9
default,checkoutservice-us-central-1-54fbb58c4c-s8mvn,istio-proxy,8,81
default,checkoutservice-us-central-1-54fbb58c4c-slktg,server,0,9
default,checkoutservice-us-central-1-54fbb58c4c-slktg,istio-proxy,7,83
default,checkoutservice-us-central-1-54fbb58c4c-w6xrp,server,0,9
default,checkoutservice-us-central-1-54fbb58c4c-w6xrp,istio-proxy,9,81
default,checkoutservice-us-east-1-689ffff8b6-kvhkk,server,3,13
default,checkoutservice-us-east-1-689ffff8b6-kvhkk,istio-proxy,221,84
default,checkoutservice-us-east-1-689ffff8b6-psh4j,server,109,12
default,checkoutservice-us-east-1-689ffff8b6-psh4j,istio-proxy,232,82
default,checkoutservice-us-east-1-689ffff8b6-vz4cf,server,96,11
default,checkoutservice-us-east-1-689ffff8b6-vz4cf,istio-proxy,124,85
default,checkoutservice-us-south-1-7655df7bf8-2nf6p,server,138,12
default,checkoutservice-us-south-1-7655df7bf8-2nf6p,istio-proxy,3,82
default,checkoutservice-us-south-1-7655df7bf8-mbpnm,server,128,13
default,checkoutservice-us-south-1-7655df7bf8-mbpnm,istio-proxy,6,82
default,checkoutservice-us-south-1-7655df7bf8-wrtsw,server,230,12
default,checkoutservice-us-south-1-7655df7bf8-wrtsw,istio-proxy,131,83
default,checkoutservice-us-west-1-657fd984db-5sj6f,server,58,11
default,checkoutservice-us-west-1-657fd984db-5sj6f,istio-proxy,451,85
default,checkoutservice-us-west-1-657fd984db-b2szx,server,225,12
default,checkoutservice-us-west-1-657fd984db-b2szx,istio-proxy,304,84
default,checkoutservice-us-west-1-657fd984db-nhq84,server,231,11
default,checkoutservice-us-west-1-657fd984db-nhq84,istio-proxy,6,84
default,currencyservice-us-central-1-78c57c785d-6pxgc,server,0,18
default,currencyservice-us-central-1-78c57c785d-6pxgc,istio-proxy,3,81
default,currencyservice-us-central-1-78c57c785d-fdddt,server,0,18
default,currencyservice-us-central-1-78c57c785d-fdddt,istio-proxy,8,83
default,currencyservice-us-central-1-78c57c785d-snq7z,server,0,18
default,currencyservice-us-central-1-78c57c785d-snq7z,istio-proxy,8,84
default,currencyservice-us-east-1-657d7995b8-9n2sv,server,104,25
default,currencyservice-us-east-1-657d7995b8-9n2sv,istio-proxy,3,81
default,currencyservice-us-east-1-657d7995b8-b4w9c,server,115,23
default,currencyservice-us-east-1-657d7995b8-b4w9c,istio-proxy,34,81
default,currencyservice-us-east-1-657d7995b8-kv59c,server,54,25
default,currencyservice-us-east-1-657d7995b8-kv59c,istio-proxy,4,84
default,currencyservice-us-south-1-5d46dfc6f8-qbcwz,server,20,26
default,currencyservice-us-south-1-5d46dfc6f8-qbcwz,istio-proxy,7,81
default,currencyservice-us-south-1-5d46dfc6f8-s5nbv,server,89,30
default,currencyservice-us-south-1-5d46dfc6f8-s5nbv,istio-proxy,114,83
default,currencyservice-us-south-1-5d46dfc6f8-zcd7v,server,64,29
default,currencyservice-us-south-1-5d46dfc6f8-zcd7v,istio-proxy,6,81
default,currencyservice-us-west-1-75cff57467-8f2m9,server,80,33
default,currencyservice-us-west-1-75cff57467-8f2m9,istio-proxy,96,83
default,currencyservice-us-west-1-75cff57467-skvkc,server,111,35
default,currencyservice-us-west-1-75cff57467-skvkc,istio-proxy,124,83
default,currencyservice-us-west-1-75cff57467-vfqdl,server,35,31
default,currencyservice-us-west-1-75cff57467-vfqdl,istio-proxy,83,82
default,emailservice-us-central-1-5cbb6fbd4f-6xhl6,server,1,40
default,emailservice-us-central-1-5cbb6fbd4f-6xhl6,istio-proxy,4,83
default,emailservice-us-central-1-5cbb6fbd4f-7jgjr,server,1,40
default,emailservice-us-central-1-5cbb6fbd4f-7jgjr,istio-proxy,3,87
default,emailservice-us-central-1-5cbb6fbd4f-qnx2k,server,1,40
default,emailservice-us-central-1-5cbb6fbd4f-qnx2k,istio-proxy,7,84
default,emailservice-us-east-1-7fdf458bcf-2sk7c,server,24,41
default,emailservice-us-east-1-7fdf458bcf-2sk7c,istio-proxy,31,86
default,emailservice-us-east-1-7fdf458bcf-bp5fn,server,44,41
default,emailservice-us-east-1-7fdf458bcf-bp5fn,istio-proxy,17,85
default,emailservice-us-east-1-7fdf458bcf-bxpm8,server,19,41
default,emailservice-us-east-1-7fdf458bcf-bxpm8,istio-proxy,44,84
default,emailservice-us-south-1-5b5fcdb445-9qjfx,server,54,41
default,emailservice-us-south-1-5b5fcdb445-9qjfx,istio-proxy,4,85
default,emailservice-us-south-1-5b5fcdb445-gx4tv,server,44,41
default,emailservice-us-south-1-5b5fcdb445-gx4tv,istio-proxy,64,84
default,emailservice-us-south-1-5b5fcdb445-znnw9,server,62,41
default,emailservice-us-south-1-5b5fcdb445-znnw9,istio-proxy,79,84
default,emailservice-us-west-1-597c8d45b-9sstz,server,73,41
default,emailservice-us-west-1-597c8d45b-9sstz,istio-proxy,104,85
default,emailservice-us-west-1-597c8d45b-nmxj9,server,94,41
default,emailservice-us-west-1-597c8d45b-nmxj9,istio-proxy,44,84
default,emailservice-us-west-1-597c8d45b-ppg8c,server,91,41
default,emailservice-us-west-1-597c8d45b-ppg8c,istio-proxy,40,85
default,frontend-us-central-1-6cf5cb86b9-r2l55,server,67,17
default,frontend-us-central-1-6cf5cb86b9-r2l55,istio-proxy,97,82
default,frontend-us-central-1-6cf5cb86b9-r7n77,server,0,16
default,frontend-us-central-1-6cf5cb86b9-r7n77,istio-proxy,178,85
default,frontend-us-central-1-6cf5cb86b9-rlcpm,server,68,18
default,frontend-us-central-1-6cf5cb86b9-rlcpm,istio-proxy,133,83
default,frontend-us-east-1-55d59dbff7-gh6xn,server,112,16
default,frontend-us-east-1-55d59dbff7-gh6xn,istio-proxy,196,83
default,frontend-us-east-1-55d59dbff7-lgstg,server,84,16
default,frontend-us-east-1-55d59dbff7-lgstg,istio-proxy,267,81
default,frontend-us-east-1-55d59dbff7-qkrh6,server,53,17
default,frontend-us-east-1-55d59dbff7-qkrh6,istio-proxy,258,84
default,frontend-us-south-1-5f8ff76cb5-4gnht,server,126,17
default,frontend-us-south-1-5f8ff76cb5-4gnht,istio-proxy,145,82
default,frontend-us-south-1-5f8ff76cb5-nxl8d,server,81,16
default,frontend-us-south-1-5f8ff76cb5-nxl8d,istio-proxy,187,84
default,frontend-us-south-1-5f8ff76cb5-tkfmk,server,82,16
default,frontend-us-south-1-5f8ff76cb5-tkfmk,istio-proxy,240,82
default,frontend-us-west-1-7fb855c5b5-pgp55,server,308,19
default,frontend-us-west-1-7fb855c5b5-pgp55,istio-proxy,560,85
default,frontend-us-west-1-7fb855c5b5-r7xlr,server,364,19
default,frontend-us-west-1-7fb855c5b5-r7xlr,istio-proxy,404,88
default,frontend-us-west-1-7fb855c5b5-sw7nw,server,58,19
default,frontend-us-west-1-7fb855c5b5-sw7nw,istio-proxy,779,86
default,paymentservice-us-central-1-547bb8d54c-2j7sn,server,0,13
default,paymentservice-us-central-1-547bb8d54c-2j7sn,istio-proxy,3,81
default,paymentservice-us-central-1-547bb8d54c-bj2ns,server,0,14
default,paymentservice-us-central-1-547bb8d54c-bj2ns,istio-proxy,6,82
default,paymentservice-us-central-1-547bb8d54c-s8szn,server,0,14
default,paymentservice-us-central-1-547bb8d54c-s8szn,istio-proxy,3,83
default,paymentservice-us-east-1-c5b5d6477-7cdsx,server,85,21
default,paymentservice-us-east-1-c5b5d6477-7cdsx,istio-proxy,34,83
default,paymentservice-us-east-1-c5b5d6477-b9rjp,server,70,20
default,paymentservice-us-east-1-c5b5d6477-b9rjp,istio-proxy,23,84
default,paymentservice-us-east-1-c5b5d6477-vp5bm,server,67,23
default,paymentservice-us-east-1-c5b5d6477-vp5bm,istio-proxy,47,82
default,paymentservice-us-south-1-b4f7bb45f-d8wzm,server,20,23
default,paymentservice-us-south-1-b4f7bb45f-d8wzm,istio-proxy,45,83
default,paymentservice-us-south-1-b4f7bb45f-kfll9,server,59,26
default,paymentservice-us-south-1-b4f7bb45f-kfll9,istio-proxy,38,83
default,paymentservice-us-south-1-b4f7bb45f-pkp66,server,52,27
default,paymentservice-us-south-1-b4f7bb45f-pkp66,istio-proxy,12,82
default,paymentservice-us-west-1-689c876b8b-nzftw,server,0,24
default,paymentservice-us-west-1-689c876b8b-nzftw,istio-proxy,99,82
default,paymentservice-us-west-1-689c876b8b-wqr2k,server,44,28
default,paymentservice-us-west-1-689c876b8b-wqr2k,istio-proxy,72,82
default,paymentservice-us-west-1-689c876b8b-xv6rc,server,73,29
default,paymentservice-us-west-1-689c876b8b-xv6rc,istio-proxy,28,83
default,productcatalogservice-us-central-1-684d8b7fdb-gcplk,server,0,10
default,productcatalogservice-us-central-1-684d8b7fdb-gcplk,istio-proxy,37,83
default,productcatalogservice-us-central-1-684d8b7fdb-jt6b7,server,22,9
default,productcatalogservice-us-central-1-684d8b7fdb-jt6b7,istio-proxy,63,83
default,productcatalogservice-us-central-1-684d8b7fdb-vfmbt,server,13,9
default,productcatalogservice-us-central-1-684d8b7fdb-vfmbt,istio-proxy,3,82
default,productcatalogservice-us-east-1-7bcb7b46b-jcktj,server,11,9
default,productcatalogservice-us-east-1-7bcb7b46b-jcktj,istio-proxy,58,83
default,productcatalogservice-us-east-1-7bcb7b46b-jr28z,server,0,10
default,productcatalogservice-us-east-1-7bcb7b46b-jr28z,istio-proxy,15,83
default,productcatalogservice-us-east-1-7bcb7b46b-lfjw7,server,18,10
default,productcatalogservice-us-east-1-7bcb7b46b-lfjw7,istio-proxy,15,83
default,productcatalogservice-us-south-1-7f4c495f7f-dlbsg,server,39,10
default,productcatalogservice-us-south-1-7f4c495f7f-dlbsg,istio-proxy,95,83
default,productcatalogservice-us-south-1-7f4c495f7f-s9rgb,server,42,10
default,productcatalogservice-us-south-1-7f4c495f7f-s9rgb,istio-proxy,42,83
default,productcatalogservice-us-south-1-7f4c495f7f-v6s8c,server,14,10
default,productcatalogservice-us-south-1-7f4c495f7f-v6s8c,istio-proxy,89,82
default,productcatalogservice-us-west-1-567f89cd8f-7tr7f,server,117,9
default,productcatalogservice-us-west-1-567f89cd8f-7tr7f,istio-proxy,253,83
default,productcatalogservice-us-west-1-567f89cd8f-czsnf,server,28,10
default,productcatalogservice-us-west-1-567f89cd8f-czsnf,istio-proxy,210,86
default,productcatalogservice-us-west-1-567f89cd8f-gb7v5,server,27,9
default,productcatalogservice-us-west-1-567f89cd8f-gb7v5,istio-proxy,160,84
default,recommendationservice-us-central-1-5c8c6bb4df-62pzx,server,54,40
default,recommendationservice-us-central-1-5c8c6bb4df-62pzx,istio-proxy,23,84
default,recommendationservice-us-central-1-5c8c6bb4df-fwccz,server,44,40
default,recommendationservice-us-central-1-5c8c6bb4df-fwccz,istio-proxy,50,84
default,recommendationservice-us-central-1-5c8c6bb4df-pst4g,server,38,40
default,recommendationservice-us-central-1-5c8c6bb4df-pst4g,istio-proxy,17,85
default,recommendationservice-us-east-1-69969d977c-q57xv,server,74,40
default,recommendationservice-us-east-1-69969d977c-q57xv,istio-proxy,50,84
default,recommendationservice-us-east-1-69969d977c-shr6r,server,52,40
default,recommendationservice-us-east-1-69969d977c-shr6r,istio-proxy,58,84
default,recommendationservice-us-east-1-69969d977c-vblpr,server,80,41
default,recommendationservice-us-east-1-69969d977c-vblpr,istio-proxy,9,86
default,recommendationservice-us-south-1-7d98cdb68f-54m99,server,65,40
default,recommendationservice-us-south-1-7d98cdb68f-54m99,istio-proxy,4,84
default,recommendationservice-us-south-1-7d98cdb68f-fq6gg,server,64,40
default,recommendationservice-us-south-1-7d98cdb68f-fq6gg,istio-proxy,19,84
default,recommendationservice-us-south-1-7d98cdb68f-thjcc,server,61,40
default,recommendationservice-us-south-1-7d98cdb68f-thjcc,istio-proxy,91,85
default,recommendationservice-us-west-1-75bf8f859d-9khln,server,145,41
default,recommendationservice-us-west-1-75bf8f859d-9khln,istio-proxy,100,84
default,recommendationservice-us-west-1-75bf8f859d-cq4hd,server,120,41
default,recommendationservice-us-west-1-75bf8f859d-cq4hd,istio-proxy,136,84
default,recommendationservice-us-west-1-75bf8f859d-xmx2r,server,171,41
default,recommendationservice-us-west-1-75bf8f859d-xmx2r,istio-proxy,26,86
default,redis-cart-us-central-1-676c849448-ftw7h,redis,9,3
default,redis-cart-us-central-1-676c849448-ftw7h,istio-proxy,18,79
default,redis-cart-us-central-1-676c849448-jpj6b,redis,8,3
default,redis-cart-us-central-1-676c849448-jpj6b,istio-proxy,7,79
default,redis-cart-us-central-1-676c849448-ngbk6,redis,1,3
default,redis-cart-us-central-1-676c849448-ngbk6,istio-proxy,10,81
default,redis-cart-us-east-1-554df8b474-6gpjp,redis,4,3
default,redis-cart-us-east-1-554df8b474-6gpjp,istio-proxy,16,80
default,redis-cart-us-east-1-554df8b474-9l6rc,redis,11,3
default,redis-cart-us-east-1-554df8b474-9l6rc,istio-proxy,18,79
default,redis-cart-us-east-1-554df8b474-r9mcd,redis,12,3
default,redis-cart-us-east-1-554df8b474-r9mcd,istio-proxy,23,78
default,redis-cart-us-south-1-74556b5c5b-kkn2x,redis,1,3
default,redis-cart-us-south-1-74556b5c5b-kkn2x,istio-proxy,6,80
default,redis-cart-us-south-1-74556b5c5b-q2286,redis,27,3
default,redis-cart-us-south-1-74556b5c5b-q2286,istio-proxy,3,79
default,redis-cart-us-south-1-74556b5c5b-wbxpx,redis,4,3
default,redis-cart-us-south-1-74556b5c5b-wbxpx,istio-proxy,15,78
default,redis-cart-us-west-1-66bc99954-67pgw,redis,33,3
