counter,region,service,endpoint,rps
1,us-east-1,shippingservice,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,121
1,us-east-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,102
1,us-east-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,88
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,117
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,127
1,us-east-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,116
1,us-east-1,sslateingress,sslateingress@POST@/cart,70
1,us-east-1,sslateingress,sslateingress@POST@/cart/checkout,84
1,us-east-1,sslateingress,sslateingress@POST@/setCurrency,48
1,us-east-1,sslateingress,sslateingress@POST@/cart/empty,57
1,us-east-1,frontend,frontend@POST@/cart/checkout,64
1,us-east-1,frontend,frontend@POST@/cart,51
1,us-east-1,frontend,frontend@POST@/setCurrency,36
1,us-east-1,frontend,frontend@POST@/cart/empty,41
1,us-east-1,paymentservice,paymentservice@POST@/hipstershop.PaymentService/Charge,119
1,us-east-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,93
1,us-central-1,frontend,frontend@POST@/cart,0
1,us-central-1,frontend,frontend@POST@/cart/checkout,13
1,us-central-1,frontend,frontend@POST@/cart/empty,2
1,us-central-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,43
1,us-central-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,21
1,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,23
1,us-central-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,19
1,us-central-1,sslateingress,sslateingress@POST@/cart/checkout,40
1,us-central-1,sslateingress,sslateingress@POST@/setCurrency,22
1,us-central-1,sslateingress,sslateingress@POST@/cart/empty,20
1,us-central-1,sslateingress,sslateingress@POST@/cart,32
1,us-west-1,productcatalogservice,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,486
1,us-west-1,checkoutservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,324
1,us-west-1,recommendationservice,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,263
1,us-west-1,emailservice,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,305
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/GetCart,255
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/EmptyCart,221
1,us-west-1,cartservice,cartservice@POST@/hipstershop.CartService/AddItem,233
1,us-west-1,frontend,frontend@POST@/cart,235
1,us-west-1,frontend,frontend@POST@/cart/empty,239
1,us-west-1,frontend,frontend@POST@/cart/checkout,265
