Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-75ff98f695-5n9hj,server,3,143
default,adservice-us-central-1-75ff98f695-5n9hj,istio-proxy,3,83
default,adservice-us-central-1-75ff98f695-97wrg,server,2,144
default,adservice-us-central-1-75ff98f695-97wrg,istio-proxy,3,82
default,adservice-us-central-1-75ff98f695-d2rfb,server,2,143
default,adservice-us-central-1-75ff98f695-d2rfb,istio-proxy,4,82
default,adservice-us-east-1-68cddb997b-fw5h4,server,2,143
default,adservice-us-east-1-68cddb997b-fw5h4,istio-proxy,3,83
default,adservice-us-east-1-68cddb997b-m9rmt,server,2,142
default,adservice-us-east-1-68cddb997b-m9rmt,istio-proxy,3,83
default,adservice-us-east-1-68cddb997b-w9dcg,server,3,143
default,adservice-us-east-1-68cddb997b-w9dcg,istio-proxy,3,85
default,adservice-us-south-1-8d9996b98-s8xj5,server,2,150
default,adservice-us-south-1-8d9996b98-s8xj5,istio-proxy,3,83
default,adservice-us-south-1-8d9996b98-xlr4s,server,3,144
default,adservice-us-south-1-8d9996b98-xlr4s,istio-proxy,3,84
default,adservice-us-south-1-8d9996b98-zz8j7,server,2,143
default,adservice-us-south-1-8d9996b98-zz8j7,istio-proxy,3,83
default,adservice-us-west-1-68654dccbd-4vcqt,server,3,142
default,adservice-us-west-1-68654dccbd-4vcqt,istio-proxy,3,81
default,adservice-us-west-1-68654dccbd-hdtpg,server,2,139
default,adservice-us-west-1-68654dccbd-hdtpg,istio-proxy,3,82
default,adservice-us-west-1-68654dccbd-nvhbk,server,3,143
default,adservice-us-west-1-68654dccbd-nvhbk,istio-proxy,3,82
default,cartservice-us-central-1-bb964f99c-lmztj,server,345,47
default,cartservice-us-central-1-bb964f99c-lmztj,istio-proxy,126,84
default,cartservice-us-central-1-bb964f99c-qtgxv,server,341,52
default,cartservice-us-central-1-bb964f99c-qtgxv,istio-proxy,104,85
default,cartservice-us-central-1-bb964f99c-v58sz,server,233,53
default,cartservice-us-central-1-bb964f99c-v58sz,istio-proxy,122,83
default,cartservice-us-east-1-69c767f68d-hxvjb,server,297,46
default,cartservice-us-east-1-69c767f68d-hxvjb,istio-proxy,126,85
default,cartservice-us-east-1-69c767f68d-jkqj6,server,184,52
default,cartservice-us-east-1-69c767f68d-jkqj6,istio-proxy,118,84
default,cartservice-us-east-1-69c767f68d-tvfbf,server,244,47
default,cartservice-us-east-1-69c767f68d-tvfbf,istio-proxy,118,85
default,cartservice-us-south-1-7d48f85556-6mlh5,server,336,64
default,cartservice-us-south-1-7d48f85556-6mlh5,istio-proxy,253,84
default,cartservice-us-south-1-7d48f85556-8tx82,server,423,65
default,cartservice-us-south-1-7d48f85556-8tx82,istio-proxy,112,86
default,cartservice-us-south-1-7d48f85556-kg7hr,server,428,65
default,cartservice-us-south-1-7d48f85556-kg7hr,istio-proxy,248,84
default,cartservice-us-west-1-6589cf8d9b-6259j,server,316,64
default,cartservice-us-west-1-6589cf8d9b-6259j,istio-proxy,225,86
default,cartservice-us-west-1-6589cf8d9b-66n24,server,395,60
default,cartservice-us-west-1-6589cf8d9b-66n24,istio-proxy,166,84
default,cartservice-us-west-1-6589cf8d9b-sjrbh,server,311,68
default,cartservice-us-west-1-6589cf8d9b-sjrbh,istio-proxy,212,85
default,checkoutservice-us-central-1-68f5f9559c-7b972,server,0,8
default,checkoutservice-us-central-1-68f5f9559c-7b972,istio-proxy,3,84
default,checkoutservice-us-central-1-68f5f9559c-qg6wg,server,0,9
default,checkoutservice-us-central-1-68f5f9559c-qg6wg,istio-proxy,4,85
default,checkoutservice-us-central-1-68f5f9559c-rvmd8,server,0,9
default,checkoutservice-us-central-1-68f5f9559c-rvmd8,istio-proxy,4,83
default,checkoutservice-us-east-1-9c4497dd6-bvm8g,server,123,11
default,checkoutservice-us-east-1-9c4497dd6-bvm8g,istio-proxy,198,84
default,checkoutservice-us-east-1-9c4497dd6-rh6ll,server,125,12
default,checkoutservice-us-east-1-9c4497dd6-rh6ll,istio-proxy,236,86
default,checkoutservice-us-east-1-9c4497dd6-zgk8p,server,101,11
default,checkoutservice-us-east-1-9c4497dd6-zgk8p,istio-proxy,162,85
default,checkoutservice-us-south-1-567554b94b-7qc9r,server,376,12
default,checkoutservice-us-south-1-567554b94b-7qc9r,istio-proxy,685,86
default,checkoutservice-us-south-1-567554b94b-njjch,server,318,12
default,checkoutservice-us-south-1-567554b94b-njjch,istio-proxy,359,84
default,checkoutservice-us-south-1-567554b94b-rprp8,server,345,11
default,checkoutservice-us-south-1-567554b94b-rprp8,istio-proxy,597,85
default,checkoutservice-us-west-1-5b89fdcf74-p2kt7,server,216,12
default,checkoutservice-us-west-1-5b89fdcf74-p2kt7,istio-proxy,400,84
default,checkoutservice-us-west-1-5b89fdcf74-p7v8w,server,222,11
default,checkoutservice-us-west-1-5b89fdcf74-p7v8w,istio-proxy,410,85
default,checkoutservice-us-west-1-5b89fdcf74-zw6p8,server,220,11
default,checkoutservice-us-west-1-5b89fdcf74-zw6p8,istio-proxy,403,83
default,currencyservice-us-central-1-b8c84b78b-8gpg2,server,0,17
default,currencyservice-us-central-1-b8c84b78b-8gpg2,istio-proxy,3,83
default,currencyservice-us-central-1-b8c84b78b-bxnmt,server,0,17
default,currencyservice-us-central-1-b8c84b78b-bxnmt,istio-proxy,3,84
default,currencyservice-us-central-1-b8c84b78b-xsdbx,server,0,18
default,currencyservice-us-central-1-b8c84b78b-xsdbx,istio-proxy,3,82
default,currencyservice-us-east-1-7967598cd4-8x6pm,server,111,20
default,currencyservice-us-east-1-7967598cd4-8x6pm,istio-proxy,60,84
default,currencyservice-us-east-1-7967598cd4-dqpmd,server,105,25
default,currencyservice-us-east-1-7967598cd4-dqpmd,istio-proxy,57,85
default,currencyservice-us-east-1-7967598cd4-jkglb,server,90,25
default,currencyservice-us-east-1-7967598cd4-jkglb,istio-proxy,22,86
default,currencyservice-us-south-1-795448b54f-5nxt7,server,278,28
default,currencyservice-us-south-1-795448b54f-5nxt7,istio-proxy,145,83
default,currencyservice-us-south-1-795448b54f-k6rrt,server,268,32
default,currencyservice-us-south-1-795448b54f-k6rrt,istio-proxy,181,83
default,currencyservice-us-south-1-795448b54f-rpbtz,server,94,26
default,currencyservice-us-south-1-795448b54f-rpbtz,istio-proxy,177,84
default,currencyservice-us-west-1-6966476897-bgmtl,server,183,26
default,currencyservice-us-west-1-6966476897-bgmtl,istio-proxy,54,83
default,currencyservice-us-west-1-6966476897-djw9v,server,203,28
default,currencyservice-us-west-1-6966476897-djw9v,istio-proxy,104,85
default,currencyservice-us-west-1-6966476897-mfswb,server,154,25
default,currencyservice-us-west-1-6966476897-mfswb,istio-proxy,119,84
default,emailservice-us-central-1-556b8b6687-bkcgb,server,1,40
default,emailservice-us-central-1-556b8b6687-bkcgb,istio-proxy,4,84
default,emailservice-us-central-1-556b8b6687-jf476,server,1,40
default,emailservice-us-central-1-556b8b6687-jf476,istio-proxy,4,84
default,emailservice-us-central-1-556b8b6687-kcnq4,server,1,40
default,emailservice-us-central-1-556b8b6687-kcnq4,istio-proxy,3,82
default,emailservice-us-east-1-754fd7b6b5-n8vld,server,47,41
default,emailservice-us-east-1-754fd7b6b5-n8vld,istio-proxy,39,84
default,emailservice-us-east-1-754fd7b6b5-wttt7,server,41,41
default,emailservice-us-east-1-754fd7b6b5-wttt7,istio-proxy,40,86
default,emailservice-us-east-1-754fd7b6b5-zvvps,server,45,41
default,emailservice-us-east-1-754fd7b6b5-zvvps,istio-proxy,37,84
default,emailservice-us-south-1-54cb648448-457hp,server,139,41
default,emailservice-us-south-1-54cb648448-457hp,istio-proxy,108,84
default,emailservice-us-south-1-54cb648448-62ngd,server,96,41
default,emailservice-us-south-1-54cb648448-62ngd,istio-proxy,120,84
default,emailservice-us-south-1-54cb648448-7xclg,server,128,41
default,emailservice-us-south-1-54cb648448-7xclg,istio-proxy,118,85
default,emailservice-us-west-1-84fdb7d6b4-9lzft,server,81,41
default,emailservice-us-west-1-84fdb7d6b4-9lzft,istio-proxy,70,84
default,emailservice-us-west-1-84fdb7d6b4-pkxzh,server,44,41
default,emailservice-us-west-1-84fdb7d6b4-pkxzh,istio-proxy,68,82
default,emailservice-us-west-1-84fdb7d6b4-ws9xm,server,71,41
default,emailservice-us-west-1-84fdb7d6b4-ws9xm,istio-proxy,33,84
default,frontend-us-central-1-c98b66b45-kfgpv,server,237,17
default,frontend-us-central-1-c98b66b45-kfgpv,istio-proxy,414,87
default,frontend-us-central-1-c98b66b45-r7g6d,server,249,18
default,frontend-us-central-1-c98b66b45-r7g6d,istio-proxy,410,87
default,frontend-us-central-1-c98b66b45-ws5cd,server,246,18
default,frontend-us-central-1-c98b66b45-ws5cd,istio-proxy,407,85
default,frontend-us-east-1-79857c6c97-5txhx,server,155,16
default,frontend-us-east-1-79857c6c97-5txhx,istio-proxy,265,86
default,frontend-us-east-1-79857c6c97-jrvd2,server,153,17
default,frontend-us-east-1-79857c6c97-jrvd2,istio-proxy,281,86
default,frontend-us-east-1-79857c6c97-tgqqf,server,160,16
default,frontend-us-east-1-79857c6c97-tgqqf,istio-proxy,265,85
default,frontend-us-south-1-9b799ccb5-d6jl9,server,243,17
default,frontend-us-south-1-9b799ccb5-d6jl9,istio-proxy,250,85
default,frontend-us-south-1-9b799ccb5-ttxb2,server,188,17
default,frontend-us-south-1-9b799ccb5-ttxb2,istio-proxy,400,86
default,frontend-us-south-1-9b799ccb5-zn5c2,server,182,16
default,frontend-us-south-1-9b799ccb5-zn5c2,istio-proxy,427,86
default,frontend-us-west-1-6d456b55f-88f8n,server,278,17
default,frontend-us-west-1-6d456b55f-88f8n,istio-proxy,476,86
default,frontend-us-west-1-6d456b55f-jzjzn,server,274,17
default,frontend-us-west-1-6d456b55f-jzjzn,istio-proxy,526,86
default,frontend-us-west-1-6d456b55f-xsswg,server,290,18
default,frontend-us-west-1-6d456b55f-xsswg,istio-proxy,410,85
default,paymentservice-us-central-1-d4d7c4b74-8dpnf,server,0,15
default,paymentservice-us-central-1-d4d7c4b74-8dpnf,istio-proxy,3,82
default,paymentservice-us-central-1-d4d7c4b74-msclg,server,0,14
default,paymentservice-us-central-1-d4d7c4b74-msclg,istio-proxy,3,82
default,paymentservice-us-central-1-d4d7c4b74-x9z7w,server,0,16
default,paymentservice-us-central-1-d4d7c4b74-x9z7w,istio-proxy,3,83
default,paymentservice-us-east-1-7754fd5f86-b97kk,server,53,19
default,paymentservice-us-east-1-7754fd5f86-b97kk,istio-proxy,45,82
default,paymentservice-us-east-1-7754fd5f86-gv74l,server,66,21
default,paymentservice-us-east-1-7754fd5f86-gv74l,istio-proxy,32,85
default,paymentservice-us-east-1-7754fd5f86-jx5nb,server,64,18
default,paymentservice-us-east-1-7754fd5f86-jx5nb,istio-proxy,39,84
default,paymentservice-us-south-1-68777fcf46-fnnxv,server,226,26
default,paymentservice-us-south-1-68777fcf46-fnnxv,istio-proxy,131,84
default,paymentservice-us-south-1-68777fcf46-fpl76,server,163,30
default,paymentservice-us-south-1-68777fcf46-fpl76,istio-proxy,65,83
default,paymentservice-us-south-1-68777fcf46-h7bzn,server,200,26
default,paymentservice-us-south-1-68777fcf46-h7bzn,istio-proxy,130,85
default,paymentservice-us-west-1-54d6f8cfc4-4t7bz,server,114,21
default,paymentservice-us-west-1-54d6f8cfc4-4t7bz,istio-proxy,71,84
