Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,adservice-us-central-1-75ff98f695-5n9hj,server,7,157
default,adservice-us-central-1-75ff98f695-5n9hj,istio-proxy,4,83
default,adservice-us-central-1-75ff98f695-97wrg,server,2,154
default,adservice-us-central-1-75ff98f695-97wrg,istio-proxy,3,82
default,adservice-us-central-1-75ff98f695-d2rfb,server,2,152
default,adservice-us-central-1-75ff98f695-d2rfb,istio-proxy,3,82
default,adservice-us-east-1-68cddb997b-fw5h4,server,3,152
default,adservice-us-east-1-68cddb997b-fw5h4,istio-proxy,4,83
default,adservice-us-east-1-68cddb997b-m9rmt,server,7,156
default,adservice-us-east-1-68cddb997b-m9rmt,istio-proxy,3,83
default,adservice-us-east-1-68cddb997b-w9dcg,server,0,153
default,adservice-us-east-1-68cddb997b-w9dcg,istio-proxy,3,85
default,adservice-us-south-1-8d9996b98-s8xj5,server,2,154
default,adservice-us-south-1-8d9996b98-s8xj5,istio-proxy,4,83
default,adservice-us-south-1-8d9996b98-xlr4s,server,2,153
default,adservice-us-south-1-8d9996b98-xlr4s,istio-proxy,3,85
default,adservice-us-south-1-8d9996b98-zz8j7,server,2,152
default,adservice-us-south-1-8d9996b98-zz8j7,istio-proxy,5,83
default,adservice-us-west-1-68654dccbd-4vcqt,server,2,152
default,adservice-us-west-1-68654dccbd-4vcqt,istio-proxy,4,81
default,adservice-us-west-1-68654dccbd-hdtpg,server,3,153
default,adservice-us-west-1-68654dccbd-hdtpg,istio-proxy,3,82
default,adservice-us-west-1-68654dccbd-nvhbk,server,2,152
default,adservice-us-west-1-68654dccbd-nvhbk,istio-proxy,3,82
default,cartservice-us-central-1-bb964f99c-lmztj,server,3,57
default,cartservice-us-central-1-bb964f99c-lmztj,istio-proxy,3,85
default,cartservice-us-central-1-bb964f99c-qtgxv,server,2,58
default,cartservice-us-central-1-bb964f99c-qtgxv,istio-proxy,3,85
default,cartservice-us-central-1-bb964f99c-v58sz,server,2,57
default,cartservice-us-central-1-bb964f99c-v58sz,istio-proxy,3,83
default,cartservice-us-east-1-69c767f68d-hxvjb,server,2,55
default,cartservice-us-east-1-69c767f68d-hxvjb,istio-proxy,3,85
default,cartservice-us-east-1-69c767f68d-jkqj6,server,1,57
default,cartservice-us-east-1-69c767f68d-jkqj6,istio-proxy,3,84
default,cartservice-us-east-1-69c767f68d-tvfbf,server,1,55
default,cartservice-us-east-1-69c767f68d-tvfbf,istio-proxy,3,85
default,cartservice-us-south-1-7d48f85556-6mlh5,server,161,74
default,cartservice-us-south-1-7d48f85556-6mlh5,istio-proxy,87,84
default,cartservice-us-south-1-7d48f85556-8tx82,server,1,72
default,cartservice-us-south-1-7d48f85556-8tx82,istio-proxy,169,86
default,cartservice-us-south-1-7d48f85556-kg7hr,server,2,73
default,cartservice-us-south-1-7d48f85556-kg7hr,istio-proxy,3,84
default,cartservice-us-west-1-6589cf8d9b-6259j,server,154,73
default,cartservice-us-west-1-6589cf8d9b-6259j,istio-proxy,3,86
default,cartservice-us-west-1-6589cf8d9b-66n24,server,2,72
default,cartservice-us-west-1-6589cf8d9b-66n24,istio-proxy,137,84
default,cartservice-us-west-1-6589cf8d9b-sjrbh,server,93,73
default,cartservice-us-west-1-6589cf8d9b-sjrbh,istio-proxy,44,85
default,checkoutservice-us-central-1-68f5f9559c-7b972,server,0,8
default,checkoutservice-us-central-1-68f5f9559c-7b972,istio-proxy,4,84
default,checkoutservice-us-central-1-68f5f9559c-qg6wg,server,0,9
default,checkoutservice-us-central-1-68f5f9559c-qg6wg,istio-proxy,4,85
default,checkoutservice-us-central-1-68f5f9559c-rvmd8,server,0,9
default,checkoutservice-us-central-1-68f5f9559c-rvmd8,istio-proxy,3,83
default,checkoutservice-us-east-1-9c4497dd6-bvm8g,server,0,11
default,checkoutservice-us-east-1-9c4497dd6-bvm8g,istio-proxy,21,84
default,checkoutservice-us-east-1-9c4497dd6-rh6ll,server,53,11
default,checkoutservice-us-east-1-9c4497dd6-rh6ll,istio-proxy,3,86
default,checkoutservice-us-east-1-9c4497dd6-zgk8p,server,1,11
default,checkoutservice-us-east-1-9c4497dd6-zgk8p,istio-proxy,150,85
default,checkoutservice-us-south-1-567554b94b-7qc9r,server,0,12
default,checkoutservice-us-south-1-567554b94b-7qc9r,istio-proxy,3,86
default,checkoutservice-us-south-1-567554b94b-njjch,server,141,12
default,checkoutservice-us-south-1-567554b94b-njjch,istio-proxy,3,84
default,checkoutservice-us-south-1-567554b94b-rprp8,server,1,12
default,checkoutservice-us-south-1-567554b94b-rprp8,istio-proxy,119,85
